,timestamp_est,anonymous_id,language,question,detected_lang,cluster
99,2020-03-21 09:58:36.672,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,Is it safe to travel to chicago?,en,unclassified
100,2020-03-21 11:47:19.395,366a31ab-98bf-4466-b9f3-7b499ac6d75c,en,How many asymptomatic people are there likely to be?,en,situation-stats
103,2020-03-21 09:58:36.66,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,When will it be ok to go outside?,en,situation-lockdown
104,2020-03-21 09:22:36.563,507092f6-fee4-47e3-89a1-39c932ac23ae,en,age wise statistics for covid-19,en,situation-stats
105,2020-03-21 02:07:43.819,db5a20f9-6ce4-4c89-9833-f4fa5bb70b98,en,Does temperature has any effect on the virus,en,unclassified
109,2020-03-21 08:52:33.554,04227e51-dd74-4104-9b40-f1be16f97eea,en,How long will it take to develop a vaccine ? ,en,covid-med
110,2020-03-21 09:45:35.478,fdb9ea21-a2c4-4562-b182-b28ff01f256b,en,How do I know when to get tested?,en,personal-testing
111,2020-03-21 12:03:39.463,0d1368ad-6269-497a-92be-bef48c314dcd,en,Are research fundings going to be cut as a result of the virus?,en,unclassified
116,2020-03-21 12:40:08.923,17a0efa7-9250-48eb-8b2e-32ea3f85abaf,en,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",en,covid-life
119,2020-03-21 14:17:50.653,a3b6c189-79f6-4af2-af92-db67168e987b,en,I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?,en,personal-symptoms
121,2020-03-21 16:15:49.232,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Is there a cure for corona virus?,en,covid-med
123,2020-03-21 16:15:49.306,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Are young people susceptible to corona virus?,en,unclassified
129,2020-03-21 16:15:49.262,3eb07cc6-e9a7-40d0-9609-553a07823637,en,How do I know if I have been infected?,en,personal-symptoms
133,2020-03-21 13:15:29.882,00e8ad36-3dc4-4908-98bb-c348d51ec7e3,en,How does COVID-19 affect asymptomatic people's lungs? ,en,covid-symptoms
134,2020-03-21 16:24:13.235,95b95e68-cea1-456f-9120-aefd7834c5e1,en,What about the researches with respect to treatment of COVID-19,en,covid-med
145,2020-03-21 16:15:49.22,3eb07cc6-e9a7-40d0-9609-553a07823637,en,What's corona virus?,en,covid-what
147,2020-03-21 16:41:57.517,8c2be3c5-7e39-4cb6-ae74-5c0aff539ab4,de,What are the Symptome ,en,covid-symptoms
150,2020-03-21 12:53:58.382,66c7bd79-e62c-428a-adac-f69fb087691c,en,what is going to happen to us?,en,unclassified
155,2020-03-21 16:15:49.283,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Should I go to the ER or my physician directly if I'm infected?,en,personal-whatif
156,2020-03-21 16:36:51.5,6147e278-3c26-40e4-a016-b18f494c03a3,en,what are the symptoms of covid-19 by day of infection?,en,covid-infection
157,2020-03-21 15:45:37.156,149bd5f4-019c-4141-9c95-84d4f10bc2f8,en,How long does the virus remain on a surface?,en,unclassified
158,2020-03-21 16:35:48.448,461b0490-15e2-4780-a3cf-cc24c5029b2b,en,Can you catch covid 19 after having had it before ,en,unclassified
159,2020-03-21 15:15:40.593,7ff9c658-7ae1-4e9c-941e-80187cb1c7f0,en,what is coronavirus,en,covid-what
162,2020-03-21 15:48:29.999,291fcd60-0f53-4d6a-bff3-086b6f753267,en,What are the coronavirus symptoms?,en,covid-symptoms
164,2020-03-21 13:34:43.669,16c1484f-fcfa-4d3f-979a-d4b728b69bd0,en,What should i do if i am short of breath?,en,personal-whatif
173,2020-03-21 12:53:58.397,66c7bd79-e62c-428a-adac-f69fb087691c,en,when will the pandemic end?,en,situation-future
176,2020-03-21 14:32:23.113,3759c119-2722-46b9-b513-acbdcc5e6e95,en,My throat seems to burn a little. Should i be worried ?,en,unclassified
179,2020-03-21 16:38:20.457,d2bf053f-2512-4f30-aab6-cf74894dc3c2,it,Is the Asymptomatic Carrier a temporary status? ,en,covid-symptoms
180,2020-03-21 23:34:33.238,a26511f8-07a7-4e76-a246-c4c22f5f7f04,fr,Non,en,unclassified
182,2020-03-21 15:48:30.015,291fcd60-0f53-4d6a-bff3-086b6f753267,en,Is it OK I go out for a walk alone?,en,situation-lockdown
183,2020-03-21 12:53:58.418,66c7bd79-e62c-428a-adac-f69fb087691c,en,will governments learn from this?,en,unclassified
184,2020-03-21 16:03:27.615,1ec981b1-26fc-4ae7-a416-a8c4bc026179,en,I am coughing so you think I have Coronavirus?,en,personal-symptoms
189,2020-03-21 16:52:42.242,3d8b0fe1-ac29-4c02-acab-a4834608a0a4,en,What are the risks for a person between 20 and 40 years old with asthma?,en,covid-contagious
191,2020-03-21 16:15:49.323,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Where can I find most up to date numbers on cases and deaths?,en,situation-stats
192,2020-03-21 16:38:04.707,9a87c6dd-9939-4070-a0d9-da7f66683eb6,en,Is there an estimate as to how long the crisis will last?,en,situation-future
194,2020-03-21 15:35:50.242,0ad487b2-a4ae-4137-a487-831f7af8827b,en,Is it true that warm kills Coronavirus?,en,covid-kill
195,2020-03-21 12:40:08.985,17a0efa7-9250-48eb-8b2e-32ea3f85abaf,en,Does everyone that contracts the virus show symptoms? Or will only certain people show symptoms?,en,covid-transmission
196,2020-03-21 14:32:43.504,b95e3026-d4c2-4c4a-b45f-6cd16c5be92c,en,Should I use NSAIDs?,en,unclassified
198,2020-03-21 16:25:16.658,52ea60bd-df60-4c3b-a5f7-e63292fe95b7,en,How to know if I get COVID-19 or not?,en,personal-whatif
200,2020-03-21 14:52:39.608,e56d5bdd-fa1a-48c7-b116-92433e45b833,en,what are the symptoms of coronavirus,en,covid-symptoms
202,2020-03-21 16:36:06.675,107eeb57-8b1f-481e-aff5-8ce87b1cea8a,en,When will primary schools start?,en,unclassified
204,2020-03-21 14:43:01.383,968f3919-1f56-4eca-a8b2-ed64cdffdf79,en,Is it true that you can get the virus again even after you've recovered ,en,covid-recovery
206,2020-03-21 15:21:17.573,4d0285a2-b934-4449-ab6e-97b075642497,en,Does covid-19 spread in tropical conditions?,en,covid-transmission
208,2020-03-21 14:45:18.753,22acb4b7-fe15-46a8-bff8-109707707762,en,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,en,personal-whatif
210,2020-03-21 15:36:44.628,65485caa-ddf9-4d7e-9988-479f9331cc49,en,how many death in italy?,en,situation-stats
216,2020-03-21 16:35:40.321,13b9248d-7ba2-4a4c-9fd7-f1c59dcce95f,en,is china responsible for the spreading of COVID-19?,en,covid-transmission
217,2020-03-21 12:16:29.006,cba04012-0cfb-430c-b660-4abeeeb1aa70,en,What are the symptoms of the Corina virus? ,en,covid-symptoms
218,2020-03-21 16:15:49.242,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Is there a vaccine for corona virus?,en,covid-med
220,2020-03-21 13:34:43.676,16c1484f-fcfa-4d3f-979a-d4b728b69bd0,en,How do I distinguish between the flu and coronavirus?,en,covid-versus
221,2020-03-21 16:03:27.644,1ec981b1-26fc-4ae7-a416-a8c4bc026179,en,Can a 5 year old get Coronavirus?,en,unclassified
222,2020-03-21 15:48:29.983,291fcd60-0f53-4d6a-bff3-086b6f753267,en,"I have temperature, what should I do?",en,personal-symptoms
224,2020-03-21 14:32:43.5,b95e3026-d4c2-4c4a-b45f-6cd16c5be92c,en,Should I use asprin with I have the coronavirus?,en,personal-symptoms
226,2020-03-21 16:36:06.691,107eeb57-8b1f-481e-aff5-8ce87b1cea8a,en,How long will social distancing measures last?,en,personal-isolation
227,2020-03-21 12:53:58.425,66c7bd79-e62c-428a-adac-f69fb087691c,en,could we have done better?,en,unclassified
232,2020-03-21 12:53:58.407,66c7bd79-e62c-428a-adac-f69fb087691c,en,will the virus continue to spread for a long time?,en,covid-transmission
233,2020-03-21 14:02:25.519,0f20ee6c-0cac-4d0d-880d-1a2a6c87d96d,en,Do the symptoms start suddenly or they progress slowly from one day to another? ,en,covid-symptoms
235,2020-03-21 14:35:52.181,d50f1adb-49c7-42f9-a178-393f2ef34076,en,When should I visit a doctor?,en,unclassified
239,2020-03-21 12:16:29.044,cba04012-0cfb-430c-b660-4abeeeb1aa70,en,What are are my chances of dying if I have the covid 19 virus? ,en,personal-symptoms
250,2020-03-21 12:57:22.989,eb19b3ff-6d90-4eb8-9062-b81684bedfcf,en,What medication is recommended if I contract covid-19?,en,covid-med
252,2020-03-21 16:15:49.274,3eb07cc6-e9a7-40d0-9609-553a07823637,en,What do I do if I suspect I'm infected?,en,personal-whatif
255,2020-03-21 16:38:20.454,d2bf053f-2512-4f30-aab6-cf74894dc3c2,it,What is an Asymptomatic Carrier?,en,covid-symptoms
257,2020-03-21 15:39:44.891,f69128f8-e521-4880-83c2-76ca35c46d38,en,Can drinking alcohol helps COVID19? ,en,unclassified
261,2020-03-21 16:39:35.601,5bbdba4b-0188-4e6b-bc7b-4ffcacdc0732,en,I have asthma. How at risk am I about the possibility of complications?,en,personal-symptoms
262,2020-03-21 15:36:44.629,65485caa-ddf9-4d7e-9988-479f9331cc49,en,How many cases in Montreal?,en,situation-stats
267,2020-03-21 12:19:51.391,dc6a2a06-7cea-4b9c-868e-d28094c0f8b5,en,"If I traveled from Vancouver to quebec city, do i need to quaratine ? ",en,personal-whatif
270,2020-03-21 13:56:49.03,9ad0060c-5628-4e8c-ba12-a7167213f27e,en,"My boyfriend experienced gastro intestinal symptoms and came from abroad, should he get tested?",en,personal-testing
271,2020-03-21 16:37:30.743,ff2949a6-4d58-4305-8456-459400fe7cf1,en,"In this time of crisis, is it okay to feed the raccoons",en,unclassified
272,2020-03-21 13:39:10.948,d90b7754-a540-47f2-a90c-7cbc35def960,en,what are cov19 symptoms,en,covid-symptoms
273,2020-03-21 14:02:57.045,ba8ef58c-ddcc-4dbb-bf57-ea2dd5a341e6,en,How long do you expect these restrictive measures to last?,en,unclassified
274,2020-03-21 14:02:57.06,ba8ef58c-ddcc-4dbb-bf57-ea2dd5a341e6,en,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",en,personal-whatif
279,2020-03-21 16:03:27.625,1ec981b1-26fc-4ae7-a416-a8c4bc026179,en,How do people get infected with Coronavirus?,en,covid-infection
281,2020-03-21 13:39:10.941,d90b7754-a540-47f2-a90c-7cbc35def960,en,how many people died so far?,en,situation-stats
283,2020-03-21 14:43:01.365,968f3919-1f56-4eca-a8b2-ed64cdffdf79,en,"If you recover from the virus, can you still be a carrier ",en,personal-whatif
285,2020-03-21 16:15:49.252,3eb07cc6-e9a7-40d0-9609-553a07823637,en,What are the symptoms for corona virus?,en,covid-symptoms
288,2020-03-21 15:36:20.298,bb22c696-3a40-4f57-8175-4b31cec184e5,en,How long can the virus live?,en,covid-life
289,2020-03-21 12:57:22.995,eb19b3ff-6d90-4eb8-9062-b81684bedfcf,en,"If I contract the virus, does wearing a mask prevent others getting infected?",en,personal-caution
292,2020-03-21 16:52:42.209,3d8b0fe1-ac29-4c02-acab-a4834608a0a4,en,What is the risk for an asthmatic ?,en,covid-contagious
293,2020-03-21 15:48:30.032,291fcd60-0f53-4d6a-bff3-086b6f753267,en,Should I be worried about getting sick if the government does not lock down everything?,en,personal-whatif
294,2020-03-21 12:53:58.435,66c7bd79-e62c-428a-adac-f69fb087691c,en,what are the symptoms?,en,covid-symptoms
295,2020-03-21 17:06:43.597,1a9f855a-287d-4ef2-a398-3621bfab57b5,en,How many cases of the coronavirus are there in Montreal?,en,situation-stats
300,2020-03-21 17:06:43.62,1a9f855a-287d-4ef2-a398-3621bfab57b5,en,How contagious is the virus?,en,unclassified
301,2020-03-21 16:36:06.69,107eeb57-8b1f-481e-aff5-8ce87b1cea8a,en,Are there confirmed cases in my neighborhood ,en,situation-stats
302,2020-03-21 12:20:20.176,99e39e32-3b85-42c0-808d-98ca52701aa9,en,How long is this expected to last?,en,unclassified
304,2020-03-21 16:38:04.746,9a87c6dd-9939-4070-a0d9-da7f66683eb6,en,Why is there no toilet paper?,en,unclassified
306,2020-03-21 13:39:26.503,9c1b4039-c331-43fb-b7da-5f77f3403575,en,what is covid-19,en,covid-what
308,2020-03-21 13:34:43.663,16c1484f-fcfa-4d3f-979a-d4b728b69bd0,en,What are the symptoms for COVID-19 ?,en,covid-symptoms
312,2020-03-21 20:39:36.122,f80dd812-40ec-48cb-a118-11d2cf2cd11f,en,is vomiting one of the symptoms?,en,covid-symptoms
315,2020-03-21 23:29:02.411,ec41dbc0-8a1c-436a-855c-53583f9b34bf,en,What's the difference between COVID-19 and CoronaVirus?,en,personal-whatif
317,2020-03-21 19:10:45.245,76dcbfcb-fbd4-4b7d-a0ad-bfb5c27087f2,en,What is COVID-19,en,covid-what
320,2020-03-22 01:27:35.248,a3032e99-ff0f-4481-897e-9d6f66fb784f,en,is fever a symptom of coronavirus? ,en,covid-symptoms
325,2020-03-22 00:57:11.402,e1ea90be-e552-4d26-a067-376d0de0ed20,en,how many people have died in the US?,en,situation-stats
333,2020-03-21 23:40:51.402,c9fc19e3-b94d-4fc0-be54-2449f256a04d,en,What are the symptoms ,en,covid-symptoms
334,2020-03-21 19:33:18.95,d1cd6b3b-f233-4177-b1e0-90381ca24617,en,Is it useful to wear a mask if we are not sick?,en,covid-fight
338,2020-03-21 23:53:24.388,48e5c93c-f718-498e-aff9-266ae471fd7d,en,How can BlueRidge.ai help fight this virus?,en,covid-fight
339,2020-03-21 17:38:37.026,28e7f04a-9d6f-48c1-9b13-fb499fe0ef8a,en,How many cases in Quebec ,en,situation-stats
341,2020-03-21 20:17:00.403,994acdd5-3b24-4dee-b574-c10e0990e9b8,en,What should I do if I start coughing?,en,personal-whatif
342,2020-03-21 17:39:34.389,83f51718-d521-4b00-9f0e-01e5b2f5d68f,en,Who is at risk?,en,covid-contagious
346,2020-03-21 21:26:33.687,3b58140a-f53e-491f-a3dd-79f0416bab56,en,where can I get tested,en,personal-testing
347,2020-03-21 20:57:24.544,a0147f27-050a-456f-9d52-8f4b317ba678,zh,what is pandemic,en,unclassified
354,2020-03-21 22:55:38.102,71b819ce-1f25-4416-b19c-5878ebf16455,en,I am coughing but I don't have fever. Could I have covid-19?,en,personal-symptoms
362,2020-03-21 20:46:51.89,fa1e419d-5cef-41e6-bb17-f8bd28411028,en,Can I get the virus from breathing infected airborn particules,en,covid-infection
366,2020-03-21 21:39:35.52,0e6422b9-aaf8-46ec-8d2c-106fa7ec81af,en,is it dangerous to travel,en,covid-contagious
370,2020-03-21 23:21:56.733,8e750805-9fc2-4702-a244-0b7e67cf29ad,vi,What is,en,unclassified
377,2020-03-21 20:56:54.137,a0147f27-050a-456f-9d52-8f4b317ba678,zh,how is going,en,unclassified
379,2020-03-21 17:41:30.31,a450d496-8c9b-497f-b19e-b5371abac3f6,en,Will Covid19 mutate to a different more virulent strain,en,personal-whatif
385,2020-03-22 00:55:10.425,dfd74f5f-5c3e-4de2-b6c2-7d3d1b2fd38c,en,How long does the virus stay airborne?,en,covid-life
393,2020-03-21 21:37:13.441,3b9bc929-27fa-40df-ae67-e24ad9a547b6,en,How mild are most cases,en,situation-stats
395,2020-03-21 23:14:22.428,e03f3e0a-a889-43d4-a506-4af32cbee107,en,What are the symptoms,en,covid-symptoms
397,2020-03-22 00:06:37.353,39934ada-d827-4868-8aff-58dcaaf317e7,en,Impact of covid,en,unclassified
404,2020-03-21 18:48:44.987,7f0bd659-d209-4d2b-bd3a-f0fe73cb085b,en,Is the severity of disease dependent on incubation period? ,en,covid-incubation
410,2020-03-21 18:56:44.254,1dfa96ae-da69-4e13-a82f-065e558c1b55,en,How many cases in Montreal ,en,situation-stats
413,2020-03-21 21:45:13.516,85e6cdad-531a-4a3f-9a86-8fad681731c7,en,How long after being asymptomatic are you no longer contagious? ,en,covid-symptoms
415,2020-03-21 21:28:01.183,f613f0e1-117b-4343-9e77-4fb4b9b168a4,en,are outdoor walks considered safe?,en,unclassified
417,2020-03-22 01:27:35.259,a3032e99-ff0f-4481-897e-9d6f66fb784f,en,how much fever should i tolerate before going to the doctor? ,en,unclassified
424,2020-03-21 17:17:52.701,5b000a32-4ccc-47a1-a8da-5bf1559abc56,en,What’s the death rate for healthy US 37 year old males?,en,situation-stats
430,2020-03-21 17:46:41.075,53894a08-21b2-49cb-832d-cfa6c0683d4f,en,I am 24 years old. What is my risk of having severe symptoms of the virus ? ,en,covid-contagious
431,2020-03-21 22:41:05.66,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,What are the main synptoms?,en,covid-symptoms
434,2020-03-22 01:16:41.455,9d8e530d-9af3-4a71-8cf0-87a798fbec78,en,How long does the virus remain active and alive after attacking a human body?,en,covid-life
436,2020-03-21 23:24:59.483,e46af548-c65a-4244-bf92-1dc281a03fe7,en,When will covid end?,en,situation-future
438,2020-03-21 21:20:25.389,401332f7-58f8-4616-bb8d-59972ff0ee9c,en,"If someone was infected once, can they be reinfected? Can they still carry the virus and infect others?",en,personal-whatif
446,2020-03-21 21:03:00.692,a57f2090-8fc3-441f-a292-0297d3919fd1,en,How to protect myself on a plane,en,personal-caution
449,2020-03-21 19:13:41.038,6bcfe004-73de-4f56-8ff0-dd66640fd022,en,What to do if I think I have covid 19?,en,personal-symptoms
452,2020-03-21 17:52:17.785,94154cbd-75f5-409f-8338-05018c12a9b9,en,Why didn't you answer my first question?,en,unclassified
455,2020-03-21 18:22:01.291,49a00803-1814-427a-b79a-58284de2e968,en,how many new cases,en,situation-stats
458,2020-03-21 17:39:34.381,83f51718-d521-4b00-9f0e-01e5b2f5d68f,en,What are the symptoms of Covid-19?,en,covid-symptoms
459,2020-03-22 00:10:19.935,165dfaa6-84a9-4f0b-85ed-a217530bd003,en,How does it spread ?,en,covid-transmission
468,2020-03-21 19:10:45.242,76dcbfcb-fbd4-4b7d-a0ad-bfb5c27087f2,en,Where did COVID-19 come from?,en,unclassified
469,2020-03-21 17:20:59.193,1c991aeb-b4df-4d84-9595-367d7385e3b6,en,When will covid end? ,en,situation-future
477,2020-03-21 20:27:40.438,9b75dedf-19e7-4eb4-9ffd-5cec8f5752d3,en,What are the most common symptoms of COVID-19?,en,covid-symptoms
481,2020-03-21 19:14:49.91,9973a414-c87b-4aca-ae1a-2b4ea5290674,en,What are the symptoms of SARS-COV-2,en,covid-symptoms
482,2020-03-22 00:47:23.853,5a4c2d2c-6191-4192-9ebc-025336b1d079,en,How many cases are there in the us,en,situation-stats
491,2020-03-21 19:14:49.917,9973a414-c87b-4aca-ae1a-2b4ea5290674,en,What's the point of asking you questions if you don't have answers,en,personal-whatif
494,2020-03-21 21:28:01.186,f613f0e1-117b-4343-9e77-4fb4b9b168a4,en,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,en,unclassified
497,2020-03-21 23:34:33.27,a26511f8-07a7-4e76-a246-c4c22f5f7f04,fr,Non,en,unclassified
500,2020-03-21 23:07:39.93,710e23d7-7a6a-42ed-bd1b-526db8c8c2f8,en,Where do we get the test for COVID-19?,en,personal-testing
502,2020-03-22 00:24:32.459,24e49f6c-1df9-42f5-8f21-ecaa594ed836,en,what has caused it,en,unclassified
504,2020-03-21 21:40:21.317,ac3c5070-c403-4453-9176-39c8ebb321c3,en,How many tests are run per day in the US? ,en,personal-testing
507,2020-03-21 23:20:09.846,7d02e9dc-a465-44f5-8e99-bc90eb50628c,en,Do we have a vaccine for Coronavirus ?,en,covid-med
508,2020-03-21 23:08:51.623,96e5bf45-a3e2-479b-af53-202773ea1b81,en,How long will it take for a vaccine to be produced?,en,covid-med
510,2020-03-21 22:41:05.632,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,How do I know if I haver coronavirus?,en,personal-symptoms
512,2020-03-21 21:56:21.439,622b014c-29d3-4205-b423-3ec6ed644e49,en,How long does recovery take on average?,en,covid-recovery
513,2020-03-21 23:21:56.634,8e750805-9fc2-4702-a244-0b7e67cf29ad,vi,How many thing you do not understand,en,unclassified
515,2020-03-21 18:48:44.969,7f0bd659-d209-4d2b-bd3a-f0fe73cb085b,en,How long is incubation period? ,en,covid-incubation
517,2020-03-21 23:29:02.407,ec41dbc0-8a1c-436a-855c-53583f9b34bf,en,How Covid-19 started?,en,unclassified
519,2020-03-21 20:56:54.136,a0147f27-050a-456f-9d52-8f4b317ba678,zh,is the grocery open?,en,situation-lockdown
520,2020-03-22 00:26:52.977,849776b0-54f1-4e78-b9cf-7398c599f60d,en,what is the covıd-19's symptoms ?,en,covid-symptoms
528,2020-03-21 19:33:18.959,d1cd6b3b-f233-4177-b1e0-90381ca24617,en,"I have some symptoms, what should I do?",en,personal-symptoms
529,2020-03-22 01:00:35.045,b8ba88da-151b-4d8a-a573-738feccd7008,es,covid19 symptons?,en,covid-symptoms
533,2020-03-21 23:07:39.918,710e23d7-7a6a-42ed-bd1b-526db8c8c2f8,en,What are the symptoms of COVID-19,en,covid-symptoms
536,2020-03-22 00:42:17.819,18ed3835-82eb-4ab8-8d70-f82ac4fb0064,en,How many people are infected in Quebec?,en,situation-stats
537,2020-03-22 00:24:32.466,24e49f6c-1df9-42f5-8f21-ecaa594ed836,en,how can one fight the virus ,en,unclassified
545,2020-03-21 19:13:41.028,6bcfe004-73de-4f56-8ff0-dd66640fd022,en,How contagious is covid 19?,en,unclassified
547,2020-03-22 00:25:24.931,1a32db5a-0802-423e-b347-69af6b42c8b4,en,What is the death rate of covid-19?,en,situation-stats
549,2020-03-22 01:31:56.094,11553517-7859-43dc-bfcd-354131f01e27,en,How to prevent the spread of COVID-19?,en,personal-caution
551,2020-03-21 21:28:01.209,f613f0e1-117b-4343-9e77-4fb4b9b168a4,en,what are the options to disinfect hand or surfaces other than soap and alcohol,en,unclassified
553,2020-03-22 01:12:16.107,dab8ab73-7e69-407c-8262-b5a22da25a04,en,Is the virus airborne ,en,covid-transmission
556,2020-03-22 01:12:16.1,dab8ab73-7e69-407c-8262-b5a22da25a04,en,I think I’m sick,en,unclassified
558,2020-03-21 17:52:17.778,94154cbd-75f5-409f-8338-05018c12a9b9,en,When this all will be over?,en,situation-future
