,cluster_#0,cluster_#1,cluster_#2,cluster_#3,cluster_#4,cluster_#5,cluster_#6,cluster_#7,cluster_#8,cluster_#9,cluster_#10,cluster_#11,cluster_#12,cluster_#13,cluster_#14
20,How do I distinguish between the flu and coronavirus?,Are there still flights within Canada?,What is COVID 19,what do you know about COVID-19?,can you please tell me symptoms of corona virus?,-,-,"What are the demographics of people infected, hospitalized and deceased in Quebec, ",-,-,-,-,-,-,How long can the virus live?
21,What should I do if I have Coronavirus symptoms?,Does a throat feel itchy or really sore and a symptom ,About COVID-19,How is covid transmitted?,How many Canadians currently have corona virus?,-,-,Get I get infected from a dog?,-,-,-,-,-,-,How long has the virus been spreading in Canada?
22,what is coronavirus,Precautions to measure? ,What is COVID-19?,I heard hydroxychloroquine is a good treatment for COVID-19. Where can I get it?,Is there a treatment for corona virus?,-,-,Can antibiotics deal with viral infection?,-,-,-,-,-,-,How long does COVID-19 live on glass surfaces?
23,Is the phlegm color suggestive of coronavirus? ,Are we going to have trouble buying milk? ,what is covid-19,age wise statistics for covid-19,what should I do if I think I infected by corona virus?,-,-,Is it possible to be infected again?,-,-,-,-,-,-,How long does it takes to get first symptom of Covid-19 
24,-,Is headache a symptom of this pandemic? ,Do I have covid?,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,How long before we have a vaccine for corona? ,-,-,Can I get infected from food or grocery delivery?,-,-,-,-,-,-,How long will the pandemic last?
25,-,How much longer will society need to socially isolate?,What is covid-19?,Is covid very dangerous,What are the symptoms of corona virus,-,-,How do I know if I have been infected?,-,-,-,-,-,-,Is there an estimate as to how long the crisis will last?
26,-,Where are the testing centers located in Mtl?,What is COVID-19?,Is it safe to order food during the COVID-19 pandemic?,What are the symptoms I should feel if I am infected with Corona virus?,-,-,How to take care of infected people ,-,-,-,-,-,-,How long do you think we will have to be in a lockdown 
27,-,mental health,what is covid-19,How Covid-19 started?,How is the corona virus being spread,-,-,"If someone was infected once, can they be reinfected? Can they still carry the virus and infect others?",-,-,-,-,-,-,How long does it take to recover?
28,-,When will the treatment be available for this pandemic?,Covid-19,Does COVID 19 cause stomach issues,Why corona is so dangerous ,-,-,"Does Pneumonia vaccine, which is for a bacterial infections, helps the immune system to deal with the viral infection of Covid-19 more easily? By removing the possibility of bacterial infection and just focusing on viral infection!",-,-,-,-,-,-,"If I have covid-19, how long will I be contagious?"
29,-,How does it spread ?,What’s COVID-19?,What are the early symptoms of COVID-19,What is corona,-,-,Can I get the virus from breathing infected airborn particules,-,-,-,-,-,-,How long is this expected to last?
30,-,Chlono,-,How do I know if I have the covid-19,What is corona,-,-,How covid-19 virus infected?,-,-,-,-,-,-,How long do the symptoms of COVID-19 last for?
31,-,Am I allowed to go for a walk?,-,What are the real symptoms of covid-19 ,Is there a vaccine for corona virus?,-,-,From the infected worldwide population what will be the ratio of asymptomatic people,-,-,-,-,-,-,-
32,-,Where can we find ventilator?,-,Can you catch covid 19 after having had it before ,-,-,-,How COVID-19 is infecting?,-,-,-,-,-,-,-
33,-,"As of today, can we gather only 2",-,How can I protect myself from the covid-19?,-,-,-,-,-,-,-,-,-,-,-
34,-,what are the conditions under which people are most likely to develop complications versus those who won’t?  ,-,Does my neighbour have covid-19 symptoms?,-,-,-,-,-,-,-,-,-,-,-
35,-,What is a vaccin becoming available?,-,Where did COVID-19 come from?,-,-,-,-,-,-,-,-,-,-,-
36,-,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobey’s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way. ,-,What is the origin of COVID-19?,-,-,-,-,-,-,-,-,-,-,-
37,-,Can I get the virus from a stray cat?,-,what is covid-2019,-,-,-,-,-,-,-,-,-,-,-
38,-,Can drinking alcohol helps COVID19? ,-,What is the current COVID-19 confirmed cases trend for Canada?,-,-,-,-,-,-,-,-,-,-,-
39,-,Should I star home and even avoid going to the supermarket and drugstore?,-,What is the nearest hospital to go to if I have a COVID-19?,-,-,-,-,-,-,-,-,-,-,-
40,-,"In the U.S., why has the Defense Production Act not been invoked to allow weekly (?) testing of every single person present in The United States?  Yes, this is on the scale of industrialization of the WW2 era, and yes, that is *exactly* what the Defense Production Act is for.",-,How should I keep my family safe during covid-19?,-,-,-,-,-,-,-,-,-,-,-
41,-,Is the test covered in in CIHIP?,-,Do i have a covid or is it just a cold?,-,-,-,-,-,-,-,-,-,-,-
42,-,What's the point of asking you questions if you don't have answers,-,is covid-19 dangerous,-,-,-,-,-,-,-,-,-,-,-
43,-,why is my dick so big,-,is china responsible for the spreading of COVID-19?,-,-,-,-,-,-,-,-,-,-,-
44,-,Why are death rates so different across countries?,-,What is covid 29,-,-,-,-,-,-,-,-,-,-,-
45,-,I am 43. What’s the chance of my survival if I get covid. ,-,My brother has COVID-19. What to do?,-,-,-,-,-,-,-,-,-,-,-
46,-,Where should I go?,-,I think I have COVID,-,-,-,-,-,-,-,-,-,-,-
47,-,Should I wear mask,-,Is COVID-19 air-borne?,-,-,-,-,-,-,-,-,-,-,-
48,-,I have cold for couple of weeks. Have cough over night and regular mucous during day and night. Feel a bit hot but not fever that can be feel. Sometimes ear pain for infection. Some times get stressed on having corona. Does any of these symptoms suggest that? I have quarantined myself for over 10 days  ,-,How does Covid-19 spread?,-,-,-,-,-,-,-,-,-,-,-
49,-,where can I help?,-,treatment for covid 19,-,-,-,-,-,-,-,-,-,-,-
50,-,How often should i take my temperature?,-,What are the covid simptons?,-,-,-,-,-,-,-,-,-,-,-
51,-,What is the advice surrounding outdoor exercise/sport?,-,What do I do if someone with COVID-19 spotted?,-,-,-,-,-,-,-,-,-,-,-
52,-,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,-,Does COVID-19 spread by means of gametes?,-,-,-,-,-,-,-,-,-,-,-
53,-,is the grocery open?,-,How can i cure covid-19?,-,-,-,-,-,-,-,-,-,-,-
54,-,Who is at risk?,-,What COVID-19 stands for?,-,-,-,-,-,-,-,-,-,-,-
55,-,is coughing phlem a symptom?,-,"If you contract COVID-19, how do you treat yourself at home?",-,-,-,-,-,-,-,-,-,-,-
56,-,What are the best food to get good immune ,-,List of Canadian hospitals treating (not testing) patients with COVID-19?,-,-,-,-,-,-,-,-,-,-,-
57,-,when is this pandemic going to end?,-,What is the meaning of COVID-19?,-,-,-,-,-,-,-,-,-,-,-
58,-,"How long could the virus stay alive on doorknobs, traffic signal buttons, stair rails?",-,how to prepare for spread of covid 19?,-,-,-,-,-,-,-,-,-,-,-
59,-,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,-,What are you symtoms of covid? ,-,-,-,-,-,-,-,-,-,-,-
60,-,What are the main synptoms?,-,what treatments are available for covid-19?,-,-,-,-,-,-,-,-,-,-,-
61,-,what is canada's situation right now?,-,Is there more than one strain of COVID-19?,-,-,-,-,-,-,-,-,-,-,-
62,-,how to interact with people,-,What colour is covid 19?,-,-,-,-,-,-,-,-,-,-,-
63,-,When should I visit a doctor?,-,Infomation about covid,-,-,-,-,-,-,-,-,-,-,-
64,-,"Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country, rich or poor, and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads?",-,How do I know I have covid?,-,-,-,-,-,-,-,-,-,-,-
65,-,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days?,-,Is it possible to have Covid-19 if you only have one of the symptoms?,-,-,-,-,-,-,-,-,-,-,-
66,-,I have throat ,-,When will covid end? ,-,-,-,-,-,-,-,-,-,-,-
67,-,I worry for my mental health during quarantine,-,What places of laval has covid-19,-,-,-,-,-,-,-,-,-,-,-
68,-,When will the schools reopen?,-,I have a lot of stress regarding COVID-19,-,-,-,-,-,-,-,-,-,-,-
69,-,Is it true that you can get the virus again even after you've recovered ,-,What's a waiting time to get covid-19 results?,-,-,-,-,-,-,-,-,-,-,-
70,-,I think I’m sick,-,I have a bit of nausea and headache. Do i have covid-19?,-,-,-,-,-,-,-,-,-,-,-
71,-,My  father is 80 years and food is delivered to him daily. Can food containers and food itself be contaminated by COVID,-,Why is called COVID-19,-,-,-,-,-,-,-,-,-,-,-
72,-,When do I expect to hear back from you? ,-,What is most usual symptom of Covid-19 ,-,-,-,-,-,-,-,-,-,-,-
73,-,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,-,What about the researches with respect to treatment of COVID-19,-,-,-,-,-,-,-,-,-,-,-
74,-,How severe is the virus? ,-,What are the side-effects of hydroxychloroquine for treating COVID-19?,-,-,-,-,-,-,-,-,-,-,-
75,-,When will be done?,-,COVID-19 stands for what?,-,-,-,-,-,-,-,-,-,-,-
76,-,Does temperature has any effect on the virus,-,"Once you are cured from Covid-19, can you catch it again?",-,-,-,-,-,-,-,-,-,-,-
77,-,what are the main symptoms,-,How to prevent the spread of COVID-19?,-,-,-,-,-,-,-,-,-,-,-
78,-,Why is Trudeau asleep?,-,What to do if I think I have covid 19?,-,-,-,-,-,-,-,-,-,-,-
79,-,Will the groceries shut down?,-,"My COVID-19 test results are pending, and my temperature reached 40C. What should I do?",-,-,-,-,-,-,-,-,-,-,-
80,-,Is ACE Inhibitor harmful ,-,What are covid-19 test centres location in Montreal?,-,-,-,-,-,-,-,-,-,-,-
81,-,Do I need to disinfect things I buy like groceries and supplies?,-,"When having covid-19, What are the next possible symptoms for a 4 years old child",-,-,-,-,-,-,-,-,-,-,-
82,-,should I go to the hospital?,-,How long after testing do you receive your COVID-19 results? ,-,-,-,-,-,-,-,-,-,-,-
83,-,Are research fundings going to be cut as a result of the virus?,-,What can we do to protect ourselves from COVID-19?,-,-,-,-,-,-,-,-,-,-,-
84,-,Does a mask actually help if I'm not sick?,-,How dangerous is the COV-19?,-,-,-,-,-,-,-,-,-,-,-
85,-,Will 1 meter distancing safe?,-,How does covid 19 feel ,-,-,-,-,-,-,-,-,-,-,-
86,-,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,-,should I worry about covid 19?,-,-,-,-,-,-,-,-,-,-,-
87,-,How to protect myself on a plane,-,-,-,-,-,-,-,-,-,-,-,-,-
88,-,How can I differ between covid and normal flu ?,-,-,-,-,-,-,-,-,-,-,-,-,-
89,-,Will there be any changes in PGWP?,-,-,-,-,-,-,-,-,-,-,-,-,-
90,-,What are the symptoms of SARS-COV-2,-,-,-,-,-,-,-,-,-,-,-,-,-
91,-,Do I have to ask a sclerotic question about traveling or something to get an answer ,-,-,-,-,-,-,-,-,-,-,-,-,-
92,-,what are cov19 symptoms,-,-,-,-,-,-,-,-,-,-,-,-,-
93,-,how to protect myself from it ,-,-,-,-,-,-,-,-,-,-,-,-,-
94,-,what is canada quarantine policy?,-,-,-,-,-,-,-,-,-,-,-,-,-
95,-,My sister-in-law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID-19. Are the risks for pregnant woman Higher? How can she protect?,-,-,-,-,-,-,-,-,-,-,-,-,-
96,-,Will the virus affect my sexual ability ,-,-,-,-,-,-,-,-,-,-,-,-,-
97,-,What have you implemented to help older people who do not know how to use the internet/phone to obtain their groceries and medicine?,-,-,-,-,-,-,-,-,-,-,-,-,-
98,-,When will the cure be available ?,-,-,-,-,-,-,-,-,-,-,-,-,-
99,-,Should I go to the ER or my physician directly if I'm infected?,-,-,-,-,-,-,-,-,-,-,-,-,-
100,-,when will the pandemic end?,-,-,-,-,-,-,-,-,-,-,-,-,-
101,-,How deadly is the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
102,-,what is this site,-,-,-,-,-,-,-,-,-,-,-,-,-
103,-,Is it useful to wear a mask if we are not sick?,-,-,-,-,-,-,-,-,-,-,-,-,-
104,-,what is social distancing?,-,-,-,-,-,-,-,-,-,-,-,-,-
105,-,"If I'm below the age of 30, will I notice symptoms if I'm sick?",-,-,-,-,-,-,-,-,-,-,-,-,-
106,-,When will this end,-,-,-,-,-,-,-,-,-,-,-,-,-
107,-,Are there any federal or provincial services to help senior citizens get grocery safely?,-,-,-,-,-,-,-,-,-,-,-,-,-
108,-,How long do we need social distanciation for the virus to be less of a threat? ,-,-,-,-,-,-,-,-,-,-,-,-,-
109,-,how many deaths are in Italy as of March 21,-,-,-,-,-,-,-,-,-,-,-,-,-
110,-,"I am having sore throat, cold, cough, temperature is not stable continuously increases and decreases. So Do I need to go for a test?",-,-,-,-,-,-,-,-,-,-,-,-,-
111,-,Whatbare the symptoms,-,-,-,-,-,-,-,-,-,-,-,-,-
112,-,How do I know if my chest is hurt because lung damage or another cause?,-,-,-,-,-,-,-,-,-,-,-,-,-
113,-,What should I do?,-,-,-,-,-,-,-,-,-,-,-,-,-
114,-,I feel heaviness  in my chest nothing else from last 2 week ,-,-,-,-,-,-,-,-,-,-,-,-,-
115,-,How many days can you be contagious without showing symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
116,-,Where is the closest testing facility to me?,-,-,-,-,-,-,-,-,-,-,-,-,-
117,-,Can I go for a run? Does running/exercise compromise my immune system? ,-,-,-,-,-,-,-,-,-,-,-,-,-
118,-,where did it start,-,-,-,-,-,-,-,-,-,-,-,-,-
119,-,how are you,-,-,-,-,-,-,-,-,-,-,-,-,-
120,-,When will it be ok to go outside?,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,What is the number of Covid19 cases in the wold,-,-,-,-,-,-,-,-,-,-,-,-,-
122,-,I need to take a blood test. Is there a large risk for infection?,-,-,-,-,-,-,-,-,-,-,-,-,-
123,-,Are vet clinics still open?,-,-,-,-,-,-,-,-,-,-,-,-,-
124,-,What is the mortality rate?,-,-,-,-,-,-,-,-,-,-,-,-,-
125,-,Will it get better in summer with higher temperatures?,-,-,-,-,-,-,-,-,-,-,-,-,-
126,-, When should I consult after the vomitting symptoms for a 4 y-o child? ,-,-,-,-,-,-,-,-,-,-,-,-,-
127,-,Hypertension ,-,-,-,-,-,-,-,-,-,-,-,-,-
128,-,Could stores open a few hours a week for the elderly? ,-,-,-,-,-,-,-,-,-,-,-,-,-
129,-,if i have symptoms should i go to the ER or should I call a doctor?,-,-,-,-,-,-,-,-,-,-,-,-,-
130,-,How long does the virus stay in paper money and coins?,-,-,-,-,-,-,-,-,-,-,-,-,-
131,-,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
132,-,If I fully recover from COVID-19 would I still be considered a carrier and transmit the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,Should I take the metro?,-,-,-,-,-,-,-,-,-,-,-,-,-
134,-,Is the virus vulnerable to high temperature?! Does steam cleaning the surfaces and cloths kills the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
135,-,Is it safe to get a new job that deals with the public?,-,-,-,-,-,-,-,-,-,-,-,-,-
136,-,Can I be contagious even if I don't have symptoms? ,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,Has the virus evolved,-,-,-,-,-,-,-,-,-,-,-,-,-
138,-,How do we best organize people so that duplicate work is not being done?,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,How dangerous it is for pregnant womens?,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,How am I supposed to work while I have two young children at home?,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,Where do I go if I have mild symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
142,-,How many thing you do not understand,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,When this will ever end ,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,what kind of protective gear do i need to wear?,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,"My head hurts, my body aches a little and I feel a cold coming. How do I know if this is Covid-19 or just an ordinary cold?",-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,Who is most at risk? ,-,-,-,-,-,-,-,-,-,-,-,-,-
149,-,"If I am starting to breath heavily, should I get it checked out?",-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,what are the risks for someone aged 65?,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,What precautions should I take with things delivered at home?,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,Option to run the questions for children ,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,who needs to be isolated?,-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,Should I not touch my mail?,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,Is there a different varient of virus which is spreading across the world,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,How many patients are across the globe? ,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,How i know that i 'm ill,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,I am feeling sick ,-,-,-,-,-,-,-,-,-,-,-,-,-
159,-,how old are you?,-,-,-,-,-,-,-,-,-,-,-,-,-
160,-,Isn't the economy impact (and the panic reaction) going to kill more than the virus? It seems the virus only kills 1%... while over 30% of the population might lose their jobs.,-,-,-,-,-,-,-,-,-,-,-,-,-
161,-,Does the  virus stay on clothing?,-,-,-,-,-,-,-,-,-,-,-,-,-
162,-,Do I need to stay away from my family members if we're all social distancing together in the house?,-,-,-,-,-,-,-,-,-,-,-,-,-
163,-,"Hello, I am social distancing and taking precautions, however I have to share a communal sink. I try to stay as safe as possible by cleaning it, but I have touched the knobs with my bare hands without thinking, can germs spread this way? Should I avoid the sink in general? Thank you! ",-,-,-,-,-,-,-,-,-,-,-,-,-
164,-,I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?,-,-,-,-,-,-,-,-,-,-,-,-,-
165,-,What are effective immunity boosters?,-,-,-,-,-,-,-,-,-,-,-,-,-
166,-,What was the total number of deaths before and after the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
167,-,When should I contact a doctor?,-,-,-,-,-,-,-,-,-,-,-,-,-
168,-,Were there documented cases before January 2020?,-,-,-,-,-,-,-,-,-,-,-,-,-
169,-,How long does the virus remain active and alive after attacking a human body?,-,-,-,-,-,-,-,-,-,-,-,-,-
170,-,Is staying at home mandatory?,-,-,-,-,-,-,-,-,-,-,-,-,-
171,-,What should I do if I start feeling sick with similar symptoms as in covid19?,-,-,-,-,-,-,-,-,-,-,-,-,-
172,-,Is it safe to give blood?,-,-,-,-,-,-,-,-,-,-,-,-,-
173,-,I have a sore throat. What do I do?,-,-,-,-,-,-,-,-,-,-,-,-,-
174,-,What is the risk for a pregnant women?,-,-,-,-,-,-,-,-,-,-,-,-,-
175,-,Can my cat get the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
176,-,When should I go to the ER?,-,-,-,-,-,-,-,-,-,-,-,-,-
177,-,What is the risk for an asthmatic ?,-,-,-,-,-,-,-,-,-,-,-,-,-
178,-,"I'm hot, what do I do?",-,-,-,-,-,-,-,-,-,-,-,-,-
179,-,Should I be worried about getting sick if the government does not lock down everything?,-,-,-,-,-,-,-,-,-,-,-,-,-
180,-,How fast will the pandemic spread in Canada?,-,-,-,-,-,-,-,-,-,-,-,-,-
181,-,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",-,-,-,-,-,-,-,-,-,-,-,-,-
182,-,how to prevent ?,-,-,-,-,-,-,-,-,-,-,-,-,-
183,-,what is self monitoring?,-,-,-,-,-,-,-,-,-,-,-,-,-
184,-,can I go outside,-,-,-,-,-,-,-,-,-,-,-,-,-
185,-,What should I use to disinfect grocery bags and grocery items? ,-,-,-,-,-,-,-,-,-,-,-,-,-
186,-,How much it's prevelent in Pakistan?,-,-,-,-,-,-,-,-,-,-,-,-,-
187,-,what is pandemic,-,-,-,-,-,-,-,-,-,-,-,-,-
188,-,"If you recover from the virus, can you still be a carrier ",-,-,-,-,-,-,-,-,-,-,-,-,-
189,-,"if someone had pneumonia before, are they more at risk?",-,-,-,-,-,-,-,-,-,-,-,-,-
190,-,I am in self isolation.   Is it ok to let in family members who must continue to go to work?,-,-,-,-,-,-,-,-,-,-,-,-,-
191,-,what is the risk for a pregnent woman ?,-,-,-,-,-,-,-,-,-,-,-,-,-
192,-,When will life get back to normal?,-,-,-,-,-,-,-,-,-,-,-,-,-
