,timestamp_est,anonymous_id,language,question,detected_lang,text,statistics,open,airborne,caution,viruslife,viruskill,virusfight,treatment,incubation,nextsteps,hospital,lockdown,infection,test,isolation,dangerisk,transmission,symptom,about,future,past,total,cluster
18,2020-03-19T14:06:17.831Z,f75ca552-9cf8-4f52-8151-25c0cea0a8b0,en,"I had an asthma attack when I was young, but didn't have an episode for over 15 years. Am I still at risk?",en,I had an asthma attack when I was young but didn t have an episode for over 15 years Am I still at risk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,dangerisk
19,2020-03-19T17:59:25.201Z,ce80a1dc-7cbd-4922-8b00-b491a17da62e,en,mental health,en,mental health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
27,2020-03-20T10:45:23.373Z,0e7ed3f5-c36e-4d36-a831-23abbb3f10f9,en,What are the symptoms? Is vomiting one of them ?,en,What are the symptoms Is vomiting one of them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
28,2020-03-20T10:06:50.556Z,267d9215-d7a2-49c7-b778-f9a0a0cbbdb2,en,"if i think i have it, should i got get tested",en,if i think i have it should i got get tested,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,test
31,2020-03-20T17:02:53.112Z,a061e1ea-7076-45c7-b063-fe37c9207e8f,en,is covid-19 dangerous,en,is covid 19 dangerous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,dangerisk
35,2020-03-20T15:24:19.841Z,aa2931e9-bac7-4345-9850-c975e8f3b69c,en,something something this is jared testing,en,something something this is jared testing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,test
36,2020-03-20T16:31:18.978Z,dc065361-3739-4ccb-b0ad-0bf81ee0da6a,en,What range is the fever at normally if COVID-19 suspected?,en,What range is the fever at normally if COVID 19 suspected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
42,2020-03-20T22:04:28.575Z,21839e4b-e5cd-4a69-ae87-58cb47db97eb,en,I got the flu two weeks ago and are getting symptoms again,en,I got the flu two weeks ago and are getting symptoms again,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
45,2020-03-21T11:32:09.913Z,470bcaef-ae5a-45ad-a380-b79ad65d42b8,en,Is it safe to go outside for a walk (social distancing from others)?,en,Is it safe to go outside for a walk social distancing from others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,isolation
51,2020-03-21T11:41:51.954Z,abaf5c73-4246-463f-acdb-8acc5b349dee,en,Should I stay home ?,en,Should I stay home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
52,2020-03-21T12:53:58.443Z,66c7bd79-e62c-428a-adac-f69fb087691c,en,is migraines a symptom?,en,is migraines a symptom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
61,2020-03-21T09:58:36.656Z,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,how can I prevent myself from getting sick?,en,how can I prevent myself from getting sick,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,caution
64,2020-03-21T09:58:36.672Z,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,Can I visit my parents?,en,Can I visit my parents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
65,2020-03-21T11:32:09.906Z,470bcaef-ae5a-45ad-a380-b79ad65d42b8,en,How often should i take my temperature?,en,How often should i take my temperature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
66,2020-03-21T12:16:29.001Z,cba04012-0cfb-430c-b660-4abeeeb1aa70,en,I have a headache and an itchy throat. Am I at risk? ,en,I have a headache and an itchy throat Am I at risk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,dangerisk
71,2020-03-21T11:51:21.207Z,5b925b2f-4861-464c-837c-d8656bedfdcc,en,How long does it last? ,en,How long does it last,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,future
74,2020-03-21T11:42:59.473Z,5fb9b2b2-2fd7-4f6a-811f-b96aaf99b279,en,Is it safe to order food during the COVID-19 pandemic?,en,Is it safe to order food during the COVID 19 pandemic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,caution
85,2020-03-21T09:45:35.457Z,fdb9ea21-a2c4-4562-b182-b28ff01f256b,en,How do I know if I have the corona virus,en,How do I know if I have the corona virus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
86,2020-03-21T11:06:23.73Z,92b082a8-7e8c-4f2e-81e1-ba052f1aaa86,en,I  take daily walks but keep a 6 ft distance when I talk to someone. Is that OK?,en,I take daily walks but keep a 6 ft distance when I talk to someone Is that OK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,lockdown
90,2020-03-21T09:45:35.493Z,fdb9ea21-a2c4-4562-b182-b28ff01f256b,en,How can I get tested if I'm asymptomatic?,en,How can I get tested if I m asymptomatic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,symptom
91,2020-03-21T02:07:43.764Z,db5a20f9-6ce4-4c89-9833-f4fa5bb70b98,en,Does eating Oranges daily help to fight this virus,en,Does eating Oranges daily help to fight this virus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,virusfight
92,2020-03-21T11:41:51.96Z,abaf5c73-4246-463f-acdb-8acc5b349dee,en,Where should I be tested ?,en,Where should I be tested,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,test
94,2020-03-21T09:10:27.241Z,7b743f72-9dea-4951-908a-24e873d76a34,en,What are the symptoms of COVID-19?,en,What are the symptoms of COVID 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
95,2020-03-21T11:51:21.22Z,5b925b2f-4861-464c-837c-d8656bedfdcc,en,How long before we are healed ,en,How long before we are healed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
98,2020-03-21T09:58:36.661Z,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,How do I treat coronavirus?,en,How do I treat coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
99,2020-03-21T09:58:36.672Z,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,Is it safe to travel to chicago?,en,Is it safe to travel to chicago,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,caution
100,2020-03-21T11:47:19.395Z,366a31ab-98bf-4466-b9f3-7b499ac6d75c,en,How many asymptomatic people are there likely to be?,en,How many asymptomatic people are there likely to be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
103,2020-03-21T09:58:36.66Z,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,When will it be ok to go outside?,en,When will it be ok to go outside,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,lockdown
104,2020-03-21T09:22:36.563Z,507092f6-fee4-47e3-89a1-39c932ac23ae,en,age wise statistics for covid-19,en,age wise statistics for covid 19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
105,2020-03-21T02:07:43.819Z,db5a20f9-6ce4-4c89-9833-f4fa5bb70b98,en,Does temperature has any effect on the virus,en,Does temperature has any effect on the virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
109,2020-03-21T08:52:33.554Z,04227e51-dd74-4104-9b40-f1be16f97eea,en,How long will it take to develop a vaccine ? ,en,How long will it take to develop a vaccine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,treatment
110,2020-03-21T09:45:35.478Z,fdb9ea21-a2c4-4562-b182-b28ff01f256b,en,How do I know when to get tested?,en,How do I know when to get tested,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,test
111,2020-03-21T12:03:39.463Z,0d1368ad-6269-497a-92be-bef48c314dcd,en,Are research fundings going to be cut as a result of the virus?,en,Are research fundings going to be cut as a result of the virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
116,2020-03-21T12:40:08.923Z,17a0efa7-9250-48eb-8b2e-32ea3f85abaf,en,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",en,Must the fever symptom related to COVID 19 be a continuous fever or is it possible that the fever is short lived,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,symptom
119,2020-03-21T14:17:50.653Z,a3b6c189-79f6-4af2-af92-db67168e987b,en,I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?,en,I have Hashimoto s hypothyroiditis Am I more at risk I also had a PE due to Fv leiden and oral contraceptives in 2001 what do you recommend I do,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,dangerisk
121,2020-03-21T16:15:49.232Z,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Is there a cure for corona virus?,en,Is there a cure for corona virus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,treatment
123,2020-03-21T16:15:49.306Z,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Are young people susceptible to corona virus?,en,Are young people susceptible to corona virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
129,2020-03-21T16:15:49.262Z,3eb07cc6-e9a7-40d0-9609-553a07823637,en,How do I know if I have been infected?,en,How do I know if I have been infected,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,infection
133,2020-03-21T13:15:29.882Z,00e8ad36-3dc4-4908-98bb-c348d51ec7e3,en,How does COVID-19 affect asymptomatic people's lungs? ,en,How does COVID 19 affect asymptomatic people s lungs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
134,2020-03-21T16:24:13.235Z,95b95e68-cea1-456f-9120-aefd7834c5e1,en,What about the researches with respect to treatment of COVID-19,en,What about the researches with respect to treatment of COVID 19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,treatment
145,2020-03-21T16:15:49.22Z,3eb07cc6-e9a7-40d0-9609-553a07823637,en,What's corona virus?,en,What s corona virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,about
147,2020-03-21T16:41:57.517Z,8c2be3c5-7e39-4cb6-ae74-5c0aff539ab4,de,What are the Symptome ,en,What are the Symptome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
150,2020-03-21T12:53:58.382Z,66c7bd79-e62c-428a-adac-f69fb087691c,en,what is going to happen to us?,en,what is going to happen to us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
155,2020-03-21T16:15:49.283Z,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Should I go to the ER or my physician directly if I'm infected?,en,Should I go to the ER or my physician directly if I m infected,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,infection
156,2020-03-21T16:36:51.5Z,6147e278-3c26-40e4-a016-b18f494c03a3,en,what are the symptoms of covid-19 by day of infection?,en,what are the symptoms of covid 19 by day of infection,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,symptom
157,2020-03-21T15:45:37.156Z,149bd5f4-019c-4141-9c95-84d4f10bc2f8,en,How long does the virus remain on a surface?,en,How long does the virus remain on a surface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
158,2020-03-21T16:35:48.448Z,461b0490-15e2-4780-a3cf-cc24c5029b2b,en,Can you catch covid 19 after having had it before ,en,Can you catch covid 19 after having had it before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
159,2020-03-21T15:15:40.593Z,7ff9c658-7ae1-4e9c-941e-80187cb1c7f0,en,what is coronavirus,en,what is coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,about
162,2020-03-21T15:48:29.999Z,291fcd60-0f53-4d6a-bff3-086b6f753267,en,What are the coronavirus symptoms?,en,What are the coronavirus symptoms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
164,2020-03-21T13:34:43.669Z,16c1484f-fcfa-4d3f-979a-d4b728b69bd0,en,What should i do if i am short of breath?,en,What should i do if i am short of breath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
173,2020-03-21T12:53:58.397Z,66c7bd79-e62c-428a-adac-f69fb087691c,en,when will the pandemic end?,en,when will the pandemic end,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,future
176,2020-03-21T14:32:23.113Z,3759c119-2722-46b9-b513-acbdcc5e6e95,en,My throat seems to burn a little. Should i be worried ?,en,My throat seems to burn a little Should i be worried,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
179,2020-03-21T16:38:20.457Z,d2bf053f-2512-4f30-aab6-cf74894dc3c2,it,Is the Asymptomatic Carrier a temporary status? ,en,Is the Asymptomatic Carrier a temporary status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
180,2020-03-21T23:34:33.238Z,a26511f8-07a7-4e76-a246-c4c22f5f7f04,fr,Non,en,Non,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
182,2020-03-21T15:48:30.015Z,291fcd60-0f53-4d6a-bff3-086b6f753267,en,Is it OK I go out for a walk alone?,en,Is it OK I go out for a walk alone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,lockdown
183,2020-03-21T12:53:58.418Z,66c7bd79-e62c-428a-adac-f69fb087691c,en,will governments learn from this?,en,will governments learn from this,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
184,2020-03-21T16:03:27.615Z,1ec981b1-26fc-4ae7-a416-a8c4bc026179,en,I am coughing so you think I have Coronavirus?,en,I am coughing so you think I have Coronavirus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
189,2020-03-21T16:52:42.242Z,3d8b0fe1-ac29-4c02-acab-a4834608a0a4,en,What are the risks for a person between 20 and 40 years old with asthma?,en,What are the risks for a person between 20 and 40 years old with asthma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,dangerisk
191,2020-03-21T16:15:49.323Z,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Where can I find most up to date numbers on cases and deaths?,en,Where can I find most up to date numbers on cases and deaths,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
192,2020-03-21T16:38:04.707Z,9a87c6dd-9939-4070-a0d9-da7f66683eb6,en,Is there an estimate as to how long the crisis will last?,en,Is there an estimate as to how long the crisis will last,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,future
194,2020-03-21T15:35:50.242Z,0ad487b2-a4ae-4137-a487-831f7af8827b,en,Is it true that warm kills Coronavirus?,en,Is it true that warm kills Coronavirus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,viruskill
195,2020-03-21T12:40:08.985Z,17a0efa7-9250-48eb-8b2e-32ea3f85abaf,en,Does everyone that contracts the virus show symptoms? Or will only certain people show symptoms?,en,Does everyone that contracts the virus show symptoms Or will only certain people show symptoms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,symptom
196,2020-03-21T14:32:43.504Z,b95e3026-d4c2-4c4a-b45f-6cd16c5be92c,en,Should I use NSAIDs?,en,Should I use NSAIDs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
198,2020-03-21T16:25:16.658Z,52ea60bd-df60-4c3b-a5f7-e63292fe95b7,en,How to know if I get COVID-19 or not?,en,How to know if I get COVID 19 or not,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
200,2020-03-21T14:52:39.608Z,e56d5bdd-fa1a-48c7-b116-92433e45b833,en,what are the symptoms of coronavirus,en,what are the symptoms of coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
202,2020-03-21T16:36:06.675Z,107eeb57-8b1f-481e-aff5-8ce87b1cea8a,en,When will primary schools start?,en,When will primary schools start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
204,2020-03-21T14:43:01.383Z,968f3919-1f56-4eca-a8b2-ed64cdffdf79,en,Is it true that you can get the virus again even after you've recovered ,en,Is it true that you can get the virus again even after you ve recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
206,2020-03-21T15:21:17.573Z,4d0285a2-b934-4449-ab6e-97b075642497,en,Does covid-19 spread in tropical conditions?,en,Does covid 19 spread in tropical conditions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,transmission
208,2020-03-21T14:45:18.753Z,22acb4b7-fe15-46a8-bff8-109707707762,en,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,en,I would like clarifications about the fact that test results don t work if you don t have symptoms That does not seem like a commonality we usually see with tests like this,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,symptom
210,2020-03-21T15:36:44.628Z,65485caa-ddf9-4d7e-9988-479f9331cc49,en,how many death in italy?,en,how many death in italy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
216,2020-03-21T16:35:40.321Z,13b9248d-7ba2-4a4c-9fd7-f1c59dcce95f,en,is china responsible for the spreading of COVID-19?,en,is china responsible for the spreading of COVID 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,transmission
217,2020-03-21T12:16:29.006Z,cba04012-0cfb-430c-b660-4abeeeb1aa70,en,What are the symptoms of the Corina virus? ,en,What are the symptoms of the Corina virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
218,2020-03-21T16:15:49.242Z,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Is there a vaccine for corona virus?,en,Is there a vaccine for corona virus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,treatment
220,2020-03-21T13:34:43.676Z,16c1484f-fcfa-4d3f-979a-d4b728b69bd0,en,How do I distinguish between the flu and coronavirus?,en,How do I distinguish between the flu and coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
221,2020-03-21T16:03:27.644Z,1ec981b1-26fc-4ae7-a416-a8c4bc026179,en,Can a 5 year old get Coronavirus?,en,Can a 5 year old get Coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
222,2020-03-21T15:48:29.983Z,291fcd60-0f53-4d6a-bff3-086b6f753267,en,"I have temperature, what should I do?",en,I have temperature what should I do,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
224,2020-03-21T14:32:43.5Z,b95e3026-d4c2-4c4a-b45f-6cd16c5be92c,en,Should I use asprin with I have the coronavirus?,en,Should I use asprin with I have the coronavirus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
225,2020-03-21T16:15:49.313Z,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Do I need a mask?,en,Do I need a mask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
226,2020-03-21T16:36:06.691Z,107eeb57-8b1f-481e-aff5-8ce87b1cea8a,en,How long will social distancing measures last?,en,How long will social distancing measures last,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,future
227,2020-03-21T12:53:58.425Z,66c7bd79-e62c-428a-adac-f69fb087691c,en,could we have done better?,en,could we have done better,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
232,2020-03-21T12:53:58.407Z,66c7bd79-e62c-428a-adac-f69fb087691c,en,will the virus continue to spread for a long time?,en,will the virus continue to spread for a long time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,transmission
233,2020-03-21T14:02:25.519Z,0f20ee6c-0cac-4d0d-880d-1a2a6c87d96d,en,Do the symptoms start suddenly or they progress slowly from one day to another? ,en,Do the symptoms start suddenly or they progress slowly from one day to another,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
235,2020-03-21T14:35:52.181Z,d50f1adb-49c7-42f9-a178-393f2ef34076,en,When should I visit a doctor?,en,When should I visit a doctor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
239,2020-03-21T12:16:29.044Z,cba04012-0cfb-430c-b660-4abeeeb1aa70,en,What are are my chances of dying if I have the covid 19 virus? ,en,What are are my chances of dying if I have the covid 19 virus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,nextsteps
250,2020-03-21T12:57:22.989Z,eb19b3ff-6d90-4eb8-9062-b81684bedfcf,en,What medication is recommended if I contract covid-19?,en,What medication is recommended if I contract covid 19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,transmission
252,2020-03-21T16:15:49.274Z,3eb07cc6-e9a7-40d0-9609-553a07823637,en,What do I do if I suspect I'm infected?,en,What do I do if I suspect I m infected,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infection
255,2020-03-21T16:38:20.454Z,d2bf053f-2512-4f30-aab6-cf74894dc3c2,it,What is an Asymptomatic Carrier?,en,What is an Asymptomatic Carrier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,symptom
257,2020-03-21T15:39:44.891Z,f69128f8-e521-4880-83c2-76ca35c46d38,en,Can drinking alcohol helps COVID19? ,en,Can drinking alcohol helps COVID19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unclassified
261,2020-03-21T16:39:35.601Z,5bbdba4b-0188-4e6b-bc7b-4ffcacdc0732,en,I have asthma. How at risk am I about the possibility of complications?,en,I have asthma How at risk am I about the possibility of complications,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,dangerisk
262,2020-03-21T15:36:44.629Z,65485caa-ddf9-4d7e-9988-479f9331cc49,en,How many cases in Montreal?,en,How many cases in Montreal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,statistics
