,question,ahc_label,cluster
156,Does temperature has any effect on the virus,1,unclassified
90,Is it true that warm kills Coronavirus,1,unclassified
578,Is the virus airborne,1,unclassified
656,How contagious is the virus,1,unclassified
190,Will the virus affect my sexual ability,1,unclassified
162,How is covid transmitted,1,unclassified
682,Is the phlegm color suggestive of coronavirus,1,unclassified
221,Can anti viral drugs be used to treat the coronavirus,1,unclassified
197,How deadly is the virus,1,unclassified
551,Is the virus deadly,1,unclassified
670,how painful will it be if I got the virus,1,unclassified
25,Do we see a future where this virus won t be such a threat anymore,1,unclassified
661,Is it safe to take a walk outside with my child,2,unclassified
102,How often should i take my temperature,2,unclassified
460,What measures can I take if someone I know is effected with the virus,2,unclassified
447,How long will it take for a vaccine to be produced,2,unclassified
311,How long does it take to recover,2,unclassified
257,If I fully recover from COVID 19 would I still be considered a carrier and transmit the virus,2,unclassified
347,how long would it take for the virus to disappear,2,unclassified
143,Is it true that you can get the virus again even after you ve recovered,2,unclassified
624,How does it take to recover from the virus,2,unclassified
378,If you recover from the virus can you still be a carrier,2,unclassified
303,What precautions should I take with things delivered at home,2,unclassified
261,Should I take the metro,2,unclassified
514,Is there any medication to take to help,2,unclassified
420,How long will it take to develop a vaccine,2,unclassified
416,How long does it take an average person to recover,2,unclassified
577,How long does it take to recover,2,unclassified
440,If you contract COVID 19 how do you treat yourself at home,3,unclassified
74,Will herd immunity be the only means of eradicating COVID 19,3,unclassified
375,Is COVID 19 air borne,3,unclassified
73,Impact of covid,3,unclassified
35,Can the Covid survive in the air,3,unclassified
645,Does covid transfer through air,3,unclassified
50,Is itchy throat sign of covid 19,3,unclassified
92,How does COVID 19 kill its victims,3,unclassified
116,How long could the virus stay alive on doorknobs traffic signal buttons stair rails,3,unclassified
176,How does COVID 19 affect lungs And how do you see this pandemic will impact the world s economy,3,unclassified
251,how much does corona virus stay on each kind of surfaces,3,unclassified
254,How long does the virus stay in paper money and coins,3,unclassified
255,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID 19,3,unclassified
216,Is it safe to order food during the COVID 19 pandemic,3,unclassified
542,What places of laval has covid 19,3,unclassified
545,It would possible to predict the time of this pandemic,3,unclassified
500,Infomation about covid,3,unclassified
392,Can you smoke cannabis during Covid,3,unclassified
180,How can I differ between covid and normal flu,3,unclassified
495,How do i knew if i got covid,3,unclassified
173,age wise statistics for covid 19,3,unclassified
389,Will the pandemic affect university research,3,unclassified
490,Define covid 18,3,unclassified
483,Would using heated vapor humidifier help with sanitizing the sinuses of the covid 19,3,unclassified
591,Should I be moving house during a pandemic,3,unclassified
479,Is there more than one strain of COVID 19,3,unclassified
135,Can COVID 19 stay alive on fresh fruit and vegetables,3,unclassified
133,Is it true that COVID 19 can survive up to a few days on hard surfaces,3,unclassified
127,How about covid situations,3,unclassified
115,How can I make sure I am buying from grocery is safe from COVID 19,3,unclassified
600,What are the side effects of hydroxychloroquine for treating COVID 19,3,unclassified
329,How should I keep my family safe during covid 19,3,unclassified
292,My head hurts my body aches a little and I feel a cold coming How do I know if this is Covid 19 or just an ordinary cold,3,unclassified
617,how many people positive with Covid 19 in the world,4,unclassified
664,Can you die from contracting covid,4,unclassified
445,how many people die for cover,4,unclassified
683,how many people related covid 19,4,unclassified
612,how many case positive with COVID 19,4,unclassified
345,Can I die from Covid 19,4,unclassified
238,How many people have it in my town,4,unclassified
21,How many people have dies,4,unclassified
101,how many people positive result with COVID 19,4,unclassified
380,In how many days can covid be cured,4,unclassified
231,how many people in America,4,unclassified
186,how to protect myself from it,5,unclassified
672,How can I protect myself,5,unclassified
291,what kind of protective gear do i need to wear,5,unclassified
663,What can we do to protect ourselves from COVID 19,5,unclassified
270,How can I protect myself from the covid 19,5,unclassified
108,How to protect my family from COVID 19,5,unclassified
178,How to protect myself on a plane,5,unclassified
203,Is it useful to wear a mask if we are not sick,6,unclassified
387,When will life get back to normal,6,unclassified
391,Can you get the virus twice,6,unclassified
350,Should I be worried about getting sick if the government does not lock down everything,6,unclassified
242,Will it get better in summer with higher temperatures,6,unclassified
263,Is it safe to get a new job that deals with the public,6,unclassified
341,Can my cat get the virus,6,unclassified
486,Why does the government think that we don t need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks regardless if they are sick or not,6,unclassified
209,Are there any federal or provincial services to help senior citizens get grocery safely,6,unclassified
171,Does a mask actually help if I m not sick,6,unclassified
144,I think I m sick,6,unclassified
72,Can I get the virus from a stray cat,6,unclassified
673,Does eating Oranges daily help to fight this virus,6,unclassified
24,Will the heat of the summer help fighting the virus,6,unclassified
649,Does Wearing gloves help,6,unclassified
150,Do I need a mask,6,unclassified
616,What should I buy from the stores now that I feel sick,6,unclassified
464,If I catch the virus will I be immune from getting it again,6,unclassified
96,Should I wear mask,6,unclassified
100,where can I help,6,unclassified
366,How long will I be sick if I get the virus,6,unclassified
113,What are the best food to get good immune,6,unclassified
639,How is the corona virus being spread,7,unclassified
641,How much the quarantine process has a positive impact on reducing contamination spread,7,unclassified
56,How does it spread,7,unclassified
570,When will it stop spreading Is 2 weeks enough,7,unclassified
482,How long has the virus been spreading in Canada,7,unclassified
615,How to prevent the spread of COVID 19,7,unclassified
308,Is there a different varient of virus which is spreading across the world,7,unclassified
3,Does the virus spread by rain,7,unclassified
449,how to prepare for spread of covid 19,7,unclassified
353,is china responsible for the spreading of COVID 19,7,unclassified
351,How fast will the pandemic spread in Canada,7,unclassified
414,Does COVID 19 spread by means of gametes,7,unclassified
566,Is there a treatment for corona virus,8,unclassified
581,How long before we have a vaccine for corona,8,unclassified
136,Hello what happens after corona,8,unclassified
418,how to know that somebody have a corona,8,unclassified
618,When is the vaccine available,8,unclassified
275,Why is it called Corona virus,8,unclassified
402,Does the fever persists in corona,8,unclassified
40,Is there a vaccine for corona virus,8,unclassified
546,How many Canadians currently have corona virus,8,unclassified
434,What the different between corona and COVID_19,8,unclassified
475,Corona virus characteristics,8,unclassified
681,Is there a vaccine for corona virus,8,unclassified
481,is there a new form of corona virus,8,unclassified
468,what is my level of risk,9,unclassified
6,What mesures needs to take a pregnant women to reduce the risk,9,unclassified
107,Who is at risk,9,unclassified
385,what is the risk for a pregnent woman,9,unclassified
343,What is the risk for an asthmatic,9,unclassified
301,what are the risks for someone aged 65,9,unclassified
85,who is at risk of dying after contracting the virus,9,unclassified
294,Who is most at risk,9,unclassified
381,if someone had pneumonia before are they more at risk,9,unclassified
340,What is the risk for a pregnant women,9,unclassified
396,Are there any risk for the foetus,9,unclassified
352,What are the risks for people with diabetes,9,unclassified
337,is covid 19 dangerous,10,unclassified
643,Why corona is so dangerous,10,unclassified
667,How dangerous is the COV 19,10,unclassified
179,Is covid very dangerous,10,unclassified
563,Is it dangerous to go for a walk,10,unclassified
653,is it dangerous to travel,10,unclassified
283,How dangerous it is for pregnant womens,10,unclassified
400,What do I do if someone with COVID 19 spotted,11,unclassified
583,Why is called COVID 19,11,unclassified
676,should I worry about covid 19,11,unclassified
139,I cough is it Covid 19,11,unclassified
365,My brother has COVID 19 What to do,11,unclassified
419,How can i cure covid 19,11,unclassified
668,How does covid 19 feel,11,unclassified
604,COVID 19 stands for what,11,unclassified
613,Once you are cured from Covid 19 can you catch it again,11,unclassified
421,What COVID 19 stands for,11,unclassified
610,How to know if I get COVID 19 or not,11,unclassified
157,what do you know about COVID 19,11,unclassified
684,How COVID 19 is infecting,11,unclassified
235,How Covid 19 started,11,unclassified
485,What colour is covid 19,11,unclassified
293,Where did COVID 19 come from,11,unclassified
268,Can you catch covid 19 after having had it before,11,unclassified
666,How to stay safe,12,unclassified
671,Should I stay home,12,unclassified
484,Shall we stay where we are or travel to our home country,12,unclassified
26,Do the virus stay in air,12,unclassified
328,Is staying at home mandatory,12,unclassified
317,Does the virus stay on clothing,12,unclassified
403,How long can the virus stay in the air,12,unclassified
305,How long is the treatment,13,unclassified
53,When will the treatment be available for this pandemic,13,unclassified
166,I heard hydroxychloroquine is a good treatment for COVID 19 Where can I get it,13,unclassified
386,treatment for covid 19,13,unclassified
597,What about the researches with respect to treatment of COVID 19,13,unclassified
192,When will the cure be available,13,unclassified
476,what treatments are available for covid 19,13,unclassified
78,Should I star home and even avoid going to the supermarket and drugstore,14,unclassified
94,Where should I go,14,unclassified
342,When should I go to the ER,14,unclassified
46,Are we going to have trouble buying milk,14,unclassified
621,how much fever should i tolerate before going to the doctor,14,unclassified
228,When will it be ok to go outside,14,unclassified
439,Is it ok to go outside to get fresh air,14,unclassified
34,how is going,14,unclassified
64,Am I allowed to go for a walk,14,unclassified
169,Are research fundings going to be cut as a result of the virus,14,unclassified
60,when covid 19 is going to stop,14,unclassified
38,Will Covid19 go away like the 1918 influenza and SARS did,14,unclassified
539,When will covid end,15,unclassified
289,When this will ever end,15,unclassified
373,what is pandemic,15,unclassified
114,when is this pandemic going to end,15,unclassified
208,When will this end,15,unclassified
196,when will the pandemic end,15,unclassified
430,When will the pandemic end,15,unclassified
487,How long does COVID 19 live on glass surfaces,16,unclassified
384,How long does the virus survive on a surface like a doorknob,16,unclassified
327,How long does the virus remain active and alive after attacking a human body,16,unclassified
399,Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide instead of scrambling or ordering these last minute and also have enough hospitals built because if we don t do that we ll have to do what China did and build a hospital at the last minute,16,unclassified
184,I d love to know how long I can be contagious,16,unclassified
467,How long can the virus live,16,unclassified
59,How long are you contagious if you have Coronavirus,16,unclassified
561,How long do you think we will have to be in a lockdown,16,unclassified
555,I had a bronchitis last month and I m still having trouble with my breathing a month later but I don t have a fever Could it be corona virus,16,unclassified
438,how long does COVID 19 virus lasts in the body,16,unclassified
219,I feel heaviness in my chest nothing else from last 2 week,16,unclassified
260,How long am I infectious for,16,unclassified
277,How long can the covid 19 survive outside the body,16,unclassified
239,How long does the virus live on clothes,16,unclassified
548,Is there an estimate as to how long the crisis will last,17,unclassified
214,How long does it last,17,unclassified
372,How long will it last,17,unclassified
406,How long the sickens last m,17,unclassified
633,How long is this expected to last,17,unclassified
501,How long will the pandemic last,17,unclassified
188,Covid,18,unclassified
147,Covid 19,18,unclassified
589,Covid 19,18,unclassified
360,Why Covid 19,18,unclassified
457,About COVID 19,18,unclassified
76,how is covid 19 spread,19,unclassified
376,How does Covid 19 spread,19,unclassified
79,How does COVID 19 spread,19,unclassified
