,cluster_#0,cluster_#1,cluster_#2,cluster_#3,cluster_#4,cluster_#5,cluster_#6,cluster_#7,cluster_#8,cluster_#9,cluster_#10,cluster_#11,cluster_#12,cluster_#13
13,Do we see a future where this virus won't be such a threat anymore? ,What are the Symptome ,What to do when i gave cough,What should I do if I start feeling sick with similar symptoms as in covid19?,Corona virus characteristics,How many cases in Montreal ,What's the difference between COVID-19 and CoronaVirus?,how to know that somebody have a corona,How long will it take for a vaccine to be produced?,Does everyone infected need a respirator?,-,-,what is covid-19 ?,How many people died in NYC
14,Do the virus stay in air?,What are the symptoms of COVID-19?,I have shortness of breath but no fever,What is covid19?,is there a new form of corona virus?,How many cases in Quebec ,What is the half-life of coronavirus?,"What measures can I take, if someone I know is effected with the virus",How long will social distancing measures last?,Do I have to wear a mask all the time if I am not infected?,-,-,What is COVID-19,How many people died in Belgium?
15,Non,what are the symptoms of covid-19,What should I do if I start coughing?,Who can I make the difference between a cold and covid19?,can you please tell me symptoms of corona virus?,How many days should I isolate for,"What are differences in term of symptoms between the new coronavirus and normal flu, cod",How do I know I have covid?,How long does COVID-19 live on glass surfaces?,Can I get infected after I healed from it?,-,-,What is Covid-19 virus?),how many people have died
16,what are the syptoms?,What are the symptoms of COVID-19?,"I’ve have mild cough and not the continuous one. And symptoms of fever like burning eyes, but not the temperature. What do I do?","What are the daily death rates in Italy, that are Not from COVID19?",How many Canadians currently have corona virus?,How many cases of covid in laval,Should I use asprin with I have the coronavirus?,How do I know if I have been infected?,How long does it takes to get first symptom of Covid-19 ,How many people are infected in toronto,-,-,Why Covid 19?,how many people positive with Covid-19 in the world?
17,Why Germany has a low death rate?,What are the symptoms of Covid-19?,"I have a fever, what should I do now?",What are the Symptom for covid19,Is there a treatment for corona virus?,In how many days can covid be cured? ,"I was in contact with a person who had coronavirus, what should I do? ",How to know if I get COVID-19 or not?,How long will the pandemic last?,"What are the demographics of people infected, hospitalized and deceased in Quebec, ",-,-,what is covid 19,how many people died so far?
18,how is going,Symptom,What should i do if i am short of breath?,Is Covid19 an airborne? ,what should I do if I think I infected by corona virus?,How many death in Quebec?,how long people live after being infected by coronavirus,-,Is there an estimate as to how long the crisis will last?,Get I get infected from a dog?,-,-,What is Covid 19,Can you die from contracting covid?
19,Can the Covid survive in the air?,what is the symptoms?,I had a bronchitis last month and I'm still having trouble with my breathing a month later but I don't have a fever. Could it be corona virus?,What are the confirmed symptoms of COVID19,How long before we have a vaccine for corona? ,Number of cases in Inida,What is the main symptoms of the disease related to new coronavirus,-,How long do you think we will have to be in a lockdown ,Can antibiotics deal with viral infection?,-,-,What is covid-19?,how many people related covid-19
20,Does covid-19 test anonymous?,symptoms of covid-19,I'm feeling dizzy with fever do I have corona? ,Covid19,What are the symptoms of corona virus,How many cases are in spain ?,what are the symptoms of coronavirus,-,How long does it take to recover?,Is it possible to be infected again?,-,-,What is COVID 19,-
21,What kind of medication can I take if I have the virus ?,what are covid-19 symptoms?,how much fever should i tolerate before going to the doctor? ,I have a sore throat. Is that a sign of Covid19?,What are the symptoms I should feel if I am infected with Corona virus?,how many death now,How do I distinguish between the flu and coronavirus?,-,"If I have covid-19, how long will I be contagious?",Can I get infected from food or grocery delivery?,-,-,About COVID-19,-
22,Are there still flights within Canada?,what are covid symptoms,"should I call to find out more, it’s the coughing and difficulty breathing and fatigue that worries me",-,How is the corona virus being spread,How many cases in Canada now ? ,What should I do if I have Coronavirus symptoms?,-,How long is this expected to last?,How to take care of infected people ,-,-,What is COVID-19?,-
23,Does a throat feel itchy or really sore and a symptom ,What are the symptoms?,-,-,Why corona is so dangerous ,how many new cases,what is coronavirus,-,How long after testing do you receive your COVID-19 results? ,"If someone was infected once, can they be reinfected? Can they still carry the virus and infect others?",-,-,what is covid-19,-
24,Precautions to measure? ,What are the symptoms of COVID-19,-,-,What is corona,how many case positive with COVID-19 ?,Is the phlegm color suggestive of coronavirus? ,-,How long do the symptoms of COVID-19 last for?,"Does Pneumonia vaccine, which is for a bacterial infections, helps the immune system to deal with the viral infection of Covid-19 more easily? By removing the possibility of bacterial infection and just focusing on viral infection!",-,-,Do I have covid?,-
25,"If I’m sneezing, should I get tested for corona virus?",What are the symptoms,-,-,What is corona,How many cases of coronavirus in Madagascar,-,-,-,Can I get the virus from breathing infected airborn particules,-,-,What is covid-19?,-
26,Are we going to have trouble buying milk? ,What are the symptoms,-,-,Is there a vaccine for corona virus?,How many days does it take to see the symptoms,-,-,-,How covid-19 virus infected?,-,-,What is COVID-19?,-
27,Is headache a symptom of this pandemic? ,-,-,-,-,-,-,-,-,From the infected worldwide population what will be the ratio of asymptomatic people,-,-,what is covid-19,-
28,How much longer will society need to socially isolate?,-,-,-,-,-,-,-,-,How COVID-19 is infecting?,-,-,Covid-19,-
29,Is itchy throat sign of covid 19,-,-,-,-,-,-,-,-,-,-,-,What’s COVID-19?,-
30,Where are the testing centers located in Mtl?,-,-,-,-,-,-,-,-,-,-,-,-,-
31,mental health,-,-,-,-,-,-,-,-,-,-,-,-,-
32,When will the treatment be available for this pandemic?,-,-,-,-,-,-,-,-,-,-,-,-,-
33,which hospital takes the test for covid 19?,-,-,-,-,-,-,-,-,-,-,-,-,-
34,How does it spread ?,-,-,-,-,-,-,-,-,-,-,-,-,-
35,What are the symptoms of vivid 19?,-,-,-,-,-,-,-,-,-,-,-,-,-
36,when covid 19 is going to stop?,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Chlono,-,-,-,-,-,-,-,-,-,-,-,-,-
38,if my tempreture is over 39 can i assume that i have covid-19 ?,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Am I allowed to go for a walk?,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Where can we find ventilator?,-,-,-,-,-,-,-,-,-,-,-,-,-
41,"As of today, can we gather only 2",-,-,-,-,-,-,-,-,-,-,-,-,-
42,what are the conditions under which people are most likely to develop complications versus those who won’t?  ,-,-,-,-,-,-,-,-,-,-,-,-,-
43,What is a vaccin becoming available?,-,-,-,-,-,-,-,-,-,-,-,-,-
44,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobey’s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way. ,-,-,-,-,-,-,-,-,-,-,-,-,-
45,Can I get the virus from a stray cat?,-,-,-,-,-,-,-,-,-,-,-,-,-
46,Impact of covid,-,-,-,-,-,-,-,-,-,-,-,-,-
47,Will herd immunity be the only means of eradicating COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
48,how is covid 19 spread?,-,-,-,-,-,-,-,-,-,-,-,-,-
49,Should I star home and even avoid going to the supermarket and drugstore?,-,-,-,-,-,-,-,-,-,-,-,-,-
50,How does COVID-19 spread?,-,-,-,-,-,-,-,-,-,-,-,-,-
51,"In the U.S., why has the Defense Production Act not been invoked to allow weekly (?) testing of every single person present in The United States?  Yes, this is on the scale of industrialization of the WW2 era, and yes, that is *exactly* what the Defense Production Act is for.",-,-,-,-,-,-,-,-,-,-,-,-,-
52,Is the test covered in in CIHIP?,-,-,-,-,-,-,-,-,-,-,-,-,-
53,Will social distancing slow the spread of covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
54,What's the point of asking you questions if you don't have answers,-,-,-,-,-,-,-,-,-,-,-,-,-
55,why is my dick so big,-,-,-,-,-,-,-,-,-,-,-,-,-
56,Why are death rates so different across countries?,-,-,-,-,-,-,-,-,-,-,-,-,-
57,How does COVID-19 kill its victims?,-,-,-,-,-,-,-,-,-,-,-,-,-
58,I am 43. What’s the chance of my survival if I get covid. ,-,-,-,-,-,-,-,-,-,-,-,-,-
59,Where should I go?,-,-,-,-,-,-,-,-,-,-,-,-,-
60,Should I wear mask,-,-,-,-,-,-,-,-,-,-,-,-,-
61,What are the most common symptoms of COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
62,where can I help?,-,-,-,-,-,-,-,-,-,-,-,-,-
63,How often should i take my temperature?,-,-,-,-,-,-,-,-,-,-,-,-,-
64,What is the advice surrounding outdoor exercise/sport?,-,-,-,-,-,-,-,-,-,-,-,-,-
65,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,-,-,-,-,-,-,-,-,-,-,-,-,-
66,is the grocery open?,-,-,-,-,-,-,-,-,-,-,-,-,-
67,Who is at risk?,-,-,-,-,-,-,-,-,-,-,-,-,-
68,How to protect my family from COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
69,is coughing phlem a symptom?,-,-,-,-,-,-,-,-,-,-,-,-,-
70,What are the best food to get good immune ,-,-,-,-,-,-,-,-,-,-,-,-,-
71,when is this pandemic going to end?,-,-,-,-,-,-,-,-,-,-,-,-,-
72,"How can I make sure, I am buying from grocery is safe from COVID-19 ",-,-,-,-,-,-,-,-,-,-,-,-,-
73,"How long could the virus stay alive on doorknobs, traffic signal buttons, stair rails?",-,-,-,-,-,-,-,-,-,-,-,-,-
74,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,-,-,-,-,-,-,-,-,-,-,-,-,-
75,good morning,-,-,-,-,-,-,-,-,-,-,-,-,-
76,What are the main synptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
77,what is canada's situation right now?,-,-,-,-,-,-,-,-,-,-,-,-,-
78,How about covid situations? ,-,-,-,-,-,-,-,-,-,-,-,-,-
79,When should I visit a doctor?,-,-,-,-,-,-,-,-,-,-,-,-,-
80,"Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country, rich or poor, and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads?",-,-,-,-,-,-,-,-,-,-,-,-,-
81,Is it true that COVID-19 can survive up to a few days on hard surfaces?,-,-,-,-,-,-,-,-,-,-,-,-,-
82,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days?,-,-,-,-,-,-,-,-,-,-,-,-,-
83,Can COVID-19 stay alive on fresh fruit and vegetables?,-,-,-,-,-,-,-,-,-,-,-,-,-
84,I have throat ,-,-,-,-,-,-,-,-,-,-,-,-,-
85,I worry for my mental health during quarantine,-,-,-,-,-,-,-,-,-,-,-,-,-
86,I cough. is it Covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
87,When will the schools reopen?,-,-,-,-,-,-,-,-,-,-,-,-,-
88,Is it true that you can get the virus again even after you've recovered ,-,-,-,-,-,-,-,-,-,-,-,-,-
89,I think I’m sick,-,-,-,-,-,-,-,-,-,-,-,-,-
90,My  father is 80 years and food is delivered to him daily. Can food containers and food itself be contaminated by COVID,-,-,-,-,-,-,-,-,-,-,-,-,-
91,When do I expect to hear back from you? ,-,-,-,-,-,-,-,-,-,-,-,-,-
92,Do I need a mask?,-,-,-,-,-,-,-,-,-,-,-,-,-
93,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,-,-,-,-,-,-,-,-,-,-,-,-,-
94,How severe is the virus? ,-,-,-,-,-,-,-,-,-,-,-,-,-
95,When will be done?,-,-,-,-,-,-,-,-,-,-,-,-,-
96,Does temperature has any effect on the virus,-,-,-,-,-,-,-,-,-,-,-,-,-
97,what are the main symptoms,-,-,-,-,-,-,-,-,-,-,-,-,-
98,Why is Trudeau asleep?,-,-,-,-,-,-,-,-,-,-,-,-,-
99,Will the groceries shut down?,-,-,-,-,-,-,-,-,-,-,-,-,-
100,How is covid transmitted?,-,-,-,-,-,-,-,-,-,-,-,-,-
101,Is ACE Inhibitor harmful ,-,-,-,-,-,-,-,-,-,-,-,-,-
102,I heard hydroxychloroquine is a good treatment for COVID-19. Where can I get it?,-,-,-,-,-,-,-,-,-,-,-,-,-
103,Do I need to disinfect things I buy like groceries and supplies?,-,-,-,-,-,-,-,-,-,-,-,-,-
104,should I go to the hospital?,-,-,-,-,-,-,-,-,-,-,-,-,-
105,Are research fundings going to be cut as a result of the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
106,Does a mask actually help if I'm not sick?,-,-,-,-,-,-,-,-,-,-,-,-,-
107,age wise statistics for covid-19,-,-,-,-,-,-,-,-,-,-,-,-,-
108,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,-,-,-,-,-,-,-,-,-,-,-,-,-
109,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,-,-,-,-,-,-,-,-,-,-,-,-,-
110,How to protect myself on a plane,-,-,-,-,-,-,-,-,-,-,-,-,-
111,Is covid very dangerous,-,-,-,-,-,-,-,-,-,-,-,-,-
112,How can I differ between covid and normal flu ?,-,-,-,-,-,-,-,-,-,-,-,-,-
113,Will there be any changes in PGWP?,-,-,-,-,-,-,-,-,-,-,-,-,-
114,What are the symptoms of SARS-COV-2,-,-,-,-,-,-,-,-,-,-,-,-,-
115,Do I have to ask a sclerotic question about traveling or something to get an answer ,-,-,-,-,-,-,-,-,-,-,-,-,-
116,what are cov19 symptoms,-,-,-,-,-,-,-,-,-,-,-,-,-
117,how to protect myself from it ,-,-,-,-,-,-,-,-,-,-,-,-,-
118,what is canada quarantine policy?,-,-,-,-,-,-,-,-,-,-,-,-,-
119,My sister-in-law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID-19. Are the risks for pregnant woman Higher? How can she protect?,-,-,-,-,-,-,-,-,-,-,-,-,-
120,Will the virus affect my sexual ability ,-,-,-,-,-,-,-,-,-,-,-,-,-
121,When will the cure be available ?,-,-,-,-,-,-,-,-,-,-,-,-,-
122,Should I go to the ER or my physician directly if I'm infected?,-,-,-,-,-,-,-,-,-,-,-,-,-
123,when will the pandemic end?,-,-,-,-,-,-,-,-,-,-,-,-,-
124,How deadly is the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
125,what is this site,-,-,-,-,-,-,-,-,-,-,-,-,-
126,Is it useful to wear a mask if we are not sick?,-,-,-,-,-,-,-,-,-,-,-,-,-
127,what is social distancing?,-,-,-,-,-,-,-,-,-,-,-,-,-
128,"If I'm below the age of 30, will I notice symptoms if I'm sick?",-,-,-,-,-,-,-,-,-,-,-,-,-
129,When will this end,-,-,-,-,-,-,-,-,-,-,-,-,-
130,Are there any federal or provincial services to help senior citizens get grocery safely?,-,-,-,-,-,-,-,-,-,-,-,-,-
131,How long do we need social distanciation for the virus to be less of a threat? ,-,-,-,-,-,-,-,-,-,-,-,-,-
132,"I am having sore throat, cold, cough, temperature is not stable continuously increases and decreases. So Do I need to go for a test?",-,-,-,-,-,-,-,-,-,-,-,-,-
133,Whatbare the symptoms,-,-,-,-,-,-,-,-,-,-,-,-,-
134,Is it safe to order food during the COVID-19 pandemic?,-,-,-,-,-,-,-,-,-,-,-,-,-
135,What should I do?,-,-,-,-,-,-,-,-,-,-,-,-,-
136,I feel heaviness  in my chest nothing else from last 2 week ,-,-,-,-,-,-,-,-,-,-,-,-,-
137,Where is the closest testing facility to me?,-,-,-,-,-,-,-,-,-,-,-,-,-
138,Can I go for a run? Does running/exercise compromise my immune system? ,-,-,-,-,-,-,-,-,-,-,-,-,-
139,where did it start,-,-,-,-,-,-,-,-,-,-,-,-,-
140,how are you,-,-,-,-,-,-,-,-,-,-,-,-,-
141,When will it be ok to go outside?,-,-,-,-,-,-,-,-,-,-,-,-,-
142,How Covid-19 started?,-,-,-,-,-,-,-,-,-,-,-,-,-
143,I need to take a blood test. Is there a large risk for infection?,-,-,-,-,-,-,-,-,-,-,-,-,-
144,Are vet clinics still open?,-,-,-,-,-,-,-,-,-,-,-,-,-
145,How long does the virus live on clothes?,-,-,-,-,-,-,-,-,-,-,-,-,-
146,What is the mortality rate?,-,-,-,-,-,-,-,-,-,-,-,-,-
147,Does COVID 19 cause stomach issues,-,-,-,-,-,-,-,-,-,-,-,-,-
148,Will it get better in summer with higher temperatures?,-,-,-,-,-,-,-,-,-,-,-,-,-
149,What are the early symptoms of COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-
150, When should I consult after the vomitting symptoms for a 4 y-o child? ,-,-,-,-,-,-,-,-,-,-,-,-,-
151,Hypertension ,-,-,-,-,-,-,-,-,-,-,-,-,-
152,Could stores open a few hours a week for the elderly? ,-,-,-,-,-,-,-,-,-,-,-,-,-
153,if i have symptoms should i go to the ER or should I call a doctor?,-,-,-,-,-,-,-,-,-,-,-,-,-
154,How long does the virus stay in paper money and coins?,-,-,-,-,-,-,-,-,-,-,-,-,-
155,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
156,If I fully recover from COVID-19 would I still be considered a carrier and transmit the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
157,What are the real symptoms of covid-19 ,-,-,-,-,-,-,-,-,-,-,-,-,-
158,Should I take the metro?,-,-,-,-,-,-,-,-,-,-,-,-,-
159,Is the virus vulnerable to high temperature?! Does steam cleaning the surfaces and cloths kills the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
160,Is it safe to get a new job that deals with the public?,-,-,-,-,-,-,-,-,-,-,-,-,-
161,Can you catch covid 19 after having had it before ,-,-,-,-,-,-,-,-,-,-,-,-,-
162,How can I protect myself from the covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
163,Can I be contagious even if I don't have symptoms? ,-,-,-,-,-,-,-,-,-,-,-,-,-
164,Does my neighbour have covid-19 symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
165,Has the virus evolved,-,-,-,-,-,-,-,-,-,-,-,-,-
166,Is it safe to handle delivered packages?,-,-,-,-,-,-,-,-,-,-,-,-,-
167,How do we best organize people so that duplicate work is not being done?,-,-,-,-,-,-,-,-,-,-,-,-,-
168,How dangerous it is for pregnant womens?,-,-,-,-,-,-,-,-,-,-,-,-,-
169,How am I supposed to work while I have two young children at home?,-,-,-,-,-,-,-,-,-,-,-,-,-
170,Where do I go if I have mild symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-
171,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",-,-,-,-,-,-,-,-,-,-,-,-,-
172,When this will ever end ,-,-,-,-,-,-,-,-,-,-,-,-,-
173,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-
174,what kind of protective gear do i need to wear?,-,-,-,-,-,-,-,-,-,-,-,-,-
175,Where did COVID-19 come from?,-,-,-,-,-,-,-,-,-,-,-,-,-
176,Who is most at risk? ,-,-,-,-,-,-,-,-,-,-,-,-,-
177,"If I am starting to breath heavily, should I get it checked out?",-,-,-,-,-,-,-,-,-,-,-,-,-
178,what are the risks for someone aged 65?,-,-,-,-,-,-,-,-,-,-,-,-,-
179,What is the origin of COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
180,What precautions should I take with things delivered at home?,-,-,-,-,-,-,-,-,-,-,-,-,-
181,Option to run the questions for children ,-,-,-,-,-,-,-,-,-,-,-,-,-
182,who needs to be isolated?,-,-,-,-,-,-,-,-,-,-,-,-,-
183,Should I not touch my mail?,-,-,-,-,-,-,-,-,-,-,-,-,-
184,Is there a different varient of virus which is spreading across the world,-,-,-,-,-,-,-,-,-,-,-,-,-
185,what is covid-2019,-,-,-,-,-,-,-,-,-,-,-,-,-
186,how old are you?,-,-,-,-,-,-,-,-,-,-,-,-,-
187,Isn't the economy impact (and the panic reaction) going to kill more than the virus? It seems the virus only kills 1%... while over 30% of the population might lose their jobs.,-,-,-,-,-,-,-,-,-,-,-,-,-
188,Does the  virus stay on clothing?,-,-,-,-,-,-,-,-,-,-,-,-,-
189,Do I need to stay away from my family members if we're all social distancing together in the house?,-,-,-,-,-,-,-,-,-,-,-,-,-
190,"Hello, I am social distancing and taking precautions, however I have to share a communal sink. I try to stay as safe as possible by cleaning it, but I have touched the knobs with my bare hands without thinking, can germs spread this way? Should I avoid the sink in general? Thank you! ",-,-,-,-,-,-,-,-,-,-,-,-,-
191,I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?,-,-,-,-,-,-,-,-,-,-,-,-,-
192,What are effective immunity boosters?,-,-,-,-,-,-,-,-,-,-,-,-,-
193,What was the total number of deaths before and after the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
194,When should I contact a doctor?,-,-,-,-,-,-,-,-,-,-,-,-,-
195,What is the nearest hospital to go to if I have a COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
196,How long does the virus remain active and alive after attacking a human body?,-,-,-,-,-,-,-,-,-,-,-,-,-
197,Is staying at home mandatory?,-,-,-,-,-,-,-,-,-,-,-,-,-
198,How should I keep my family safe during covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
199,Do i have a covid or is it just a cold?,-,-,-,-,-,-,-,-,-,-,-,-,-
200,Is it safe to give blood?,-,-,-,-,-,-,-,-,-,-,-,-,-
201,is covid-19 dangerous,-,-,-,-,-,-,-,-,-,-,-,-,-
202,I have a sore throat. What do I do?,-,-,-,-,-,-,-,-,-,-,-,-,-
203,What is the risk for a pregnant women?,-,-,-,-,-,-,-,-,-,-,-,-,-
204,Can my cat get the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-
205,When should I go to the ER?,-,-,-,-,-,-,-,-,-,-,-,-,-
206,What is the risk for an asthmatic ?,-,-,-,-,-,-,-,-,-,-,-,-,-
207,"I'm hot, what do I do?",-,-,-,-,-,-,-,-,-,-,-,-,-
208,how long would it take for the virus to disappear ? ,-,-,-,-,-,-,-,-,-,-,-,-,-
209,Should I be worried about getting sick if the government does not lock down everything?,-,-,-,-,-,-,-,-,-,-,-,-,-
210,How fast will the pandemic spread in Canada?,-,-,-,-,-,-,-,-,-,-,-,-,-
211,is china responsible for the spreading of COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-
212,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",-,-,-,-,-,-,-,-,-,-,-,-,-
213,how to prevent ?,-,-,-,-,-,-,-,-,-,-,-,-,-
214,What is covid 29,-,-,-,-,-,-,-,-,-,-,-,-,-
215,what is self monitoring?,-,-,-,-,-,-,-,-,-,-,-,-,-
216,My brother has COVID-19. What to do?,-,-,-,-,-,-,-,-,-,-,-,-,-
217,How long will I be sick if I get the virus,-,-,-,-,-,-,-,-,-,-,-,-,-
218,I think I have COVID,-,-,-,-,-,-,-,-,-,-,-,-,-
219,What should I use to disinfect grocery bags and grocery items? ,-,-,-,-,-,-,-,-,-,-,-,-,-
220,How much it's prevelent in Pakistan?,-,-,-,-,-,-,-,-,-,-,-,-,-
221,what is pandemic,-,-,-,-,-,-,-,-,-,-,-,-,-
222,Is COVID-19 air-borne?,-,-,-,-,-,-,-,-,-,-,-,-,-
223,How does Covid-19 spread?,-,-,-,-,-,-,-,-,-,-,-,-,-
