,question,ahc_label
905,I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?,25
907,What are effective immunity boosters?,25
1821,How can I protect myself ,25
1760,Does Wearing gloves help?,25
912,When should I contact a doctor?,25
1451,Should I use Sudafed?,25
1395,hat should I do if my 2 year old child starts having a runny nose?,25
954,I have a sore throat. What do I do?,25
1366,My son is flying from Kansas to England on the 30th April. He is flying into Heathrow and then travelling home to Manchester by train,25
1773,is it dangerous to travel,25
1788,could we have done better?,25
951,Is it safe to give blood?,25
1452,From the infected worldwide population what is the ratio that will need medical attention (eg. ICU or ventilators)?,25
1514,what are the symtoms,25
1794,What is the death rate in South Carolina?,25
908,What was the total number of deaths before and after the virus?,25
1641,How many will lose their jobs due to the chinese virus?,25
1327,What is the situation right now in the world?,25
1717,What is the situation now in my country?,25
1260,Do I need to be seen by a doctor,25
1258,what is self isolation?,25
1146,What is self-isolation?,25
1613,Is it transmissible through anal sex ?,25
1147,I recently relocated to Quebec. Can I request RAMQ card with visiting the RAMQ office?,25
1650,What is the total number of deaths ,25
1615,when will germany reach the peak?,25
1248,"im sneezing, should i be worried?",25
1155,"In this time of crisis, is it okay to feed the raccoons",25
1244,"On a recent study published in ""Nature"" ,it says that the severity of symptoms of COVID-19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed ,my question is ,on what factors does the rate of ACE2 gene expression depends? I",25
1166,Do I need to wash my vegetables and fruits?,25
1184,Doeas the software is automatic in English because I use an English device? If I ask in French the answer will be in French?,25
1217,What's happen for country near the Ecuador with a lot of hot? ,25
1191,WHat is your name,25
1202,How are you?,25
1620,Should I visit my parents in a seniors home?,25
1644,Is ordering food from a restaurant discouraged?,25
1143,When will we be back to work?,25
1333,What's the current count in India,25
1607,what has caused it,25
1266,What is your name,25
1046,What should I use to disinfect grocery bags and grocery items? ,25
1707,How is it transmitted?,25
1048,How much it's prevelent in Pakistan?,25
1624,Impacts of it,25
1322,"Why does the government think that we don't need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks, regardless if they are sick or not",25
1696,"If I was traveling abroad recently, what should I do when coming back home?",25
1540,is the liquor store open?,25
1319,Shall we stay where we are or travel to our home country?,25
1544,Mortality rate today,25
1546,Does washing clothes in the  washing machine prevent transmission ? ,25
1691,is it made by human or by nature,25
1555,How are you ,25
1565,Sorry I het enter before I was done.. am I just being paranoid and giving myself an ulcer.. my husband has pulmonary fibrosis so I’m really worried about him ,25
1674,When is the vaccine available ?,25
1670,What should I buy from the stores now that I feel sick?,25
1281,What will be th impact on international students?,25
1577,"If this is really deep learning, how deep is your model😂",25
1263,Can I fo,25
1649,What's the capital of Palestine?,25
985,"I'm hot, what do I do?",25
471,My  father is 80 years and food is delivered to him daily. Can food containers and food itself be contaminated by COVID,25
149,what are the syptoms?,25
156,Why Germany has a low death rate?,25
476,When do I expect to hear back from you? ,25
653,where did it start,25
179,Precautions to measure? ,25
461,I think I’m sick,25
449,When will the schools reopen?,25
663,how are you,25
432,I worry for my mental health during quarantine,25
430,I have throat ,25
687,Are vet clinics still open?,25
696,What is the mortality rate?,25
202,mental health,25
494,When will be done?,25
417,When should I visit a doctor?,25
230,Chlono,25
240,Where can we find ventilator?,25
246,"As of today, can we gather only 2",25
349,is the grocery open?,25
253,What is a vaccin becoming available?,25
342,What is the advice surrounding outdoor exercise/sport?,25
254,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobey’s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way. ,25
716,Hypertension ,25
298,"In the U.S., why has the Defense Production Act not been invoked to allow weekly (?) testing of every single person present in The United States?  Yes, this is on the scale of industrialization of the WW2 era, and yes, that is *exactly* what the Defense Production Act is for.",25
722,Could stores open a few hours a week for the elderly? ,25
303,What's the point of asking you questions if you don't have answers,25
336,where can I help?,25
325,Should I wear mask,25
389,What are the main synptoms?,25
310,Why are death rates so different across countries?,25
512,Why is Trudeau asleep?,25
136,Non,25
868,Should I not touch my mail?,25
865,who needs to be isolated?,25
590,When will the cure be available ?,25
857,Option to run the questions for children ,25
583,My sister-in-law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID-19. Are the risks for pregnant woman Higher? How can she protect?,25
608,what is this site,25
615,Is it useful to wear a mask if we are not sick?,25
7,What are the synthoms?,25
576,how to protect myself from it ,25
11,Do you think Taiwan is good?,25
635,What should I do?,25
564,Will there be any changes in PGWP?,25
516,Will the groceries shut down?,25
15,Is the Asymptomatic Carrier a temporary status? ,25
306,why is my dick so big,25
555,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,25
18,What is it,25
542,Does a mask actually help if I'm not sick?,25
19,How to avoid exposure?,25
48,South korea,25
821,what kind of protective gear do i need to wear?,25
820,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,25
534,Do I need to disinfect things I buy like groceries and supplies?,25
556,How to protect myself on a plane,25
814,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",25
525,Is ACE Inhibitor harmful ,25
111,What is,25
809,How am I supposed to work while I have two young children at home?,25
802,How dangerous it is for pregnant womens?,25
340,how many cases are there in Washington state,26
1220,How many cases are in spain ?,26
1195,How many death in Quebec?,26
1247,how many death now,26
1661,how many case positive with COVID-19 ?,26
1032,How many cases of covid in laval,26
186,How many confirmed cases in Ontario now?,26
928,How many COVID-19 related deaths have there been in Montreal?,26
674,how many people in America?,27
694,How many people have it in my town?,27
1673,how many people positive with Covid-19 in the world?,27
1848,how many people related covid-19,27
338,how many people positive result with COVID-19,27
1293,how long people live after being infected by coronavirus,28
1748,how i can test if i have the diease?,29
201,Where are the testing centers located in Mtl?,29
1703,"To get an idea of how widespread the virus is, why don't we simply test a random sample of people?",29
1810,Can I get Ovid 19 if someone pets my dog and then I pet her? ,29
835,"If I am starting to breath heavily, should I get it checked out?",29
683,I need to take a blood test. Is there a large risk for infection?,29
570,Do I have to ask a sclerotic question about traveling or something to get an answer ,29
1394,I have a headache for the past 3 days should I be tested ? ,29
625,Are there any federal or provincial services to help senior citizens get grocery safely?,29
649,Where is the closest testing facility to me?,29
702,Will it get better in summer with higher temperatures?,29
999,Should I be worried about getting sick if the government does not lock down everything?,29
1079,When will life get back to normal?,29
316,I am 43. What’s the chance of my survival if I get covid. ,29
372,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,29
358,What are the best food to get good immune ,29
300,Is the test covered in in CIHIP?,29
744,Is it safe to get a new job that deals with the public?,29
390,what is canada's situation right now?,30
817,When this will ever end ,30
547,Will 1 meter distancing safe?,30
925,Is staying at home mandatory?,30
642,I feel heaviness  in my chest nothing else from last 2 week ,30
595,when will the pandemic end?,30
1812,How to stay safe,30
1018,how to prevent ?,30
742,Should I take the metro?,30
1819,Should I stay home?,30
623,When will this end,30
616,what is social distancing?,30
901,"Hello, I am social distancing and taking precautions, however I have to share a communal sink. I try to stay as safe as possible by cleaning it, but I have touched the knobs with my bare hands without thinking, can germs spread this way? Should I avoid the sink in general? Thank you! ",30
578,what is canada quarantine policy?,30
1199,When will the pandemic end? ,30
1729,Can you see friends if you stick to the social distancing guidelines?,30
1495,It would possible to predict the time of this pandemic?,30
895,Do I need to stay away from my family members if we're all social distancing together in the house?,30
206,When will the treatment be available for this pandemic?,30
1122,"Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide, instead of scrambling, or ordering these last minute, and also have enough hospitals built, because if we don't do that, we'll have to do what China did and build a hospital at the last minute?",30
1102,Will people on LTD (Long Term Disability) drill receive their payments?,30
419,"Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country, rich or poor, and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads?",30
1614,Should I be moving house during a pandemic?,30
1392,Is there any medication to take to help?,30
194,How much longer will society need to socially isolate?,30
1725,My employer is not implementing social distancing or safety measures in my workplace. What recourse do I have?,30
854,What precautions should I take with things delivered at home?,30
1050,what is pandemic,30
165,Are there still flights within Canada?,30
339,How often should i take my temperature?,30
1085,Will the pandemic affect university research?,30
188,Are we going to have trouble buying milk? ,31
1284,Can I go out after recovery even if I am still in quarantine time?,31
1798,Is it safe to take a walk outside with my child?,31
422,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days?,31
592,Should I go to the ER or my physician directly if I'm infected?,31
282,Should I star home and even avoid going to the supermarket and drugstore?,31
1069,I am in self isolation.   Is it ok to let in family members who must continue to go to work?,31
888,Isn't the economy impact (and the panic reaction) going to kill more than the virus? It seems the virus only kills 1%... while over 30% of the population might lose their jobs.,31
537,Are research fundings going to be cut as a result of the virus?,31
1104,Can I run outside,31
650,Can I go for a run? Does running/exercise compromise my immune system? ,31
1530,How long do you think we will have to be in a lockdown ,32
1716,How long is this expected to last?,32
1572,How long does it take to recover?,32
1267,How long will social distancing measures last?,32
1498,Is there an estimate as to how long the crisis will last?,32
876,How long does it take to recover?,32
1228,How long will it take for a vaccine to be produced?,32
863,How long is the treatment?,32
1173,How long does it take an average person to recover?,32
1144,"How long the sickens last, m",32
740,How long am I infectious for,32
1180,How long will it take to develop a vaccine ? ,32
797,How do we best organize people so that duplicate work is not being done?,33
10,What mesures needs to take a pregnant women to reduce the risk?,33
1377,What is an Asymptomatic Carrier?,33
825,Who is most at risk? ,33
1118,Are there any risk for the foetus? ,33
1787,what is this rainbow thing that people are talking about,33
1277,what is my level of risk?,33
1073,what is the risk for a pregnent woman ?,33
350,Who is at risk?,33
249,what are the conditions under which people are most likely to develop complications versus those who won’t?  ,33
1722,I have asthma. How at risk am I about the possibility of complications?,33
1064,"if someone had pneumonia before, are they more at risk?",33
982,What is the risk for an asthmatic ?,33
955,What is the risk for a pregnant women?,33
849,what are the risks for someone aged 65?,33
1772,If I have diabetes am I at a higher risk? ,33
384,What are the symptoms ,34
1529,What are the symptoms,34
375,What are the symptoms,34
1444,What are the symptoms?,34
413,What are the symptoms,34
830,Symptom,34
143,what are the symptoms,34
1345,what is the symptoms?,34
1014,What are symptoms ,34
1009,What do I do if I have symptoms?,34
380,what are the symptoms,34
1084,What are the Symptome ,34
754,Symptoms,34
1832,What are the symptoms,34
1251,Symptom,34
631,How long does it last? ,35
1351,How long will the pandemic last?,35
1049,How long will it last?,35
1520,What are the symptoms of COVID-19,36
1198,What are the symptoms of COVID-19?,36
1346,symptoms of covid-19,36
1182,what are the symptoms of covid-19,36
276,what are the symptoms of COVID-19?,36
1226,What are the symptoms of Covid-19?,36
735,What are the symptoms of Covid-19?,36
1174,What are the symptoms of COVID-19?,36
844,What is the covid-19 symptoms? ,36
1368,what are covid-19 symptoms?,36
1831,should I worry about covid 19?,37
824,Where did COVID-19 come from?,37
1075,treatment for covid 19,37
1801,What can we do to protect ourselves from COVID-19?,37
952,is covid-19 dangerous,37
351,How to protect my family from COVID-19?,37
681,How Covid-19 started?,37
1181,What COVID-19 stands for?,37
757,Can you catch covid 19 after having had it before ,37
765,How can I protect myself from the covid-19?,37
1591,Why is called COVID-19,37
1814,How does covid 19 feel ,37
1648,COVID-19 stands for what?,37
1178,How can i cure covid-19?,37
1221,What is the meaning of COVID-19?,37
1553,When will it stop spreading? Is 2 weeks enough? ,38
869,Is there a different varient of virus which is spreading across the world,38
1000,How fast will the pandemic spread in Canada?,38
5,Does the virus spread by rain?,38
1739,How much the quarantine process has a positive impact on reducing contamination spread?,38
1579,what should I do if I think I infected by corona virus?,39
1708,What are the symptoms I should feel if I am infected with Corona virus?,39
1768,How long after testing do you receive your COVID-19 results? ,40
1331,How long does it takes to get first symptom of Covid-19 ,40
727,How long does the virus stay in paper money and coins?,41
1693,How does it take to recover from the virus?,41
1072,How long does the virus survive on a surface like a doorknob?,41
366,"How long could the virus stay alive on doorknobs, traffic signal buttons, stair rails?",41
1780,How contagious is the virus?,41
922,How long does the virus remain active and alive after attacking a human body?,41
627,How long do we need social distanciation for the virus to be less of a threat? ,41
394,how to interact with people,42
299,who is at risk of dying after contracting the virus?,42
666,What is the probability of dying?,42
1802,Can you die from contracting covid?,42
1002,What are the risks for people with diabetes? ,42
736,What are the real symptoms of covid-19 ,43
220,What are the symptoms of vivid 19?,43
1623,What is most usual symptom of Covid-19 ,43
326,What are the most common symptoms of COVID-19?,43
780,Does my neighbour have covid-19 symptoms?,43
1445,Is it possible to have Covid-19 if you only have one of the symptoms?,43
709,What are the early symptoms of COVID-19,43
27,Which country infected ? ,44
593,Which country infected ? ,44
1400,Is it possible to be infected again?,44
396,Am I infected,44
706,What should I do if i think that i'm infected ?,44
1186,What is corona virus and COVID19,45
1736,What are covid-19 test centres location in Montreal?,46
1219,List of Canadian hospitals treating (not testing) patients with COVID-19?,46
1541,What's a waiting time to get covid-19 results?,46
1718,"My COVID-19 test results are pending, and my temperature reached 40C. What should I do?",46
207,which hospital takes the test for covid 19?,46
162,Does covid-19 test anonymous?,46
531,I heard hydroxychloroquine is a good treatment for COVID-19. Where can I get it?,46
13,How do I know if I haver coronavirus?,47
639,How do I know if I have the flu or coronavirus,47
1735,How is the corona virus being spread,48
1450,How do I know if I have been infected?,49
1688,what is coronavirus,50
83,What is coronavirus ?,50
154,How many infected person in south korea?,51
1815,From the infected worldwide population what will be the ratio of asymptomatic people,51
1197,"What are the demographics of people infected, hospitalized and deceased in Quebec, ",51
1556,How to take care of infected people ,51
357,How many people are infected in Lithuania?,51
1119,How many people are infected in toronto,51
1657,How do I know when to get tested?,52
218,How many cases in Quebec? ,53
654,How many case in montreal,53
617,How many cases in Montreal,53
996,How many cases in Montreal ,53
289,How many cases in Montreal?,53
1489,how many new cases,53
1008,How many cases in Quebec ,53
1301,How many cases in Canada now ? ,53
1134,Does the fever persists in corona ,54
1646,I'm feeling dizzy with fever do I have corona? ,54
1185,I have fever 38°C. Is that corona virus symptoms?,54
600,How do I know if I have the corona virus,55
1051,how to know if i have corona,55
297,How do people get infected with Coronavirus?,56
753,is fever a symptom of coronavirus? ,57
995,What is Covid-19 virus?),58
29,What is covid,59
579,Covid?,59
544,What is covid,59
522,What is covid?,59
609,What is covid,59
1353,Do I have covid?,59
25,What is the covid?,59
456,Is it true that you can get the virus again even after you've recovered ,60
256,Can I get the virus from a stray cat?,60
1090,Can you get the virus twice ? ,60
958,Can my cat get the virus?,60
1268,"If I catch the virus, will I be immune from getting it again?   ",60
1849,How COVID-19 is infecting?,61
1654,How covid-19 virus infected?,61
1287,What is corona virus?,62
167,Is there a vaccine for corona virus?,62
1542,Is there a treatment for corona virus?,62
776,Why is it called Corona virus?,62
1846,Is there a vaccine for corona virus?,62
293,What are the symptoms of the covid19?,63
1387,What are the Symptom for covid19,63
773,What are the symptoms of covid19?,63
767,What are the symptoms of covid19,63
1156,How long is incubation period? ,64
1587,How long does this virus incubate? ,64
755,How long until an infected person shows symptoms?,65
607,How long before symptoms start to show? ,65
1845,How long do the symptoms of COVID-19 last for?,66
1055,How does Covid-19 spread?,67
280,how is covid 19 spread?,67
284,How does COVID-19 spread?,67
1639,where can I get tested,68
800,Where can I get tested?,68
1306,Were can I get tested? ,68
1378,what are covid symptoms,69
447,Symptoms of Covid ,69
989,Can I die from Covid-19?,70
1586,How long before we have a vaccine for corona? ,71
1242,how to prepare for spread of covid 19?,72
1668,How to prevent the spread of COVID-19?,72
1165,Does COVID-19 spread by means of gametes?,72
301,Will social distancing slow the spread of covid-19?,72
1007,is china responsible for the spreading of COVID-19?,72
678,How long does it last once infected ?,73
986,What's the difference between COVID-19 and CoronaVirus?,74
323,What's covid19? ,75
1608,Covid19,75
846,What's covid19,75
993,What is covid19?,75
189,What is Covid19,75
4,What's covid19?,75
187,"If I’m sneezing, should I get tested for corona virus?",76
829,how many people have died in the US?,77
1438,How many people died in Belgium?,77
711,How does it die in asymptomatic people?,77
1404,How many people died in NYC,77
1746,how many people died so far?,77
1223,how many people die for cover?,77
1504,how many people have died,78
481,how many people died?,78
61,How many people have dies,78
229,when covid 19 is going to stop?,79
