index,0,1,2
781,How long can the covid-19 survive outside the body,-,-
789,Has the virus evolved,-,-
790,-,what is covid-19 ?,-
797,How do we best organize people so that duplicate work is not being done?,-,-
798,Can this virus infect me in an airborne fashion?,-,-
800,Where can I get tested?,-,-
802,How dangerous it is for pregnant womens?,-,-
808,Hey,-,-
809,How am I supposed to work while I have two young children at home?,-,-
812,Where do I go if I have mild symptoms?,-,-
813,How many thing you do not understand,-,-
814,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",-,-
815,What shall I do if I have to go out to buy things to protect myself from corona virus?,-,-
817,When this will ever end ,-,-
820,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,-,-
821,what kind of protective gear do i need to wear?,-,-
822,"My head hurts, my body aches a little and I feel a cold coming. How do I know if this is Covid-19 or just an ordinary cold?",-,-
824,Where did COVID-19 come from?,-,-
825,Who is most at risk? ,-,-
829,how many people have died in the US?,-,-
830,Symptom,-,-
835,"If I am starting to breath heavily, should I get it checked out?",-,-
842,-,What is COVID-19,-
844,-,-,What is the covid-19 symptoms? 
846,What's covid19,-,-
849,what are the risks for someone aged 65?,-,-
851,What is the origin of COVID-19?,-,-
854,What precautions should I take with things delivered at home?,-,-
857,Option to run the questions for children ,-,-
863,How long is the treatment?,-,-
865,who needs to be isolated?,-,-
868,Should I not touch my mail?,-,-
869,Is there a different varient of virus which is spreading across the world,-,-
871,How many patients are across the globe? ,-,-
872,How i know that i 'm ill,-,-
876,How long does it take to recover?,-,-
880,-,what is covid-2019,-
882,how old are you?,-,-
883,"If there are kids around me, do I have to worry if they are infected and I do not know?",-,-
888,Isn't the economy impact (and the panic reaction) going to kill more than the virus? It seems the virus only kills 1%... while over 30% of the population might lose their jobs.,-,-
890,What is the estimated population that will be infected by the covid-19 virus?,-,-
892,Does the  virus stay on clothing?,-,-
895,Do I need to stay away from my family members if we're all social distancing together in the house?,-,-
901,"Hello, I am social distancing and taking precautions, however I have to share a communal sink. I try to stay as safe as possible by cleaning it, but I have touched the knobs with my bare hands without thinking, can germs spread this way? Should I avoid the sink in general? Thank you! ",-,-
905,I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?,-,-
907,What are effective immunity boosters?,-,-
908,What was the total number of deaths before and after the virus?,-,-
909,What is the current COVID-19 confirmed cases trend for Canada?,-,-
912,When should I contact a doctor?,-,-
913,What is the nearest hospital to go to if I have a COVID-19?,-,-
917,Were there documented cases before January 2020?,-,-
922,How long does the virus remain active and alive after attacking a human body?,-,-
925,Is staying at home mandatory?,-,-
926,How should I keep my family safe during covid-19?,-,-
928,How many COVID-19 related deaths have there been in Montreal?,-,-
929,Can you get be infected more than once? ,-,-
931,Do i have a covid or is it just a cold?,-,-
941,What should I do if I start feeling sick with similar symptoms as in covid19?,-,-
946,Does everyone infected need a respirator?,-,-
950,What should I do if I have fever?,-,-
951,Is it safe to give blood?,-,-
952,is covid-19 dangerous,-,-
953,How to differentiate between coronavirus and simple flu?,-,-
954,I have a sore throat. What do I do?,-,-
955,What is the risk for a pregnant women?,-,-
958,Can my cat get the virus?,-,-
981,When should I go to the ER?,-,-
982,What is the risk for an asthmatic ?,-,-
985,"I'm hot, what do I do?",-,-
986,What's the difference between COVID-19 and CoronaVirus?,-,-
989,Can I die from Covid-19?,-,-
993,What is covid19?,-,-
994,how long would it take for the virus to disappear ? ,-,-
995,What is Covid-19 virus?),-,-
996,How many cases in Montreal ,-,-
999,Should I be worried about getting sick if the government does not lock down everything?,-,-
1000,How fast will the pandemic spread in Canada?,-,-
1002,What are the risks for people with diabetes? ,-,-
1007,is china responsible for the spreading of COVID-19?,-,-
1008,How many cases in Quebec ,-,-
1009,-,-,What do I do if I have symptoms?
1014,-,-,What are symptoms 
1015,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",-,-
1018,how to prevent ?,-,-
1023,What is covid 29,-,-
1025,Why Covid 19?,-,-
1026,How many days should I isolate for,-,-
1030,what is self monitoring?,-,-
1031,what is covid 19,-,-
1032,How many cases of covid in laval,-,-
1034,My brother has COVID-19. What to do?,-,-
1036,How long will I be sick if I get the virus,-,-
1038,What is the half-life of coronavirus?,-,-
1043,I think I have COVID,-,-
1045,Do I have to wear a mask all the time if I am not infected?,-,-
1046,What should I use to disinfect grocery bags and grocery items? ,-,-
1048,How much it's prevelent in Pakistan?,-,-
1049,How long will it last?,-,-
1050,what is pandemic,-,-
1051,how to know if i have corona,-,-
1054,-,Is COVID-19 air-borne?,-
1055,How does Covid-19 spread?,-,-
1057,where can I test for covid,-,-
1058,"If you recover from the virus, can you still be a carrier ",-,-
1059,What are the symptoms of corona virus,-,-
1063,In how many days can covid be cured? ,-,-
1064,"if someone had pneumonia before, are they more at risk?",-,-
1066,Can I get infected after I healed from it?,-,-
1069,I am in self isolation.   Is it ok to let in family members who must continue to go to work?,-,-
1072,How long does the virus survive on a surface like a doorknob?,-,-
1073,what is the risk for a pregnent woman ?,-,-
1075,treatment for covid 19,-,-
1079,When will life get back to normal?,-,-
1084,What are the Symptome ,-,-
1085,Will the pandemic affect university research?,-,-
1088,"If I have symptoms and I am told to stay home, can I take Tylenol?",-,-
1090,Can you get the virus twice ? ,-,-
1093,Can you smoke cannabis during Covid?,-,-
1102,Will people on LTD (Long Term Disability) drill receive their payments?,-,-
1104,Can I run outside,-,-
1112,What are the covid simptons?,-,-
1114,"I would like to get COVID19 test, where can I get it?",-,-
1118,Are there any risk for the foetus? ,-,-
1119,How many people are infected in toronto,-,-
1121,Who can I make the difference between a cold and covid19?,-,-
1122,"Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide, instead of scrambling, or ordering these last minute, and also have enough hospitals built, because if we don't do that, we'll have to do what China did and build a hospital at the last minute?",-,-
1130,What do I do if someone with COVID-19 spotted?,-,-
1131,What is Covid 19,-,-
1134,Does the fever persists in corona ,-,-
1136,How long can the virus stay in the air,-,-
1139,Can we be contagious when we don't show symptoms?,-,-
1143,When will we be back to work?,-,-
1144,"How long the sickens last, m",-,-
1146,-,What is self-isolation?,-
1147,I recently relocated to Quebec. Can I request RAMQ card with visiting the RAMQ office?,-,-
1148,"What are differences in term of symptoms between the new coronavirus and normal flu, cod",-,-
1155,"In this time of crisis, is it okay to feed the raccoons",-,-
1156,How long is incubation period? ,-,-
1161,"i am coughing, what should i do?",-,-
1163,-,What is covid-19?,-
1165,Does COVID-19 spread by means of gametes?,-,-
1166,Do I need to wash my vegetables and fruits?,-,-
1173,How long does it take an average person to recover?,-,-
1174,-,-,What are the symptoms of COVID-19?
1175,how to know that somebody have a corona,-,-
1178,How can i cure covid-19?,-,-
1180,How long will it take to develop a vaccine ? ,-,-
1181,What COVID-19 stands for?,-,-
1182,-,-,what are the symptoms of covid-19
1184,Doeas the software is automatic in English because I use an English device? If I ask in French the answer will be in French?,-,-
1185,I have fever 38°C. Is that corona virus symptoms?,-,-
1186,What is corona virus and COVID19,-,-
1191,WHat is your name,-,-
1195,How many death in Quebec?,-,-
1197,"What are the demographics of people infected, hospitalized and deceased in Quebec, ",-,-
1198,-,-,What are the symptoms of COVID-19?
1199,When will the pandemic end? ,-,-
1200,What to do when i gave cough,-,-
1202,-,How are you?,-
1203,Should I use asprin with I have the coronavirus?,-,-
1205,What the different between corona and COVID_19?,-,-
1206,Number of cases in Inida,-,-
1207,How did this virus transmit?,-,-
1208,Where do we get the test for COVID-19?,-,-
1209,how long does COVID-19 virus lasts in the body?,-,-
1211,Is it ok to go outside to get fresh air?,-,-
1215,"If you contract COVID-19, how do you treat yourself at home?",-,-
1217,What's happen for country near the Ecuador with a lot of hot? ,-,-
1219,List of Canadian hospitals treating (not testing) patients with COVID-19?,-,-
1220,How many cases are in spain ?,-,-
1221,What is the meaning of COVID-19?,-,-
1223,how many people die for cover?,-,-
1226,-,-,What are the symptoms of Covid-19?
1228,How long will it take for a vaccine to be produced?,-,-
1240,What is COVID 19,-,-
1242,how to prepare for spread of covid 19?,-,-
1244,"On a recent study published in ""Nature"" ,it says that the severity of symptoms of COVID-19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed ,my question is ,on what factors does the rate of ACE2 gene expression depends? I",-,-
1247,how many death now,-,-
1248,"im sneezing, should i be worried?",-,-
1251,Symptom,-,-
1254,Do the symptoms start suddenly or they progress slowly from one day to another? ,-,-
1258,what is self isolation?,-,-
1260,Do I need to be seen by a doctor,-,-
1261,-,About COVID-19,-
1262,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs?,-,-
1263,Can I fo,-,-
1264,"What measures can I take, if someone I know is effected with the virus",-,-
1265,"I was in contact with a person who had coronavirus, what should I do? ",-,-
1266,What is your name,-,-
1267,How long will social distancing measures last?,-,-
1268,"If I catch the virus, will I be immune from getting it again?   ",-,-
1272,What are you symtoms of covid? ,-,-
1273,-,What is COVID-19?,-
1274,How long can the virus live?,-,-
1277,what is my level of risk?,-,-
1281,What will be th impact on international students?,-,-
1284,Can I go out after recovery even if I am still in quarantine time?,-,-
1287,What is corona virus?,-,-
1290,-,what is covid-19,-
1293,how long people live after being infected by coronavirus,-,-
1294,Get I get infected from a dog?,-,-
1299,Corona virus characteristics,-,-
1300,what treatments are available for covid-19?,-,-
1301,How many cases in Canada now ? ,-,-
1303,Should he self isolate when he gets here even if he feels well?,-,-
1305,Is there more than one strain of COVID-19?,-,-
1306,Were can I get tested? ,-,-
1307,is there a new form of corona virus?,-,-
1309,How long has the virus been spreading in Canada?,-,-
1312,Would using heated-vapor humidifier help with sanitizing the sinuses of the covid-19?,-,-
1319,Shall we stay where we are or travel to our home country?,-,-
1321,What colour is covid 19?,-,-
1322,"Why does the government think that we don't need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks, regardless if they are sick or not",-,-
1323,How long does COVID-19 live on glass surfaces?,-,-
1326,I have shortness of breath but no fever,-,-
1327,What is the situation right now in the world?,-,-
1330,Define covid 18,-,-
1331,How long does it takes to get first symptom of Covid-19 ,-,-
1333,What's the current count in India,-,-
1334,Why didn't you answer my first question?,-,-
1336,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",-,-
1341,What should I do if I start coughing?,-,-
1343,"I’ve have mild cough and not the continuous one. And symptoms of fever like burning eyes, but not the temperature. What do I do?",-,-
1345,-,-,what is the symptoms?
1346,-,-,symptoms of covid-19
1349,Infomation about covid,-,-
1351,How long will the pandemic last?,-,-
1353,Do I have covid?,-,-
1357,Does soap really kill the virus?,-,-
1363,Can antibiotics deal with viral infection?,-,-
1366,My son is flying from Kansas to England on the 30th April. He is flying into Heathrow and then travelling home to Manchester by train,-,-
1368,-,-,what are covid-19 symptoms?
1374,What do I have to expect after the disease?,-,-
1377,What is an Asymptomatic Carrier?,-,-
1378,what are covid symptoms,-,-
1380,"I have a fever, what should I do now?",-,-
1385,"What are the daily death rates in Italy, that are Not from COVID19?",-,-
1387,What are the Symptom for covid19,-,-
1391,When should I go to the hospital ,-,-
1392,Is there any medication to take to help?,-,-
1394,I have a headache for the past 3 days should I be tested ? ,-,-
1395,hat should I do if my 2 year old child starts having a runny nose?,-,-
1397,Is it safe to go outside for a walk (social distancing from others)?,-,-
1400,Is it possible to be infected again?,-,-
1401,Which are its first symptoms?,-,-
1402,Can I get infected from food or grocery delivery?,-,-
1404,How many people died in NYC,-,-
1407,I was very sick with covid symptoms in late February and still coughing . Should I go get tested,-,-
1408,What should i do if i am short of breath?,-,-
1417,What is the main symptoms of the disease related to new coronavirus,-,-
1419,what are the symptoms of coronavirus,-,-
1421,"If my son if suppose to get tested tomorrow, but just starting to feel better. Can I cancel or should we still go?",-,-
1423,How do I know I have covid?,-,-
1424,can you please tell me symptoms of corona virus?,-,-
1434,When will the municipalities post heat maps to identify hot spots for Covid positive residents?,-,-
1436,Is sore throats a symptom ,-,-
1438,How many people died in Belgium?,-,-
1444,-,-,What are the symptoms?
1445,Is it possible to have Covid-19 if you only have one of the symptoms?,-,-
1449,Have there been any deceased children so far?,-,-
1450,How do I know if I have been infected?,-,-
1451,Should I use Sudafed?,-,-
1452,From the infected worldwide population what is the ratio that will need medical attention (eg. ICU or ventilators)?,-,-
1468,When this virus terminated?,-,-
1473,When will covid end? ,-,-
1478,How do I distinguish between the flu and coronavirus?,-,-
1483,Suffering from trout echiting,-,-
1487,What places of laval has covid-19,-,-
1489,how many new cases,-,-
1493,i have some headeche,-,-
1495,It would possible to predict the time of this pandemic?,-,-
1496,How many Canadians currently have corona virus?,-,-
1497,-,What is covid-19?,-
1498,Is there an estimate as to how long the crisis will last?,-,-
1500,What the size,-,-
1504,how many people have died,-,-
1506,Is the virus deadly?,-,-
1507,I have a lot of stress regarding COVID-19,-,-
1508,"If I'm in self-quarantine with mild symptoms of some sort of respiratory thing, when can I stop self-quarantining?",-,-
1510,-,What is COVID-19?,-
1511,I had a bronchitis last month and I'm still having trouble with my breathing a month later but I don't have a fever. Could it be corona virus?,-,-
1514,what are the symtoms,-,-
1520,-,-,What are the symptoms of COVID-19
1526,Is Covid19 an airborne? ,-,-
1528,"if i think i have it, should i got get tested",-,-
1529,-,-,What are the symptoms
1530,How long do you think we will have to be in a lockdown ,-,-
1534,-,what is covid-19,-
1539,Is it dangerous to go for a walk?,-,-
1540,is the liquor store open?,-,-
1541,What's a waiting time to get covid-19 results?,-,-
1542,Is there a treatment for corona virus?,-,-
1544,Mortality rate today,-,-
1546,Does washing clothes in the  washing machine prevent transmission ? ,-,-
1548,What are the confirmed symptoms of COVID19,-,-
1553,When will it stop spreading? Is 2 weeks enough? ,-,-
1555,-,How are you ,-
1556,How to take care of infected people ,-,-
1558,I have a bit of nausea and headache. Do i have covid-19?,-,-
1564,"If someone was infected once, can they be reinfected? Can they still carry the virus and infect others?",-,-
1565,Sorry I het enter before I was done.. am I just being paranoid and giving myself an ulcer.. my husband has pulmonary fibrosis so I’m really worried about him ,-,-
1566,What should I do if I have Coronavirus symptoms?,-,-
1572,How long does it take to recover?,-,-
1574,Is the virus airborne ,-,-
1577,"If this is really deep learning, how deep is your model😂",-,-
1579,what should I do if I think I infected by corona virus?,-,-
1586,How long before we have a vaccine for corona? ,-,-
1587,How long does this virus incubate? ,-,-
1591,Why is called COVID-19,-,-
1592,Can I still see my friends?,-,-
1594,Does the amount of virus one is exposed to change the severity of the symptoms?,-,-
1597,"Does Pneumonia vaccine, which is for a bacterial infections, helps the immune system to deal with the viral infection of Covid-19 more easily? By removing the possibility of bacterial infection and just focusing on viral infection!",-,-
1607,what has caused it,-,-
1608,Covid19,-,-
1609,-,Covid-19,-
1613,Is it transmissible through anal sex ?,-,-
1614,Should I be moving house during a pandemic?,-,-
1615,when will germany reach the peak?,-,-
1620,Should I visit my parents in a seniors home?,-,-
1623,What is most usual symptom of Covid-19 ,-,-
1624,Impacts of it,-,-
1626,how can one fight the virus ,-,-
1637,What about the researches with respect to treatment of COVID-19,-,-
1639,where can I get tested,-,-
1641,How many will lose their jobs due to the chinese virus?,-,-
1642,What are the side-effects of hydroxychloroquine for treating COVID-19?,-,-
1644,Is ordering food from a restaurant discouraged?,-,-
1645,Can I still go out for grocery shopping even if I'm just getting back from vacations,-,-
1646,I'm feeling dizzy with fever do I have corona? ,-,-
1648,COVID-19 stands for what?,-,-
