,question,ahc_label,cluster
336,How many Canadians currently have corona virus,4.0,unclassified
330,Hello what happens after corona,4.0,unclassified
331,Why is it called Corona virus,4.0,unclassified
338,How long will I be sick if I get the virus,5.0,unclassified
339,Can you get the virus twice,5.0,unclassified
340,Can my cat get the virus,5.0,unclassified
152,What are the best food to get good immune,5.0,unclassified
305,Is it true that you can get the virus again even after you ve recovered,5.0,unclassified
341,If I catch the virus will I be immune from getting it again,5.0,unclassified
135,When will life get back to normal,5.0,unclassified
342,Can I get the virus from a stray cat,5.0,unclassified
147,Is it safe to get a new job that deals with the public,5.0,unclassified
323,Shall we stay where we are or travel to our home country,6.0,unclassified
326,Does the virus stay on clothing,6.0,unclassified
153,How long does the virus stay in paper money and coins,6.0,unclassified
328,How to stay safe,6.0,unclassified
158,How long could the virus stay alive on doorknobs traffic signal buttons stair rails,6.0,unclassified
107,How is it transmitted,7.0,unclassified
94,How did this virus transmit,7.0,unclassified
300,If I fully recover from COVID 19 would I still be considered a carrier and transmit the virus,7.0,unclassified
106,How is covid transmitted,7.0,unclassified
18,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID 19,8.0,unclassified
343,What do I do if someone with COVID 19 spotted,8.0,unclassified
35,Is itchy throat sign of covid 19,8.0,unclassified
159,If you contract COVID 19 how do you treat yourself at home,8.0,unclassified
33,What places of laval has covid 19,8.0,unclassified
32,Infomation about covid,8.0,unclassified
19,How does COVID 19 kill its victims,8.0,unclassified
31,How do i knew if i got covid,8.0,unclassified
28,Define covid 18,8.0,unclassified
27,Will herd immunity be the only means of eradicating COVID 19,8.0,unclassified
25,Can you smoke cannabis during Covid,8.0,unclassified
12,Is there more than one strain of COVID 19,8.0,unclassified
24,My head hurts my body aches a little and I feel a cold coming How do I know if this is Covid 19 or just an ordinary cold,8.0,unclassified
15,age wise statistics for covid 19,8.0,unclassified
16,How can I differ between covid and normal flu,8.0,unclassified
17,Is it true that COVID 19 can survive up to a few days on hard surfaces,8.0,unclassified
30,What are the side effects of hydroxychloroquine for treating COVID 19,8.0,unclassified
324,Do the virus stay in air,9.0,unclassified
329,How long can the virus stay in the air,9.0,unclassified
358,what do you know about COVID 19,10.0,unclassified
349,How to know if I get COVID 19 or not,10.0,unclassified
0,Are research fundings going to be cut as a result of the virus,11.0,unclassified
2,Should I star home and even avoid going to the supermarket and drugstore,11.0,unclassified
7,When should I go to the ER,11.0,unclassified
4,Will Covid19 go away like the 1918 influenza and SARS did,11.0,unclassified
9,Am I allowed to go for a walk,11.0,unclassified
3,Are we going to have trouble buying milk,11.0,unclassified
10,When will it be ok to go outside,11.0,unclassified
6,when covid 19 is going to stop,11.0,unclassified
1,Is it ok to go outside to get fresh air,11.0,unclassified
11,how much fever should i tolerate before going to the doctor,11.0,unclassified
200,Impacts of it,12.0,unclassified
14,Impact of covid,12.0,unclassified
185,What will be th impact on international students,12.0,unclassified
13,How does COVID 19 affect lungs And how do you see this pandemic will impact the world s economy,12.0,unclassified
23,How should I keep my family safe during covid 19,13.0,unclassified
22,How can I make sure I am buying from grocery is safe from COVID 19,13.0,unclassified
20,Is it safe to order food during the COVID 19 pandemic,13.0,unclassified
288,How do I distinguish between the flu and coronavirus,14.0,unclassified
89,How long are you contagious if you have Coronavirus,14.0,unclassified
285,Can anti viral drugs be used to treat the coronavirus,14.0,unclassified
284,How do I treat coronavirus,14.0,unclassified
283,Is the phlegm color suggestive of coronavirus,14.0,unclassified
286,How to differentiate between coronavirus and simple flu,14.0,unclassified
351,Once you are cured from Covid 19 can you catch it again,15.0,unclassified
61,Can I die from Covid 19,15.0,unclassified
355,How can i cure covid 19,15.0,unclassified
348,Can you catch covid 19 after having had it before,15.0,unclassified
29,Would using heated vapor humidifier help with sanitizing the sinuses of the covid 19,16.0,unclassified
132,where can I help,16.0,unclassified
143,Will the heat of the summer help fighting the virus,16.0,unclassified
142,Does eating Oranges daily help to fight this virus,16.0,unclassified
299,Is there any medication to take to help,16.0,unclassified
320,What is the probability of dying,17.0,unclassified
59,how many people die for cover,17.0,unclassified
58,In how many days can covid be cured,17.0,unclassified
55,Can you die from contracting covid,17.0,unclassified
218,Is Covid19 an airborne,18.0,unclassified
269,Who can I make the difference between a cold and covid19,18.0,unclassified
204,Covid19,18.0,unclassified
262,How can I make the difference between a cold and covid19,18.0,unclassified
8,how is going,19.0,unclassified
5,Where should I go,19.0,unclassified
108,How deadly is the virus,20.0,unclassified
98,How deadly is the virus,20.0,unclassified
91,Is the virus deadly,20.0,unclassified
141,What should I buy from the stores now that I feel sick,21.0,unclassified
134,Should I be worried about getting sick if the government does not lock down everything,21.0,unclassified
145,I think I m sick,21.0,unclassified
248,How i know that i m ill,22.0,unclassified
306,What measures can I take if someone I know is effected with the virus,22.0,unclassified
184,How do I know if my chest is hurt because lung damage or another cause,22.0,unclassified
100,Does soap really kill the virus,23.0,unclassified
92,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs,23.0,unclassified
95,Is the virus vulnerable to high temperature Does steam cleaning the surfaces and cloths kills the virus,23.0,unclassified
96,Isn t the economy impact and the panic reaction going to kill more than the virus It seems the virus only kills 1 while over 30 of the population might lose their jobs,23.0,unclassified
287,Is it true that warm kills Coronavirus,24.0,unclassified
282,Is it true that warm kills Coronavirus,24.0,unclassified
281,Will high temperature kill coronavirus,24.0,unclassified
352,How does covid 19 feel,25.0,unclassified
353,What colour is covid 19,25.0,unclassified
356,How COVID 19 is infecting,25.0,unclassified
357,My brother has COVID 19 What to do,25.0,unclassified
350,How Covid 19 started,25.0,unclassified
347,should I worry about covid 19,25.0,unclassified
359,What COVID 19 stands for,25.0,unclassified
345,Why is called COVID 19,25.0,unclassified
344,COVID 19 stands for what,25.0,unclassified
346,Where did COVID 19 come from,25.0,unclassified
154,Can COVID 19 stay alive on fresh fruit and vegetables,26.0,unclassified
156,Does covid transfer through air,26.0,unclassified
157,Can the Covid survive in the air,26.0,unclassified
160,Is COVID 19 air borne,26.0,unclassified
21,How about covid situations,27.0,unclassified
267,what is canada s situation right now,27.0,unclassified
195,What is the situation right now in the world,27.0,unclassified
229,What is the situation now in my country,27.0,unclassified
37,How to protect my family from COVID 19,,protection/precaution
38,What can we do to protect ourselves from COVID 19,,protection/precaution
39,what kind of protective gear do i need to wear,,protection/precaution
40,how to protect myself from it,,protection/precaution
41,How can I protect myself,,protection/precaution
42,How to protect myself on a plane,,protection/precaution
43,How can I protect myself from the covid 19,,protection/precaution
44,How long does it take an average person to recover,,recovery duration
45,How does it take to recover from the virus,,recovery duration
46,How long does it take to recover,,recovery duration
47,How long will it take to develop a vaccine,,recovery duration
48,how long would it take for the virus to disappear,,recovery duration
49,How long will it take for a vaccine to be produced,,recovery duration
50,How long does it take to recover,,recovery duration
51,how many people in America,,cases
52,How many people have it in my town,,cases
53,How many people have dies,,cases
54,how many people related covid 19,,cases
56,how many people positive result with COVID 19,,cases
57,how many case positive with COVID 19,,cases
60,how many people positive with Covid 19 in the world,,cases
62,How to prevent the spread of COVID 19,,transmission
63,Is there a different varient of virus which is spreading across the world,,transmission
64,How fast will the pandemic spread in Canada,,transmission
65,How much the quarantine process has a positive impact on reducing contamination spread,,transmission
66,is china responsible for the spreading of COVID 19,,transmission
67,When will it stop spreading Is 2 weeks enough,,transmission
68,Does COVID 19 spread by means of gametes,,transmission
69,how to prepare for spread of covid 19,,transmission
70,Does the virus spread by rain,,transmission
71,Is there a vaccine for corona virus,,vaccine
72,Is there a vaccine for corona virus,,vaccine
73,Is there a treatment for corona virus,,vaccine
74,How long before we have a vaccine for corona,,vaccine
75,When is the vaccine available,,vaccine
77,How long does COVID 19 live on glass surfaces,,transmission
78,How long can the virus live,,transmission
79,I feel heaviness in my chest nothing else from last 2 week,,nextsteps
80,how long does COVID 19 virus lasts in the body,,virus life
81,How long does the virus survive on a surface like a doorknob,,transmission
82,How long does the virus live on clothes,,transmission
83,How long am I infectious for,,transmission
85,How long do you think we will have to be in a lockdown,,lockdown
86,I d love to know how long I can be contagious,,virus life
87,How long can the covid 19 survive outside the body,,virus life
88,I had a bronchitis last month and I m still having trouble with my breathing a month later but I don t have a fever Could it be corona virus,,nextsteps
113,what is my level of risk,,risk
114,What mesures needs to take a pregnant women to reduce the risk,,risk
115,Who is at risk,,risk
116,Who is most at risk,,risk
117,what are the risks for someone aged 65,,risk
118,What is the risk for a pregnant women,,risk
119,What is the risk for an asthmatic,,risk
120,if someone had pneumonia before are they more at risk,,risk
121,What are the risks for people with diabetes,,risk
122,what is the risk for a pregnent woman,,risk
123,who is at risk of dying after contracting the virus,,risk
124,Are there any risk for the foetus,,risk
125,How dangerous it is for pregnant womens,,dangerous
126,Why corona is so dangerous,,dangerous
127,Is covid very dangerous,,dangerous
128,is covid 19 dangerous,,dangerous
129,Is it dangerous to go for a walk,,dangerous
130,is it dangerous to travel,,dangerous
131,How dangerous is the COV 19,,dangerous
161,How long has the virus been spreading in Canada,,transmission
162,How is the corona virus being spread,,transmission
163,How does it spread,,transmission
164,treatment for covid 19,,transmission
165,When will the cure be available,,treatment
166,When will the treatment be available for this pandemic,,treatment
167,I heard hydroxychloroquine is a good treatment for COVID 19 Where can I get it,,treatment
168,What about the researches with respect to treatment of COVID 19,,treatment
169,what treatments are available for covid 19,,treatment
170,How long is the treatment,,treatment
171,When will the pandemic end,,end
172,what is pandemic,,end
173,When will this end,,end
174,When this will ever end,,end
175,when is this pandemic going to end,,end
176,when will the pandemic end,,end
177,When will covid end,,end
179,What s the current count in India,,cases
270,How long does it last,,end
271,Is there an estimate as to how long the crisis will last,,end
272,How long the sickens last m,,end
273,How long is this expected to last,,end
274,How long will it last,,end
275,How long will the pandemic last,,end
276,About COVID 19,,about
277,Covid 19,,about
278,Covid 19,,about
279,Why Covid 19,,about
280,Covid,,about
289,how is covid 19 spread,,transmission
290,How does COVID 19 spread,,transmission
291,How does Covid 19 spread,,transmission
292,What should I do if I start coughing,,nextsteps
293,If I am starting to breath heavily should I get it checked out,,nextsteps
294,What to do when i gave cough,,nextsteps
295,should I call to find out more it s the coughing and difficulty breathing and fatigue that worries me,,nextsteps
297,i am coughing what should i do,,nextsteps
301,Should I take the metro,,protection/precaution
302,What precautions should I take with things delivered at home,,protection/precaution
304,Is it safe to take a walk outside with my child,,risk
315,How many case in montreal,,cases
316,How many patients are across the globe,,cases
325,Should I stay home,,isolation
327,Is staying at home mandatory,,isolation
354,I cough is it Covid 19,,nextsteps
360,When should I go to the hospital,,hospital
361,I think I have a fever What do I do,,nextsteps
362,What s covid19,,about
363,What are the synthoms,,symptom
364,what is covid 19,,about
365,How do I know if I haver coronavirus,,nextsteps
366,covid19 symptons,,symptom
367,Is the Asymptomatic Carrier a temporary status,,symptom
368,What is Covid 19,,about
369,What is the covid,,about
370,What is the impact that covid 19 has in the economy,,about
371,Which country infected,,infection
372,What is covid,,about
373,What is the COVID 19,,about
374,What is coronavirus,,about
375,what are the symptoms,,symptom
376,what are the syptoms,,symptom
377,How many infected person in south korea,,infection
378,What is the incubation time of the virus,,incubation
379,Why Germany has a low death rate,,why
380,I have cough Does that mean I might be infected,,nextsteps
381,Does covid 19 test anonymous,,test
382,What kind of medication can I take if I have the virus,,nextsteps
383,I have fever what I should do,,nextsteps
384,Does a throat feel itchy or really sore and a symptom,,symptom
385,How many confirmed cases in Ontario now,,cases
386,If I m sneezing should I get tested for corona virus,,test
387,What is Covid19,,about
388,Is headache a symptom of this pandemic,,symptom
389,How much longer will society need to socially isolate,,isolation
390,Where are the testing centers located in Mtl,,test
391,which hospital takes the test for covid 19,,test
392,What is the current situation of COVID 19 infections,,infection
393,How many cases in Quebec,,cases
394,What are the symptoms of vivid 19,,symptom
395,if my tempreture is over 39 can i assume that i have covid 19,,nextsteps
396,Is the virus infectious during incubation period,,incubation
397,what is the death rate of the new corona virus,,cases
398,may I know what is corona,,about
399,What is a vaccin becoming available,,about
400,what are the symptoms of COVID 19,,symptom
401,How many cases in Montreal,,cases
402,What are the symptoms of the covid19,,symptom
403,How do people get infected with Coronavirus,,infection
404,In the U S why has the Defense Production Act not been invoked to allow weekly testing of every single person present in The United States Yes this is on the scale of industrialization of the WW2 era and yes that is exactly what the Defense Production Act is for,,test
405,Is the test covered in in CIHIP,,test
406,Will social distancing slow the spread of covid 19,,isolation
407,Why are death rates so different across countries,,cases
408,I am 43 What s the chance of my survival if I get covid,,about
409,What s covid19,,about
410,What are the most common symptoms of COVID 19,,symptom
411,Symptoms of corona,,symptom
412,I have cold for couple of weeks Have cough over night and regular mucous during day and night Feel a bit hot but not fever that can be feel Sometimes ear pain for infection Some times get stressed on having corona Does any of these symptoms suggest that I have quarantined myself for over 10 days,,nextsteps
413,how many cases are there in Washington state,,cases
414,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis,,isolation
415,is coughing phlem a symptom,,symptom
416,what s is COVID 19,,about
417,How many people are infected in Lithuania,,infection
418,I would like clarifications about the fact that test results don t work if you don t have symptoms That does not seem like a commonality we usually see with tests like this,,test
419,What are the symptoms,,symptom
420,what are the symptoms,,symptom
421,I think I have coronavirus should I go to the emergency,,nextsteps
422,Is fever the main symptom for vivid 19,,symptom
423,What are the symptoms,,symptom
424,Where should I be tested,,test
425,What are the main synptoms,,symptom
426,Am I infected,,infection
427,What are the symptoms,,symptom
428,Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country rich or poor and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads,,symptom
429,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days,,isolation
430,I have throat,,nextsteps
431,Symptoms of Covid,,symptom
432,What do I do if I suspect I m infected,,infection
433,What if I have cough,,nextsteps
434,Does Quebec Health Public System have the capacity to fight this COVID 19 outbreak,,symptom
435,how many people died,,cases
436,how can I prevent to get infected,,infection
437,What is the incubation time of covid 19 by age,,incubation
438,what are the main symptoms,,symptom
439,What is covid,,about
440,Can I go outside,,can
441,should I go to the hospital,,hospital
442,What is covid 19,,about
443,What is covid,,about
444,Must the fever symptom related to COVID 19 be a continuous fever or is it possible that the fever is short lived,,symptom
445,Does taking high doses of vitamin C and D help fighting the disease As an immune system booster Is there any study on that,,symptom
446,What are the symptoms of SARS COV 2,,symptom
447,Do I have to ask a sclerotic question about traveling or something to get an answer,,nextsteps
448,what are cov19 symptoms,,symptom
449,My sister in law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID 19 Are the risks for pregnant woman Higher How can she protect,,isolation
450,Should I go to the ER or my physician directly if I m infected,,infection
451,Which country infected,,infection
452,what are the main symptoms of coronavirus,,symptom
453,How do I know if I have the corona virus,,nextsteps
454,What is COVID 19,,about
455,How long before symptoms start to show,,symptom
456,What is covid,,about
457,what is social distancing,,isolation
458,How many cases in Montreal,,cases
459,What is the incubation period for COVID 19,,incubation
460,If I m below the age of 30 will I notice symptoms if I m sick,,symptom
461,How long do we need social distanciation for the virus to be less of a threat,,isolation
462,how many deaths are in Italy as of March 21,,cases
463,I am having sore throat cold cough temperature is not stable continuously increases and decreases So Do I need to go for a test,,test
464,Whatbare the symptoms,,symptom
465,How do I know if I have the flu or coronavirus,,nextsteps
466,How many days can you be contagious without showing symptoms,,symptom
467,Where is the closest testing facility to me,,test
468,Can I go for a run Does running exercise compromise my immune system,,can
469,What s the incubation period,,incubation
470,Can you explain to me what is the covid19,,about
471,How long does it last once infected,,infection
472,Whats corona,,about
473,What is the number of Covid19 cases in the wold,,cases
474,I need to take a blood test Is there a large risk for infection,,infection
475,Does COVID 19 cause stomach issues,,symptom
476,What should I do if i think that i m infected,,infection
477,What are the early symptoms of COVID 19,,symptom
478,When should I consult after the vomitting symptoms for a 4 y o child,,symptom
479,How does it die in asymptomatic people,,symptom
480,What is the period of incubation,,incubation
481,How do I know if I have the covid 19,,nextsteps
482,What is the incubation period,,incubation
483,if i have symptoms should i go to the ER or should I call a doctor,,nextsteps
484,Is a cough but no fever a symptom,,symptom
485,What are the symptoms of Covid 19,,symptom
486,What are the real symptoms of covid 19,,symptom
487,is fever a symptom of coronavirus,,symptom
488,Symptoms,,symptom
489,How long until an infected person shows symptoms,,infection
490,I am coughing but I don t have fever Could I have covid 19,,nextsteps
491,What are the symptoms of Corona,,symptom
492,What are the symptoms of covid19,,symptom
493,What are the symptoms of covid19,,symptom
494,Can I be contagious even if I don t have symptoms,,symptom
495,Does my neighbour have covid 19 symptoms,,symptom
496,what is covid 19,,about
497,Where can I get tested,,test
498,How am I supposed to work while I have two young children at home,,nextsteps
499,Where do I go if I have mild symptoms,,nextsteps
500,What shall I do if I have to go out to buy things to protect myself from corona virus,,nextsteps
501,how many people have died in the US,,cases
502,Symptom,,symptom
503,What is COVID 19,,about
504,What is the covid 19 symptoms,,symptom
505,What s covid19,,about
506,What is the origin of COVID 19,,about
507,who needs to be isolated,,isolation
508,what is covid 2019,,about
509,If there are kids around me do I have to worry if they are infected and I do not know,,nextsteps
510,What is the estimated population that will be infected by the covid 19 virus,,infection
511,Do I need to stay away from my family members if we re all social distancing together in the house,,isolation
512,Hello I am social distancing and taking precautions however I have to share a communal sink I try to stay as safe as possible by cleaning it but I have touched the knobs with my bare hands without thinking can germs spread this way Should I avoid the sink in general Thank you,,nextsteps
513,I have Hashimoto s hypothyroiditis Am I more at risk I also had a PE due to Fv leiden and oral contraceptives in 2001 what do you recommend I do,,nextsteps
514,What was the total number of deaths before and after the virus,,cases
515,What is the current COVID 19 confirmed cases trend for Canada,,cases
516,What is the nearest hospital to go to if I have a COVID 19,,nextsteps
517,Were there documented cases before January 2020,,cases
518,How many COVID 19 related deaths have there been in Montreal,,cases
519,Can you get be infected more than once,,infection
520,Do i have a covid or is it just a cold,,nextsteps
521,What should I do if I start feeling sick with similar symptoms as in covid19,,symptom
522,Does everyone infected need a respirator,,infection
523,What should I do if I have fever,,nextsteps
524,I have a sore throat What do I do,,nextsteps
525,What s the difference between COVID 19 and CoronaVirus,,about
526,What is covid19,,about
527,What is Covid 19 virus,,about
528,How many cases in Montreal,,cases
529,How many cases in Quebec,,cases
530,What do I do if I have symptoms,,nextsteps
531,What are symptoms,,symptom
532,If I experience symptoms but they are manageable should I still go to the hospital for testing,,hospital
533,What is covid 29,,about
534,How many days should I isolate for,,isolation
535,what is covid 19,,about
536,How many cases of covid in laval,,cases
537,What is the half life of coronavirus,,about
538,I think I have COVID,,nextsteps
539,Do I have to wear a mask all the time if I am not infected,,nextsteps
540,how to know if i have corona,,nextsteps
541,where can I test for covid,,test
542,What are the symptoms of corona virus,,symptom
543,Can I get infected after I healed from it,,infection
544,I am in self isolation Is it ok to let in family members who must continue to go to work,,isolation
545,What are the Symptome,,symptom
546,If I have symptoms and I am told to stay home can I take Tylenol,,nextsteps
547,What are the covid simptons,,symptom
548,I would like to get COVID19 test where can I get it,,test
549,How many people are infected in toronto,,infection
550,What is Covid 19,,about
551,Can we be contagious when we don t show symptoms,,symptom
552,What is self isolation,,isolation
553,What are differences in term of symptoms between the new coronavirus and normal flu cod,,symptom
554,How long is incubation period,,incubation
555,What is covid 19,,about
556,What are the symptoms of COVID 19,,symptom
557,what are the symptoms of covid 19,,symptom
558,Doeas the software is automatic in English because I use an English device If I ask in French the answer will be in French,,symptom
559,I have fever 38 C Is that corona virus symptoms,,nextsteps
560,What is corona virus and COVID19,,about
561,How many death in Quebec,,cases
562,What are the demographics of people infected hospitalized and deceased in Quebec,,infection
563,What are the symptoms of COVID 19,,symptom
564,Should I use asprin with I have the coronavirus,,nextsteps
565,Number of cases in Inida,,cases
566,Where do we get the test for COVID 19,,test
567,List of Canadian hospitals treating not testing patients with COVID 19,,test
568,How many cases are in spain,,cases
569,What is the meaning of COVID 19,,about
570,What are the symptoms of Covid 19,,symptom
571,What is COVID 19,,about
572,On a recent study published in Nature it says that the severity of symptoms of COVID 19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed my question is on what factors does the rate of ACE2 gene expression depends I,,infection
573,how many death now,,cases
574,Symptom,,symptom
575,Do the symptoms start suddenly or they progress slowly from one day to another,,symptom
576,what is self isolation,,isolation
577,I was in contact with a person who had coronavirus what should I do,,about
578,How long will social distancing measures last,,isolation
579,What are you symtoms of covid,,symptom
580,What is COVID 19,,about
581,Can I go out after recovery even if I am still in quarantine time,,can
582,What is corona virus,,about
583,what is covid 19,,about
584,how long people live after being infected by coronavirus,,infection
585,Get I get infected from a dog,,infection
586,How many cases in Canada now,,cases
587,Should he self isolate when he gets here even if he feels well,,isolation
588,Were can I get tested,,test
589,I have shortness of breath but no fever,,nextsteps
590,How long does it takes to get first symptom of Covid 19,,symptom
