,question,ahc_label,cluster
821,what kind of protective gear do i need to wear?,0,
820,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,0,
817,When this will ever end ,0,
814,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",0,
812,Where do I go if I have mild symptoms?,0,
809,How am I supposed to work while I have two young children at home?,0,
802,How dangerous it is for pregnant womens?,0,
797,How do we best organize people so that duplicate work is not being done?,0,
794,Is it safe to handle delivered packages?,0,
789,Has the virus evolved,0,
780,Does my neighbour have covid-19 symptoms?,0,
775,Can I be contagious even if I don't have symptoms? ,0,
765,How can I protect myself from the covid-19?,0,
757,Can you catch covid 19 after having had it before ,0,
744,Is it safe to get a new job that deals with the public?,0,
743,Is the virus vulnerable to high temperature?! Does steam cleaning the surfaces and cloths kills the virus?,0,
742,Should I take the metro?,0,
736,What are the real symptoms of covid-19 ,0,
734,If I fully recover from COVID-19 would I still be considered a carrier and transmit the virus?,0,
728,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID-19?,0,
727,How long does the virus stay in paper money and coins?,0,
723,if i have symptoms should i go to the ER or should I call a doctor?,0,
722,Could stores open a few hours a week for the elderly? ,0,
851,What is the origin of COVID-19?,0,
1274,How long can the virus live?,0,
854,What precautions should I take with things delivered at home?,0,
865,who needs to be isolated?,0,
1000,How fast will the pandemic spread in Canada?,0,
999,Should I be worried about getting sick if the government does not lock down everything?,0,
994,how long would it take for the virus to disappear ? ,0,
985,"I'm hot, what do I do?",0,
982,What is the risk for an asthmatic ?,0,
958,Can my cat get the virus?,0,
955,What is the risk for a pregnant women?,0,
954,I have a sore throat. What do I do?,0,
952,is covid-19 dangerous,0,
951,Is it safe to give blood?,0,
931,Do i have a covid or is it just a cold?,0,
926,How should I keep my family safe during covid-19?,0,
925,Is staying at home mandatory?,0,
922,How long does the virus remain active and alive after attacking a human body?,0,
913,What is the nearest hospital to go to if I have a COVID-19?,0,
912,When should I contact a doctor?,0,
908,What was the total number of deaths before and after the virus?,0,
907,What are effective immunity boosters?,0,
905,I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?,0,
901,"Hello, I am social distancing and taking precautions, however I have to share a communal sink. I try to stay as safe as possible by cleaning it, but I have touched the knobs with my bare hands without thinking, can germs spread this way? Should I avoid the sink in general? Thank you! ",0,
895,Do I need to stay away from my family members if we're all social distancing together in the house?,0,
892,Does the  virus stay on clothing?,0,
888,Isn't the economy impact (and the panic reaction) going to kill more than the virus? It seems the virus only kills 1%... while over 30% of the population might lose their jobs.,0,
882,how old are you?,0,
880,what is covid-2019,0,
869,Is there a different varient of virus which is spreading across the world,0,
868,Should I not touch my mail?,0,
857,Option to run the questions for children ,0,
1277,what is my level of risk?,0,
1281,What will be th impact on international students?,0,
1284,Can I go out after recovery even if I am still in quarantine time?,0,
1722,I have asthma. How at risk am I about the possibility of complications?,0,
1718,"My COVID-19 test results are pending, and my temperature reached 40C. What should I do?",0,
1717,What is the situation now in my country?,0,
1707,How is it transmitted?,0,
1706,How deadly is the virus?,0,
1704,What to do if I think I have covid 19?,0,
1703,"To get an idea of how widespread the virus is, why don't we simply test a random sample of people?",0,
1696,"If I was traveling abroad recently, what should I do when coming back home?",0,
1693,How does it take to recover from the virus?,0,
1691,is it made by human or by nature,0,
1681,What is the difference between a bacteria and a virus?,0,
1676,When can I go to my cabin?,0,
1674,When is the vaccine available ?,0,
1670,What should I buy from the stores now that I feel sick?,0,
1668,How to prevent the spread of COVID-19?,0,
1662,"Once you are cured from Covid-19, can you catch it again?",0,
1650,What is the total number of deaths ,0,
1649,What's the capital of Palestine?,0,
1648,COVID-19 stands for what?,0,
1645,Can I still go out for grocery shopping even if I'm just getting back from vacations,0,
1644,Is ordering food from a restaurant discouraged?,0,
1642,What are the side-effects of hydroxychloroquine for treating COVID-19?,0,
1641,How many will lose their jobs due to the chinese virus?,0,
1637,What about the researches with respect to treatment of COVID-19,0,
1626,how can one fight the virus ,0,
1624,Impacts of it,0,
1623,What is most usual symptom of Covid-19 ,0,
1725,My employer is not implementing social distancing or safety measures in my workplace. What recourse do I have?,0,
1620,Should I visit my parents in a seniors home?,0,
1729,Can you see friends if you stick to the social distancing guidelines?,0,
1739,How much the quarantine process has a positive impact on reducing contamination spread?,0,
1838,What are the top symptoms ,0,
1831,should I worry about covid 19?,0,
1823,If you start showing flu symptoms should you consult a doctor or stay home?,0,
1822,Does eating Oranges daily help to fight this virus,0,
1821,How can I protect myself ,0,
1819,Should I stay home?,0,
1817,how painful will it be if I got the virus?,0,
1813,How dangerous is the COV-19?,0,
1812,How to stay safe,0,
1810,Can I get Ovid 19 if someone pets my dog and then I pet her? ,0,
1803,Is it safe to jog/run outside?,0,
1801,What can we do to protect ourselves from COVID-19?,0,
1800,What is the likelihood of having covid if only showing one symptoms for example dry cough,0,
1798,Is it safe to take a walk outside with my child?,0,
1794,What is the death rate in South Carolina?,0,
1788,could we have done better?,0,
1787,what is this rainbow thing that people are talking about,0,
1780,How contagious is the virus?,0,
1775,Can I move in with family if we have all been symptom free for 14 days?,0,
1773,is it dangerous to travel,0,
1772,If I have diabetes am I at a higher risk? ,0,
1765,I am feeling itchy around my body. Is it a symptom of covid? ,0,
1760,Does Wearing gloves help?,0,
1756,"When having covid-19, What are the next possible symptoms for a 4 years old child",0,
1748,how i can test if i have the diease?,0,
1747,Does covid transfer through air?,0,
1741,What should you do if you dont have water and soap and sanitizer?,0,
1736,What are covid-19 test centres location in Montreal?,0,
716,Hypertension ,0,
1615,when will germany reach the peak?,0,
1613,Is it transmissible through anal sex ?,0,
1436,Is sore throats a symptom ,0,
1434,When will the municipalities post heat maps to identify hot spots for Covid positive residents?,0,
1421,"If my son if suppose to get tested tomorrow, but just starting to feel better. Can I cancel or should we still go?",0,
1407,I was very sick with covid symptoms in late February and still coughing . Should I go get tested,0,
1401,Which are its first symptoms?,0,
1397,Is it safe to go outside for a walk (social distancing from others)?,0,
1395,hat should I do if my 2 year old child starts having a runny nose?,0,
1394,I have a headache for the past 3 days should I be tested ? ,0,
1392,Is there any medication to take to help?,0,
1391,When should I go to the hospital ,0,
1377,What is an Asymptomatic Carrier?,0,
1374,What do I have to expect after the disease?,0,
1366,My son is flying from Kansas to England on the 30th April. He is flying into Heathrow and then travelling home to Manchester by train,0,
1357,Does soap really kill the virus?,0,
1349,Infomation about covid,0,
1336,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",0,
1334,Why didn't you answer my first question?,0,
1333,What's the current count in India,0,
1330,Define covid 18,0,
1327,What is the situation right now in the world?,0,
1322,"Why does the government think that we don't need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks, regardless if they are sick or not",0,
1321,What colour is covid 19?,0,
1319,Shall we stay where we are or travel to our home country?,0,
1312,Would using heated-vapor humidifier help with sanitizing the sinuses of the covid-19?,0,
1309,How long has the virus been spreading in Canada?,0,
1305,Is there more than one strain of COVID-19?,0,
1300,what treatments are available for covid-19?,0,
1445,Is it possible to have Covid-19 if you only have one of the symptoms?,0,
1614,Should I be moving house during a pandemic?,0,
1449,Have there been any deceased children so far?,0,
1452,From the infected worldwide population what is the ratio that will need medical attention (eg. ICU or ventilators)?,0,
1607,what has caused it,0,
1594,Does the amount of virus one is exposed to change the severity of the symptoms?,0,
1592,Can I still see my friends?,0,
1591,Why is called COVID-19,0,
1577,"If this is really deep learning, how deep is your model😂",0,
1574,Is the virus airborne ,0,
1565,Sorry I het enter before I was done.. am I just being paranoid and giving myself an ulcer.. my husband has pulmonary fibrosis so I’m really worried about him ,0,
1558,I have a bit of nausea and headache. Do i have covid-19?,0,
1555,How are you ,0,
1553,When will it stop spreading? Is 2 weeks enough? ,0,
1546,Does washing clothes in the  washing machine prevent transmission ? ,0,
1544,Mortality rate today,0,
1541,What's a waiting time to get covid-19 results?,0,
1540,is the liquor store open?,0,
1539,Is it dangerous to go for a walk?,0,
1514,what are the symtoms,0,
1513,What can you do?,0,
1508,"If I'm in self-quarantine with mild symptoms of some sort of respiratory thing, when can I stop self-quarantining?",0,
1507,I have a lot of stress regarding COVID-19,0,
1506,Is the virus deadly?,0,
1500,What the size,0,
1495,It would possible to predict the time of this pandemic?,0,
1493,i have some headeche,0,
1487,What places of laval has covid-19,0,
1483,Suffering from trout echiting,0,
1473,When will covid end? ,0,
1468,When this virus terminated?,0,
1451,Should I use Sudafed?,0,
710, When should I consult after the vomitting symptoms for a 4 y-o child? ,0,
981,When should I go to the ER?,0,
1852,"If I cross someone on the street, how are the chance to catch the virus ?",0,
342,What is the advice surrounding outdoor exercise/sport?,0,
348,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,0,
576,how to protect myself from it ,0,
573,what are cov19 symptoms,0,
349,is the grocery open?,0,
350,Who is at risk?,0,
351,How to protect my family from COVID-19?,0,
570,Do I have to ask a sclerotic question about traveling or something to get an answer ,0,
567,What are the symptoms of SARS-COV-2,0,
564,Will there be any changes in PGWP?,0,
354,is coughing phlem a symptom?,0,
358,What are the best food to get good immune ,0,
563,How can I differ between covid and normal flu ?,0,
359,when is this pandemic going to end?,0,
360,"How can I make sure, I am buying from grocery is safe from COVID-19 ",0,
578,what is canada quarantine policy?,0,
339,How often should i take my temperature?,0,
336,where can I help?,0,
583,My sister-in-law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID-19. Are the risks for pregnant woman Higher? How can she protect?,0,
298,"In the U.S., why has the Defense Production Act not been invoked to allow weekly (?) testing of every single person present in The United States?  Yes, this is on the scale of industrialization of the WW2 era, and yes, that is *exactly* what the Defense Production Act is for.",0,
300,Is the test covered in in CIHIP?,0,
599,How deadly is the virus?,0,
595,when will the pandemic end?,0,
461,I think I’m sick,0,
303,What's the point of asking you questions if you don't have answers,0,
306,why is my dick so big,0,
557,Is covid very dangerous,0,
310,Why are death rates so different across countries?,0,
316,I am 43. What’s the chance of my survival if I get covid. ,0,
592,Should I go to the ER or my physician directly if I'm infected?,0,
321,Where should I go?,0,
590,When will the cure be available ?,0,
325,Should I wear mask,0,
586,Will the virus affect my sexual ability ,0,
326,What are the most common symptoms of COVID-19?,0,
311,How does COVID-19 kill its victims?,0,
284,How does COVID-19 spread?,0,
556,How to protect myself on a plane,0,
555,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,0,
420,Is it true that COVID-19 can survive up to a few days on hard surfaces?,0,
495,Does temperature has any effect on the virus,0,
422,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days?,0,
494,When will be done?,0,
428,Can COVID-19 stay alive on fresh fruit and vegetables?,0,
430,I have throat ,0,
432,I worry for my mental health during quarantine,0,
489,How severe is the virus? ,0,
440,I cough. is it Covid-19?,0,
479,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,0,
478,Do I need a mask?,0,
449,When will the schools reopen?,0,
476,When do I expect to hear back from you? ,0,
471,My  father is 80 years and food is delivered to him daily. Can food containers and food itself be contaminated by COVID,0,
456,Is it true that you can get the virus again even after you've recovered ,0,
505,what are the main symptoms,0,
512,Why is Trudeau asleep?,0,
516,Will the groceries shut down?,0,
520,How is covid transmitted?,0,
372,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,0,
553,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,0,
377,good morning,0,
546,age wise statistics for covid-19,0,
709,What are the early symptoms of COVID-19,0,
542,Does a mask actually help if I'm not sick?,0,
389,What are the main synptoms?,0,
366,"How long could the virus stay alive on doorknobs, traffic signal buttons, stair rails?",0,
390,what is canada's situation right now?,0,
537,Are research fundings going to be cut as a result of the virus?,0,
536,should I go to the hospital?,0,
534,Do I need to disinfect things I buy like groceries and supplies?,0,
531,I heard hydroxychloroquine is a good treatment for COVID-19. Where can I get it?,0,
525,Is ACE Inhibitor harmful ,0,
417,When should I visit a doctor?,0,
419,"Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country, rich or poor, and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads?",0,
393,How about covid situations? ,0,
282,Should I star home and even avoid going to the supermarket and drugstore?,0,
301,Will social distancing slow the spread of covid-19?,0,
608,what is this site,0,
136,Non,0,
149,what are the syptoms?,0,
156,Why Germany has a low death rate?,0,
160,how is going,0,
161,Can the Covid survive in the air?,0,
162,Does covid-19 test anonymous?,0,
163,What kind of medication can I take if I have the virus ?,0,
129,Do the virus stay in air?,0,
165,Are there still flights within Canada?,0,
664,When will it be ok to go outside?,0,
663,how are you,0,
179,Precautions to measure? ,0,
280,how is covid 19 spread?,0,
188,Are we going to have trouble buying milk? ,0,
190,Is headache a symptom of this pandemic? ,0,
653,where did it start,0,
177,Does a throat feel itchy or really sore and a symptom ,0,
123,Do we see a future where this virus won't be such a threat anymore? ,0,
118,Will the heat of the summer help fighting the virus?,0,
111,What is,0,
1,When should I go to the hospital?,0,
5,Does the virus spread by rain?,0,
7,What are the synthoms?,0,
10,What mesures needs to take a pregnant women to reduce the risk?,0,
702,Will it get better in summer with higher temperatures?,0,
700,Does COVID 19 cause stomach issues,0,
696,What is the mortality rate?,0,
695,How long does the virus live on clothes?,0,
11,Do you think Taiwan is good?,0,
15,Is the Asymptomatic Carrier a temporary status? ,0,
18,What is it,0,
687,Are vet clinics still open?,0,
19,How to avoid exposure?,0,
683,I need to take a blood test. Is there a large risk for infection?,0,
681,How Covid-19 started?,0,
26,What is the impact that covid-19 has in the economy?,0,
48,South korea,0,
194,How much longer will society need to socially isolate?,0,
650,Can I go for a run? Does running/exercise compromise my immune system? ,0,
187,"If I’m sneezing, should I get tested for corona virus?",0,
649,Where is the closest testing facility to me?,0,
199,Is itchy throat sign of covid 19,0,
246,"As of today, can we gather only 2",0,
629,"I am having sore throat, cold, cough, temperature is not stable continuously increases and decreases. So Do I need to go for a test?",0,
249,what are the conditions under which people are most likely to develop complications versus those who won’t?  ,0,
627,How long do we need social distanciation for the virus to be less of a threat? ,0,
253,What is a vaccin becoming available?,0,
254,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobey’s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way. ,0,
256,Can I get the virus from a stray cat?,0,
625,Are there any federal or provincial services to help senior citizens get grocery safely?,0,
623,When will this end,0,
258,Impact of covid,0,
621,"If I'm below the age of 30, will I notice symptoms if I'm sick?",0,
262,Will herd immunity be the only means of eradicating COVID-19?,0,
616,what is social distancing?,0,
615,Is it useful to wear a mask if we are not sick?,0,
240,Where can we find ventilator?,0,
236,Am I allowed to go for a walk?,0,
630,Whatbare the symptoms,0,
201,Where are the testing centers located in Mtl?,0,
207,which hospital takes the test for covid 19?,0,
213,How does it spread ?,0,
220,What are the symptoms of vivid 19?,0,
202,mental health,0,
642,I feel heaviness  in my chest nothing else from last 2 week ,0,
635,What should I do?,0,
206,When will the treatment be available for this pandemic?,0,
230,Chlono,0,
232,if my tempreture is over 39 can i assume that i have covid-19 ?,0,
633,Is it safe to order food during the COVID-19 pandemic?,0,
229,when covid 19 is going to stop?,0,
1832,What are the symptoms,1,symptoms
1529,What are the symptoms,1,symptoms
276,what are the symptoms of COVID-19?,1,symptoms
1182,what are the symptoms of covid-19,1,symptoms
1198,What are the symptoms of COVID-19?,1,symptoms
447,Symptoms of Covid ,1,symptoms
1520,What are the symptoms of COVID-19,1,symptoms
1368,what are covid-19 symptoms?,1,symptoms
1444,What are the symptoms?,1,symptoms
375,What are the symptoms,1,symptoms
1345,what is the symptoms?,1,symptoms
380,what are the symptoms,1,symptoms
1226,What are the symptoms of Covid-19?,1,symptoms
1346,symptoms of covid-19,1,symptoms
1251,Symptom,1,symptoms
1378,what are covid symptoms,1,symptoms
143,what are the symptoms,1,symptoms
413,What are the symptoms,1,symptoms
1174,What are the symptoms of COVID-19?,1,symptoms
384,What are the symptoms ,1,symptoms
754,Symptoms,1,symptoms
1009,What do I do if I have symptoms?,1,nextsteps
1014,What are symptoms ,1,symptoms
830,Symptom,1,symptoms
735,What are the symptoms of Covid-19?,1,symptoms
1084,What are the Symptome ,1,symptoms
844,What is the covid-19 symptoms? ,1,symptoms
469,What if I have cough ?,2,nextsteps
1686,how much fever should i tolerate before going to the doctor? ,2,nextsteps
176,I have fever what I should do,2,nextsteps
1646,I'm feeling dizzy with fever do I have corona? ,2,nextsteps
383,Is fever the main symptom for vivid-19,2,symptoms
550,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",2,symptoms
1326,I have shortness of breath but no fever,2,nextsteps
1341,What should I do if I start coughing?,2,nextsteps
1343,"I’ve have mild cough and not the continuous one. And symptoms of fever like burning eyes, but not the temperature. What do I do?",2,nextsteps
950,What should I do if I have fever?,2,nextsteps
1408,What should i do if i am short of breath?,2,nextsteps
331,I have cold for couple of weeks. Have cough over night and regular mucous during day and night. Feel a bit hot but not fever that can be feel. Sometimes ear pain for infection. Some times get stressed on having corona. Does any of these symptoms suggest that? I have quarantined myself for over 10 days  ,2,nextsteps
1511,I had a bronchitis last month and I'm still having trouble with my breathing a month later but I don't have a fever. Could it be corona virus?,2,nextsteps
756,I am coughing but I don't have fever. Could I have covid-19?,2,nextsteps
1380,"I have a fever, what should I do now?",2,nextsteps
2,I think I have a fever. What do I do?,2,nextsteps
12,How's the shortness of breath?,2,nextsteps
1779,"should I call to find out more, it’s the coughing and difficulty breathing and fatigue that worries me",2,nextsteps
1185,I have fever 38°C. Is that corona virus symptoms?,2,nextsteps
733,Is a cough but no fever a symptom?,2,nextsteps
1161,"i am coughing, what should i do?",2,nextsteps
1134,Does the fever persists in corona ,2,symptoms
1200,What to do when i gave cough,2,nextsteps
281,How can I make the difference between a cold and covid19?,3,
14,covid19 symptons?,3,symptoms
1385,"What are the daily death rates in Italy, that are Not from COVID19?",3,
293,What are the symptoms of the covid19?,3,symptoms
189,What is Covid19,3,about
1526,Is Covid19 an airborne? ,3,about
1608,Covid19,3,about
4,What's covid19?,3,about
1548,What are the confirmed symptoms of COVID19,3,about
164,Will Covid19 go away like the 1918 influenza and SARS did,3,symptoms
941,What should I do if I start feeling sick with similar symptoms as in covid19?,3,nextsteps
669,Can you explain to me what is the covid19?,3,about
846,What's covid19,3,about
323,What's covid19? ,3,about
773,What are the symptoms of covid19?,3,symptoms
767,What are the symptoms of covid19,3,symptoms
278,Can drinking alcohol helps COVID19? ,3,
1121,Who can I make the difference between a cold and covid19?,3,
993,What is covid19?,3,about
1387,What are the Symptom for covid19,3,symptoms
680,What is the number of Covid19 cases in the wold,3,cases
1796,I have a sore throat. Is that a sign of Covid19?,3,nextsteps
1307,is there a new form of corona virus?,4,about
1743,Why corona is so dangerous ,4,why
1542,Is there a treatment for corona virus?,4,
1424,can you please tell me symptoms of corona virus?,4,symptoms
1834,What is corona,4,about
330,Symptoms of corona,4,symptoms
1846,Is there a vaccine for corona virus?,4,
1496,How many Canadians currently have corona virus?,4,cases
720,how much does corona virus stay on each kind of surfaces?,4,spread
1287,What is corona virus?,4,about
1059,What are the symptoms of corona virus,4,symptoms
1753,What is corona,4,about
1299,Corona virus characteristics,4,
776,Why is it called Corona virus?,4,why
1653,What are the symptoms of corona virus,4,symptoms
1708,What are the symptoms I should feel if I am infected with Corona virus?,4,symptoms
815,What shall I do if I have to go out to buy things to protect myself from corona virus?,4,
429,"Hello, what happens after corona?",4,
1735,How is the corona virus being spread,4,
760,What are the symptoms of Corona?,4,symptoms
1205,What the different between corona and COVID_19?,4,
1586,How long before we have a vaccine for corona? ,4,
1579,what should I do if I think I infected by corona virus?,4,
241,what is the death rate of the new corona virus,4,cases
679,Whats corona,4,about
1186,What is corona virus and COVID19,4,about
167,Is there a vaccine for corona virus?,4,
928,How many COVID-19 related deaths have there been in Montreal?,5,cases
1711,How many days does it take to see the symptoms,5,cases
1702,How many cases of coronavirus in Madagascar,5,cases
628,how many deaths are in Italy as of March 21,5,cases
917,Were there documented cases before January 2020?,5,cases
1661,how many case positive with COVID-19 ?,5,cases
1489,how many new cases,5,cases
654,How many case in montreal,5,cases
643,How many days can you be contagious without showing symptoms?,5,cases
218,How many cases in Quebec? ,5,cases
909,What is the current COVID-19 confirmed cases trend for Canada?,5,cases
617,How many cases in Montreal,5,cases
871,How many patients are across the globe? ,5,cases
186,How many confirmed cases in Ontario now?,5,cases
813,How many thing you do not understand,5,
289,How many cases in Montreal?,5,cases
1026,How many days should I isolate for,5,
996,How many cases in Montreal ,5,cases
1063,In how many days can covid be cured? ,5,
1008,How many cases in Quebec ,5,cases
1247,how many death now,5,cases
1220,How many cases are in spain ?,5,cases
1206,Number of cases in Inida,5,cases
1032,How many cases of covid in laval,5,cases
340,how many cases are there in Washington state,5,cases
1301,How many cases in Canada now ? ,5,cases
1195,How many death in Quebec?,5,cases
1293,how long people live after being infected by coronavirus,6,
1566,What should I do if I have Coronavirus symptoms?,6,
353,Is it true that warm kills Coronavirus?,6,
1265,"I was in contact with a person who had coronavirus, what should I do? ",6,
297,How do people get infected with Coronavirus?,6,
223,How long are you contagious if you have Coronavirus?,6,
1478,How do I distinguish between the flu and coronavirus?,6,
986,What's the difference between COVID-19 and CoronaVirus?,6,
1038,What is the half-life of coronavirus?,6,
646,Can anti-viral drugs be used to treat the coronavirus?,6,
594,what are the main symptoms of coronavirus,6,
381,"I think I have coronavirus, should I go to the emergency",6,
295,How do I treat coronavirus?,6,
308,Is it true that warm kills Coronavirus?,6,
1847,Is the phlegm color suggestive of coronavirus? ,6,
464,Will high temperature kill coronavirus?,6,
1148,"What are differences in term of symptoms between the new coronavirus and normal flu, cod",6,
1688,what is coronavirus,6,
953,How to differentiate between coronavirus and simple flu?,6,
1419,what are the symptoms of coronavirus,6,
1417,What is the main symptoms of the disease related to new coronavirus,6,
335,How does coronavirus propagate?,6,
1203,Should I use asprin with I have the coronavirus?,6,
753,is fever a symptom of coronavirus? ,6,
83,What is coronavirus ?,6,
883,"If there are kids around me, do I have to worry if they are infected and I do not know?",7,
872,How i know that i 'm ill,7,
252,may I know what is corona?,7,
1655,How to know if I get COVID-19 or not?,7,
1264,"What measures can I take, if someone I know is effected with the virus",7,
501,what do you know about COVID-19?,7,
713,How do I know if I have the covid-19,7,
1175,how to know that somebody have a corona,7,
822,"My head hurts, my body aches a little and I feel a cold coming. How do I know if this is Covid-19 or just an ordinary cold?",7,
632,How do I know if my chest is hurt because lung damage or another cause?,7,
639,How do I know if I have the flu or coronavirus,7,
1051,how to know if i have corona,7,
13,How do I know if I haver coronavirus?,7,
572,I'd love to know how long I can be contagious?,7,
600,How do I know if I have the corona virus,7,
1450,How do I know if I have been infected?,7,
589,What have you implemented to help older people who do not know how to use the internet/phone to obtain their groceries and medicine?,7,
1423,How do I know I have covid?,7,
1716,How long is this expected to last?,8,
1351,How long will the pandemic last?,8,
1498,Is there an estimate as to how long the crisis will last?,8,
1173,How long does it take an average person to recover?,8,
678,How long does it last once infected ?,8,
1209,how long does COVID-19 virus lasts in the body?,8,
863,How long is the treatment?,8,
1572,How long does it take to recover?,8,
1228,How long will it take for a vaccine to be produced?,8,
1049,How long will it last?,8,
631,How long does it last? ,8,
1331,How long does it takes to get first symptom of Covid-19 ,8,
755,How long until an infected person shows symptoms?,8,
1144,"How long the sickens last, m",8,
740,How long am I infectious for,8,
1530,How long do you think we will have to be in a lockdown ,8,
1845,How long do the symptoms of COVID-19 last for?,8,symptoms
781,How long can the covid-19 survive outside the body,8,about
1768,How long after testing do you receive your COVID-19 results? ,8,test
1667,"If I have covid-19, how long will I be contagious?",8,
1323,How long does COVID-19 live on glass surfaces?,8,
876,How long does it take to recover?,8,
1180,How long will it take to develop a vaccine ? ,8,
607,How long before symptoms start to show? ,8,
1267,How long will social distancing measures last?,8,
946,Does everyone infected need a respirator?,9,
1066,Can I get infected after I healed from it?,9,
798,Can this virus infect me in an airborne fashion?,9,
396,Am I infected,9,
154,How many infected person in south korea?,9,
