,question,ahc_label,ahc_label_lv2
1244,"On a recent study published in ""Nature"" ,it says that the severity of symptoms of COVID-19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed ,my question is ,on what factors does the rate of ACE2 gene expression depends? I",0,15.0
1401,Which are its first symptoms?,0,15.0
1577,"If this is really deep learning, how deep is your model😂",0,15.0
1579,what should I do if I think I infected by corona virus?,0,15.0
1614,Should I be moving house during a pandemic?,0,15.0
1704,What to do if I think I have covid 19?,0,15.0
48,South korea,0,13.0
534,Do I need to disinfect things I buy like groceries and supplies?,0,13.0
723,if i have symptoms should i go to the ER or should I call a doctor?,0,13.0
913,What is the nearest hospital to go to if I have a COVID-19?,0,13.0
986,What's the difference between COVID-19 and CoronaVirus?,0,13.0
1136,How long can the virus stay in the air,0,13.0
1165,Does COVID-19 spread by means of gametes?,0,13.0
1221,What is the meaning of COVID-19?,0,13.0
1336,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",0,13.0
1339,How do i knew if i got covid,0,13.0
1404,How many people died in NYC,0,13.0
1408,What should i do if i am short of breath?,0,13.0
1438,How many people died in Belgium?,0,13.0
1565,Sorry I het enter before I was done.. am I just being paranoid and giving myself an ulcer.. my husband has pulmonary fibrosis so I’m really worried about him ,0,13.0
1654,How covid-19 virus infected?,0,13.0
1681,What is the difference between a bacteria and a virus?,0,13.0
1691,is it made by human or by nature,0,13.0
1711,How many days does it take to see the symptoms,0,13.0
1736,What are covid-19 test centres location in Montreal?,0,13.0
1772,If I have diabetes am I at a higher risk? ,0,13.0
1823,If you start showing flu symptoms should you consult a doctor or stay home?,0,13.0
1847,Is the phlegm color suggestive of coronavirus? ,0,13.0
143,what are the symptoms,2,0.0
276,what are the symptoms of COVID-19?,2,0.0
375,What are the symptoms,2,0.0
380,what are the symptoms,2,0.0
384,What are the symptoms ,2,0.0
413,What are the symptoms,2,0.0
567,What are the symptoms of SARS-COV-2,2,0.0
735,What are the symptoms of Covid-19?,2,0.0
754,Symptoms,2,0.0
844,What is the covid-19 symptoms? ,2,0.0
1009,What do I do if I have symptoms?,2,0.0
1014,What are symptoms ,2,0.0
1174,What are the symptoms of COVID-19?,2,0.0
1182,what are the symptoms of covid-19,2,0.0
1198,What are the symptoms of COVID-19?,2,0.0
1226,What are the symptoms of Covid-19?,2,0.0
1345,what is the symptoms?,2,0.0
1346,symptoms of covid-19,2,0.0
1368,what are covid-19 symptoms?,2,0.0
1444,What are the symptoms?,2,0.0
1520,What are the symptoms of COVID-19,2,0.0
1529,What are the symptoms,2,0.0
1832,What are the symptoms,2,0.0
207,which hospital takes the test for covid 19?,0,17.0
220,What are the symptoms of vivid 19?,0,17.0
246,"As of today, can we gather only 2",0,17.0
563,How can I differ between covid and normal flu ?,0,17.0
578,what is canada quarantine policy?,0,17.0
592,Should I go to the ER or my physician directly if I'm infected?,0,17.0
821,what kind of protective gear do i need to wear?,0,17.0
871,How many patients are across the globe? ,0,17.0
895,Do I need to stay away from my family members if we're all social distancing together in the house?,0,17.0
1064,"if someone had pneumonia before, are they more at risk?",0,17.0
1093,Can you smoke cannabis during Covid?,0,17.0
1139,Can we be contagious when we don't show symptoms?,0,17.0
1147,I recently relocated to Quebec. Can I request RAMQ card with visiting the RAMQ office?,0,17.0
1208,Where do we get the test for COVID-19?,0,17.0
1301,How many cases in Canada now ? ,0,17.0
1330,Define covid 18,0,17.0
1514,what are the symtoms,0,17.0
1645,Can I still go out for grocery shopping even if I'm just getting back from vacations,0,17.0
1716,How long is this expected to last?,0,17.0
1717,What is the situation now in my country?,0,17.0
1747,Does covid transfer through air?,0,17.0
1787,what is this rainbow thing that people are talking about,0,17.0
1822,Does eating Oranges daily help to fight this virus,0,17.0
8,what is covid-19,1,0.0
18,What is it,1,0.0
23,What is Covid-19?,1,0.0
45,What is the COVID-19?,1,0.0
111,What is,1,0.0
356,what's is COVID-19?,1,0.0
373,covid-19,1,0.0
470,Covid-19,1,0.0
635,What should I do?,1,0.0
663,how are you,1,0.0
790,what is covid-19 ?,1,0.0
842,What is COVID-19,1,0.0
880,what is covid-2019,1,0.0
1054,Is COVID-19 air-borne?,1,0.0
1146,What is self-isolation?,1,0.0
1163,What is covid-19?,1,0.0
1202,How are you?,1,0.0
1261,About COVID-19,1,0.0
1273,What is COVID-19?,1,0.0
1290,what is covid-19,1,0.0
1497,What is covid-19?,1,0.0
1510,What is COVID-19?,1,0.0
1513,What can you do?,1,0.0
1534,what is covid-19,1,0.0
1555,How are you ,1,0.0
1609,Covid-19,1,0.0
1825,What’s COVID-19?,1,0.0
194,How much longer will society need to socially isolate?,0,7.0
199,Is itchy throat sign of covid 19,0,7.0
229,when covid 19 is going to stop?,0,7.0
679,Whats corona,0,7.0
681,How Covid-19 started?,0,7.0
995,What is Covid-19 virus?),0,7.0
1036,How long will I be sick if I get the virus,0,7.0
1050,what is pandemic,0,7.0
1072,How long does the virus survive on a surface like a doorknob?,0,7.0
1084,What are the Symptome ,0,7.0
1102,Will people on LTD (Long Term Disability) drill receive their payments?,0,7.0
1134,Does the fever persists in corona ,0,7.0
1419,what are the symptoms of coronavirus,0,7.0
1424,can you please tell me symptoms of corona virus?,0,7.0
1473,When will covid end? ,0,7.0
1487,What places of laval has covid-19,0,7.0
1506,Is the virus deadly?,0,7.0
1542,Is there a treatment for corona virus?,0,7.0
1626,how can one fight the virus ,0,7.0
1649,What's the capital of Palestine?,0,7.0
1661,how many case positive with COVID-19 ?,0,7.0
1702,How many cases of coronavirus in Madagascar,0,7.0
1725,My employer is not implementing social distancing or safety measures in my workplace. What recourse do I have?,0,7.0
1748,how i can test if i have the diease?,0,7.0
1760,Does Wearing gloves help?,0,7.0
1765,I am feeling itchy around my body. Is it a symptom of covid? ,0,7.0
1812,How to stay safe,0,7.0
123,Do we see a future where this virus won't be such a threat anymore? ,0,26.0
201,Where are the testing centers located in Mtl?,0,26.0
348,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,0,26.0
419,"Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country, rich or poor, and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads?",0,26.0
430,I have throat ,0,26.0
570,Do I have to ask a sclerotic question about traveling or something to get an answer ,0,26.0
615,Is it useful to wear a mask if we are not sick?,0,26.0
628,how many deaths are in Italy as of March 21,0,26.0
629,"I am having sore throat, cold, cough, temperature is not stable continuously increases and decreases. So Do I need to go for a test?",0,26.0
812,Where do I go if I have mild symptoms?,0,26.0
1002,What are the risks for people with diabetes? ,0,26.0
1046,What should I use to disinfect grocery bags and grocery items? ,0,26.0
1051,how to know if i have corona,0,26.0
1148,"What are differences in term of symptoms between the new coronavirus and normal flu, cod",0,26.0
1156,How long is incubation period? ,0,26.0
1220,How many cases are in spain ?,0,26.0
1267,How long will social distancing measures last?,0,26.0
1268,"If I catch the virus, will I be immune from getting it again?   ",0,26.0
1327,What is the situation right now in the world?,0,26.0
1351,How long will the pandemic last?,0,26.0
1374,What do I have to expect after the disease?,0,26.0
1451,Should I use Sudafed?,0,26.0
1587,How long does this virus incubate? ,0,26.0
1591,Why is called COVID-19,0,26.0
1670,What should I buy from the stores now that I feel sick?,0,26.0
1673,how many people positive with Covid-19 in the world?,0,26.0
1722,I have asthma. How at risk am I about the possibility of complications?,0,26.0
136,Non,0,12.0
187,"If I’m sneezing, should I get tested for corona virus?",0,12.0
249,what are the conditions under which people are most likely to develop complications versus those who won’t?  ,0,12.0
256,Can I get the virus from a stray cat?,0,12.0
432,I worry for my mental health during quarantine,0,12.0
537,Are research fundings going to be cut as a result of the virus?,0,12.0
542,Does a mask actually help if I'm not sick?,0,12.0
555,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,0,12.0
556,How to protect myself on a plane,0,12.0
600,How do I know if I have the corona virus,0,12.0
621,"If I'm below the age of 30, will I notice symptoms if I'm sick?",0,12.0
694,How many people have it in my town?,0,12.0
757,Can you catch covid 19 after having had it before ,0,12.0
849,what are the risks for someone aged 65?,0,12.0
876,How long does it take to recover?,0,12.0
926,How should I keep my family safe during covid-19?,0,12.0
946,Does everyone infected need a respirator?,0,12.0
954,I have a sore throat. What do I do?,0,12.0
1191,WHat is your name,0,12.0
1266,What is your name,0,12.0
1300,what treatments are available for covid-19?,0,12.0
1319,Shall we stay where we are or travel to our home country?,0,12.0
1333,What's the current count in India,0,12.0
1394,I have a headache for the past 3 days should I be tested ? ,0,12.0
1445,Is it possible to have Covid-19 if you only have one of the symptoms?,0,12.0
1572,How long does it take to recover?,0,12.0
1655,How to know if I get COVID-19 or not?,0,12.0
1768,How long after testing do you receive your COVID-19 results? ,0,12.0
1788,could we have done better?,0,12.0
1849,How COVID-19 is infecting?,0,12.0
0,Are you sick?,0,8.0
159,I have cough. Does that mean I might be infected?,0,8.0
202,mental health,0,8.0
303,What's the point of asking you questions if you don't have answers,0,8.0
336,where can I help?,0,8.0
342,What is the advice surrounding outdoor exercise/sport?,0,8.0
451,What do I do if I suspect I'm infected?,0,8.0
595,when will the pandemic end?,0,8.0
607,How long before symptoms start to show? ,0,8.0
623,When will this end,0,8.0
625,Are there any federal or provincial services to help senior citizens get grocery safely?,0,8.0
627,How long do we need social distanciation for the virus to be less of a threat? ,0,8.0
797,How do we best organize people so that duplicate work is not being done?,0,8.0
907,What are effective immunity boosters?,0,8.0
928,How many COVID-19 related deaths have there been in Montreal?,0,8.0
1000,How fast will the pandemic spread in Canada?,0,8.0
1045,Do I have to wear a mask all the time if I am not infected?,0,8.0
1057,where can I test for covid,0,8.0
1063,In how many days can covid be cured? ,0,8.0
1114,"I would like to get COVID19 test, where can I get it?",0,8.0
1199,When will the pandemic end? ,0,8.0
1284,Can I go out after recovery even if I am still in quarantine time?,0,8.0
1326,I have shortness of breath but no fever,0,8.0
1331,How long does it takes to get first symptom of Covid-19 ,0,8.0
1395,hat should I do if my 2 year old child starts having a runny nose?,0,8.0
1400,Is it possible to be infected again?,0,8.0
1553,When will it stop spreading? Is 2 weeks enough? ,0,8.0
1558,I have a bit of nausea and headache. Do i have covid-19?,0,8.0
1662,"Once you are cured from Covid-19, can you catch it again?",0,8.0
1780,How contagious is the virus?,0,8.0
1845,How long do the symptoms of COVID-19 last for?,0,8.0
5,Does the virus spread by rain?,0,11.0
61,How many people have dies,0,11.0
160,how is going,0,11.0
218,How many cases in Quebec? ,0,11.0
331,I have cold for couple of weeks. Have cough over night and regular mucous during day and night. Feel a bit hot but not fever that can be feel. Sometimes ear pain for infection. Some times get stressed on having corona. Does any of these symptoms suggest that? I have quarantined myself for over 10 days  ,0,11.0
338,how many people positive result with COVID-19,0,11.0
354,is coughing phlem a symptom?,0,11.0
366,"How long could the virus stay alive on doorknobs, traffic signal buttons, stair rails?",0,11.0
572,I'd love to know how long I can be contagious?,0,11.0
633,Is it safe to order food during the COVID-19 pandemic?,0,11.0
736,What are the real symptoms of covid-19 ,0,11.0
854,What precautions should I take with things delivered at home?,0,11.0
901,"Hello, I am social distancing and taking precautions, however I have to share a communal sink. I try to stay as safe as possible by cleaning it, but I have touched the knobs with my bare hands without thinking, can germs spread this way? Should I avoid the sink in general? Thank you! ",0,11.0
931,Do i have a covid or is it just a cold?,0,11.0
1008,How many cases in Quebec ,0,11.0
1032,How many cases of covid in laval,0,11.0
1143,When will we be back to work?,0,11.0
1175,how to know that somebody have a corona,0,11.0
1197,"What are the demographics of people infected, hospitalized and deceased in Quebec, ",0,11.0
1209,how long does COVID-19 virus lasts in the body?,0,11.0
1294,Get I get infected from a dog?,0,11.0
1305,Is there more than one strain of COVID-19?,0,11.0
1323,How long does COVID-19 live on glass surfaces?,0,11.0
1341,What should I do if I start coughing?,0,11.0
1407,I was very sick with covid symptoms in late February and still coughing . Should I go get tested,0,11.0
1436,Is sore throats a symptom ,0,11.0
1496,How many Canadians currently have corona virus?,0,11.0
1668,How to prevent the spread of COVID-19?,0,11.0
1674,When is the vaccine available ?,0,11.0
1798,Is it safe to take a walk outside with my child?,0,11.0
1817,how painful will it be if I got the virus?,0,11.0
15,Is the Asymptomatic Carrier a temporary status? ,0,24.0
149,what are the syptoms?,0,24.0
186,How many confirmed cases in Ontario now?,0,24.0
295,How do I treat coronavirus?,0,24.0
340,how many cases are there in Washington state,0,24.0
372,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,0,24.0
417,When should I visit a doctor?,0,24.0
428,Can COVID-19 stay alive on fresh fruit and vegetables?,0,24.0
512,Why is Trudeau asleep?,0,24.0
798,Can this virus infect me in an airborne fashion?,0,24.0
802,How dangerous it is for pregnant womens?,0,24.0
814,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",0,24.0
817,When this will ever end ,0,24.0
869,Is there a different varient of virus which is spreading across the world,0,24.0
888,Isn't the economy impact (and the panic reaction) going to kill more than the virus? It seems the virus only kills 1%... while over 30% of the population might lose their jobs.,0,24.0
1007,is china responsible for the spreading of COVID-19?,0,24.0
1018,how to prevent ?,0,24.0
1085,Will the pandemic affect university research?,0,24.0
1173,How long does it take an average person to recover?,0,24.0
1181,What COVID-19 stands for?,0,24.0
1203,Should I use asprin with I have the coronavirus?,0,24.0
1262,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs?,0,24.0
1265,"I was in contact with a person who had coronavirus, what should I do? ",0,24.0
1287,What is corona virus?,0,24.0
1392,Is there any medication to take to help?,0,24.0
1423,How do I know I have covid?,0,24.0
1452,From the infected worldwide population what is the ratio that will need medical attention (eg. ICU or ventilators)?,0,24.0
1498,Is there an estimate as to how long the crisis will last?,0,24.0
1607,what has caused it,0,24.0
1648,COVID-19 stands for what?,0,24.0
1686,how much fever should i tolerate before going to the doctor? ,0,24.0
1718,"My COVID-19 test results are pending, and my temperature reached 40C. What should I do?",0,24.0
1848,how many people related covid-19,0,24.0
2,I think I have a fever. What do I do?,0,4.0
118,Will the heat of the summer help fighting the virus?,0,4.0
154,How many infected person in south korea?,0,4.0
206,When will the treatment be available for this pandemic?,0,4.0
211,What is the current situation of COVID-19 infections?,0,4.0
339,How often should i take my temperature?,0,4.0
377,good morning,0,4.0
383,Is fever the main symptom for vivid-19,0,4.0
481,how many people died?,0,4.0
516,Will the groceries shut down?,0,4.0
586,Will the virus affect my sexual ability ,0,4.0
664,When will it be ok to go outside?,0,4.0
683,I need to take a blood test. Is there a large risk for infection?,0,4.0
733,Is a cough but no fever a symptom?,0,4.0
734,If I fully recover from COVID-19 would I still be considered a carrier and transmit the virus?,0,4.0
743,Is the virus vulnerable to high temperature?! Does steam cleaning the surfaces and cloths kills the virus?,0,4.0
775,Can I be contagious even if I don't have symptoms? ,0,4.0
789,Has the virus evolved,0,4.0
813,How many thing you do not understand,0,4.0
835,"If I am starting to breath heavily, should I get it checked out?",0,4.0
865,who needs to be isolated?,0,4.0
872,How i know that i 'm ill,0,4.0
917,Were there documented cases before January 2020?,0,4.0
929,Can you get be infected more than once? ,0,4.0
955,What is the risk for a pregnant women?,0,4.0
981,When should I go to the ER?,0,4.0
1023,What is covid 29,0,4.0
1104,Can I run outside,0,4.0
1195,How many death in Quebec?,0,4.0
1222,Mon chat peut-il attraper la Covid?,0,4.0
1321,What colour is covid 19?,0,4.0
1322,"Why does the government think that we don't need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks, regardless if they are sick or not",0,4.0
1504,how many people have died,0,4.0
1548,What are the confirmed symptoms of COVID19,0,4.0
10,What mesures needs to take a pregnant women to reduce the risk?,0,18.0
13,How do I know if I haver coronavirus?,0,18.0
177,Does a throat feel itchy or really sore and a symptom ,0,18.0
298,"In the U.S., why has the Defense Production Act not been invoked to allow weekly (?) testing of every single person present in The United States?  Yes, this is on the scale of industrialization of the WW2 era, and yes, that is *exactly* what the Defense Production Act is for.",0,18.0
301,Will social distancing slow the spread of covid-19?,0,18.0
306,why is my dick so big,0,18.0
349,is the grocery open?,0,18.0
360,"How can I make sure, I am buying from grocery is safe from COVID-19 ",0,18.0
385,Where should I be tested ?,0,18.0
449,When will the schools reopen?,0,18.0
503,What is the incubation time of covid-19 by age,0,18.0
547,Will 1 meter distancing safe?,0,18.0
589,What have you implemented to help older people who do not know how to use the internet/phone to obtain their groceries and medicine?,0,18.0
590,When will the cure be available ?,0,18.0
680,What is the number of Covid19 cases in the wold,0,18.0
702,Will it get better in summer with higher temperatures?,0,18.0
709,What are the early symptoms of COVID-19,0,18.0
755,How long until an infected person shows symptoms?,0,18.0
820,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,0,18.0
868,Should I not touch my mail?,0,18.0
912,When should I contact a doctor?,0,18.0
982,What is the risk for an asthmatic ?,0,18.0
1073,what is the risk for a pregnent woman ?,0,18.0
1166,Do I need to wash my vegetables and fruits?,0,18.0
1215,"If you contract COVID-19, how do you treat yourself at home?",0,18.0
1254,Do the symptoms start suddenly or they progress slowly from one day to another? ,0,18.0
1274,How long can the virus live?,0,18.0
1299,Corona virus characteristics,0,18.0
1334,Why didn't you answer my first question?,0,18.0
1349,Infomation about covid,0,18.0
1468,When this virus terminated?,0,18.0
1574,Is the virus airborne ,0,18.0
1707,How is it transmitted?,0,18.0
1773,is it dangerous to travel,0,18.0
1779,"should I call to find out more, it’s the coughing and difficulty breathing and fatigue that worries me",0,18.0
156,Why Germany has a low death rate?,0,21.0
165,Are there still flights within Canada?,0,21.0
240,Where can we find ventilator?,0,21.0
278,Can drinking alcohol helps COVID19? ,0,21.0
456,Is it true that you can get the virus again even after you've recovered ,0,21.0
531,I heard hydroxychloroquine is a good treatment for COVID-19. Where can I get it?,0,21.0
550,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",0,21.0
630,Whatbare the symptoms,0,21.0
642,I feel heaviness  in my chest nothing else from last 2 week ,0,21.0
687,Are vet clinics still open?,0,21.0
727,How long does the virus stay in paper money and coins?,0,21.0
809,How am I supposed to work while I have two young children at home?,0,21.0
1043,I think I have COVID,0,21.0
1155,"In this time of crisis, is it okay to feed the raccoons",0,21.0
1161,"i am coughing, what should i do?",0,21.0
1180,How long will it take to develop a vaccine ? ,0,21.0
1186,What is corona virus and COVID19,0,21.0
1205,What the different between corona and COVID_19?,0,21.0
1206,Number of cases in Inida,0,21.0
1207,How did this virus transmit?,0,21.0
1211,Is it ok to go outside to get fresh air?,0,21.0
1217,What's happen for country near the Ecuador with a lot of hot? ,0,21.0
1242,how to prepare for spread of covid 19?,0,21.0
1260,Do I need to be seen by a doctor,0,21.0
1357,Does soap really kill the virus?,0,21.0
1397,Is it safe to go outside for a walk (social distancing from others)?,0,21.0
1402,Can I get infected from food or grocery delivery?,0,21.0
1421,"If my son if suppose to get tested tomorrow, but just starting to feel better. Can I cancel or should we still go?",0,21.0
1478,How do I distinguish between the flu and coronavirus?,0,21.0
1500,What the size,0,21.0
1546,Does washing clothes in the  washing machine prevent transmission ? ,0,21.0
1566,What should I do if I have Coronavirus symptoms?,0,21.0
