,question,ahc_label,cluster
616,What should I buy from the stores now that I feel sick,11.0,unclassified
673,Does eating Oranges daily help to fight this virus,11.0,unclassified
24,Will the heat of the summer help fighting the virus,11.0,unclassified
415,Do I need to wash my vegetables and fruits,11.0,unclassified
144,I think I m sick,11.0,unclassified
209,Are there any federal or provincial services to help senior citizens get grocery safely,11.0,unclassified
263,Is it safe to get a new job that deals with the public,11.0,unclassified
242,Will it get better in summer with higher temperatures,11.0,unclassified
191,What have you implemented to help older people who do not know how to use the internet phone to obtain their groceries and medicine,11.0,unclassified
161,Will the groceries shut down,11.0,unclassified
167,Do I need to disinfect things I buy like groceries and supplies,11.0,unclassified
113,What are the best food to get good immune,11.0,unclassified
254,How long does the virus stay in paper money and coins,12.0,unclassified
135,Can COVID 19 stay alive on fresh fruit and vegetables,12.0,unclassified
251,how much does corona virus stay on each kind of surfaces,12.0,unclassified
645,Does covid transfer through air,12.0,unclassified
35,Can the Covid survive in the air,12.0,unclassified
116,How long could the virus stay alive on doorknobs traffic signal buttons stair rails,12.0,unclassified
440,If you contract COVID 19 how do you treat yourself at home,12.0,unclassified
375,Is COVID 19 air borne,12.0,unclassified
482,How long has the virus been spreading in Canada,13.0,unclassified
639,How is the corona virus being spread,13.0,unclassified
56,How does it spread,13.0,unclassified
386,treatment for covid 19,14.0,unclassified
192,When will the cure be available,14.0,unclassified
53,When will the treatment be available for this pandemic,14.0,unclassified
166,I heard hydroxychloroquine is a good treatment for COVID 19 Where can I get it,14.0,unclassified
597,What about the researches with respect to treatment of COVID 19,14.0,unclassified
476,what treatments are available for covid 19,14.0,unclassified
305,How long is the treatment,14.0,unclassified
430,When will the pandemic end,15.0,unclassified
373,what is pandemic,15.0,unclassified
208,When will this end,15.0,unclassified
289,When this will ever end,15.0,unclassified
114,when is this pandemic going to end,15.0,unclassified
196,when will the pandemic end,15.0,unclassified
539,When will covid end,15.0,unclassified
493,Why didn t you answer my first question,16.0,unclassified
492,What s the current count in India,16.0,unclassified
441,What s happen for country near the Ecuador with a lot of hot,16.0,unclassified
71,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery We have Sobey s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way,16.0,unclassified
67,As of today can we gather only 2,16.0,unclassified
452,im sneezing should i be worried,16.0,unclassified
215,How do I know if my chest is hurt because lung damage or another cause,16.0,unclassified
469,What will be th impact on international students,16.0,unclassified
61,Chlono,16.0,unclassified
217,What should I do,16.0,unclassified
141,When will the schools reopen,16.0,unclassified
459,Can I fo,16.0,unclassified
462,What is your name,16.0,unclassified
65,Where can we find ventilator,16.0,unclassified
20,South korea,16.0,unclassified
623,is it made by human or by nature,16.0,unclassified
23,What is,16.0,unclassified
489,What is the situation right now in the world,16.0,unclassified
174,Will 1 meter distancing safe,16.0,unclassified
408,I recently relocated to Quebec Can I request RAMQ card with visiting the RAMQ office,16.0,unclassified
516,hat should I do if my 2 year old child starts having a runny nose,16.0,unclassified
601,Is ordering food from a restaurant discouraged,16.0,unclassified
595,Impacts of it,16.0,unclassified
593,Should I visit my parents in a seniors home,16.0,unclassified
592,when will germany reach the peak,16.0,unclassified
590,Is it transmissible through anal sex,16.0,unclassified
588,Covid19,16.0,unclassified
587,what has caused it,16.0,unclassified
584,Can I still see my friends,16.0,unclassified
605,What s the capital of Palestine,16.0,unclassified
579,If this is really deep learning how deep is your model,16.0,unclassified
181,Will there be any changes in PGWP,16.0,unclassified
39,Are there still flights within Canada,16.0,unclassified
575,Sorry I het enter before I was done am I just being paranoid and giving myself an ulcer my husband has pulmonary fibrosis so I m really worried about him,16.0,unclassified
505,My son is flying from Kansas to England on the 30th April He is flying into Heathrow and then travelling home to Manchester by train,16.0,unclassified
571,How are you,16.0,unclassified
568,Does washing clothes in the washing machine prevent transmission,16.0,unclassified
567,Mortality rate today,16.0,unclassified
187,what is canada quarantine policy,16.0,unclassified
564,is the liquor store open,16.0,unclassified
558,Is Covid19 an airborne,16.0,unclassified
549,What the size,16.0,unclassified
138,I worry for my mental health during quarantine,16.0,unclassified
43,Precautions to measure,16.0,unclassified
52,mental health,16.0,unclassified
541,Suffering from trout echiting,16.0,unclassified
201,what is this site,16.0,unclassified
534,Have there been any deceased children so far,16.0,unclassified
523,What should i do if i am short of breath,16.0,unclassified
131,When should I visit a doctor,16.0,unclassified
529,When will the municipalities post heat maps to identify hot spots for Covid positive residents,16.0,unclassified
634,What is the situation now in my country,16.0,unclassified
12,What is it,16.0,unclassified
240,What is the mortality rate,16.0,unclassified
88,What s the point of asking you questions if you don t have answers,16.0,unclassified
371,How much it s prevelent in Pakistan,16.0,unclassified
432,How are you,16.0,unclassified
362,what is self monitoring,16.0,unclassified
358,how to prevent,16.0,unclassified
89,why is my dick so big,16.0,unclassified
250,Hypertension,16.0,unclassified
8,How s the shortness of breath,16.0,unclassified
252,Could stores open a few hours a week for the elderly,16.0,unclassified
665,Is it safe to jog run outside,16.0,unclassified
237,Are vet clinics still open,16.0,unclassified
336,Is it safe to give blood,16.0,unclassified
324,When should I contact a doctor,16.0,unclassified
321,What are effective immunity boosters,16.0,unclassified
313,how old are you,16.0,unclassified
104,What is the advice surrounding outdoor exercise sport,16.0,unclassified
310,How i know that i m ill,16.0,unclassified
149,When do I expect to hear back from you,16.0,unclassified
148,My father is 80 years and food is delivered to him daily Can food containers and food itself be contaminated by COVID,16.0,unclassified
307,Should I not touch my mail,16.0,unclassified
304,Option to run the questions for children,16.0,unclassified
272,who can you do,16.0,unclassified
290,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,16.0,unclassified
155,When will be done,16.0,unclassified
658,could we have done better,16.0,unclassified
27,Non,16.0,unclassified
119,good morning,16.0,unclassified
426,WHat is your name,16.0,unclassified
13,How to avoid exposure,16.0,unclassified
642,What should you do if you dont have water and soap and sanitizer,16.0,unclassified
77,How can I make the difference between a cold and covid19,16.0,unclassified
227,how are you,16.0,unclassified
410,In this time of crisis is it okay to feed the raccoons,16.0,unclassified
405,When will we be back to work,16.0,unclassified
164,Is ACE Inhibitor harmful,16.0,unclassified
126,what is canada s situation right now,16.0,unclassified
160,Why is Trudeau asleep,16.0,unclassified
398,Who can I make the difference between a cold and covid19,16.0,unclassified
214,How long does it last,17.0,unclassified
548,Is there an estimate as to how long the crisis will last,17.0,unclassified
406,How long the sickens last m,17.0,unclassified
633,How long is this expected to last,17.0,unclassified
372,How long will it last,17.0,unclassified
501,How long will the pandemic last,17.0,unclassified
457,About COVID 19,18.0,unclassified
147,Covid 19,18.0,unclassified
589,Covid 19,18.0,unclassified
360,Why Covid 19,18.0,unclassified
188,Covid,18.0,unclassified
145,Will high temperature kill coronavirus,19.0,unclassified
109,Is it true that warm kills Coronavirus,19.0,unclassified
682,Is the phlegm color suggestive of coronavirus,19.0,unclassified
82,How do I treat coronavirus,19.0,unclassified
221,Can anti viral drugs be used to treat the coronavirus,19.0,unclassified
338,How to differentiate between coronavirus and simple flu,19.0,unclassified
90,Is it true that warm kills Coronavirus,19.0,unclassified
540,How do I distinguish between the flu and coronavirus,19.0,unclassified
76,how is covid 19 spread,20.0,unclassified
79,How does COVID 19 spread,20.0,unclassified
376,How does Covid 19 spread,20.0,unclassified
496,What should I do if I start coughing,21.0,unclassified
297,If I am starting to breath heavily should I get it checked out,21.0,unclassified
431,What to do when i gave cough,21.0,unclassified
655,should I call to find out more it s the coughing and difficulty breathing and fatigue that worries me,21.0,unclassified
224,where did it start,21.0,unclassified
412,i am coughing what should i do,21.0,unclassified
378,If you recover from the virus can you still be a carrier,22.0,unclassified
514,Is there any medication to take to help,22.0,unclassified
257,If I fully recover from COVID 19 would I still be considered a carrier and transmit the virus,22.0,unclassified
261,Should I take the metro,22.0,unclassified
303,What precautions should I take with things delivered at home,22.0,unclassified
102,How often should i take my temperature,22.0,unclassified
661,Is it safe to take a walk outside with my child,22.0,unclassified
143,Is it true that you can get the virus again even after you ve recovered,22.0,unclassified
460,What measures can I take if someone I know is effected with the virus,22.0,unclassified
203,Is it useful to wear a mask if we are not sick,23.0,unclassified
96,Should I wear mask,23.0,unclassified
150,Do I need a mask,23.0,unclassified
486,Why does the government think that we don t need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks regardless if they are sick or not,23.0,unclassified
171,Does a mask actually help if I m not sick,23.0,unclassified
657,what is this rainbow thing that people are talking about,24.0,unclassified
286,How many thing you do not understand,24.0,unclassified
287,Do we have this epidemic and many more to come because we re not taking care of the earth we re destroying more and more trees and humans are eating more wild animals that have viruses per a talk from Alanna Shaikh,24.0,unclassified
225,How many case in montreal,24.0,unclassified
309,How many patients are across the globe,24.0,unclassified
280,How do we best organize people so that duplicate work is not being done,24.0,unclassified
393,Will people on LTD Long Term Disability drill receive their payments,24.0,unclassified
128,how to interact with people,24.0,unclassified
229,What is the probability of dying,24.0,unclassified
68,what are the conditions under which people are most likely to develop complications versus those who won t,24.0,unclassified
599,How many will lose their jobs due to the chinese virus,24.0,unclassified
484,Shall we stay where we are or travel to our home country,25.0,unclassified
26,Do the virus stay in air,25.0,unclassified
671,Should I stay home,25.0,unclassified
317,Does the virus stay on clothing,25.0,unclassified
328,Is staying at home mandatory,25.0,unclassified
666,How to stay safe,25.0,unclassified
403,How long can the virus stay in the air,25.0,unclassified
136,Hello what happens after corona,26.0,unclassified
275,Why is it called Corona virus,26.0,unclassified
418,how to know that somebody have a corona,26.0,unclassified
402,Does the fever persists in corona,26.0,unclassified
481,is there a new form of corona virus,26.0,unclassified
434,What the different between corona and COVID_19,26.0,unclassified
546,How many Canadians currently have corona virus,26.0,unclassified
475,Corona virus characteristics,26.0,unclassified
366,How long will I be sick if I get the virus,27.0,unclassified
391,Can you get the virus twice,27.0,unclassified
341,Can my cat get the virus,27.0,unclassified
464,If I catch the virus will I be immune from getting it again,27.0,unclassified
72,Can I get the virus from a stray cat,27.0,unclassified
400,What do I do if someone with COVID 19 spotted,28.0,unclassified
604,COVID 19 stands for what,28.0,unclassified
583,Why is called COVID 19,28.0,unclassified
293,Where did COVID 19 come from,28.0,unclassified
676,should I worry about covid 19,28.0,unclassified
268,Can you catch covid 19 after having had it before,28.0,unclassified
610,How to know if I get COVID 19 or not,28.0,unclassified
235,How Covid 19 started,28.0,unclassified
613,Once you are cured from Covid 19 can you catch it again,28.0,unclassified
668,How does covid 19 feel,28.0,unclassified
485,What colour is covid 19,28.0,unclassified
139,I cough is it Covid 19,28.0,unclassified
419,How can i cure covid 19,28.0,unclassified
684,How COVID 19 is infecting,28.0,unclassified
365,My brother has COVID 19 What to do,28.0,unclassified
157,what do you know about COVID 19,28.0,unclassified
421,What COVID 19 stands for,28.0,unclassified
0,When should I go to the hospital,,hospital
1,I think I have a fever What do I do,,nextsteps
2,What s covid19,,about
4,What are the synthoms,,symptom
5,what is covid 19,,about
9,How do I know if I haver coronavirus,,nextsteps
10,covid19 symptons,,symptom
11,Is the Asymptomatic Carrier a temporary status,,symptom
14,What is Covid 19,,about
15,What is the covid,,about
16,What is the impact that covid 19 has in the economy,,about
17,Which country infected,,infection
18,What is covid,,about
19,What is the COVID 19,,about
22,What is coronavirus,,about
28,what are the symptoms,,symptom
29,what are the syptoms,,symptom
30,How many infected person in south korea,,infection
31,What is the incubation time of the virus,,incubation
32,Why Germany has a low death rate,,cases
33,I have cough Does that mean I might be infected,,nextsteps
36,Does covid 19 test anonymous,,test
37,What kind of medication can I take if I have the virus,,nextsteps
41,I have fever what I should do,,nextsteps
42,Does a throat feel itchy or really sore and a symptom,,symptom
44,How many confirmed cases in Ontario now,,cases
45,If I m sneezing should I get tested for corona virus,,test
47,What is Covid19,,about
48,Is headache a symptom of this pandemic,,symptom
49,How much longer will society need to socially isolate,,isolation
51,Where are the testing centers located in Mtl,,test
54,which hospital takes the test for covid 19,,test
55,What is the current situation of COVID 19 infections,,infection
57,How many cases in Quebec,,cases
58,What are the symptoms of vivid 19,,symptom
62,if my tempreture is over 39 can i assume that i have covid 19,,nextsteps
63,Is the virus infectious during incubation period,,incubation
66,what is the death rate of the new corona virus,,cases
69,may I know what is corona,,about
70,What is a vaccin becoming available,,about
75,what are the symptoms of COVID 19,,symptom
80,How many cases in Montreal,,cases
81,What are the symptoms of the covid19,,symptom
83,How do people get infected with Coronavirus,,infection
84,In the U S why has the Defense Production Act not been invoked to allow weekly testing of every single person present in The United States Yes this is on the scale of industrialization of the WW2 era and yes that is exactly what the Defense Production Act is for,,test
86,Is the test covered in in CIHIP,,test
87,Will social distancing slow the spread of covid 19,,isolation
91,Why are death rates so different across countries,,cases
93,I am 43 What s the chance of my survival if I get covid,,about
95,What s covid19,,about
97,What are the most common symptoms of COVID 19,,symptom
98,Symptoms of corona,,symptom
99,I have cold for couple of weeks Have cough over night and regular mucous during day and night Feel a bit hot but not fever that can be feel Sometimes ear pain for infection Some times get stressed on having corona Does any of these symptoms suggest that I have quarantined myself for over 10 days,,nextsteps
103,how many cases are there in Washington state,,cases
105,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis,,isolation
110,is coughing phlem a symptom,,symptom
111,what s is COVID 19,,about
112,How many people are infected in Lithuania,,infection
117,I would like clarifications about the fact that test results don t work if you don t have symptoms That does not seem like a commonality we usually see with tests like this,,test
118,What are the symptoms,,symptom
120,what are the symptoms,,symptom
121,I think I have coronavirus should I go to the emergency,,nextsteps
122,Is fever the main symptom for vivid 19,,symptom
123,What are the symptoms,,symptom
124,Where should I be tested,,test
125,What are the main synptoms,,symptom
129,Am I infected,,infection
130,What are the symptoms,,symptom
132,Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country rich or poor and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads,,symptom
134,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days,,isolation
137,I have throat,,nextsteps
140,Symptoms of Covid,,symptom
142,What do I do if I suspect I m infected,,infection
146,What if I have cough,,nextsteps
151,Does Quebec Health Public System have the capacity to fight this COVID 19 outbreak,,symptom
152,how many people died,,cases
154,how can I prevent to get infected,,infection
158,What is the incubation time of covid 19 by age,,incubation
159,what are the main symptoms,,symptom
163,What is covid,,about
165,Can I go outside,,can
168,should I go to the hospital,,hospital
170,What is covid 19,,about
172,What is covid,,about
175,Must the fever symptom related to COVID 19 be a continuous fever or is it possible that the fever is short lived,,symptom
177,Does taking high doses of vitamin C and D help fighting the disease As an immune system booster Is there any study on that,,symptom
182,What are the symptoms of SARS COV 2,,symptom
183,Do I have to ask a sclerotic question about traveling or something to get an answer,,nextsteps
185,what are cov19 symptoms,,symptom
189,My sister in law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID 19 Are the risks for pregnant woman Higher How can she protect,,isolation
193,Should I go to the ER or my physician directly if I m infected,,infection
194,Which country infected,,infection
195,what are the main symptoms of coronavirus,,symptom
198,How do I know if I have the corona virus,,nextsteps
199,What is COVID 19,,about
200,How long before symptoms start to show,,symptom
202,What is covid,,about
204,what is social distancing,,isolation
205,How many cases in Montreal,,cases
206,What is the incubation period for COVID 19,,incubation
207,If I m below the age of 30 will I notice symptoms if I m sick,,symptom
210,How long do we need social distanciation for the virus to be less of a threat,,isolation
211,how many deaths are in Italy as of March 21,,cases
212,I am having sore throat cold cough temperature is not stable continuously increases and decreases So Do I need to go for a test,,test
213,Whatbare the symptoms,,symptom
218,How do I know if I have the flu or coronavirus,,nextsteps
220,How many days can you be contagious without showing symptoms,,symptom
222,Where is the closest testing facility to me,,test
223,Can I go for a run Does running exercise compromise my immune system,,can
226,What s the incubation period,,incubation
230,Can you explain to me what is the covid19,,about
232,How long does it last once infected,,infection
233,Whats corona,,about
234,What is the number of Covid19 cases in the wold,,cases
236,I need to take a blood test Is there a large risk for infection,,infection
241,Does COVID 19 cause stomach issues,,symptom
243,What should I do if i think that i m infected,,infection
244,What are the early symptoms of COVID 19,,symptom
245,When should I consult after the vomitting symptoms for a 4 y o child,,symptom
246,How does it die in asymptomatic people,,symptom
247,What is the period of incubation,,incubation
248,How do I know if I have the covid 19,,nextsteps
249,What is the incubation period,,incubation
253,if i have symptoms should i go to the ER or should I call a doctor,,nextsteps
256,Is a cough but no fever a symptom,,symptom
258,What are the symptoms of Covid 19,,symptom
259,What are the real symptoms of covid 19,,symptom
264,is fever a symptom of coronavirus,,symptom
265,Symptoms,,symptom
266,How long until an infected person shows symptoms,,infection
267,I am coughing but I don t have fever Could I have covid 19,,nextsteps
269,What are the symptoms of Corona,,symptom
271,What are the symptoms of covid19,,symptom
273,What are the symptoms of covid19,,symptom
274,Can I be contagious even if I don t have symptoms,,symptom
276,Does my neighbour have covid 19 symptoms,,symptom
279,what is covid 19,,about
282,Where can I get tested,,test
284,How am I supposed to work while I have two young children at home,,nextsteps
285,Where do I go if I have mild symptoms,,nextsteps
288,What shall I do if I have to go out to buy things to protect myself from corona virus,,nextsteps
295,how many people have died in the US,,cases
296,Symptom,,symptom
298,What is COVID 19,,about
299,What is the covid 19 symptoms,,symptom
300,What s covid19,,about
302,What is the origin of COVID 19,,about
306,who needs to be isolated,,isolation
312,what is covid 2019,,about
314,If there are kids around me do I have to worry if they are infected and I do not know,,nextsteps
316,What is the estimated population that will be infected by the covid 19 virus,,infection
318,Do I need to stay away from my family members if we re all social distancing together in the house,,isolation
319,Hello I am social distancing and taking precautions however I have to share a communal sink I try to stay as safe as possible by cleaning it but I have touched the knobs with my bare hands without thinking can germs spread this way Should I avoid the sink in general Thank you,,nextsteps
320,I have Hashimoto s hypothyroiditis Am I more at risk I also had a PE due to Fv leiden and oral contraceptives in 2001 what do you recommend I do,,nextsteps
322,What was the total number of deaths before and after the virus,,cases
323,What is the current COVID 19 confirmed cases trend for Canada,,cases
325,What is the nearest hospital to go to if I have a COVID 19,,nextsteps
326,Were there documented cases before January 2020,,cases
330,How many COVID 19 related deaths have there been in Montreal,,cases
331,Can you get be infected more than once,,infection
332,Do i have a covid or is it just a cold,,nextsteps
333,What should I do if I start feeling sick with similar symptoms as in covid19,,symptom
334,Does everyone infected need a respirator,,infection
335,What should I do if I have fever,,nextsteps
339,I have a sore throat What do I do,,nextsteps
344,What s the difference between COVID 19 and CoronaVirus,,about
346,What is covid19,,about
348,What is Covid 19 virus,,about
349,How many cases in Montreal,,cases
354,How many cases in Quebec,,cases
355,What do I do if I have symptoms,,nextsteps
356,What are symptoms,,symptom
357,If I experience symptoms but they are manageable should I still go to the hospital for testing,,hospital
359,What is covid 29,,about
361,How many days should I isolate for,,isolation
363,what is covid 19,,about
364,How many cases of covid in laval,,cases
367,What is the half life of coronavirus,,about
368,I think I have COVID,,nextsteps
369,Do I have to wear a mask all the time if I am not infected,,nextsteps
374,how to know if i have corona,,nextsteps
377,where can I test for covid,,test
379,What are the symptoms of corona virus,,symptom
382,Can I get infected after I healed from it,,infection
383,I am in self isolation Is it ok to let in family members who must continue to go to work,,isolation
388,What are the Symptome,,symptom
390,If I have symptoms and I am told to stay home can I take Tylenol,,nextsteps
394,What are the covid simptons,,symptom
395,I would like to get COVID19 test where can I get it,,test
397,How many people are infected in toronto,,infection
401,What is Covid 19,,about
404,Can we be contagious when we don t show symptoms,,symptom
407,What is self isolation,,isolation
409,What are differences in term of symptoms between the new coronavirus and normal flu cod,,symptom
411,How long is incubation period,,incubation
413,What is covid 19,,about
417,What are the symptoms of COVID 19,,symptom
422,what are the symptoms of covid 19,,symptom
423,Doeas the software is automatic in English because I use an English device If I ask in French the answer will be in French,,symptom
424,I have fever 38 C Is that corona virus symptoms,,nextsteps
425,What is corona virus and COVID19,,about
427,How many death in Quebec,,cases
428,What are the demographics of people infected hospitalized and deceased in Quebec,,infection
429,What are the symptoms of COVID 19,,symptom
433,Should I use asprin with I have the coronavirus,,nextsteps
435,Number of cases in Inida,,cases
437,Where do we get the test for COVID 19,,test
442,List of Canadian hospitals treating not testing patients with COVID 19,,test
443,How many cases are in spain,,cases
444,What is the meaning of COVID 19,,about
446,What are the symptoms of Covid 19,,symptom
448,What is COVID 19,,about
450,On a recent study published in Nature it says that the severity of symptoms of COVID 19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed my question is on what factors does the rate of ACE2 gene expression depends I,,infection
451,how many death now,,cases
453,Symptom,,symptom
454,Do the symptoms start suddenly or they progress slowly from one day to another,,symptom
455,what is self isolation,,isolation
461,I was in contact with a person who had coronavirus what should I do,,about
463,How long will social distancing measures last,,isolation
