,timestamp_est,anonymous_id,language,question,detected_lang,text,translation,cluster,ahc_label
26,2020-03-20T10:32:08.412Z,f02c477f-ca49-43d3-a93b-cfed6cffa34c,fr,"je vous contacte pour mon conjoint qui n’a pas accès à internet, ni téléphone. Il travail dans une centrale nuclélsire dans la grande région de Toronto. Il est très exposé aux risques d’attraper le virus. Il y a environ 3000 travailleurs à chaque jour qui passent au meme endroits. Il est contracteur, et la Centrale a décider de renvoyer les contracteur chez eux par mesure préventive, car il y aurait eu des travailleurs avec des symptomes qui sont repartis à la maison cette semaine. Mon chum a un système immunitaire assez bas, il a même une crise de Zona en ce moment. Il aimerait se faire tester pour la Covid 19 AVANT de revenir à la maison, pour éviter de contaminer notre petite famille. ",fr,je vous contacte pour mon conjoint qui n a pas acces a internet ni telephone il travail dans une centrale nuclelsire dans la grande region de toronto il est tres expose aux risques d attraper le virus il y a environ travailleurs a chaque jour qui passent au meme endroits il est contracteur et la centrale a decider de renvoyer les contracteur chez eux par mesure preventive car il y aurait eu des travailleurs avec des symptomes qui sont repartis a la maison cette semaine mon chum a un systeme immunitaire assez bas il a meme une crise de zona en ce moment il aimerait se faire tester pour la covid avant de revenir a la maison pour eviter de contaminer notre petite famille,"I am contacting you for my spouse who does not have internet access or a telephone. He works at a nuclear power plant in the greater Toronto area. He is very exposed to the risks of catching the virus. There are around 3000 workers every day who pass through the same places. He is a contractor, and the Centrale decided to send the contractors home as a preventive measure, because there were workers with symptoms who went home this week. My boyfriend has a pretty weak immune system, he's even having a shingles attack right now. He would like to be tested for the Covid 19 BEFORE coming back home, to avoid contaminating our small family.",test,
29,2020-03-20T11:13:42.652Z,fcf2a352-45da-40b5-9fb3-9684ab71b49c,fr,J aimerai savoir mes fille 3 ans et 4 ans son asmatique et ma plus a un problème de systeme immunitaire et je fais une bronchite mon travail demande que je rentre quand meme malgre la situation quels sont mes recours je mets ma famille en danger et moi meme ,fr,j aimerai savoir mes fille ans et ans son asmatique et ma plus a un probleme de systeme immunitaire et je fais une bronchite mon travail demande que je rentre quand meme malgre la situation quels sont mes recours je mets ma famille en danger et moi meme,I would like to know my daughter 3 years and 4 years her asmatic and my more has a problem of immune system and I make a bronchitis my work asks that I return anyway despite the situation what are my remedies I put my family in danger and myself ,nextsteps,
30,2020-03-20T11:08:16.062Z,2cf1d255-62d3-4f65-869e-d08648c25dbe,fr,Je me demande s'il serait mieux de cesser le travail pour l'isolement à la maison?,fr,je me demande s il serait mieux de cesser le travail pour l isolement a la maison,I wonder if it would be better to stop work for home isolation? ,isolation,
32,2020-03-20T17:03:45.262Z,71a29314-2b32-43d5-b09a-1795a5380e60,fr,LP test question,fr,lp test question,LP test question ,test,
33,2020-03-20T16:29:58.774Z,4a67e634-6653-4a89-9b7c-ff3fcb6153ec,fr,Désolé e. C'est fini! Merci,fr,desole e c est fini merci,Sorry e. It's finish! Thank you ,unclassified,6.0
34,2020-03-20T12:41:18.285Z,afaf41f0-251f-4351-916b-c4090e06f920,fr,L’écoulement nasal est-il un symptôme ?,fr,l ecoulement nasal est il un symptome,Is a runny nose a symptom? ,symptom,
37,2020-03-20T12:41:18.293Z,afaf41f0-251f-4351-916b-c4090e06f920,fr,Pouvez vous me décrire la différence entre toux sèche et toux grasse,fr,pouvez vous me decrire la difference entre toux seche et toux grasse,Can you describe to me the difference between dry cough and fatty cough ,unclassified,6.0
38,2020-03-20T15:43:51.453Z,0f708053-4c32-4972-b280-1406d65be370,fr,"Mon copain travail dans le même garage qu'un autre dont les beaux-parents sont en attentes de résultats e dépistage, s'ils ne travaillent pas côte a côte, est-ce que ça me met a risque de voir mon copain?",fr,mon copain travail dans le meme garage qu un autre dont les beaux parents sont en attentes de resultats e depistage s ils ne travaillent pas cote a cote est ce que ca me met a risque de voir mon copain,"My boyfriend works in the same garage as another whose step-parents are waiting for results of screening, if they do not work side by side, does Does it put me at risk of seeing my boyfriend?",dangerisk,
39,2020-03-20T18:10:01.5Z,92f6836c-4340-4186-b017-9e3156b4635c,fr,"Si on fait du diabète de type 2 et qu'on est traité pour de l'hypertension, on devient combien plus vulnérable qu'un individu sans problème de cette nature?",fr,si on fait du diabete de type et qu on est traite pour de l hypertension on devient combien plus vulnerable qu un individu sans probleme de cette nature,"If you have type 2 diabetes and are treated for hypertension, how much more vulnerable do you become than an individual with no such problem? ",unclassified,46.0
40,2020-03-20T19:53:30.054Z,b80bb5e0-f0ba-42a5-b906-3d897a4d3ad5,en,Puis-je sortir prendre une marche si je fais de la fièvre?,fr,puis je sortir prendre une marche si je fais de la fievre,Can I go out for a walk if I have a fever? ,unclassified,3.0
41,2020-03-20T20:18:35.88Z,7bf79286-b8fe-4aa0-a9f0-cb53d3e77ddd,fr,pourquoi dois-je être en confinement,fr,pourquoi dois je etre en confinement,Why do I have to be in confinement? ,isolation,
43,2020-03-21T11:52:34.441Z,02c8b1be-a9a9-4d20-a818-0fb273124620,fr,"Je suis revenue de voyage (en provenance de la France) le 6 mars dernier et j'ai une sensation de brulure dans les bronches depuis quelques jours, dois-je prendre rendez-vous pour me faire tester? Ou simplement rester chez moi et attendre.",fr,je suis revenue de voyage en provenance de la france le mars dernier et j ai une sensation de brulure dans les bronches depuis quelques jours dois je prendre rendez vous pour me faire tester ou simplement rester chez moi et attendre,"I came back from a trip (from France) on March 6 and I have had a burning sensation in the bronchi for a few days, should I make an appointment to get tested? Or just stay with me and wait. ",nextsteps,
44,2020-03-21T11:25:45.462Z,243ce221-7ad9-4421-9c34-f078bb5f4461,fr,Peut-on avoir la COVID-19 2 fois? ,fr,peut on avoir la covid fois,Can we have COVID-19 2 times? ,unclassified,25.0
46,2020-03-21T11:40:04.219Z,863d125e-dfb0-4638-aaba-d191ac9bb9e9,fr,"Est ce que la question: arrivez vous de voyage, est ",fr,est ce que la question arrivez vous de voyage est,"The question: are you traveling, is ",unclassified,27.0
47,2020-03-21T09:30:09.313Z,49614d98-6864-472f-9cce-e748b0dbfb90,fr,Avons-nous une idée dans combien de temps les lieux publics/privés (ex: gyms de CrossFit,fr,avons nous une idee dans combien de temps les lieux publics prives ex gyms de crossfit,Avons-nous une idée dans combien de temps les lieux publics/privés (ex: gyms de CrossFit,unclassified,12.0
48,2020-03-21T10:59:53.419Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,comment obtenir un rdv,fr,comment obtenir un rdv,how to get an appointment ,unclassified,14.0
49,2020-03-21T11:25:45.451Z,243ce221-7ad9-4421-9c34-f078bb5f4461,fr,Quels sont les premiers symptômes à apparaître? ,fr,quels sont les premiers symptomes a apparaitre,What are the first symptoms to appear? ,symptom,
50,2020-03-21T11:05:05.967Z,3e49cb8e-c3da-4192-ac69-85ac0b50cfe0,fr,Dois-je entrer travailler si je suis immunosuprimé,fr,dois je entrer travailler si je suis immunosuprime,Should i come in to work if i am immunosuppressed,unclassified,17.0
53,2020-03-21T12:45:44.062Z,9de3aa0d-6b7c-45b9-bf20-9ff9fe36a6a6,fr,Y a t’il une orientation pour le personnel travaillant en aire ouverte ,fr,y a t il une orientation pour le personnel travaillant en aire ouverte,Is there an orientation for the personnel working in open area ,unclassified,32.0
54,2020-03-21T10:23:56.851Z,9e7442fc-dbbd-4e6b-ac35-f0cc7df8c6b4,fr,Quels sont les symptômes du covid-19?,fr,quels sont les symptomes du covid,What are the symptoms of covid-19? ,symptom,
55,2020-03-21T08:53:40.791Z,54d87c36-4a7d-4b0b-9463-cab2e01db270,fr,mes oiseaux risquent ils d'attrapper le covid-19,fr,mes oiseaux risquent ils d attrapper le covid,are my birds likely to catch covid-19 ,dangerisk,
56,2020-03-21T10:59:53.353Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,"l'allocation familiale annoncée, elle sera versée quand",fr,l allocation familiale annoncee elle sera versee quand,"the announced family allowance, it will be paid when ",unclassified,38.0
57,2020-03-21T11:07:18.655Z,a4e453be-2364-41a1-a9f5-b207aa6c9d26,fr,À quel moment devrions nous nous inquiéter? ,fr,a quel moment devrions nous nous inquieter,When should we be concerned? ,unclassified,35.0
58,2020-03-21T10:23:56.908Z,9e7442fc-dbbd-4e6b-ac35-f0cc7df8c6b4,fr,Y-a-t-il un remède de disponible? ,fr,y a t il un remede de disponible,,unclassified,22.0
59,2020-03-21T10:59:53.366Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,c'est quoi le covid,fr,c est quoi le covid,what is the covid ,about,
60,2020-03-21T10:36:23.684Z,f689b98c-29f7-4a44-8b62-3b69231c8ca5,fr,Si je N'ai pas de fièvre et que je n'ai pas voyagé,fr,si je n ai pas de fievre et que je n ai pas voyage,If I don't have a fever and haven't traveled ,unclassified,37.0
62,2020-03-21T10:09:59.19Z,cd91130c-6c89-4886-adb2-9185d7c74611,fr,Est ce que la diarrhée est réellement un signe avant coureur de la covid?,fr,est ce que la diarrhee est reellement un signe avant coureur de la covid,Is diarrhea really a harbinger of covid? ,unclassified,9.0
63,2020-03-21T09:32:33.317Z,26ec6fa2-378f-4485-908b-10617541e58b,fr,Combien de jours le virus peut-il vivre sur des surfaces?,fr,combien de jours le virus peut il vivre sur des surfaces,How many days can the virus live on surfaces? ,unclassified,26.0
67,2020-03-21T10:59:53.427Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,comment avoir un rendez vous,fr,comment avoir un rendez vous,how to have an appointment ,unclassified,43.0
68,2020-03-21T11:50:01.632Z,87588af0-5b62-46e0-8990-869114b8312e,fr,Un étudiant comme moi peut il être payer à rendre visite aux personnes âgées et être payer ?  ,fr,un etudiant comme moi peut il etre payer a rendre visite aux personnes agees et etre payer,Can a student like me be paid to visit the elderly and be paid?  ,unclassified,6.0
69,2020-03-21T11:47:20.314Z,839f9516-082a-463d-bdee-595d5d59b1ea,fr,Dois-je aller à l'hôpital si j'ai de la température ?,fr,dois je aller a l hopital si j ai de la temperature,Should I go to the hospital if I have a temperature?,nextsteps,
70,2020-03-21T11:38:28.706Z,4928dcc7-affb-4651-8082-051e4f9fe269,fr,"Est ce que le covid 19, qui semble etre comparer a une pneumonie, être traité par antibiotique?",fr,est ce que le covid qui semble etre comparer a une pneumonie etre traite par antibiotique,"Will covid 19, which seems to be compared to pneumonia, be treated with antibiotics? ",unclassified,23.0
72,2020-03-21T10:21:07.55Z,6c5954db-597c-4703-b6e9-4bac39f0cd30,fr,Est-ce que le mal de gorge est un symptôme de la covid? ,fr,est ce que le mal de gorge est un symptome de la covid,Is sore throat a symptom of covid? ,symptom,
73,2020-03-21T10:59:53.377Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,combien de temps va durer la pandémie,fr,combien de temps va durer la pandemie,how long will the pandemic last ,future,
75,2020-03-21T10:59:53.454Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,"j'ai une gastro si je vais en clinique, j'ai peur d'attraper le virus",fr,j ai une gastro si je vais en clinique j ai peur d attraper le virus,"i have a gastroenteritis if i go to a clinic, i am afraid of getting the virus ",nextsteps,
76,2020-03-21T10:59:53.402Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,suis-je a risque ,fr,suis je a risque,am i at risk ,dangerisk,
77,2020-03-21T11:40:04.241Z,863d125e-dfb0-4638-aaba-d191ac9bb9e9,fr,"Est ce que la question, arrivez vous de voyage est encore d'actualite?  Messeble que la propagation est au dela de ca? ",fr,est ce que la question arrivez vous de voyage est encore d actualite messeble que la propagation est au dela de ca,"Est ce que la question, arrivez vous de voyage est encore d'actualite?  Messeble que la propagation est au dela de ca? ",unclassified,27.0
78,2020-03-21T11:25:45.442Z,243ce221-7ad9-4421-9c34-f078bb5f4461,fr,À combien de cas sommes-nous? ,fr,a combien de cas sommes nous,,statistics,
79,2020-03-21T10:21:07.594Z,6c5954db-597c-4703-b6e9-4bac39f0cd30,fr,Que faire si jai une toux et que je fais de la fièvre?,fr,que faire si jai une toux et que je fais de la fievre,what to do if i have a cough and i have a fever? ,unclassified,37.0
80,2020-03-21T10:59:53.466Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,"je suis malade, j'ai peur d'aller voir le medecin et attraper le virus",fr,je suis malade j ai peur d aller voir le medecin et attraper le virus,"I'm sick, I'm afraid to go see the doctor and catch the virus ",nextsteps,
81,2020-03-21T10:21:07.528Z,6c5954db-597c-4703-b6e9-4bac39f0cd30,fr,Est-ce qu'il y aura assez de chômage pour tout le monde qui en a besoin?,fr,est ce qu il y aura assez de chomage pour tout le monde qui en a besoin,Will there be enough unemployment for everyone who needs it? ,unclassified,0.0
82,2020-03-21T11:48:53.564Z,87588af0-5b62-46e0-8990-869114b8312e,fr,Puis-je m’isoler volontairement et être payer ?,fr,puis je m isoler volontairement et etre payer,Can I voluntarily isolate myself and be paid? ,isolation,
83,2020-03-21T11:07:18.65Z,a4e453be-2364-41a1-a9f5-b207aa6c9d26,fr,Quels sont les symptômes du Covid-19 qui ne s’apparente pas à une grippe? ,fr,quels sont les symptomes du covid qui ne s apparente pas a une grippe,What are the symptoms of Covid-19 which is not like flu? ,symptom,
84,2020-03-21T12:34:36.62Z,57443797-c060-462d-9b47-35a3fbfbcbd7,fr,Doit on être confiné ?,fr,doit on etre confine,Should we be confined? ,isolation,
88,2020-03-21T10:59:53.394Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,quela sont les symptomes,fr,quela sont les symptomes,what are the symptoms,symptom,
89,2020-03-21T10:58:17.077Z,373f5a80-0bf4-4b59-b3c1-8d98b37d9888,fr,Avec quoi peut-on désinfecter les surfaces?,fr,avec quoi peut on desinfecter les surfaces,What can you disinfect surfaces with? ,unclassified,36.0
93,2020-03-21T08:56:32.475Z,fb39a023-b0bc-4271-994a-5b6c60a6daa8,fr,Est t il safe de prendre des médicaments t elle que mezavant ou salofak,fr,est t il safe de prendre des medicaments t elle que mezavant ou salofak,Is it safe to take medicine t it that mezavant or salofak ,treatment,
96,2020-03-21T10:59:53.437Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,"j'ai un rhume, j'ai peur de me présenter dans une clinqiue",fr,j ai un rhume j ai peur de me presenter dans une clinqiue,"I have a cold, I am afraid to present myself in a clinic ",nextsteps,
97,2020-03-21T12:08:35.332Z,a4c13d0e-cdbc-48a8-b24a-7135ec3ed285,en,"J'ai eu des symptômes en février avec un peu de difficultés à respirer une fois couchée seulement, faible toux, fièvre, courbatures et amygdales super enflées, et grande fatigue 7 à 10 jours de retour à la normale.",fr,j ai eu des symptomes en fevrier avec un peu de difficultes a respirer une fois couchee seulement faible toux fievre courbatures et amygdales super enflees et grande fatigue a jours de retour a la normale,"I had symptoms in February with a little difficulty in breathing once lying down only, weak cough, fever, aches and super swollen tonsils, and severe fatigue 7 to 10 days back to normal. ",nextsteps,
101,2020-03-21T10:59:53.337Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,suis-je a risque de perdre mon emploi,fr,suis je a risque de perdre mon emploi,am I at risk of losing my job ,dangerisk,
102,2020-03-21T09:30:09.362Z,49614d98-6864-472f-9cce-e748b0dbfb90,fr,"Avons-nous une idée dans combien de temps les lieux publics/privés (ex: gyms de Crossfit, magasins) réouvriront? Avec précautions et directives bien sûr. ",fr,avons nous une idee dans combien de temps les lieux publics prives ex gyms de crossfit magasins reouvriront avec precautions et directives bien sur,"Do we have any idea how soon public / private places (eg Crossfit gyms, stores) will reopen? With precautions and guidelines of course. ",unclassified,12.0
106,2020-03-21T10:37:53.125Z,f689b98c-29f7-4a44-8b62-3b69231c8ca5,fr,Est-ce que nous sommes en période de transmission communautaire?,fr,est ce que nous sommes en periode de transmission communautaire,Are we in a period of community transmission?,unclassified,13.0
107,2020-03-21T09:31:04.859Z,d66fdac6-939a-4737-a37c-69851ecf623a,fr,"Si j’ai une maladie pulmonaire et que je suis infectée par le covid-19, il va s’écouler combien de temps avant de mourir?",fr,si j ai une maladie pulmonaire et que je suis infectee par le covid il va s ecouler combien de temps avant de mourir,"If I have lung disease and I am infected with covid-19, how long will it take before I die? ",nextsteps,
108,2020-03-21T10:36:23.684Z,f689b98c-29f7-4a44-8b62-3b69231c8ca5,fr,Quoi faire si je tousse,fr,quoi faire si je tousse,What to do if I cough ,nextsteps,
112,2020-03-21T11:05:06.001Z,3e49cb8e-c3da-4192-ac69-85ac0b50cfe0,fr,Pourquoi je ne peux pas faire de télétravail dans le domaine de la santé ,fr,pourquoi je ne peux pas faire de teletravail dans le domaine de la sante,Why can't I telecommute in the health sector ,unclassified,4.0
113,2020-03-21T10:52:23.4Z,90f34527-81fa-437a-820d-4200855973a6,en,Qu'arrivera t'il de mon emploi?,fr,qu arrivera t il de mon emploi,What will happen to my job? ,unclassified,0.0
114,2020-03-21T10:59:53.385Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,j'ai besoin d'aide je crois,fr,j ai besoin d aide je crois,I need help I think ,nextsteps,
115,2020-03-21T10:59:53.446Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,"j'ai une gastro, j'ai peur de me présenter dans une clinnique",fr,j ai une gastro j ai peur de me presenter dans une clinnique,"I have a gastroenteritis, I'm afraid to present myself in a clinic ",nextsteps,
117,2020-03-21T11:38:28.685Z,4928dcc7-affb-4651-8082-051e4f9fe269,fr,"Est-ce que le covid 19, qui semble etre comparer a une pneumonie",fr,est ce que le covid qui semble etre comparer a une pneumonie,"Does covid 19, which seems to be compared to pneumonia, ",unclassified,23.0
118,2020-03-21T10:59:53.411Z,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,comment obtenir de l'info pour le depistage,fr,comment obtenir de l info pour le depistage,how to get info for ,unclassified,14.0
122,2020-03-21T13:07:20.011Z,a9087615-d23d-475f-8d82-2988881cefe9,en,Lp test ,fr,lp test,Lp screening test ,test,
124,2020-03-21T14:39:38.156Z,82bb15fa-39f0-4203-9de0-654e2355eb6c,fr,Je tousse depuis 5 jours. Est-ce que je devrais aller à l'urgence?,fr,je tousse depuis jours est ce que je devrais aller a l urgence,I have been coughing for 5 days. Should I go to the emergency room? ,nextsteps,
125,2020-03-21T12:08:45.254Z,b43c1b22-205c-4b49-805f-3b8c0cc3e588,fr,Y a-t-il des dangers pour les femmes enceintes ?,fr,y a t il des dangers pour les femmes enceintes,Are there dangers for pregnant women? ,unclassified,32.0
126,2020-03-21T13:40:33.053Z,7d2fbe6e-02f8-471d-82eb-5eda2cbd4ddb,fr,Est ce que de mettre un masque me protège bien du virus? ,fr,est ce que de mettre un masque me protege bien du virus,Does putting on a mask protect me well from the virus? ,caution,
127,2020-03-21T15:54:28.923Z,c2a02e70-8aeb-47c0-b026-83d46e30c457,fr,Est ce que le Coronavirus part au lavage ? ,fr,est ce que le coronavirus part au lavage,Does Coronavirus go to the wash?,unclassified,13.0
128,2020-03-21T16:32:30.495Z,51ca9f71-017c-41b1-af5e-1de3f19883fe,fr,Est-ce que la transmission communautaire est débuté?,fr,est ce que la transmission communautaire est debute,Has community transmission started? ,unclassified,27.0
130,2020-03-21T15:51:43.742Z,ea3021bb-0785-4fdd-a2af-95ae20568b5c,fr,Que dois-je faire si je présente des symptômes du COVID-19 ?,fr,que dois je faire si je presente des symptomes du covid,What should I do if I have symptoms of COVID-19? ,symptom,
131,2020-03-21T13:22:06.785Z,018327a0-2672-447f-aa15-5168dbde9c1c,fr,"Après 14 jours de confinement, puis-je retourner au travail si je n'ai pas de symptômes?",fr,apres jours de confinement puis je retourner au travail si je n ai pas de symptomes,"After 14 days of confinement, can I return to work if I have no symptoms? ",isolation,
132,2020-03-21T12:34:36.617Z,57443797-c060-462d-9b47-35a3fbfbcbd7,fr,"Bonjour, puis je me réunir avec des amis ?",fr,bonjour puis je me reunir avec des amis,"Hello, can I meet with friends? ",unclassified,10.0
135,2020-03-21T17:35:54.099Z,d8f93e1c-180c-44c8-8c27-7ebeeceda751,fr,Avez-vous des informaticiens sur COVID-19,fr,avez vous des informaticiens sur covid,Do you have IT specialists on COVID-19 ,unclassified,6.0
136,2020-03-21T12:36:05.643Z,c6054612-f7c4-4d46-accb-c3f88d514a6d,fr,Est-ce que on peut être malade mais ne pas présenter de symptômes?,fr,est ce que on peut etre malade mais ne pas presenter de symptomes,Can you be sick but not have symptoms? ,symptom,
137,2020-03-21T15:51:43.605Z,ea3021bb-0785-4fdd-a2af-95ae20568b5c,fr,Combien de gens sont infectés au Canada ?,fr,combien de gens sont infectes au canada,How many people are infected in Canada? ,statistics,
138,2020-03-21T15:54:28.812Z,c2a02e70-8aeb-47c0-b026-83d46e30c457,fr,Quelles sont les symptômes du covid ? ,fr,quelles sont les symptomes du covid,What are the symptoms of covid? ,symptom,
139,2020-03-21T12:45:44.068Z,9de3aa0d-6b7c-45b9-bf20-9ff9fe36a6a6,fr,Est ce que le covoiturage est à éviter en cette période de pandémie ,fr,est ce que le covoiturage est a eviter en cette periode de pandemie,Is carpooling to be avoided during this pandemic period ,unclassified,13.0
140,2020-03-21T13:49:03.253Z,f05dff01-c140-4b69-bc67-80f491f3ae07,fr,Combien de temps le virus survie t'il hors du corps?,fr,combien de temps le virus survie t il hors du corps,How long does the virus survive outside the body? ,viruslife,
141,2020-03-21T14:14:42.311Z,a4c13d0e-cdbc-48a8-b24a-7135ec3ed285,en,Le coronavirus survit-il quand une personne contaminée meurt ?,fr,le coronavirus survit il quand une personne contaminee meurt,Does the coronavirus survive when an infected person dies? ,unclassified,32.0
142,2020-03-21T15:51:43.68Z,ea3021bb-0785-4fdd-a2af-95ae20568b5c,fr,Quels sont les symptômes du COVID-19 ?,fr,quels sont les symptomes du covid,What are the symptoms of COVID-19?,symptom,
143,2020-03-21T14:45:32.533Z,83b1fc46-dfa3-40a5-a728-a0cd08cb003a,fr,"J'ai des écoulements nasaux, est-ce que je devrais me faire tester pour le covid?",fr,j ai des ecoulements nasaux est ce que je devrais me faire tester pour le covid,"I have a runny nose, should I get tested for covid? ",nextsteps,
148,2020-03-21T16:18:43.569Z,c8b7b2a5-a411-4c8a-809b-e376fbef8328,fr,"Mon nez coule, dois-je m'inquiéter?",fr,mon nez coule dois je m inquieter,"My nose is runny, should I worry? ",unclassified,8.0
149,2020-03-21T14:39:38.158Z,82bb15fa-39f0-4203-9de0-654e2355eb6c,fr,"Si je suis en isolement depuis 10 jours et que mes parents aussi, est-ce qu'on devrait se visiter?",fr,si je suis en isolement depuis jours et que mes parents aussi est ce qu on devrait se visiter,"If I have been in isolation for 10 days and my parents too, should we visit each other? ",isolation,
151,2020-03-21T15:39:48.616Z,a6c45235-f509-43c1-9f45-dde1ef257c7d,fr,Combien de morts aujourd’hui dans le monde?,fr,combien de morts aujourd hui dans le monde,How many deaths today in the world? ,unclassified,12.0
152,2020-03-21T15:21:13.73Z,9d9d9bac-8687-4951-b247-5822a98869f0,fr,Quels sont les symptômes du Covid-19 ?,fr,quels sont les symptomes du covid,What are the symptoms of Covid-19? ,symptom,
153,2020-03-21T12:45:44.085Z,9de3aa0d-6b7c-45b9-bf20-9ff9fe36a6a6,fr,La femme enceinte est elle considérée plus à risque ?,fr,la femme enceinte est elle consideree plus a risque,Is the pregnant woman considered more at risk? ,dangerisk,
154,2020-03-21T14:00:29.15Z,0ca32b20-b512-414f-b84c-5f966c4cb042,en,Comment puis-je me faire tester?,fr,comment puis je me faire tester,How can I get tested? ,test,
161,2020-03-21T15:54:28.836Z,c2a02e70-8aeb-47c0-b026-83d46e30c457,fr,Combien de personnes sont infectés à Montréal ? ,fr,combien de personnes sont infectes a montreal,How many people are infected in Montreal? ,statistics,
163,2020-03-21T16:23:07.712Z,254f9eaa-2899-4a93-81db-fa92da868c6d,en,Combien de cas prévoyons nous avoir d’ici 1mois,fr,combien de cas prevoyons nous avoir d ici mois,How many cases do we expect to have within 1 month ,statistics,
165,2020-03-21T15:22:57.414Z,9b1c0bfc-6f52-47df-bed9-cc5a7d292d07,fr,Combien de temps dure un rhume normalement ?,fr,combien de temps dure un rhume normalement,How long does a cold normally last? ,unclassified,49.0
166,2020-03-21T14:21:13.526Z,4e4447a0-86d9-4c54-9d5b-f956e1cf705f,fr,Est-ce qu'il existe actuellement un médicament efficace contre le Covid-19?,fr,est ce qu il existe actuellement un medicament efficace contre le covid,Is there currently an effective drug against Covid-19? ,treatment,
