,question,translated_question
33,Désolé e. C'est fini! Merci,Sorry. It's finish! Thank you
34,L’écoulement nasal est-il un symptôme ?,Is runny nose a symptom?
37,Pouvez vous me décrire la différence entre toux sèche et toux grasse,Can you describe the difference between dry cough and oily cough
38,"Mon copain travail dans le même garage qu'un autre dont les beaux-parents sont en attentes de résultats e dépistage, s'ils ne travaillent pas côte a côte, est-ce que ça me met a risque de voir mon copain?","My boyfriend works in the same garage as another whose step-parents are waiting for screening results, if they do not work side by side, does that put me at risk of seeing my boyfriend?"
39,"Si on fait du diabète de type 2 et qu'on est traité pour de l'hypertension, on devient combien plus vulnérable qu'un individu sans problème de cette nature?","If you have type 2 diabetes and are treated for hypertension, how much more vulnerable do you become than an individual with no such problem?"
40,Puis-je sortir prendre une marche si je fais de la fièvre?,Can I go out for a walk if I have a fever?
41,pourquoi dois-je être en confinement,why should i be in confinement
43,"Je suis revenue de voyage (en provenance de la France) le 6 mars dernier et j'ai une sensation de brulure dans les bronches depuis quelques jours, dois-je prendre rendez-vous pour me faire tester? Ou simplement rester chez moi et attendre.","I came back from a trip (from France) on March 6 and I have had a burning sensation in the bronchi for a few days, should I make an appointment to get tested? Or just stay with me and wait."
44,Peut-on avoir la COVID-19 2 fois? ,Can we have COVID-19 2 times? 
46,"Est ce que la question: arrivez vous de voyage, est ","The question: are you traveling, is "
47,Avons-nous une idée dans combien de temps les lieux publics/privés (ex: gyms de CrossFit,Do we have an idea how long public / private places (ex: CrossFit gyms)
48,comment obtenir un rdv,how to get an appointment
49,Quels sont les premiers symptômes à apparaître? ,What are the first symptoms to appear? 
50,Dois-je entrer travailler si je suis immunosuprimé,Should i come in to work if i am immunosuppressed
53,Y a t’il une orientation pour le personnel travaillant en aire ouverte ,Is there an orientation for the personnel working in open area 
54,Quels sont les symptômes du covid-19?,What are the symptoms of covid-19?
55,mes oiseaux risquent ils d'attrapper le covid-19,are my birds likely to catch covid-19
56,"l'allocation familiale annoncée, elle sera versée quand","the announced family allowance, it will be paid when"
57,À quel moment devrions nous nous inquiéter? ,When should we be worried? 
58,Y-a-t-il un remède de disponible? ,Are there has one available remedy?
59,c'est quoi le covid,what is the covid
60,Si je N'ai pas de fièvre et que je n'ai pas voyagé,If I don't have a fever and I haven't traveled
62,Est ce que la diarrhée est réellement un signe avant coureur de la covid?,Is diarrhea really a harbinger of covid?
63,Combien de jours le virus peut-il vivre sur des surfaces?,How many days can the virus live on surfaces?
67,comment avoir un rendez vous,how to have an appointment
68,Un étudiant comme moi peut il être payer à rendre visite aux personnes âgées et être payer ?  ,Can a student like me be paid to visit the elderly and be paid?  
69,Dois-je aller à l'hôpital si j'ai de la température ?,Should I go to the hospital if I have a temperature?
70,"Est ce que le covid 19, qui semble etre comparer a une pneumonie, être traité par antibiotique?","Will covid 19, which seems to be compared to pneumonia, be treated with antibiotics?"
72,Est-ce que le mal de gorge est un symptôme de la covid? ,Is sore throat a symptom of covid? 
73,combien de temps va durer la pandémie,how long will the pandemic last
75,"j'ai une gastro si je vais en clinique, j'ai peur d'attraper le virus",I have gastroenteritis if I go to the clinic
76,suis-je a risque ,am i at risk 
77,"Est ce que la question, arrivez vous de voyage est encore d'actualite?  Messeble que la propagation est au dela de ca? ","Is the question, are you coming from a trip still relevant? Messeble that the spread is beyond that?"
78,À combien de cas sommes-nous? ,How many cases are we?
79,Que faire si jai une toux et que je fais de la fièvre?,What if I have a cough and I have a fever?
80,"je suis malade, j'ai peur d'aller voir le medecin et attraper le virus","I'm sick, I'm afraid to go see the doctor and catch the virus"
81,Est-ce qu'il y aura assez de chômage pour tout le monde qui en a besoin?,Will there be enough unemployment for everyone who needs it?
82,Puis-je m’isoler volontairement et être payer ?,Can I voluntarily isolate myself and be paid?
83,Quels sont les symptômes du Covid-19 qui ne s’apparente pas à une grippe? ,What are the symptoms of Covid-19 which is not like flu? 
84,Doit on être confiné ?,Should we be confined?
88,quela sont les symptomes,what are the symptoms
89,Avec quoi peut-on désinfecter les surfaces?,What can you disinfect surfaces with?
93,Est t il safe de prendre des médicaments t elle que mezavant ou salofak,T is it safe to take medication that she does MEZAVANT or salofak
96,"j'ai un rhume, j'ai peur de me présenter dans une clinqiue","i have a cold, i'm afraid to show up in a clinic"
97,"J'ai eu des symptômes en février avec un peu de difficultés à respirer une fois couchée seulement, faible toux, fièvre, courbatures et amygdales super enflées, et grande fatigue 7 à 10 jours de retour à la normale.","I had symptoms in February with a little difficulty breathing when I was asleep only, weak cough, fever, aches and super swollen tonsils, and great tiredness 7-10 days back to normal."
101,suis-je a risque de perdre mon emploi,am i at risk of losing my job
102,"Avons-nous une idée dans combien de temps les lieux publics/privés (ex: gyms de Crossfit, magasins) réouvriront? Avec précautions et directives bien sûr. ","Do we have any idea how long it will take for public / private places (eg Crossfit gyms, stores) to reopen? With precautions and guidelines of course."
106,Est-ce que nous sommes en période de transmission communautaire?,Are we in a period of community transmission?
107,"Si j’ai une maladie pulmonaire et que je suis infectée par le covid-19, il va s’écouler combien de temps avant de mourir?","If I have lung disease and I am infected with covid-19, how long will it take before I die?"
108,Quoi faire si je tousse,What to do if I cough
112,Pourquoi je ne peux pas faire de télétravail dans le domaine de la santé ,Why I can't telecommute in health 
113,Qu'arrivera t'il de mon emploi?,What will happen to my job?
114,j'ai besoin d'aide je crois,i need help i believe
115,"j'ai une gastro, j'ai peur de me présenter dans une clinnique","I have a gastro, I am afraid to present myself in a clinic"
117,"Est-ce que le covid 19, qui semble etre comparer a une pneumonie","Does covid 19, which seems to be compared to pneumonia"
118,comment obtenir de l'info pour le depistage,how to get info for screening
122,Lp test ,Lp test 
124,Je tousse depuis 5 jours. Est-ce que je devrais aller à l'urgence?,I have been coughing for 5 days. Should I go to the emergency room?
125,Y a-t-il des dangers pour les femmes enceintes ?,Are there dangers for pregnant women?
126,Est ce que de mettre un masque me protège bien du virus? ,Does putting on a mask protect me well from the virus? 
127,Est ce que le Coronavirus part au lavage ? ,Does Coronavirus go to the wash? 
128,Est-ce que la transmission communautaire est débuté?,Has community transmission started?
130,Que dois-je faire si je présente des symptômes du COVID-19 ?,What should I do if I have symptoms of COVID-19?
131,"Après 14 jours de confinement, puis-je retourner au travail si je n'ai pas de symptômes?","After 14 days of confinement, can I return to work if I have no symptoms?"
132,"Bonjour, puis je me réunir avec des amis ?","Hello, can I meet with friends?"
135,Avez-vous des informaticiens sur COVID-19,Do you have IT specialists on COVID-19
136,Est-ce que on peut être malade mais ne pas présenter de symptômes?,Can we be sick but not show symptoms?
137,Combien de gens sont infectés au Canada ?,How many people are infected in Canada?
138,Quelles sont les symptômes du covid ? ,What are the symptoms of covid? 
139,Est ce que le covoiturage est à éviter en cette période de pandémie ,Is carpooling to be avoided during this pandemic period 
140,Combien de temps le virus survie t'il hors du corps?,How long does the virus survive outside the body?
141,Le coronavirus survit-il quand une personne contaminée meurt ?,Does the coronavirus survive when an infected person dies?
142,Quels sont les symptômes du COVID-19 ?,What are the symptoms of COVID-19?
143,"J'ai des écoulements nasaux, est-ce que je devrais me faire tester pour le covid?","I have a runny nose, should I get tested for covid?"
144,Test ,Test
148,"Mon nez coule, dois-je m'inquiéter?","My nose is runny, should I worry?"
149,"Si je suis en isolement depuis 10 jours et que mes parents aussi, est-ce qu'on devrait se visiter?","If I have been in isolation for 10 days and my parents too, should we visit each other?"
151,Combien de morts aujourd’hui dans le monde?,How many deaths today in the world?
152,Quels sont les symptômes du Covid-19 ?,What are the symptoms of Covid-19?
153,La femme enceinte est elle considérée plus à risque ?,Is the pregnant woman considered more at risk?
154,Comment puis-je me faire tester?,How can I get tested?
161,Combien de personnes sont infectés à Montréal ? ,How many people are infected in Montreal? 
163,Combien de cas prévoyons nous avoir d’ici 1mois,How many cases do we expect to have within 1 month
165,Combien de temps dure un rhume normalement ?,How long does a cold normally last?
166,Est-ce qu'il existe actuellement un médicament efficace contre le Covid-19?,Is there currently an effective drug against Covid-19?
167,Es ce facile de se faire tester si nous avons les symptômes,Is it easy to get tested if we have the symptoms
168,Prendre une marche avec une autre personne c'est risqué?,Is it risky to take a walk with another person?
169,Est ce que je peux aller porter de la nourriture à une personne en quarantaine?,Can I bring food to a quarantined person?
171,Quels sont les critères qui vous permettront de lever l'état d'urgence sanitaire et les consignes de confinement?,What are the criteria that will allow you to lift the state of sanitary emergency and containment instructions?
174,"Je tousse un peu, est ce que je doit me faire tester au covid 19 ? ","I'm coughing a bit, should I get tested at covid 19? "
177,"Combien de temps le virus reste sur les surfaces, les vêtements ou les aliments?","How long does the virus stay on surfaces, clothes or food?"
178,"Ma conjointe travaille dans un commerce essentiel et est en contact avec plein de gens dont on ne peut pas savoir s'ils sont à risque de propagation ou pas.  Je suis à la maison et je ne sors pas depuis 1 semaine.  Si j'ai des symptômes de rhume sans fièvre, devrais-je m'inquiéter?","My spouse works in an essential trade and is in contact with a lot of people who we cannot know if they are at risk of spreading or not. I am at home and I have not been going out for 1 week. If I have cold symptoms without fever, should I be worried?"
181,Qui est plus à risque de mourir du virus ? ,Who is more at risk of dying from the virus? 
185,Mon enfant est malade et a le,My child is sick and has
186,"Comme tierce personne en contacte avec une personne en quarantaine revenant de voyage mais ne présentant pas de symptômes, dois-je me placer en quarantaine?  Et pour quelle période?","As a third party in contact with a quarantined person returning from a trip but showing no symptoms, should I place myself in quarantine? And for what period?"
187,Est ce que je peux visiter ma famille ? ,Can I visit my family? 
188,Tu réponds pas au question?,You don't answer the question?
190,Y'a t'il vraiment un risque de contagion quand je vais faire l'épicerie?,Is there really a risk of contagion when I go grocery shopping?
193,Est-ce que mes enfants peuvent fréquenter d'autres enfants ?,Can my children go with other children?
197,Quand les écoles vont-elles rouvrir?,When will the schools reopen?
199,Combien de temps le virus reste-t-il présent sur les fruits et les légumes?,How long does the virus remain on fruits and vegetables?
201,"Bonjour, j’ai appris que dans le bâtiment où mon père travaille, il y a eu un cas de covid déclaré. On ne sait pas si mon père a été en contact avec cette personne. Il a décidé de passer le test même s’il n’a aucun symptômes. Pour ma part, je n’ai aucun symptômes, est ce que je suis obligé de rester en quarantaine ou je peux continuer à aller travailler tout en prenant mes précautions? Merci  ","Hello, I learned that in the building where my father works, there was a reported case of covid. It is not known if my father was in contact with this person. He decided to take the test even if he had no symptoms. For my part, I have no symptoms, do I have to stay in quarantine or can I continue to go to work while taking my precautions? Thank you  "
203,À quelle distance je dois me tenir des autres personnes pour respecter les consignes du gouvernement ? ,How far do I have to stay from other people to follow government instructions? 
205,Mon autre situation : mes enfants sont en garde partagée et leur père vie avec grand-maman qui revient tout juste de voyage. Les enfants restent avec moi le tempsmque sa quarantaine terminé ( soit le 31 mars prochain) serait il envisageable qu'ils retournent chez papa à cette date où il est préférable qu'ils restent ici le temps que tout se calme?,My other situation: my children are in joint custody and their father lives with grandmother who has just returned from a trip. The children stay with me until their quarantine is over (March 31st). Would it be possible for them to return to Dad's home on this date when it is preferable for them to stay here while everything calms down?
207,Quel médicaments puis je prendre pour diminuer le risque de le contracter ? ,What medications can I take to decrease the risk of getting it? 
209,Puis-je sortir de chez moi si un membre de ma famille qui habite chez moi a le coronavirus? ,Can I leave my home if a family member who lives with me has coronavirus? 
211,À quelle clinique est ce que je peux aller me faire tester au covid 19 ? ,What clinic can I go to get covid 19 tested? 
212,Quelles sont les statistiques québécoises?  ,What are the Quebec statistics?  
213,Je suis inquiet pour une personne actuellement en voyage. Où puis-je obtenir de l’information à ce sujet ?,I am worried about someone currently traveling. Where can I get information on this?
214,"Si j'ai un rhume, est ce que cela peut être le covid 19 ?","If I have a cold, can it be covid 19?"
215,"Mon système immunitaire est très faible, est ce que je peux tout de même aller faire mon épicerie ? ","My immune system is very weak, can I still go grocery shopping? "
219,J’ai lu un article dans La Presse que les syndromes gastro intestinaux sont sous estimés et qu’ils peuvent précéder la toux et la difficulté à respirer. Votre questionnaire n’en fait pas mention.  ,I read an article in La Presse that gastrointestinal syndromes are underestimated and that they can precede coughing and difficulty breathing. Your questionnaire does not mention it.  
223,Le virus survie t'il vraiment plusieurs heures sur l'asphalte?,Does the virus really survive for several hours on asphalt?
228,Je suis enceinte et j’ai des suivis à l’hôpital. Est-ce que je peux être accompagnée?,I am pregnant and I have follow-ups at the hospital. Can I be accompanied?
229,A partir de quelle température de fièvre doit-on s'inquiéter ?,From what temperature of fever should we worry?
230,Quels sont les symptômes de la covid 19 ?,What are the symptoms of covid 19?
231,Lp test ,Lp test 
234,Est ce que vous pensez que la quarantaine obligatoire pour tous aura lieu bientôt?,Do you think that compulsory quarantine for all will take place soon?
236,Peut-on laver les fruits et les légumes avec de l'eau seulement?,Can we wash fruits and vegetables with water only?
237,Je dois me rendre chaque semaine pour faire effectuer des prélèvements pour un suivi serré de mon état de santé (cardiaque). Est-ce que je dois me rendre comme d'habitude au centre de prélèvement ou il existe de nouvelles consignes?,I have to go every week to have samples taken for close monitoring of my (cardiac) health. Do I have to go to the collection center as usual or are there new instructions?
238,Auriez-vous une recette de galette portugaise?,Do you have a Portuguese galette recipe?
240,Où puis-je faire du bénévolat pour aider les personnes en isolement dans le besoin ?,Where can I volunteer to help people in isolation in need?
241,Qui doit se faire tester pour la covid?,Who should be tested for the covid?
242,Est il utile de porter un masque ?,Is it useful to wear a mask?
243,Est-ce que je peux allaiter mon bébé si j'ai le covid 19? ,Can I breastfeed my baby if I have covid 19? 
246,"J'ai peur d'attraper le virus, que dois-je faire ??? ","I'm afraid of catching the virus, what should I do ??? "
247,Les animaux peuvent-ils transmettre le COVID-19?,Can animals transmit COVID-19?
248,Est ce que je peux continuer à aller faire mon sport dehors ? ,Can I keep going outside to do my sport? 
249,Combien de temps le virus reste-t-il sur les surfaces?,How long does the virus stay on surfaces?
251,"J’ai de la toux grasse et mon nez coule, est-ce que j’ai le coronavirus?","I have a heavy cough and my nose is runny, do I have coronavirus?"
253,Est ce que les enfants de moins de 1 an sont plus à risque d'avoir des complications ? ,Are children under the age of 1 more at risk for complications? 
254,Comment prévenir la transmission du virus ? ,How to prevent the transmission of the virus? 
256,Suite... Est ce que j'aurai droit à une aide quelconque si la situation perdure compte tenu que je n'ai pas d'emploi et que mon prêt scolaire se termine? ,More ... Will I be entitled to any assistance if the situation persists given that I have no job and my school loan is ending? 
258,Combien de gens sont infectés au Québec ?,How many people are infected in Quebec?
259,"Je ressens de léger brulement aux bronches, est-ce un symptôme?","I feel a slight burning in the bronchi, is this a symptom?"
260,Est-ce que les asthmatiques ont plus de risques de complication suite à une infection au covid-19?,Are asthmatics at greater risk of complications from covid-19 infection?
263,Quels sont les traitements ?,What are the treatments ?
264,Est-ce nécessaire de tout nettoyer les produits d'épicerie rapportés à la maison?,Is it necessary to clean all the groceries brought home?
265,Quand la pandémie va-t-elle se terminer?,When will the pandemic end?
266,Devrait-on cesser la garde partagée?,Should we cease joint custody?
269,Combien de temps le Coronavirus reste il sur les habits ? ,How long does Coronavirus stay on clothes? 
276,Est ce que la température chaud ou froid peut tuer le virus?,Can hot or cold temperatures kill the virus?
280,"J’ai été en contact avec un membre de ma famille qui est revenu de voyage il y a 5 jours, il est asymptomatique, je fais de la fièvre et je tousse depuis hier, dois-je me faire tester?","I was in contact with a family member who came back from a trip 5 days ago, he is asymptomatic, I have a fever and I have been coughing since yesterday, should I get tested?"
282,Combien de gens sont mort du covid-19 au canada?,How many people have died of covid-19 in canada?
284,"Bonjour, voici ma situation : je suis maman monoparentale aux études à temps plein ( technique collégiale/dernière session) ma seule source de revenu étant mes prêt et bourses le dernier dépôt de l'AFE sera le 1er mai","Hello, here is my situation: I am a single mom studying full time (college technique / last session) my only source of income being my loans and grants the last deposit of the AFE will be May 1"
286,Est ce sécuritaire d'aller faire mon épicerie avec mes enfants ? ,Is it safe to go grocery shopping with my kids? 
287,Est-ce que je peux continuer à prendre des marches avec des amis ?,Can I continue to take walks with friends?
290,Doit on lavé les emballages fruits et légumes ramené de l'épicerie avant des les ranger dans nos placards? ,Should we wash the fruit and vegetable packaging brought back from the grocery store before putting them in our cupboards? 
291,Combien de gens sont infectés dans ma région / dans la région X ?,How many people are infected in my region / in region X?
296,Bonjour,Hello
297,"Pourquoi les statistiques du Québec contiennent toujours 22 personnes dans une région ""Indéterminée"" et ce jour après jour?","Why do Quebec statistics always contain 22 people in an ""Indeterminate"" region and this day after day?"
298,Combien de temps le virus survit sur une surface sèche ? ,How long does the virus survive on a dry surface? 
299,Quel est le danger pour un nouveau né?,What is the danger for a newborn baby?
303,Lp test ,Lp test 
305,Combien de  temps le virus survit sur une surface humide? ,How long does the virus survive on a wet surface? 
307,Comment savoir quelle centre de personnes âgées sont affecté?,How do I know which elderly center is affected?
310,Est-ce que mon type de sang a un lien avec les risques que j’attrape la maladie?,Is my blood type related to the risk of catching the disease?
311,Est ce que la fièvre est le premier symptômes ou le mal de gorge?,Is fever the first symptom or sore throat?
314,Comment savoir si je suis infecte?,How do I know if I'm infected?
316,Quel est le délai avant l'apparition des 1er symptômes,What is the delay before the appearance of the 1st symptoms
319,Comment on fait pour se protéger?,How do we protect ourselves?
321,Puis-je sortir dehors?,Can I go outside?
322,pourquoi les salons de coiffure sont pas fermés?,why are the hair salons not closed?
326,Mon mari revient de voyage et vit avec moi. Que dois-je faire?,My husband comes back from a trip and lives with me. What should I do?
327,Quand est-ce qu'il faut consulter ?,When should you consult?
328,est-ce qu'il y une façon d'aider?,is there a way to help?
329,Est ce que je peux sortir faire du jogging lors de la période d’isolation volontaire? ,Can I go jogging during the period of voluntary isolation? 
330,Dans combien de temps aura-t-on un vaccin?,How long will it take to get a vaccine?
331,Quel est le % de la population touchée par chaque pays dans le monde?,What is the% of the population affected by each country in the world?
332,Est-ce qu’il existe un remède contre la maladie?,Is there a cure for the disease?
335,Le temps d'incubation est 14 ou 20 jours?,The incubation time is 14 or 20 days?
336,Les enfants sont-ils plus à risque?,Are children more at risk?
337,"Je n'ai pas de symptômes du Covd, mais je suis prof donc cotôyer des gens qui ont voyagé à la relâche. Dois-je vraiment rester 14 jours chez moi ou je peux me permettre d'aller à l'épicerie en prenant quand même mes précautions?","I have no symptoms of Covd, but I am a teacher so I sleep with people who have traveled to school. Do I really have to stay 14 days at home or can I afford to go to the grocery store while taking my precautions anyway?"
340,Quelle est la période d'incubation ?,What is the incubation period?
343,Est-ce que je peux transmettre le covid 19 si je l'ai déjà eu? ,Can I transmit covid 19 if I have already had it? 
344,je tousse est ce que jai le corona virus,i cough do i have the corona virus
345,Est ce que au delà de 14 d'isolement il n'y a plus de risque de contagion ?,Is beyond 14 of isolation there is no more risk of contagion?
348,j'ai des symptomes je fais quoi,i have symptoms i do what
349,Comment magasiner en tempa de pandémie ?,How to shop in pandemic tempa?
351,Le virus est-il aussi virulent dans les pays proche de l'équateur ? ,Is the virus also virulent in countries near the equator? 
353,Est-ce qu'il vaut mieux éviter de prendre une marche quand il y a beaucoup de monde dehors?,Is it better to avoid taking a walk when there are a lot of people outside?
355,Comment peut-on contracter le covid19?,How can you get covid19?
356,Quels sont les types de traitement en expérimentation qui pourraient permettre de réduire l’inflammation causée par la COVID-19?,What are the types of experimental treatment that could help reduce the inflammation caused by COVID-19?
357,Origine du virus,Origin of the virus
358,Il y a combien de cas dans la région de la Mauricie,There are how many cases in the Mauricie region
359,Quelles personnes sont plus à risque contre le covid-19?,Who is more at risk for covid-19?
360,"Mon chat reste libre de ces mouvements, peut-il ramener le virus à la maison ? ","My cat remains free from these movements, can it bring the virus home? "
361,Quel est le % de la population touchée par chaque province au Québec?,What is the% of the population affected by each province in Quebec?
363,Est-ce que s'assoir sur le siège d'une toilette publique est dangereux?,Is sitting on the seat of a public toilet dangerous?
364,Est-ce que l’écoulement nasal est un symptôme?,Is a runny nose a symptom?
365,Que doit-on faire si notre enfant a le nez qui coule,What should we do if our child has a runny nose
367,Pourquoi est-ce que le Covid-19 est aussi contagieux?,Why is the Covid-19 so contagious?
368,Combien de fois par jour dois-je me laver les mains ?,How many times a day should I wash my hands?
369,Quels sont les délais avant que j'aie mes résultats ?,How long does it take before I get my results?
372,"Si nous avons le covid-19, combien de temps sommes-nous contagieux?","If we have covid-19, how long are we contagious?"
373,Durée de la pandémie,Duration of the pandemic
374,"Si je suis infirmière et enrhumée, dois-je me placer en confiminement","If I am a nurse and have a cold, should I place myself in confinement"
375,Pourquoi je dois m'isoler?,Why do I have to isolate myself?
376,Le port du masque est requis pour tous ? ,Is everyone wearing a mask? 
378,"Comment nettoyer les surfaces poreuses comme les sacs à main, sacs à dos, sacs d'épicerie réutilisables?","How to clean porous surfaces like handbags, backpacks, reusable grocery bags?"
380,Combien de temps est ce que le virus reste actif sur les surface lisse? ,How long does the virus stay active on smooth surfaces? 
381,J'ai mal à la gorge sans aucun autre symptômes. Dois-je m'inquiéter?,I have a sore throat without any other symptoms. Do I have to worry?
383,Puis je avoir la Covid 19 une 2 fois?,Can I have Covid 19 twice?
384,Où puis-je me faire tester ?,Where can I get tested?
386,"Le virus peut-il muter? Si oui, quelles sont les conséquences de la mutation ?","Can the virus mutate? If so, what are the consequences of the transfer?"
387,Durée du confinement,Duration of confinement
388,Est ce que l’assurance maladie sera valide à l’extérieur de la province?,Will health insurance be valid outside the province?
389,Puis-aller souper chez des amis?,Can I go to dinner with friends?
392,Combien de temps doit rester une personne en quarantaine après être guérie du covid-19?,How long should a person in quarantine stay after being cured of covid-19?
396,Symptômes ,Symptoms 
399,La Chloroquine soigne la COVID19 ?,Chloroquine treats COVID19?
401,"J’ai des symptômes, mais je n’ai pas voyagé. Devrais-je me faire tester? ","I have symptoms, but I have not traveled. Should I get tested?"
403," Combien de temps une personne infectée peut-elle rester contagieuse?  (Nous savons que le virus prend 2 à 14 jours pour se developper. Mais lorsqu'il se manifeste, combien de temps demeurons nous contagieux?)"," How long can an infected person remain contagious? (We know that the virus takes 2 to 14 days to develop. But when it manifests, how long do we stay contagious?)"
405,Combien de temps le virus reste t-il vivant sur une surface telle qu'une barre de métro ?,How long does the virus stay alive on a surface such as a metro bar?
406,"Est ce l’on a des migraines comme symptômes de la COVID-19, svp?","Do we have migraines as symptoms of COVID-19, please?"
407,Quel est le test administré pour le diagnostique ? combien prend-il de temps pour avoir une réponse? Quelles est sa mesure de sensibilité?,What is the test administered for the diagnosis? how long does it take to get an answer? What is his measure of sensitivity?
408,il est considéré '' permit '' '' ou non recommandé '' ''ou a proscrire''  de prendre une marche de santé à l'extérieur en solo ou en couple ou en famille en tenant compte des regles de distanciation ?,it is considered '' permit '' '' or not recommended '' '' or to be prohibited '' to take a health walk outside solo or as a couple or family taking into account the rules of distancing?
409,Est-ce que le virus donne mal au ventre ?,Does the virus make your stomach ache?
411,Quelle est la durée normale de quarantaine si on est atteint du covid-19,What is the normal length of quarantine if you have covid-19
412,"Je dois rentrer d'urgence au pays, les aéroports sont-ils des lieux sûr ? ","I have to return home urgently, are the airports safe places? "
414,Y a t-il des symptômes plus rare du corona virus?,Are there rarer symptoms of corona virus?
416,Quelles sont les risque que j'ai de pogner le virus covid-19,What are the risks I have of catching the covid-19 virus
418,Durant combien de temps sommes nous contagieux quand on a la COVID-19?,How long are we contagious when we have COVID-19?
419,Est-ce que l’essoufflement fait partie des symptômes? ,Is shortness of breath part of the symptoms? 
420,Est-ce que le covid-19 est contagieux?,Is covid-19 contagious?
421,Peut-on avoir le corvidé-19 sans avoir tous les symptômes?,Can you have corvid-19 without having all the symptoms?
423,Est ce que je dois porter un masque pour sortir de chez moi? ,Do I have to wear a mask to get out of my house? 
426,Est ce que pe groupe sanguin peut avoir une incidence sur la contraction du virus? ,Can this blood group affect the contraction of the virus? 
427,Est-ce que je dois laver tout ce qui revient de l’épicerie?,Do I have to wash everything that comes from the grocery store?
428,Quelles sont les mesures de sécurité pour minimiser le risque COVID-19,What are the security measures to minimize the risk COVID-19
429,Qu'est-ce qu'un virus?,What is a virus?
432,Quels sont les symptômes la maladie ?,What are the symptoms of the disease?
433,Quels sont les principaux symptômes du COVID-19?,What are the main symptoms of COVID-19?
435,"Mon employeur ne désinfecte pas mon lieu de travai, est-ce un risque ","My employer does not disinfect my workplace, is it a risk "
437,Quel est le % de la population touchée par chaque province au Canada?,What is the% of the population affected by each province in Canada?
439,Puis-je continuer à entretenir une relation avec ma conjointe ? ,Can I continue to maintain a relationship with my spouse? 
440,Est-ce que mon journal du matin peut porter le virus si le livreur est porteur?,Can my morning newspaper carry the virus if the delivery man is a carrier?
441,Dois-je déclarer mon état de santé en toute confidentialité? ,Do I have to declare my state of health confidentially? 
442,Quel est l’âge le plus sensible au covid-19?,What is the most sensitive age to covid-19?
443,Qu'est ce que c'est le COVID-19 ?,What is COVID-19?
444,Taux de décès ,Death rate 
445,Taux de mortalité ,Mortality rate 
447,C dangereux pour quelqu'un hasmatique,C dangerous for someone hasmatic
448,Comment puis-je faire mes courses alimentaires en sécurités ? ,How can I do my food shopping safely? 
450,Si j'ai de la température et de la toux que dois-je faire,"If I have a temperature and cough, what should I do?"
