,id,timestamp_est,anonymous_id,language,question,detected_lang,cluster,tags
15,35,2020-03-20 15:24:20,aa2931e9-bac7-4345-9850-c975e8f3b69c,en,something something this is jared testing,en,personal-testing,
16,36,2020-03-20 16:31:19,dc065361-3739-4ccb-b0ad-0bf81ee0da6a,en,What range is the fever at normally if COVID-19 suspected?,en,personal-whatif,
17,42,2020-03-20 22:04:29,21839e4b-e5cd-4a69-ae87-58cb47db97eb,en,I got the flu two weeks ago and are getting symptoms again,en,covid-symptoms,
18,45,2020-03-21 11:32:10,470bcaef-ae5a-45ad-a380-b79ad65d42b8,en,Is it safe to go outside for a walk (social distancing from others)?,en,personal-isolation,
19,51,2020-03-21 11:41:52,abaf5c73-4246-463f-acdb-8acc5b349dee,en,Should I stay home ?,en,unclassified,
20,52,2020-03-21 12:53:58,66c7bd79-e62c-428a-adac-f69fb087691c,en,is migraines a symptom?,en,covid-symptoms,
21,61,2020-03-21 9:58:37,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,how can I prevent myself from getting sick?,en,personal-caution,
22,64,2020-03-21 9:58:37,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,Can I visit my parents?,en,unclassified,
23,65,2020-03-21 11:32:10,470bcaef-ae5a-45ad-a380-b79ad65d42b8,en,How often should i take my temperature?,en,unclassified,
24,66,2020-03-21 12:16:29,cba04012-0cfb-430c-b660-4abeeeb1aa70,en,I have a headache and an itchy throat. Am I at risk?,en,personal-symptoms,
25,71,2020-03-21 11:51:21,5b925b2f-4861-464c-837c-d8656bedfdcc,en,How long does it last?,en,unclassified,
26,74,2020-03-21 11:42:59,5fb9b2b2-2fd7-4f6a-811f-b96aaf99b279,en,Is it safe to order food during the COVID-19 pandemic?,en,unclassified,
27,85,2020-03-21 9:45:35,fdb9ea21-a2c4-4562-b182-b28ff01f256b,en,How do I know if I have the corona virus,en,personal-symptoms,
28,86,2020-03-21 11:06:24,92b082a8-7e8c-4f2e-81e1-ba052f1aaa86,en,I  take daily walks but keep a 6 ft distance when I talk to someone. Is that OK?,en,situation-lockdown,
29,90,2020-03-21 9:45:35,fdb9ea21-a2c4-4562-b182-b28ff01f256b,en,How can I get tested if I'm asymptomatic?,en,personal-whatif,
30,91,2020-03-21 2:07:44,db5a20f9-6ce4-4c89-9833-f4fa5bb70b98,en,Does eating Oranges daily help to fight this virus,en,covid-fight,
31,92,2020-03-21 11:41:52,abaf5c73-4246-463f-acdb-8acc5b349dee,en,Where should I be tested ?,en,personal-testing,
32,94,2020-03-21 9:10:27,7b743f72-9dea-4951-908a-24e873d76a34,en,What are the symptoms of COVID-19?,en,covid-symptoms,
33,95,2020-03-21 11:51:21,5b925b2f-4861-464c-837c-d8656bedfdcc,en,How long before we are healed,en,unclassified,
34,98,2020-03-21 9:58:37,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,How do I treat coronavirus?,en,unclassified,
35,99,2020-03-21 9:58:37,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,Is it safe to travel to chicago?,en,unclassified,
36,100,2020-03-21 11:47:19,366a31ab-98bf-4466-b9f3-7b499ac6d75c,en,How many asymptomatic people are there likely to be?,en,situation-stats,
37,103,2020-03-21 9:58:37,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,When will it be ok to go outside?,en,situation-lockdown,
38,104,2020-03-21 9:22:37,507092f6-fee4-47e3-89a1-39c932ac23ae,en,age wise statistics for covid-19,en,situation-stats,
39,105,2020-03-21 2:07:44,db5a20f9-6ce4-4c89-9833-f4fa5bb70b98,en,Does temperature has any effect on the virus,en,unclassified,
40,109,2020-03-21 8:52:34,04227e51-dd74-4104-9b40-f1be16f97eea,en,How long will it take to develop a vaccine ?,en,covid-med,
41,110,2020-03-21 9:45:35,fdb9ea21-a2c4-4562-b182-b28ff01f256b,en,How do I know when to get tested?,en,personal-testing,
42,111,2020-03-21 12:03:39,0d1368ad-6269-497a-92be-bef48c314dcd,en,Are research fundings going to be cut as a result of the virus?,en,unclassified,
43,116,2020-03-21 12:40:09,17a0efa7-9250-48eb-8b2e-32ea3f85abaf,en,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",en,covid-life,
44,119,2020-03-21 14:17:51,a3b6c189-79f6-4af2-af92-db67168e987b,en,I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?,en,personal-symptoms,
45,121,2020-03-21 16:15:49,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Is there a cure for corona virus?,en,covid-med,
46,123,2020-03-21 16:15:49,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Are young people susceptible to corona virus?,en,unclassified,
47,129,2020-03-21 16:15:49,3eb07cc6-e9a7-40d0-9609-553a07823637,en,How do I know if I have been infected?,en,personal-symptoms,
48,133,2020-03-21 13:15:30,00e8ad36-3dc4-4908-98bb-c348d51ec7e3,en,How does COVID-19 affect asymptomatic people's lungs?,en,covid-symptoms,
49,134,2020-03-21 16:24:13,95b95e68-cea1-456f-9120-aefd7834c5e1,en,What about the researches with respect to treatment of COVID-19,en,covid-med,
50,145,2020-03-21 16:15:49,3eb07cc6-e9a7-40d0-9609-553a07823637,en,What's corona virus?,en,covid-what,
51,147,2020-03-21 16:41:58,8c2be3c5-7e39-4cb6-ae74-5c0aff539ab4,de,What are the Symptome,en,covid-symptoms,
52,150,2020-03-21 12:53:58,66c7bd79-e62c-428a-adac-f69fb087691c,en,what is going to happen to us?,en,unclassified,
53,155,2020-03-21 16:15:49,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Should I go to the ER or my physician directly if I'm infected?,en,personal-whatif,
54,156,2020-03-21 16:36:52,6147e278-3c26-40e4-a016-b18f494c03a3,en,what are the symptoms of covid-19 by day of infection?,en,covid-infection,
55,157,2020-03-21 15:45:37,149bd5f4-019c-4141-9c95-84d4f10bc2f8,en,How long does the virus remain on a surface?,en,unclassified,
56,158,2020-03-21 16:35:48,461b0490-15e2-4780-a3cf-cc24c5029b2b,en,Can you catch covid 19 after having had it before,en,unclassified,
57,159,2020-03-21 15:15:41,7ff9c658-7ae1-4e9c-941e-80187cb1c7f0,en,what is coronavirus,en,covid-what,
58,162,2020-03-21 15:48:30,291fcd60-0f53-4d6a-bff3-086b6f753267,en,What are the coronavirus symptoms?,en,covid-symptoms,
59,164,2020-03-21 13:34:44,16c1484f-fcfa-4d3f-979a-d4b728b69bd0,en,What should i do if i am short of breath?,en,personal-whatif,
60,173,2020-03-21 12:53:58,66c7bd79-e62c-428a-adac-f69fb087691c,en,when will the pandemic end?,en,situation-future,
61,176,2020-03-21 14:32:23,3759c119-2722-46b9-b513-acbdcc5e6e95,en,My throat seems to burn a little. Should i be worried ?,en,unclassified,
62,179,2020-03-21 16:38:20,d2bf053f-2512-4f30-aab6-cf74894dc3c2,it,Is the Asymptomatic Carrier a temporary status?,en,covid-symptoms,
63,180,2020-03-21 23:34:33,a26511f8-07a7-4e76-a246-c4c22f5f7f04,fr,Non,en,unclassified,
64,182,2020-03-21 15:48:30,291fcd60-0f53-4d6a-bff3-086b6f753267,en,Is it OK I go out for a walk alone?,en,situation-lockdown,
65,183,2020-03-21 12:53:58,66c7bd79-e62c-428a-adac-f69fb087691c,en,will governments learn from this?,en,unclassified,
66,184,2020-03-21 16:03:28,1ec981b1-26fc-4ae7-a416-a8c4bc026179,en,I am coughing so you think I have Coronavirus?,en,personal-symptoms,
67,189,2020-03-21 16:52:42,3d8b0fe1-ac29-4c02-acab-a4834608a0a4,en,What are the risks for a person between 20 and 40 years old with asthma?,en,covid-contagious,
68,191,2020-03-21 16:15:49,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Where can I find most up to date numbers on cases and deaths?,en,situation-stats,
69,192,2020-03-21 16:38:05,9a87c6dd-9939-4070-a0d9-da7f66683eb6,en,Is there an estimate as to how long the crisis will last?,en,situation-future,
70,194,2020-03-21 15:35:50,0ad487b2-a4ae-4137-a487-831f7af8827b,en,Is it true that warm kills Coronavirus?,en,covid-kill,
71,195,2020-03-21 12:40:09,17a0efa7-9250-48eb-8b2e-32ea3f85abaf,en,Does everyone that contracts the virus show symptoms? Or will only certain people show symptoms?,en,covid-transmission,
72,196,2020-03-21 14:32:44,b95e3026-d4c2-4c4a-b45f-6cd16c5be92c,en,Should I use NSAIDs?,en,unclassified,
73,198,2020-03-21 16:25:17,52ea60bd-df60-4c3b-a5f7-e63292fe95b7,en,How to know if I get COVID-19 or not?,en,personal-whatif,
74,200,2020-03-21 14:52:40,e56d5bdd-fa1a-48c7-b116-92433e45b833,en,what are the symptoms of coronavirus,en,covid-symptoms,
75,202,2020-03-21 16:36:07,107eeb57-8b1f-481e-aff5-8ce87b1cea8a,en,When will primary schools start?,en,unclassified,
76,204,2020-03-21 14:43:01,968f3919-1f56-4eca-a8b2-ed64cdffdf79,en,Is it true that you can get the virus again even after you've recovered,en,covid-recovery,
77,206,2020-03-21 15:21:18,4d0285a2-b934-4449-ab6e-97b075642497,en,Does covid-19 spread in tropical conditions?,en,covid-transmission,
78,208,2020-03-21 14:45:19,22acb4b7-fe15-46a8-bff8-109707707762,en,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,en,personal-whatif,
79,210,2020-03-21 15:36:45,65485caa-ddf9-4d7e-9988-479f9331cc49,en,how many death in italy?,en,situation-stats,
80,216,2020-03-21 16:35:40,13b9248d-7ba2-4a4c-9fd7-f1c59dcce95f,en,is china responsible for the spreading of COVID-19?,en,covid-transmission,
81,217,2020-03-21 12:16:29,cba04012-0cfb-430c-b660-4abeeeb1aa70,en,What are the symptoms of the Corina virus?,en,covid-symptoms,
82,218,2020-03-21 16:15:49,3eb07cc6-e9a7-40d0-9609-553a07823637,en,Is there a vaccine for corona virus?,en,covid-med,
83,220,2020-03-21 13:34:44,16c1484f-fcfa-4d3f-979a-d4b728b69bd0,en,How do I distinguish between the flu and coronavirus?,en,covid-versus,
84,221,2020-03-21 16:03:28,1ec981b1-26fc-4ae7-a416-a8c4bc026179,en,Can a 5 year old get Coronavirus?,en,unclassified,
85,222,2020-03-21 15:48:30,291fcd60-0f53-4d6a-bff3-086b6f753267,en,"I have temperature, what should I do?",en,personal-symptoms,
86,224,2020-03-21 14:32:44,b95e3026-d4c2-4c4a-b45f-6cd16c5be92c,en,Should I use asprin with I have the coronavirus?,en,personal-symptoms,
87,226,2020-03-21 16:36:07,107eeb57-8b1f-481e-aff5-8ce87b1cea8a,en,How long will social distancing measures last?,en,personal-isolation,
88,227,2020-03-21 12:53:58,66c7bd79-e62c-428a-adac-f69fb087691c,en,could we have done better?,en,unclassified,
89,232,2020-03-21 12:53:58,66c7bd79-e62c-428a-adac-f69fb087691c,en,will the virus continue to spread for a long time?,en,covid-transmission,
90,233,2020-03-21 14:02:26,0f20ee6c-0cac-4d0d-880d-1a2a6c87d96d,en,Do the symptoms start suddenly or they progress slowly from one day to another?,en,covid-symptoms,
91,235,2020-03-21 14:35:52,d50f1adb-49c7-42f9-a178-393f2ef34076,en,When should I visit a doctor?,en,unclassified,
92,239,2020-03-21 12:16:29,cba04012-0cfb-430c-b660-4abeeeb1aa70,en,What are are my chances of dying if I have the covid 19 virus?,en,personal-symptoms,
93,250,2020-03-21 12:57:23,eb19b3ff-6d90-4eb8-9062-b81684bedfcf,en,What medication is recommended if I contract covid-19?,en,covid-med,
94,252,2020-03-21 16:15:49,3eb07cc6-e9a7-40d0-9609-553a07823637,en,What do I do if I suspect I'm infected?,en,personal-whatif,
95,255,2020-03-21 16:38:20,d2bf053f-2512-4f30-aab6-cf74894dc3c2,it,What is an Asymptomatic Carrier?,en,covid-symptoms,
96,257,2020-03-21 15:39:45,f69128f8-e521-4880-83c2-76ca35c46d38,en,Can drinking alcohol helps COVID19?,en,unclassified,
97,261,2020-03-21 16:39:36,5bbdba4b-0188-4e6b-bc7b-4ffcacdc0732,en,I have asthma. How at risk am I about the possibility of complications?,en,personal-symptoms,
98,262,2020-03-21 15:36:45,65485caa-ddf9-4d7e-9988-479f9331cc49,en,How many cases in Montreal?,en,situation-stats,
99,267,2020-03-21 12:19:51,dc6a2a06-7cea-4b9c-868e-d28094c0f8b5,en,"If I traveled from Vancouver to quebec city, do i need to quaratine ? ",en,personal-whatif,
100,270,2020-03-21 13:56:49,9ad0060c-5628-4e8c-ba12-a7167213f27e,en,"My boyfriend experienced gastro intestinal symptoms and came from abroad, should he get tested?",en,personal-testing,
101,271,2020-03-21 16:37:31,ff2949a6-4d58-4305-8456-459400fe7cf1,en,"In this time of crisis, is it okay to feed the raccoons",en,unclassified,
102,272,2020-03-21 13:39:11,d90b7754-a540-47f2-a90c-7cbc35def960,en,what are cov19 symptoms,en,covid-symptoms,
103,273,2020-03-21 14:02:57,ba8ef58c-ddcc-4dbb-bf57-ea2dd5a341e6,en,How long do you expect these restrictive measures to last?,en,unclassified,
104,274,2020-03-21 14:02:57,ba8ef58c-ddcc-4dbb-bf57-ea2dd5a341e6,en,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",en,personal-whatif,
105,279,2020-03-21 16:03:28,1ec981b1-26fc-4ae7-a416-a8c4bc026179,en,How do people get infected with Coronavirus?,en,covid-infection,
106,281,2020-03-21 13:39:11,d90b7754-a540-47f2-a90c-7cbc35def960,en,how many people died so far?,en,situation-stats,
107,283,2020-03-21 14:43:01,968f3919-1f56-4eca-a8b2-ed64cdffdf79,en,"If you recover from the virus, can you still be a carrier ",en,personal-whatif,
108,285,2020-03-21 16:15:49,3eb07cc6-e9a7-40d0-9609-553a07823637,en,What are the symptoms for corona virus?,en,covid-symptoms,
109,288,2020-03-21 15:36:20,bb22c696-3a40-4f57-8175-4b31cec184e5,en,How long can the virus live?,en,covid-life,
110,289,2020-03-21 12:57:23,eb19b3ff-6d90-4eb8-9062-b81684bedfcf,en,"If I contract the virus, does wearing a mask prevent others getting infected?",en,personal-caution,
111,292,2020-03-21 16:52:42,3d8b0fe1-ac29-4c02-acab-a4834608a0a4,en,What is the risk for an asthmatic ?,en,covid-contagious,
112,293,2020-03-21 15:48:30,291fcd60-0f53-4d6a-bff3-086b6f753267,en,Should I be worried about getting sick if the government does not lock down everything?,en,personal-whatif,
113,294,2020-03-21 12:53:58,66c7bd79-e62c-428a-adac-f69fb087691c,en,what are the symptoms?,en,covid-symptoms,
114,295,2020-03-21 17:06:44,1a9f855a-287d-4ef2-a398-3621bfab57b5,en,How many cases of the coronavirus are there in Montreal?,en,situation-stats,
115,300,2020-03-21 17:06:44,1a9f855a-287d-4ef2-a398-3621bfab57b5,en,How contagious is the virus?,en,unclassified,
116,301,2020-03-21 16:36:07,107eeb57-8b1f-481e-aff5-8ce87b1cea8a,en,Are there confirmed cases in my neighborhood,en,situation-stats,
117,302,2020-03-21 12:20:20,99e39e32-3b85-42c0-808d-98ca52701aa9,en,How long is this expected to last?,en,unclassified,
118,304,2020-03-21 16:38:05,9a87c6dd-9939-4070-a0d9-da7f66683eb6,en,Why is there no toilet paper?,en,unclassified,
119,306,2020-03-21 13:39:27,9c1b4039-c331-43fb-b7da-5f77f3403575,en,what is covid-19,en,covid-what,
120,308,2020-03-21 13:34:44,16c1484f-fcfa-4d3f-979a-d4b728b69bd0,en,What are the symptoms for COVID-19 ?,en,covid-symptoms,
121,312,2020-03-21 20:39:36,f80dd812-40ec-48cb-a118-11d2cf2cd11f,en,is vomiting one of the symptoms?,en,covid-symptoms,
122,315,2020-03-21 23:29:02,ec41dbc0-8a1c-436a-855c-53583f9b34bf,en,What's the difference between COVID-19 and CoronaVirus?,en,personal-whatif,
123,317,2020-03-21 19:10:45,76dcbfcb-fbd4-4b7d-a0ad-bfb5c27087f2,en,What is COVID-19,en,covid-what,
124,320,2020-03-22 1:27:35,a3032e99-ff0f-4481-897e-9d6f66fb784f,en,is fever a symptom of coronavirus?,en,covid-symptoms,
125,325,2020-03-22 0:57:11,e1ea90be-e552-4d26-a067-376d0de0ed20,en,how many people have died in the US?,en,situation-stats,
126,333,2020-03-21 23:40:51,c9fc19e3-b94d-4fc0-be54-2449f256a04d,en,What are the symptoms,en,covid-symptoms,
127,334,2020-03-21 19:33:19,d1cd6b3b-f233-4177-b1e0-90381ca24617,en,Is it useful to wear a mask if we are not sick?,en,covid-fight,
128,338,2020-03-21 23:53:24,48e5c93c-f718-498e-aff9-266ae471fd7d,en,How can BlueRidge.ai help fight this virus?,en,covid-fight,
129,339,2020-03-21 17:38:37,28e7f04a-9d6f-48c1-9b13-fb499fe0ef8a,en,How many cases in Quebec,en,situation-stats,
130,341,2020-03-21 20:17:00,994acdd5-3b24-4dee-b574-c10e0990e9b8,en,What should I do if I start coughing?,en,personal-whatif,
131,342,2020-03-21 17:39:34,83f51718-d521-4b00-9f0e-01e5b2f5d68f,en,Who is at risk?,en,covid-contagious,
132,346,2020-03-21 21:26:34,3b58140a-f53e-491f-a3dd-79f0416bab56,en,where can I get tested,en,personal-testing,
133,347,2020-03-21 20:57:25,a0147f27-050a-456f-9d52-8f4b317ba678,zh,what is pandemic,en,unclassified,
134,354,2020-03-21 22:55:38,71b819ce-1f25-4416-b19c-5878ebf16455,en,I am coughing but I don't have fever. Could I have covid-19?,en,personal-symptoms,
135,362,2020-03-21 20:46:52,fa1e419d-5cef-41e6-bb17-f8bd28411028,en,Can I get the virus from breathing infected airborn particules,en,covid-infection,
136,366,2020-03-21 21:39:36,0e6422b9-aaf8-46ec-8d2c-106fa7ec81af,en,is it dangerous to travel,en,covid-contagious,
137,370,2020-03-21 23:21:57,8e750805-9fc2-4702-a244-0b7e67cf29ad,vi,What is,en,unclassified,
138,377,2020-03-21 20:56:54,a0147f27-050a-456f-9d52-8f4b317ba678,zh,how is going,en,unclassified,
139,379,2020-03-21 17:41:30,a450d496-8c9b-497f-b19e-b5371abac3f6,en,Will Covid19 mutate to a different more virulent strain,en,personal-whatif,
140,385,2020-03-22 0:55:10,dfd74f5f-5c3e-4de2-b6c2-7d3d1b2fd38c,en,How long does the virus stay airborne?,en,covid-life,
141,393,2020-03-21 21:37:13,3b9bc929-27fa-40df-ae67-e24ad9a547b6,en,How mild are most cases,en,situation-stats,
142,395,2020-03-21 23:14:22,e03f3e0a-a889-43d4-a506-4af32cbee107,en,What are the symptoms,en,covid-symptoms,
143,397,2020-03-22 0:06:37,39934ada-d827-4868-8aff-58dcaaf317e7,en,Impact of covid,en,unclassified,
144,404,2020-03-21 18:48:45,7f0bd659-d209-4d2b-bd3a-f0fe73cb085b,en,Is the severity of disease dependent on incubation period?,en,covid-incubation,
145,410,2020-03-21 18:56:44,1dfa96ae-da69-4e13-a82f-065e558c1b55,en,How many cases in Montreal,en,situation-stats,
146,413,2020-03-21 21:45:14,85e6cdad-531a-4a3f-9a86-8fad681731c7,en,How long after being asymptomatic are you no longer contagious?,en,covid-symptoms,
147,415,2020-03-21 21:28:01,f613f0e1-117b-4343-9e77-4fb4b9b168a4,en,are outdoor walks considered safe?,en,unclassified,
148,417,2020-03-22 1:27:35,a3032e99-ff0f-4481-897e-9d6f66fb784f,en,how much fever should i tolerate before going to the doctor?,en,unclassified,
149,424,2020-03-21 17:17:53,5b000a32-4ccc-47a1-a8da-5bf1559abc56,en,What’s the death rate for healthy US 37 year old males?,en,situation-stats,
150,430,2020-03-21 17:46:41,53894a08-21b2-49cb-832d-cfa6c0683d4f,en,I am 24 years old. What is my risk of having severe symptoms of the virus ?,en,covid-contagious,
151,431,2020-03-21 22:41:06,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,What are the main synptoms?,en,covid-symptoms,
152,434,2020-03-22 1:16:41,9d8e530d-9af3-4a71-8cf0-87a798fbec78,en,How long does the virus remain active and alive after attacking a human body?,en,covid-life,
153,436,2020-03-21 23:24:59,e46af548-c65a-4244-bf92-1dc281a03fe7,en,When will covid end?,en,situation-future,
154,438,2020-03-21 21:20:25,401332f7-58f8-4616-bb8d-59972ff0ee9c,en,"If someone was infected once, can they be reinfected? Can they still carry the virus and infect others?",en,personal-whatif,
155,446,2020-03-21 21:03:01,a57f2090-8fc3-441f-a292-0297d3919fd1,en,How to protect myself on a plane,en,personal-caution,
156,449,2020-03-21 19:13:41,6bcfe004-73de-4f56-8ff0-dd66640fd022,en,What to do if I think I have covid 19?,en,personal-symptoms,
157,452,2020-03-21 17:52:18,94154cbd-75f5-409f-8338-05018c12a9b9,en,Why didn't you answer my first question?,en,unclassified,
158,455,2020-03-21 18:22:01,49a00803-1814-427a-b79a-58284de2e968,en,how many new cases,en,situation-stats,
159,458,2020-03-21 17:39:34,83f51718-d521-4b00-9f0e-01e5b2f5d68f,en,What are the symptoms of Covid-19?,en,covid-symptoms,
160,459,2020-03-22 0:10:20,165dfaa6-84a9-4f0b-85ed-a217530bd003,en,How does it spread ?,en,covid-transmission,
161,468,2020-03-21 19:10:45,76dcbfcb-fbd4-4b7d-a0ad-bfb5c27087f2,en,Where did COVID-19 come from?,en,unclassified,
162,469,2020-03-21 17:20:59,1c991aeb-b4df-4d84-9595-367d7385e3b6,en,When will covid end?,en,situation-future,
163,477,2020-03-21 20:27:40,9b75dedf-19e7-4eb4-9ffd-5cec8f5752d3,en,What are the most common symptoms of COVID-19?,en,covid-symptoms,
164,481,2020-03-21 19:14:50,9973a414-c87b-4aca-ae1a-2b4ea5290674,en,What are the symptoms of SARS-COV-2,en,covid-symptoms,
165,482,2020-03-22 0:47:24,5a4c2d2c-6191-4192-9ebc-025336b1d079,en,How many cases are there in the us,en,situation-stats,
166,491,2020-03-21 19:14:50,9973a414-c87b-4aca-ae1a-2b4ea5290674,en,What's the point of asking you questions if you don't have answers,en,personal-whatif,
167,494,2020-03-21 21:28:01,f613f0e1-117b-4343-9e77-4fb4b9b168a4,en,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,en,unclassified,
168,497,2020-03-21 23:34:33,a26511f8-07a7-4e76-a246-c4c22f5f7f04,fr,Non,en,unclassified,
169,500,2020-03-21 23:07:40,710e23d7-7a6a-42ed-bd1b-526db8c8c2f8,en,Where do we get the test for COVID-19?,en,personal-testing,
170,502,2020-03-22 0:24:32,24e49f6c-1df9-42f5-8f21-ecaa594ed836,en,what has caused it,en,unclassified,
171,504,2020-03-21 21:40:21,ac3c5070-c403-4453-9176-39c8ebb321c3,en,How many tests are run per day in the US?,en,personal-testing,
172,507,2020-03-21 23:20:10,7d02e9dc-a465-44f5-8e99-bc90eb50628c,en,Do we have a vaccine for Coronavirus ?,en,covid-med,
173,508,2020-03-21 23:08:52,96e5bf45-a3e2-479b-af53-202773ea1b81,en,How long will it take for a vaccine to be produced?,en,covid-med,
174,510,2020-03-21 22:41:06,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,How do I know if I haver coronavirus?,en,personal-symptoms,
175,512,2020-03-21 21:56:21,622b014c-29d3-4205-b423-3ec6ed644e49,en,How long does recovery take on average?,en,covid-recovery,
176,513,2020-03-21 23:21:57,8e750805-9fc2-4702-a244-0b7e67cf29ad,vi,How many thing you do not understand,en,unclassified,
177,515,2020-03-21 18:48:45,7f0bd659-d209-4d2b-bd3a-f0fe73cb085b,en,How long is incubation period?,en,covid-incubation,
178,517,2020-03-21 23:29:02,ec41dbc0-8a1c-436a-855c-53583f9b34bf,en,How Covid-19 started?,en,unclassified,
179,519,2020-03-21 20:56:54,a0147f27-050a-456f-9d52-8f4b317ba678,zh,is the grocery open?,en,situation-lockdown,
180,520,2020-03-22 0:26:53,849776b0-54f1-4e78-b9cf-7398c599f60d,en,what is the covıd-19's symptoms ?,en,covid-symptoms,
181,528,2020-03-21 19:33:19,d1cd6b3b-f233-4177-b1e0-90381ca24617,en,"I have some symptoms, what should I do?",en,personal-symptoms,
182,529,2020-03-22 1:00:35,b8ba88da-151b-4d8a-a573-738feccd7008,es,covid19 symptons?,en,covid-symptoms,
183,533,2020-03-21 23:07:40,710e23d7-7a6a-42ed-bd1b-526db8c8c2f8,en,What are the symptoms of COVID-19,en,covid-symptoms,
184,536,2020-03-22 0:42:18,18ed3835-82eb-4ab8-8d70-f82ac4fb0064,en,How many people are infected in Quebec?,en,situation-stats,
185,537,2020-03-22 0:24:32,24e49f6c-1df9-42f5-8f21-ecaa594ed836,en,how can one fight the virus,en,unclassified,
186,545,2020-03-21 19:13:41,6bcfe004-73de-4f56-8ff0-dd66640fd022,en,How contagious is covid 19?,en,unclassified,
187,547,2020-03-22 0:25:25,1a32db5a-0802-423e-b347-69af6b42c8b4,en,What is the death rate of covid-19?,en,situation-stats,
188,549,2020-03-22 1:31:56,11553517-7859-43dc-bfcd-354131f01e27,en,How to prevent the spread of COVID-19?,en,personal-caution,
189,551,2020-03-21 21:28:01,f613f0e1-117b-4343-9e77-4fb4b9b168a4,en,what are the options to disinfect hand or surfaces other than soap and alcohol,en,unclassified,
190,553,2020-03-22 1:12:16,dab8ab73-7e69-407c-8262-b5a22da25a04,en,Is the virus airborne,en,covid-transmission,
