_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,write_a_coherent_question_that_would_result_in_the_answer_shown_above_do_not_copy_the_sample_question_,answers,questions,write_a_coherent_question_that_would_result_in_the_answer_shown_above_do_not_copy_the_sample_question__gold
2721199640,finalized,3,4/20/2020 21:21:38,"If I have travel plans, should I cancel it because of the COVID-19 alert?
If i already have planned trips, can i just still go through or it's better to cancel them?
If I have travel plans, is it safe to cancel them due to the pandemic?","The Gouvernement du Québec is asking Quebecers to cancel non-essential trips.
 If you decide to travel anyway, you are advised to consult the https://travel.gc.ca/travelling/advisories?_ga=2.105850506.886082967.1584121752-1553186751.1579968697 section on the Government of Canada site. You must also self-isolate for 14 days when you return.
 ",I have travel plans. Should I cancel them?,
2721199641,finalized,3,4/20/2020 21:20:38,"What happens to truckers who are outside the borders and in an alert situation cannot enter?
Truck Drivers Will They Work?
What is the situation of the truck drivers in the border media?","Truck drivers and air crews and seagoing personnel do not have to self-isolate given the important role that they play in the transportation of critical goods such as food.
 ",What happens to truck drivers from outside our borders?,
2721199642,finalized,3,4/20/2020 21:31:03,"Will I be reimbursed what I already paid, if I have to cancel any project that already has payment?
If I cancel my trip, will I get a refund of my money?
Who should I talk to about the possibility of a refund if I have a planned trip?","There is currently no program to refund the cost of trips abroad. Travellers should contact their travel agent or travel insurer.
 ","If I have to cancel a trip abroad, will I be reimbursed for what I have already paid?",
2721199643,finalized,3,4/20/2020 22:16:46,"If I feel that I have coronavirus, what can I do?
What can I do to treat myself if I have symptoms of COVID-19?
If I have the virus, what steps should I take in the most appropriate way?","If you have symptoms of coronavirus disease, you will feel tired and weak. Rest will help you fight the disease. Limit your contact with other people until the symptoms have resolved. You can resume your activities when your condition allows.
 It is important to drink often because fever makes you sweat and lose a lot of fluids. At least 1.5 litres of fluids per day is recommended. Have hot or cold or drinks, whichever you prefer. Avoid alcoholic beverages or beverages that contain caffeine, such as coffee, tea and soft drinks. Alcohol and caffeine will make you urinate and increase fluid loss (dehydration).
 Watch for the following signs of dehydration:
 •  sensation of extreme thirst;
•  dry mouth and tongue;
•  infrequent or dark urine;
•  dizziness, confusion and headaches.
Complications of COVID-19 can develop a few days after symptoms first appear. If symptoms become more acute, you must go to the emergency room immediately or, if you need help, call 911. Watch for the following signs of a deterioration:
 •  body temperature over 38°C (100.4°F);
•  persistent or increasing difficulty breathing;
•  drowsiness, confusion, disorientation or difficulty staying awake;
•  no urine for 12 hours;
•  fever in a baby under 3 months of age.
",I have symptoms of coronavirus disease (COVID-19) or I have COVID-19. What can I do to take care of myself?,
2721199644,finalized,3,4/20/2020 21:48:13,"What can I do to protect people from hacking me if I have symptoms of COVID-19?
What are the steps to follow if I present the symptoms of covid -19 to protect my family
what should i do if i have symptoms?","To protect people around you, this is what you must do until your symptoms (fever, cough, fatigue, etc.) have resolved:
 •  Stay in a separate room to avoid contaminating your family;
•  Sleep and eat alone in your room;
•  Use a separate bathroom;
•  Cover your mouth and nose when you cough or sneeze, ideally with a tissue. Spit into a tissue. Wash your hands afterwards;
•  If you do not have a tissue, cough or sneeze into the crease of your elbow or upper arm;
•  Put used tissues into a garbage bag in a trash can with a lid. Keep used tissues out of reach of children;
•  Do not have visitors to your home.
Good hygiene and prevention practices are explained and illustrated in the https://cdn-contenu.quebec.ca/cdn-contenu/sante/documents/Problemes_de_sante/19-210-30A_Guide-auto-soins_anglais.pdf?1584985885 .
 ",I have symptoms of coronavirus disease (COVID-19) or I have COVID-19. What can I do to protect people around me?,
2721199645,finalized,3,4/20/2020 21:05:44,"How should I clean my environment on this moments of pandemic?
How should I clean
recommendations to clean my environment?","The virus that causes coronavirus disease (COVID-19) can live on objects and surfaces. It can survive for:
 •  3 hours on objects with dry surfaces;
•  6 days on objects with wet surfaces.
It is important to clean countertops, washbasins, door handles and any surfaces that are frequently touched by hands. Cleaning and disinfecting are very effective at eliminating the virus.
 •  For cleaning, use soap and water or household cleaning products.
•  For disinfecting, use a bleach solution or a disinfectant. A solution of 1 part bleach to 9 parts water is recommended, that is, 10 mL of bleach in 90 mL of water.
If you are sick, your bed linen, towels, clothes and dishes can be washed with those of other household members using regular detergent.
 ",How should I clean my environment?,
2721199646,finalized,3,4/20/2020 21:21:49,"What are the necessary cares for the sick?
steps to take to care for a person who has symptoms
What steps should be taken to care for a sick child or adult?","To find out how to care for a child or an older adult who is sick, refer to the Caring for sick children and Eldercare sections in the https://cdn-contenu.quebec.ca/cdn-contenu/sante/documents/Problemes_de_sante/19-210-30A_Guide-auto-soins_anglais.pdf?1584985885 .
 ",How should I care for a child or an older adult who is sick?,
2721199647,finalized,3,4/20/2020 21:05:28,"in case of presenting symptoms I must take some medicine
If I feel symptoms of coronavirus, what should I take?
If you have health problems, ask your pharmacist for advice or call Info-Santé 811 before taking non-prescription medications. Taking anti-inflammatory drugs may exacerbate coronavirus COVID-19","Over-the-counter medications can be used to relieve the symptoms of coronavirus disease (COVID-19). Before using, read the labels carefully and do not take more than the recommended dose. You are strongly advised to ask your pharmacist for advice before using over-the-counter medications if you have symptoms. Do not take products that contain the same ingredients at the same time, such as Tylenol® and Tylenol® Sinus. If you have health problems, ask your pharmacist for advice or call Info-Santé 811 before taking over-the-counter medications.
 Taking anti-inflammatories may make coronavirus disease (COVID-19) worse, but this information is based on clinical observations and has not been confirmed or disproven. According to some recommendations, ibuprofen should not be taken by people who have COVID-19 to relieve fever. Advil® and Motrin® belong to this drug class. If you are already taking anti-inflammatories and you test positive for COVID-19, speak to your pharmacist , doctor or specialized nurse practitioner.
 ",What medications should I take to relieve my symptoms?,
2721199648,finalized,3,4/20/2020 21:25:46,"What treatment should be performed in case of fever?
Tips for remedying a fever?
What is the normal temperature that I should have?","Fever is a defence mechanisms that helps fight infection. Acetaminophen is recommended for the relief of fever and discomfort, unless you are advised otherwise by a health professional or are allergic to this medication.
 Fever is defined as follows:
 •  In children: 38°C (100.4°F) or higher (rectal T°);
•  In adults: 38°C (100.4°F) or higher (oral T°);
•  elderly person 37.8°C (98.6°F) or higher (oral T°);
or
 •  an increase of 1.1°C above a person’s usual value.
",What can I do to relieve a fever?,
2721199649,finalized,3,4/20/2020 21:19:24,"Tips for pain in my throat?
What can of water do i have to use in order to relieve my sore throat?
What do you recommend for a sore throat?","Gargle with a glass of salt water: 2.5 mL (1/2 tsp.) of salt in 250 mL (1 cup) of lukewarm water (do not swallow the solution). Hard candy or lozenges, preferably sugar free, can also relieve your sore throat.
 ",What can I do to relieve a sore throat?,
2721199650,finalized,3,4/20/2020 20:48:05,"How we can ask for help?
Where can i get information on the help i could possibly need?
Help me?","If you are worried, do not hesitate to ask for or accept help. It is important to talk about it with your family and friends.
 For home care, you can also call 211 or ask your CLSC to connect you with home care services.
 For food assistance , visit the https://www.banquesalimentaires.org/en/ website.
 For information about financial support for individuals, visit the https://www.canada.ca/en/department-finance/economic-response-plan.html .
 For information about other support measures, go to the https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/ page.
 ",How can I ask for help?,
2721199651,finalized,3,4/20/2020 21:02:50,"What are the risk effects and who do they affect after covid-19?
Who the rang of people that could get complicate after contracting Covid-19?
are the young people in risk if they get sick of covid-19?","The risk of serious complications for people with COVID-19 increases with age, but even young adults are at risk. The risk of dying from serious respiratory complications (pneumonia or acute respiratory distress syndrome) due to COVID-19 is especially high in:
 •  people age 70 and older;
•  people who have a weakened immune system;
•  people who have a chronic disease; such as: •    heart disease;  
•    lung disease;  
•    kidney disease.  

",Who is at risk of complications after contracting COVID-19?,
2721199652,finalized,3,4/20/2020 21:18:37,"how the caregiver of a person who was confined in a hospital due to covid-19 was identified. and for how long are you in this care center
If I am sick of something other than Covid-19, can I go to the hospital?
Are visits to health centers and various care centers for the elderly allowed?","Starting March 13, 2020, non-essential visits to hospitals, residential and long-term care centres, intermediate resources, targeted family-type resources and private seniors’ homes will be prohibited to protect the most vulnerable individuals and workers in the health and social services network. In the case of births, the other parent, significant other or natural caregiver identified for this purpose is not deemed to be a visitor and can accompany the mother.
 In cases where the end of life is imminent, the constant presence of one or two people who are of significant importance to the person is not deemed to be a visit.
 ","Are visits permitted to hospitals, residential and long-term care centres, intermediate resources and family-type resources for the elderly and vulnerable adults and private seniors’ homes?",
2721199653,finalized,3,4/20/2020 21:02:50,"Can I help with food in hospitals, rest homes and shelters for people who are vulnerable during quarantine?
What about to delivery at hospital or risk zone?
what are the procedures to deliver food to hospitals, residential and long-term care centres?","It is possible to deliver food to seniors’ homes. Avoid all contact with the residents and leave immediately after giving the food to a staff member at the reception desk.
 At all times, it is important to keep distance between people, avoid direct contacts and follow the usual hygiene rules when you cough or sneeze.
 To limit the possibility of introducing the coronavirus into hospitals, residential and long-term care centre and family-type intermediate resources for seniors and vulnerable adults, the delivery of food from outside (delivery by a restaurant, food brought by family members) is prohibited.
 ","Is is possible to deliver food to people in hospitals, residential and long-term care centres, intermediate family-type resources for seniors and vulnerable adults and private seniors’ homes?",
2721199654,finalized,3,4/20/2020 21:40:05,"Could one way or another help the most vulnerable sectors?
Is it possible to deliver essential products to people who are in quarantine in all the places they cannot leave?
it is possible to help hospitalized people, elderly in nursing homes or other people who are in need, with essential products and articles","If the users require certain items that the hospitals, residential and long-term care centres, and family-type intermediate resources for seniors and vulnerable adults do not offer, it is possible to deliver them. A security mechanism for their delivery must be established to avoid any contact with the residents. Leave immediately after giving the food or items to a staff member at the reception desk.
 At all times, it is important to keep distance between people, avoid direct contacts and follow the usual hygiene rules when you cough or sneeze.
 ","Is is it possible to deliver essential items to people in hospitals, residential and long-term care centres, intermediate family-type resources for seniors and vulnerable adults and private seniors’ homes?",
2721199655,finalized,3,4/20/2020 21:30:33,"is visiting a loved one in the hospital prohibited?
Is it possible to go to a hospital to visit a sick person who is about to die as a relative?
Could you visit a loved one infected with covid-19?","Yes. Health care establishments tolerate visits under exceptional or humanitarian circumstances.
 The Gouvernement du Québec is prohibiting non-essential visits.
 ",Can an individual go to a hospital to visit a loved one who is dying?,
2721199656,finalized,3,4/20/2020 20:30:22,"Can the residents of residential and long-term care centres, family-type intermediate resources for seniors and vulnerable adults and in private seniors' homes leave the facilities for medical appointments on pandemic?
Can elderly people, animals and people in care leave the facility?
Can an elderly person in institutions of care for his age, or vulnerable people, leave their care site to take treatment elsewhere during the quarantine?","These people are asked to stay in their living environment, except where necessary or under exceptional circumstances, such as an essential medical appointment. They must be supervised.
 When they return to their living environment, all preventive and infection control measures must be applied in an exemplary manner, for example, frequent handwashing with warm running water and soap for at least 20 seconds or an alcohol-based disinfectant. It is also important to cover the mouth and nose with the arm to reduce the spread of germs when coughing or sneezing. When using a disposable paper tissue, discard it promptly and then wash your hands and avoid direct contact such as handshakes when greeting others.
 These exceptional measures seek to contain COVID-19’s spread.
 ","Can the residents of residential and long-term care centres, family-type intermediate resources for seniors and vulnerable adults and in private seniors' homes leave the facilities for medical appointments?",
2721199657,finalized,3,4/20/2020 20:42:39,"Can we deliver meals to vulnerable elderly people who live alone at home during this time?
Can I deliver some essential foods or items to older people in my home?
Would it be possible to deliver food and medicine to elderly people who are in their homes?","It is possible to deliver groceries to elderly people or people with a weak immune system solely if you do not display any symptoms and have not returned from a trip within less than 14 days.
 It is important at all times to maintain distance between individuals, avoid direct contacts and abide by the usual rules of hygiene when you cough or sneeze.
 ",Is it possible to deliver food or essential items to elderly people living at home?,
2721199658,finalized,3,4/20/2020 21:17:33,"Given this pandemic situation, what risk do pregnant women run?
Are pregnant women at risk?
Can a pregnant woman with coronavirus infectious the fetus?","According to the World Health Organization, pregnant women are at no greater risk than adults in general of complications related to COVID-19. Scientists note that there is no known risk of malformation or mother-to-foetus transmission. The usual preventive rules apply to pregnant women. For more information, see the https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/information-for-pregnant-women-coronavirus-covid-19/ page.
 ",Are pregnant women at risk?,
2721199659,finalized,3,4/20/2020 21:20:38,"Are younger children less at risk of COVID-19 infection?
What is the risk of contracting the disease according to age?
infants have less risk?","Yes, children are less at risk. However, they can still transmit the virus. Consequently, directives aimed at containing the virus’ spread also apply to children. For more information, see the https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/information-for-parents-of-children-age-0-to-17-coronavirus-covid-19/ page.
 ",Are children less at risk?,
2721199660,finalized,3,4/20/2020 21:20:38,"How can I keep in touch with everyone I meet during the COVID-19 alert?
Can I make calls to my relatives during the emergency?
What can I do to keep in touch with my family during the emergency situation?","Distance socializing strategies, such as using alternative ways of communicating, can help you stay connected and even become closer to family and friends.
 Don’t minimize the positive effects of distance socializing, since continuing to socialize has a positive impact on your physical and psychological health at every stage of life.
 For example, you can use direct or indirect means of communication or even get creative:
 •  Direct: phone calls, video chats, text messages, social networks, digital apps (WhatsApp, Skype, etc.) or other technologies.
•  Indirect: prerecorded voice messages or videos, letters, postcards, digital photos.
•  Creative: drawings, crafts, photo collages, a recording of yourself reading a children’s story, arrange a time to say hello from your balcony or the street, dinner for two by Skype.
To get the most out of your experience, find out which means of communication you and your family and friends like best and decide how often you will use them.
 ","How can I stay in touch with family and friends, wherever they are, during physical distancing and the fight against the pandemic?",
2721199661,finalized,3,4/20/2020 21:32:09,"How can I maintain contact with family members if care visits cannot be made?
How can I be in contact with my friends and family if they remain in care centers that do not allow visits?
what the CHSLD provides and what are its benefits","All CHSLDs have been asked to put means of communication in place that will allow residents to stay in touch with family members or friends despite the fact that regular visits are not allowed.
 Contact the CHSLD where your family member or friend lives to find out what they are. People have been designated to contact families or friends regularly to inform them about residents’ health and well-being.
 ",How can I stay in touch with family members or friends when visits to residential and long-term care centres (CHSLD) are not allowed?,
2721199663,finalized,3,4/20/2020 21:05:28,"What to do if the pandemic interferes with my duties as a worker
What can I do if my informal caregiver job is interrupted due to the coronavirus situation?
Caregiver support helpline counselors are there to listen to you and answer your questions, and if necessary, refer you to programs and resources that can help you in your daily life. Please feel free to contact them on the phone: + 1-855-852-7784","Due to the pandemic, many informal caregivers find that their everyday life has been disrupted. You may be wondering what the best way to support your loved one is. You have to solve practical problems, provide moral support, perhaps help them out financially too.
  Caregiver Support Helpline counsellors are there to listen to you, answer your questions and, if necessary, refer you to programs and resources that can help you in your everyday life. Do not hesitate to call them at tel:+1-855-852-7784  or to visit the https://www.lappui.org/en/Find-resources/Caregiver-support website.
 ",What can I do if I am an informal caregiver and feel that my everyday life has been disrupted?,
2721199664,finalized,3,4/20/2020 22:17:08,"¿how important is it to live with a senior to supervise your well-being?
Are we allowed to travel to our beach house?
Should I self-isolate even if my infection isn't confirmed yet?","Yes. However, all the individuals concerned should self-isolate voluntarily for 14 days before moving in to ensure that they are not suffering from COVID-19.
 ",Is it permissible to live during confinement with an elderly loved one residing in the same region in order to offer the person assistance?,
2721199665,finalized,3,4/20/2020 20:41:58,"What symptoms can I notice with the presence of covid-19 in my immune system?
What are the symptoms associated with COVID-19?
How can a person know if they have covid-19?","The main symptoms of COVID-19 are as follows:
 •  Fever •    in children: 38°C (100.4°F) and above (rectal temperature),  
•    in adults: 38°C (100.4°F) and above (oral temperature),  
•    in older adults: 37.8°C (100°F) and above (oral temperature),  
•    or 1.1°C above the person's usual value;  

•  Cough
•  Difficulty breathing
or
 •   sudden loss of sense of smell and taste without nasal congestion 
The symptoms can be mild (similar to a cold) or more severe (such as those associated with pneumonia and respiratory or kidney failure).
 ",What are the main symptoms associated with COVID-19?,
2721199666,finalized,3,4/20/2020 20:50:38,"How is COVID-19 spread on USA?
What parts of the body does covid-19 infects?
what are the ways to get it COVID-19?","COVID-19 usually infects the nose, throat and lungs. In most cases, it is spread by:
 •  close contact with an infected person when the person coughs or sneezes;
•  touching infected surfaces with your hands and then touching your mouth, nose or eyes.
",How is COVID-19 spread?,
2721199667,finalized,3,4/20/2020 21:39:42,"what is the recommended distance  to stay away from  people to stay safe?
Can the virus that causes COVID-19 be contracted by airborne transmission, i.e., from the air?
Is the virus present in the air or on the surface?","The disease is mainly contracted by close contact with an infected person. It is spread by respiratory droplets expelled from the nose or mouth of a person who is sick when they cough or sneeze. Droplets can be projected a maximum distance of 2 metres (around 6 feet) and fall quickly. This is why keeping a distance of 2 metres away from other people is recommended.
 Droplets can land on objects and surfaces near the person who just coughed or sneezed and survive for a short time. You must avoid touching these objects and surfaces with your hands and then touching your eyes, nose or mouth.
 So far, there is no evidence that people contract the disease from the air, by airborne transmission far from an infected person.
 ","Can the virus that causes COVID-19 be contracted by airborne transmission, i.e., from the air?",
2721199668,finalized,3,4/20/2020 21:25:46,"Can COVID-19 be transmitted sexually?
How and by what means is COVID-19 spread?
how COVID-19 spreads","Current evidence suggests that there is no risk of contracting COVID-19 from bodily fluids (blood, sweat, semen). The virus is spread by respiratory droplets when a person who is infected coughs or sneezes. COVID-19 is most commonly spread by:
 •  close contact with an infected person when they cough or sneeze;
•  touching infected surfaces with your hands and then touching your mouth, nose or eyes.
","Can COVID-19 be spread through bodily fluids such as blood, sweat or semen?",
2721199669,finalized,3,4/20/2020 22:05:07,"Can it be transmitted by contact with the excrement of another person?
feces are capable of spreading the virus
Is it possible to get it by touching the stool of an infected person?","The risk of contracting COVID-19 by contact with an infected person’s feces is low, but possible. This is why you must wash your hands regularly, especially after going to the bathroom and before eating.
 ",Can COVID-19 be spread by contact with the feces of a person who is sick?,
2721199670,finalized,3,4/20/2020 21:31:03,"Is it possible for a person with no symptoms to transmit COVID-19?
Can someone with no symptoms transmit the coronavirus?
The disease presents symptoms in all its stages?","The risk of getting COVID-19 if you have contact with someone who does not have any symptoms is low.
 However, many people who are infected have only mild symptoms. This is especially true in the early stages of the disease. For example, you can get COVID-19 if you have contact with someone who has only a mild cough but does not feel sick.
 That’s why you are advised to keep at least 2 metres away from other people even if no one has symptoms.
 ",Can a person who does not have symptoms spread COVID-19?,
2721199671,finalized,3,4/20/2020 22:05:07,"Will COVID-19 affect the population in the spring?
If spring arrives, will the virus be affected?
Does warm weather affect the spread of the virus in any way?","It might, but so far COVID-19 has been found in many countries, whatever their climate. At this time, it is not known whether the spread of COVID-19 will decrease when the weather becomes warmer.
 ",Could the arrival of spring and the warmer weather affect the spread of COVID-19?,
2721199672,finalized,3,4/20/2020 21:15:04,"What is the average time to expect that the COVID-19 can still alive on any object?
How long does COVID-19 live in metal?
What is the lifetime of COVID-19 in the environment?","In general, COVID-19 does not survive for long on objects:
 •  3   hours on inert objects with dry surfaces;
•  6   days on inert objects with wet surfaces.
",How long can COVID-19 survive on objects?,
2721199673,finalized,3,4/20/2020 21:12:08,"What is physical distancing? Is it really effective in slowing the spread of COVID-19 or not?
How far should I be from people to avoid the spread of Covid-19
What does physical distancing mean and what benefits does it give people against covid-19?","Physical distancing means keeping a certain distance from other people. Since COVID-19 is mainly spread by close contact with infected people, it is one of the most effective ways to reduce the spread of the disease. To minimize close contact with other people who are infected, you must:
 •  Stay at home as much as possible;
•  Avoid non-essential gatherings with people who do not live in your household (for example, dinner with friends);
•  Avoid physical contact with people who are most at risk of complications (older adults, people with chronic diseases or a weakened immune system);
•  If you must go out, stay at least 2 metres (around 6 feet) away from other people as much as possible.
",What is physical distancing? Is it really effective in slowing the spread of COVID-19?,
2721199674,finalized,3,4/20/2020 22:41:17,"When should I wash my hands?
As often as possible, but especially: • Before touching your face (eyes, mouth, nose); • After coughing, sneezing or blowing your nose; • After going to the bathroom; • When your hands are visibly dirty or after touching something dirty;
How often should one sterilize hands?","As often as possible, but especially:
 •  Before touching your face (eyes, mouth, nose);
•  After coughing, sneezing or blowing your nose;
•  After going to the bathroom;
•  When your hands are visibly dirty or after touching something dirty;
•  Before and after providing care to a family member or friend;
•  Before and after preparing meals;
•  Before and after eating;
•  Before and after going to a public place (for example, the grocery store or pharmacy).
",When should I wash my hands?,
2721199675,finalized,3,4/20/2020 21:54:10,"Is it better to use gel or wash your hands with soap?
What is the proper way to wash your hands?
what is better for washing my hands?","Washing your hands with regular soap and warm water is more effective at getting rid of dirt and most viruses than gels, foams or liquid disinfectants. These products are recommended only when soap and running water are not available. Note also that to be effective, gels must contain 60% to 80% alcohol.
 ",What should I wash my hands with?,
2721199676,finalized,3,4/20/2020 21:21:38,"To what degrees could water kill COVID-19 germs?
Are there any official information on that hight temperatures can kill the virus or are just a myth?
At what hot water temperature is it possible to kill the virus on hands and clothing?","The temperature of the water is not important when you wash your hands or clothes. The soap kills the virus, not the heat of the water used.
 To wash your hands properly, you should rub your hands together with soap for at least 20 seconds.
 ",Do I have to use hot water to wash my hands or clothes? What temperature kills the virus?,
2721199677,finalized,3,4/20/2020 22:07:06,"Is a mask efficient to protect me from the COVID-19 virus?
When it is necessary to wear a mask, the procedure mask is used. It should only be worn in the presence of other people or in a healthcare environment. The mask enables infected individuals to protect the people around them by keeping delicate, potentially polluted droplets that are emptied when they breathe or sneeze.
Does a mask effectively protect me against COVID-19?","Masks are not the best protective measure against infections such as COVID-19 for the general population in Québec. Their use is recommended for patients with a suspected infection. In this situation, when it is necessary to wear a mask, a procedure mask is used. It must be worn solely in the presence of other people or in a health-care setting. The mask enables infected individuals to protect the people around them by retaining potentially contaminated fine droplets that are discharged when they breathe or sneeze.
 Because of the nature of their work, health professionals use the N95 mask, which protects them from viruses by filtering the air that they breathe.
 ",Is wearing a mask protect me effectively against COVID-19?,
2721199678,finalized,3,4/20/2020 20:30:22,"Can I replace antiseptic gel with other products found in the home or it's not safe?
Could you replace the anticeptic gel with another material from home?
If I do not have antiseptics, can I change the same one for another that has the same effect?","Washing your hands with warm water and soap for at least 20 seconds is the best method. Antiseptic gel should be used when soap and water are unavailable. Acetone-based products such as nail polish remover or hydrogen peroxide, mainly sold in drugstores, are not designed to disinfect the hands and pose a health hazard
 ",Can I replace antiseptic gel with other products found in the home?,
2721199679,finalized,3,4/20/2020 21:37:46,"Should I wear gloves to protect myself? What can I do to protect myself?
what protection should i use to avoid Covid-19
Are gloves necessary for my protection?","There is a shortage of medical gloves right now. They should be reserved for use by health professionals. Wearing gloves can give you a false sense of security. The best way to protect yourself is to wash your hands frequently and properly. Go to the page https://www.quebec.ca/en/health/advice-and-prevention/accidents-injuries-and-diseases-prevention/washing-hands/ to find out how.
 ",Should I wear gloves to protect myself?,
