question_processed,cluster
is there a test to see if you have antibodies for the virus,guideme
my head hurts my body aches a little and i feel a cold coming how do i know if this is covid19 or just an ordinary cold,guideme
my wife gave birth two days ago at the jewish general hospital now that we are home we ,guideme
pouvez vous me répondre en français sinon je suis parfaitement bilingue je travaille dans lindustrie de solutions technologie and it would be my pleasure to help this project any way i can jennifer charron at workday canada from montreal ,guideme
should he self isolate when he gets here even if he feels well,guideme
should i be worried about getting sick if the government does not lock down everything,guideme
should i call to find out more its the coughing and difficulty breathing and fatigue that worries me,guideme
should i go to the er or my physician directly if im infected,guideme
what are differences in term of symptoms between the new coronavirus and normal flu cod,guideme
what are the differences between the flu and covid19,guideme
what are the risks if i go to the supermarket,guideme
what are the symptoms i should feel if i am infected with corona virus,guideme
what do i do if 811 says to stay home with my symptoms but i feel its bad enough to be seen in person can i show up to the er do i call 911 ,guideme
what do i do if i suspect im infected,guideme
what do i do if someone with covid19 spotted,guideme
what if i am having anxiety or stress ,guideme
what if i got fever,guideme
what if i returned from international travel a day before the advisory came into effect,guideme
what if just have a mild sore throat ,guideme
what is the difference between a bacteria and a virus,guideme
what is the difference between covid19 and coronavirus ,guideme
what is the difference between influenza and the coronavirus,guideme
what is the halflife of coronavirus,guideme
what is the life of covid19 virus,guideme
what is the likelihood of having covid if only showing one symptoms for example dry cough,guideme
what measures can i take if someone i know is effected with the virus,guideme
what range is the fever at normally if covid19 suspected,guideme
what shall i do if i cant find sanitizer to buy in stores,guideme
what should i do if a family member is quarantined,guideme
what should i do if i am infected ,guideme
what should i do if i am short of breath,guideme
what should i do if i dont feel any symptoms,guideme
what should i do if i start coughing,guideme
what should i do if i start feeling sick with similar symptoms as in covid19,guideme
what should i do if i think i infected by corona virus,guideme
what should i do if i think that im infected ,guideme
what should i do if im feeling any of the symptoms,guideme
what should we do if we have fever now,guideme
what should you do if you dont have water and soap and sanitizer,guideme
what the different between corona and covid_19,guideme
what to do if i am infected ,guideme
whats the difference between covid19 and cold,guideme
whats the difference between covid19 and coronavirus,guideme
whats the point of asking you questions if you dont have answers,guideme
whats the timeline of the appearance of different symptoms,guideme
when will life get back to normal,guideme
when will the municipalities post heat maps to identify hot spots for covid positive residents,guideme
when will we know if the school year is cancelled,guideme
where do i go if i feel i am affected,guideme
where should i go if i am sick,guideme
who can i make the difference between a cold and covid19,guideme
whom should i consult if i feel i am affected,guideme
why isnt canada making people get tested if they show signs of covid after travelling within canada ,guideme
will covid19 mutate to a different more virulent strain,guideme
will the hospital let me die if there are no ventilators left and a younger person needs it too can we share it,guideme
would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country rich or poor and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads,guideme
would using heatedvapor humidifier help with sanitizing the sinuses of the covid19,guideme
how long does the incubation period last,incubation
how long does this virus incubate ,incubation
how long is incubation period ,incubation
is the severity of disease dependent on incubation period ,incubation
is the virus infectious during incubation period,incubation
what are symptoms in the incubation period,incubation
what is the incubation period ,incubation
what is the incubation period for covid19,incubation
what is the incubation period of covid19,incubation
what is the incubation time of covid19 by age,incubation
what is the incubation time of the virus,incubation
what is the longest known asymptomatic incubation period,incubation
what is the period of incubation,incubation
whats the incubation period ,incubation
whats the incubation period of the covid19 virus,incubation
am i infected,infection
are covid19 outcomes worse for those who are infected and suffer from asthma ,infection
are there any anticipated long term effects postinfection,infection
can antibiotics deal with viral infection,infection
can i be coughing without fever and be infected,infection
can i get infected after i healed from it,infection
can i get infected from a newspaper,infection
can i get infected from food or grocery delivery,infection
can i get the virus from breathing infected airborn particules,infection
can my dog be infected with it,infection
can you get be infected more than once ,infection
does everyone infected need a respirator,infection
eyes infection is correlated,infection
for a healthy youngmiddleaged adult to get infected but recover by hisher own what would be the possibility to have his or her lung permenantly damaged,infection
from the infected worldwide population what will be the ratio of asymptomatic people,infection
how covid19 virus infected,infection
how do people get infected with coronavirus,infection
how i can get infected,infection
how i can isolate infectedquarantined family member at home where kids and other family members share common space,infection
how likely will i get reinfected,infection
how long does it last once infected ,infection
how long does it take for an infected person to show symptoms ,infection
how long does it take for you to feel symptoms once you are infected,infection
how long until an infected person shows symptoms,infection
how many are infected in brossard,infection
how many days does it take for the infection rates to double,infection
how many infected person in south korea,infection
how to avoid this infection,infection
how to deal with disinfection of day to day use objects,infection
how to help a friend that is infected,infection
how to take care of infected people ,infection
i feel tired often at home am i infected,infection
i need to take a blood test is there a large risk for infection,infection
i think i am infected what do i do,infection
im coughing because of postnasal drip and i travelled in the last 14 days could i be infected,infection
is it possible to be infected again,infection
is it true that in fine we will all get infected at some point with this novel strand of the coronavirus,infection
is there a correlation between exposure time and the severity of a covid19 infection,infection
is there any possibility of infected corona virus second time,infection
is there any possibility of infected corona virus twice second time,infection
my throat is tingling am i infected,infection
on a recent study published in nature it says that the severity of symptoms of covid19 infection depends on how much is your angiotensin converting enzyme 2 gene is expressed my question is on what factors does the rate of ace2 gene expression depends i,infection
once recovered can i be infected with corona again,infection
what are the best ways to discourage covid19 infection,infection
what are the demographics of people infected hospitalized and deceased in quebec ,infection
what are the survival rate by age brackets for those infected,infection
what are the symptoms of covid19 by day of infection,infection
what can i do to improve my chances of recovery before i get infected,infection
what is the current rate of infection,infection
what is the current situation of covid19 infections,infection
what is the estimated population that will be infected by the covid19 virus,infection
what is the rate of infection spread,infection
what rate of infection is projected in quebec what percentage of the population will contract covid19,infection
whats my risk of being infected,infection
which country infected  ,infection
can i hug my kids while social distancing,isolation
can i leave my pet with a family member or is that against the premise of social distancing,isolation
can i meet with my neighbours who have been in isolation for 14 days,isolation
how long do we need social distanciation for the virus to be less of a threat ,isolation
how long should we try to maintain social distancing,isolation
how long will it take before we can stop social distancing,isolation
how long will social distancing measures last,isolation
how many days should i isolate for,isolation
how much longer will society need to socially isolate,isolation
how to prepare for isolation,isolation
i feel lonely from isolation,isolation
is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days,isolation
is it safe to go outside for a walk social distancing from others,isolation
should i practice social distancing ,isolation
we are an essential service business i am looking for direction from health authorities to help determine a protocol to determine when an employee should self isolate based on living with or coming into contact with people who are ill or suspected of having covid 19,isolation
what are the impacts of not respecting social distancing,isolation
what is self isolation,isolation
what is selfisolation,isolation
what is social distancing,isolation
when should i end self isolation,isolation
when will the social distancing end and what is the economic consequent of the pandemic,isolation
who needs to be isolated,isolation
who needs to isolate,isolation
why is social distancing important,isolation
will nhs workers be even more isolated because they are exposed to the virus on a daily basis,isolation
will social distancing slow the spread of covid19,isolation
after my 14 days isolation can go out for a walk can i visit my grand sons of 6 years old and 13 months,lockdown
am i allowed to go for a walk,lockdown
am i allowed to go outside,lockdown
am i allowed to go outside for joggins,lockdown
are vet clinics still open,lockdown
can i go for a run does runningexercise compromise my immune system ,lockdown
can i go for a walk,lockdown
can i go for walking ,lockdown
can i go outside and take a walk without getting the virus,lockdown
can i go to the supermarket,lockdown
can i start seeing close family after a 14 day confinement,lockdown
can i walk on the street during outbreak,lockdown
can my family and i take walks around the block,lockdown
can you go for a walk even though everyone is being told to stay home,lockdown
could stores open a few hours a week for the elderly ,lockdown
does delivery is still open,lockdown
how long do you think we will have to be in a lockdown ,lockdown
how many days since switzerland closed schools,lockdown
i  take daily walks but keep a 6 ft distance when i talk to someone is that ok,lockdown
i am having trouble breathing should i go to the hospital,lockdown
i am in self isolation   is it ok to let in family members who must continue to go to work,lockdown
i got tested and it came back negative can i go back outside and go for a run,lockdown
is it ok for me to take a daily walk in the neighborhood residential area,lockdown
is it ok i go out for a walk alone,lockdown
is it ok to go for a walk  ,lockdown
is it ok to go outside to get fresh air,lockdown
is my school in montreal closed,lockdown
is the grocery open,lockdown
is the liquor store open,lockdown
lets say i go for a walk and i wear the same leggings a few times before washing them can clothing potentially pass on the virus  ,lockdown
ppl are still going out to walk out dogs and get some groceries what is transmission situation when in grocery store gas pump  avoiding using cash can help ,lockdown
should i go out for a walk in the park everyday,lockdown
should i go to the hospital,lockdown
should you go on dates indoors and outdoors in montreal right now ,lockdown
when can i go to my cabin,lockdown
when do i go to the emergency room when should i stay at home to deal with fluvirus like symptoms ,lockdown
when lockdown will be stopped,lockdown
when should i go to the er,lockdown
when should i go to the hospital,lockdown
when should i go to the hospital ,lockdown
when will it be ok to go outside,lockdown
where can i find the closest testing facility,lockdown
where can i go for a test in montreal,lockdown
where can i go to get tested,lockdown
where is the closest testing facility to me,lockdown
where is the closest testing site,lockdown
where should i go for a covid19 screening test ,lockdown
where should i go to get tested for the virus,lockdown
can i drink alcohol if i have coronavirus,nextsteps
can i have gastro intestinal symptoms with covid19 ,nextsteps
do i have a covid or is it just a cold,nextsteps
do i have covid,nextsteps
do i have covid 19,nextsteps
do i have covid19,nextsteps
do i have the virus,nextsteps
do i have to ask a sclerotic question about traveling or something to get an answer ,nextsteps
do i have to clean my groceries,nextsteps
do i have to take a test 14 days after being infected to know im fully recovered ,nextsteps
do i have to wash my grocery after buying them,nextsteps
do i need to selfisolate not leave the house or interact with other people in the house if i have a cold even if i have none of the listed symptoms of coronavirus ,nextsteps
how am i supposed to work while i have two young children at home,nextsteps
how can i know if i have corona,nextsteps
how do i know i have covid,nextsteps
how do i know i have covid19,nextsteps
how do i know if i have been infected,nextsteps
how do i know if i have coronavirus,nextsteps
how do i know if i have covid,nextsteps
how do i know if i have covid19,nextsteps
how do i know if i have covid19 or not ,nextsteps
how do i know if i have it ,nextsteps
how do i know if i have the corona virus,nextsteps
how do i know if i have the covid19,nextsteps
how do i know if i have the flu or coronavirus,nextsteps
how do i know if i haver coronavirus,nextsteps
how do i know that i have the virus and not just the flu ,nextsteps
how i can test if i have the diease,nextsteps
how long do i have stay in isolation ,nextsteps
how long do i have to stay at home,nextsteps
how long should i stay home if i have symptoms,nextsteps
how to know if i have corona,nextsteps
how to see a doctor if i have symptoms,nextsteps
i am coughing but i dont have fever could i have covid19,nextsteps
i am coughing so you think i have coronavirus,nextsteps
i am having difficulty of breathing do i have coronavirus,nextsteps
i do not have a fever but i have a cough and it all suddenly started after a day of chest pain do i have covid19,nextsteps
i feel i have fever what should i do,nextsteps
i have a bit of nausea and headache do i have covid19,nextsteps
i have a cough should i go to the emergency ,nextsteps
i have a cough what should i do,nextsteps
i have a dry cough but no fever should i get tested,nextsteps
i have a fever how do i know if its covid19 or the flu,nextsteps
i have a fever what should i do,nextsteps
i have a fever what should i do now,nextsteps
i have a headache and an itchy throat am i at risk ,nextsteps
i have a headache for the past 3 days should i be tested  ,nextsteps
i have a lot of stress regarding covid19,nextsteps
i have a mild fever do i have the coronavirus,nextsteps
i have a sore throat,nextsteps
i have a sore throat could that be covid19,nextsteps
i have a sore throat do i have the virus ,nextsteps
i have a sore throat is that a sign of covid19,nextsteps
i have a sore throat is that an early symptom,nextsteps
i have a sore throat what do i do,nextsteps
i have a sore throat what other symptoms should i be waiting for before getting tested,nextsteps
i have asthma how at risk am i about the possibility of complications,nextsteps
i have been temporary laid due to covid19 will my benefits continue,nextsteps
i have cold for couple of weeks have cough over night and regular mucous during day and night feel a bit hot but not fever that can be feel sometimes ear pain for infection some times get stressed on having corona does any of these symptoms suggest that i have quarantined myself for over 10 days  ,nextsteps
i have cough does that mean i might be infected,nextsteps
i have difficulty breathing which hospital should i go to,nextsteps
i have fever 38c is that corona virus symptoms,nextsteps
i have fever should i go out,nextsteps
i have fever what i should do,nextsteps
i have fever what should i do ,nextsteps
i have had a sore throat for 8 days should i worry,nextsteps
i have hashimotos hypothyroiditis am i more at risk i also had a pe due to fvleiden and oral contraceptives in 2001what do you recommend i do,nextsteps
i have headache is it normal,nextsteps
i have huge blood in my excreta this morning,nextsteps
i have shock about one month ago what can be it,nextsteps
i have shortness of breath but no fever,nextsteps
i have some headeche,nextsteps
i have some symptoms what should i do,nextsteps
i have symptoms should i go to the hospital,nextsteps
i have temperature what should i do,nextsteps
i have throat ,nextsteps
i havent lost sense of smell do i have covid19,nextsteps
i lost my sense of smell does this mean i have coronavirus,nextsteps
i lost my sense of taste does this mean i have coronavirus,nextsteps
i take public transit and work in a call center for a bank my employer expects me to come in even though i have symptoms isnt anybody with symptoms instructed to selfisolate for 14 days,nextsteps
i think i have a fever what do i do,nextsteps
i think i have coronavirus should i go to the emergency,nextsteps
i think i have covid,nextsteps
i think i have fever what should i do,nextsteps
if i get sick but it seems like a cold how long do i have to wait after feeling better to see other people,nextsteps
if i have a fever does it mean i have covid ,nextsteps
if i have covid19 how long will i be contagious,nextsteps
if i have diabetes am i at a higher risk ,nextsteps
if i have flu like symptoms at what point should i go to the hospital,nextsteps
if i have symptoms and i am told to stay home can i take tylenol,nextsteps
if i have symptoms should i go to the er or should i call a doctor,nextsteps
if i think i have symptoms of covid19 should i go to the emergency room ,nextsteps
if my tempreture is over 39 can i assume that i have covid19 ,nextsteps
if there are kids around me do i have to worry if they are infected and i do not know,nextsteps
im coughing what is the chance i have corpnavirus,nextsteps
im feeling dizzy with fever do i have corona ,nextsteps
in grocery store if someone coughs in the corridor in front of me lets say in distance of 3 meters how long doni have to avoid that area and do i need to do it,nextsteps
is it best to stay at home if i have symptoms ,nextsteps
it is possible that i have covid19 only if experience only a few symptoms,nextsteps
my throat get dry and sometimes i have to take long breaths ,nextsteps
should i get checked if i have been out of the country,nextsteps
should i use asprin with i have the coronavirus,nextsteps
so i have been having a weird feeling around my throatneck region my question is am i supposed to be worried or go get tested,nextsteps
what are are my chances of dying if i have the covid 19 virus ,nextsteps
what do i do if i have a cough,nextsteps
what do i do if i have a fever,nextsteps
what do i do if i have symptoms,nextsteps
what do i have to expect after the disease,nextsteps
what follow up can i do when i have symptoms,nextsteps
what if i have a cough and no fever ,nextsteps
what if i have cough ,nextsteps
what is the nearest hospital to go to if i have a covid19,nextsteps
what kinds of drugs can i take now i have advil and tylenol flu,nextsteps
what should i do if i have coronavirus symptoms,nextsteps
what should i do if i have fever,nextsteps
what should i do if i have symptoms,nextsteps
what should i do if i have the virus,nextsteps
what should i do if i think i have covid19,nextsteps
what to do if i think i have covid 19,nextsteps
what type of drugs may i take if i have covid19,nextsteps
where can i go to be tested if i have symptoms ,nextsteps
where do i go if i have mild symptoms,nextsteps
who should i tell if i think i have covid19,nextsteps
will i die if i have covid19,nextsteps
how did it started,past
where did covid19 started,past
where did it start,past
how does it take to recover from the virus,recover
how does ventilator helps recovery,recover
how long does it take an average person to recover,recover
how long does it take to recover,recover
how long does recovery take on average,recover
how many days it takes to recover,recover
how quickly can the global economy recover from this event,recover
is it true that you can get the virus again even after youve recovered ,recover
once you get the virus and recover from it are you still contagious for others  are you immune to it,recover
what are the long term health consequences after you recover  ,recover
will i be able to transmit after recovering,recover
will i be immune after recovering,recover
will quitting smoking help my chances of recovery,recover
age wise statistics for covid19,statistics
are smokers at increased risk of death if exposed to the virus,statistics
are there confirmed cases in my neighborhood ,statistics
covid19 cases in my neighbourhood are riding what do i do,statistics
hey how many cases of covid infections in the world ,statistics
how deadly is the virus,statistics
how deadly is the virus ,statistics
how many asymptomatic people are there likely to be,statistics
how many cases,statistics
how many cases are in quebec now  ,statistics
how many cases are in spain ,statistics
how many cases are in the us,statistics
how many cases are there in canada,statistics
how many cases are there in the us,statistics
how many cases are there in washington state,statistics
how many cases in canada now  ,statistics
how many cases in india,statistics
how many cases in montreal,statistics
how many cases in montreal ,statistics
how many cases in quebec,statistics
how many cases in quebec ,statistics
how many cases in quebec granby there is ,statistics
how many cases in quebec per million people,statistics
how many cases of coronavirus in madagascar,statistics
how many cases of covid 19 are declared in quebec as of today,statistics
how many cases of covid are there in italy,statistics
how many cases of covid in laval,statistics
how many cases of the coronavirus are there in montreal,statistics
how many confirmed cases in ontario now,statistics
how many covid cases are in quebec,statistics
how many covid19 related deaths have there been in montreal,statistics
how many death in italy,statistics
how many death in quebec,statistics
how many death now,statistics
how many deaths are in italy as of march 21,statistics
how many new cases,statistics
how many new cases per day in canada,statistics
how many people are infected in australia currently,statistics
how many people are infected in lithuania,statistics
how many people are infected in quebec,statistics
how many people are infected in toronto,statistics
how many people are sick with covid19 in chile ,statistics
how many people die for cover,statistics
how many people died,statistics
how many people died in belgium,statistics
how many people died in canada,statistics
how many people died in nyc,statistics
how many people died so far,statistics
how many people have died,statistics
how many people have died in the us,statistics
how many people have dies,statistics
how many people have it in my town,statistics
how many people how has covid19,statistics
how many people in america,statistics
how many people positive result with covid19,statistics
