question_processed,cluster
how long can the coronavirus live in fabrics,covid-life
how long can the covid19 survive outside the body,covid-life
how long can the virus live,covid-life
how long can the virus live on surfaces,covid-life
how long can the virus stay in the air,covid-life
how long can the virus survive in the air,covid-life
how long could the virus stay alive on doorknobs traffic signal buttons stair rails,covid-life
how long does covid live on packages,covid-life
how long does covid19 live on glass surfaces,covid-life
how long does covid19 stay in the air ,covid-life
how long does covid19 stay on surfaces,covid-life
how long does the covid19 virus stays alive on a door handle,covid-life
how long does the srascov2 live on syrface,covid-life
how long does the virus live for outside a body,covid-life
how long does the virus live in my body if i catch it,covid-life
how long does the virus live on clothes,covid-life
how long does the virus live on surfaces,covid-life
how long does the virus remain active and alive after attacking a human body,covid-life
how long does the virus stay airborne,covid-life
how long does the virus stay alive on surface,covid-life
how long does the virus stay in paper money and coins,covid-life
how long does the virus stay on boxes,covid-life
how long does the virus stay on surface,covid-life
how long does the virus stay on surfaces,covid-life
how long does the virus survive on a surface,covid-life
how long does the virus survive on a surface like a doorknob,covid-life
how long does the virus survive on hard surfaces such as wood steel plastic particle board  stuff we find on our furniture,covid-life
how long goes the virus stay in the air after someone coughs,covid-life
how long is covid19 staying on surfaces,covid-life
how long people live after being infected by coronavirus,covid-life
how long the virus stays on surfaces,covid-life
how much does corona virus stay on each kind of surfaces,covid-life
i am on day 12 of selfisolation symptoms first presented march 2728 as headache dry cough lowgrade fever and heavinesstightness in my chest i spoke with a telehealth nurse on day 4 i had been selfisolating since first onset of symptoms and she strongly recommended i continue the selfisolation for the 14 days even if symptoms improved the symptoms did not worsen however my temperature continued to hover around 100f up until yesterday  persistent dull headache im due to return to work on monday april 13 should i request to be tested or if fever continues to stay in normal range i should be clear,covid-life
i have no family in canada and i live alone how can i be prepared in case of infection with covid19 or even any other sickness ,covid-life
i live alone and i have no family members if i ever became sick with covid19 should i still be staying home alone or do i need to be at the hospital for medical care during my sickness,covid-life
i would like to know how long can the virus survive in different surfaces,covid-life
if a shelter in place order comes in and a person in place is not a resident but lives in another municipality of the same province can they be provided provisions should rationing begin,covid-life
if someone survived covid19 is he completely virusfree,covid-life
is it true that covid19 can survive up to a few days on hard surfaces,covid-life
must the feversymptom related to covid19 be a continuous fever or is it possible that the fever is shortlived,covid-life
my  father is 80 years and food is delivered to him daily can food containers and food itself be contaminated by covid,covid-life
she does not have any symptoms and has not travelled would it be alright for her to come and stay with my husband and i for a week or so my husband is 69 and i am 65 years old we do not show any symptoms but want to ensure it is safe for our daughter to come and stay for a week and then she would go back to her apartment in toronto she lives alone and has been selfisolating  she suffer with mental health and we feel this could help her what is the right thing to do please advise thank you,covid-life
should we avoid online shopping as it puts workings and delivery people at risk ,covid-life
what do i do if my elderly parent who lives alone shows symptoms of covid19,covid-life
will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery we have sobeys loblaw amazon walmart and intelcom who do this today but in an unconcerted way ,covid-life
can ai help telemedicine,covid-med
do medications such as ibuprofen voltaren which have anti inflammatory property make the symptoms of covid19 worse,covid-med
do we have a vaccine for coronavirus ,covid-med
do you have treatment for covid19,covid-med
does a previous bcg vaccine reduce chances of contracting covid19,covid-med
does pneumonia vaccine which is for a bacterial infections helps the immune system to deal with the viral infection of covid19 more easily by removing the possibility of bacterial infection and just focusing on viral infection,covid-med
from the infected worldwide population what is the ratio that will need medical attention eg icu or ventilators,covid-med
how can elders 80 years old be cured from covid19,covid-med
how can i cure covid19,covid-med
how could covid19 be possibly treated with a vaccine,covid-med
how long before we have a vaccine for corona ,covid-med
how long is the treatment,covid-med
how long will it be before we find a vaccine for covid19,covid-med
how long will it take for a vaccine to be produced,covid-med
how long will it take to develop a vaccine  ,covid-med
how long would it take to develop a vaccine for this virus,covid-med
how will i have my baby seen if no one will take a patient with a fever and cough kids still need physicals when they have ear pain or fever for more then 72hrs it makes me feel very insecure can i talk to a doctor virtually ,covid-med
i am currently in montreal quebec however i have a health card from another province will i get free medical help with ohip card,covid-med
i am trying to get more information about the risks associated with people with compromised immune systems as a result of chronic illness ulcerative colitis and treatment by remicade i work in essential services and am trying to evaluate the risks related to my work and medical history,covid-med
i have heard the blood pressure medication telmisartan may increase susceptibility to covid19 can you provide any information on this,covid-med
i have high fever should i take medicine or not,covid-med
i heard hydroxychloroquine is a good treatment for covid19 where can i get it,covid-med
i might have covid 19 what treatment do i follow,covid-med
if someone got cured can they catch it again,covid-med
im a 53 year old female living with an autoimmune disease psoriatic arthritis and a few other conditions like chronic migraine and iron deficiency i take a medication that suppresses my immune system in spite of that i almost never even catch a cold and never get infections how worried should i be about being able to fight of the virus if i catch it inadvertently say at the grocery store ,covid-med
in how many days can covid be cured ,covid-med
is it more risky to stay on high blood pressure medication and take your chances with the high pressure than to get sick,covid-med
is there a cure for corona virus,covid-med
is there a treatment for corona virus,covid-med
is there a vaccine for corona virus,covid-med
is there a vaccine for covid,covid-med
is there any medication,covid-med
is there any medication to take to help,covid-med
is there any treatment for covid 19,covid-med
my husband has had lung cancer which resulted in the removal of one lung and has emphysema and currently on oral chemo medication  should i not go for groceries etc in fear of bringing the virus into our house,covid-med
once you are cured from covid19 can you catch it again,covid-med
should i expect a cure if i go to a hospital,covid-med
treatment for covid 19,covid-med
what about the researches with respect to treatment of covid19,covid-med
what are the most promising treatments at the moment,covid-med
what are the treatments of covid19,covid-med
what can i expect from treatment ,covid-med
what covid19 symptoms require that i seek medical help ,covid-med
what drugs or treatments can i take ,covid-med
what have you implemented to help older people who do not know how to use the internetphone to obtain their groceries and medicine,covid-med
what kind of medication can i take if i have the virus ,covid-med
what medicament can i use if i have symptoms ,covid-med
what medication can i take for the symptoms and what can i give to my kids,covid-med
what medication is recommended if i contract covid19,covid-med
what medication should i avoid,covid-med
what medication should i take,covid-med
what medications should i take to alleviate covid19 symptoms,covid-med
what treatments are available for covid19,covid-med
when is the vaccine available ,covid-med
when will a vaccine be available,covid-med
when will a vaccine become available,covid-med
when will the cure be available ,covid-med
when will the treatment be available for this pandemic,covid-med
when will the vaccine be ready ,covid-med
where can i go to get treatment ,covid-med
would a physiotherapy session on facetime qualify as a virtual treatment,covid-med
how does it take to recover from the virus,covid-recovery
how does ventilator helps recovery,covid-recovery
how long does it take an average person to recover,covid-recovery
how long does it take to recover,covid-recovery
how long does recovery take on average,covid-recovery
how many days it takes to recover,covid-recovery
how quickly can the global economy recover from this event,covid-recovery
is it true that you can get the virus again even after youve recovered ,covid-recovery
once you get the virus and recover from it are you still contagious for others  are you immune to it,covid-recovery
once you recover from covid19 are you immune ,covid-recovery
what are the long term health consequences after you recover  ,covid-recovery
will i be able to transmit after recovering,covid-recovery
will quitting smoking help my chances of recovery,covid-recovery
 when should i consult after the vomitting symptoms for a 4 yo child ,covid-symptoms
are a loss of taste and smell symptoms of covid19,covid-symptoms
are asymptotic people contagious,covid-symptoms
are covid symptoms linked to the strength of the immune system,covid-symptoms
are itchy eyes a symptom of covid 19,covid-symptoms
are my symptoms anxiety or covid 19,covid-symptoms
are older people more or less likely to be asymptomatic compared to the general population,covid-symptoms
can a virus enter through a cut or only through respiratory system ,covid-symptoms
can i be assymptomatic and have covid,covid-symptoms
can we be contagious when we dont show symptoms,covid-symptoms
can you please tell me symptoms of corona virus,covid-symptoms
covid symptoms,covid-symptoms
covid19 symptons,covid-symptoms
day by day symptoms,covid-symptoms
describe the symptoms of covid,covid-symptoms
describe the symptoms of covid 19,covid-symptoms
do the symptoms start suddenly or they progress slowly from one day to another ,covid-symptoms
does a throat feel itchy or really sore and a symptom ,covid-symptoms
does covid 19 cause stomach issues,covid-symptoms
does my neighbour have covid19 symptoms,covid-symptoms
does quebec health public system have the capacity to fight this covid19 outbreak ,covid-symptoms
does stress have an impact on our immune system ,covid-symptoms
does taking high doses of vitamin c and d help fighting the disease as an immune system booster is there any study on that,covid-symptoms
does the amount of virus one is exposed to change the severity of the symptoms,covid-symptoms
how can i boost my immune system,covid-symptoms
how do i tell symptoms apart between a normal flu and the covid19 flu,covid-symptoms
how does covid19 affect asymptomatic peoples lungs ,covid-symptoms
how does it die in asymptomatic people,covid-symptoms
how long after being asymptomatic are you no longer contagious ,covid-symptoms
how long before symptoms start to show ,covid-symptoms
how long before the symptoms to coronavirus appear,covid-symptoms
how long can the virus be active in asymptomatic patients,covid-symptoms
how long can you be asymptomatic and have covid19,covid-symptoms
how long do coronavirus symptoms last for,covid-symptoms
how long do the symptoms last,covid-symptoms
how long do the symptoms of covid19 last for,covid-symptoms
how long does it take for symptoms to appear,covid-symptoms
how long does it take for the patient to show symtoms,covid-symptoms
how long does it takes to get first symptom of covid19 ,covid-symptoms
how long last the symptoms of covid19 ,covid-symptoms
how many days can you be contagious without showing symptoms,covid-symptoms
how many days does it take to see the symptoms,covid-symptoms
how much time it takes to show the symptoms for corona virus,covid-symptoms
i am feeling itchy around my body is it a symptom of covid ,covid-symptoms
i currently have a newborn baby boy at home which puts me in a very sensitive situation i am worried about his wellbeing as doctors tell me it takes at least 3 months for newborns to begin developing a proper immune system at the same time i am grateful to be able to work essential service not healthcare and support my new family through these hard times what is your recommendation,covid-symptoms
i feel dizzy is this a symptom of coronavirus,covid-symptoms
i feel i am affected are there symptoms through which i can confirm sitting at home ,covid-symptoms
i feel like a small ball in my throat is this a symptom,covid-symptoms
i got the flu two weeks ago and are getting symptoms again,covid-symptoms
im sneezing is this a symptom ,covid-symptoms
is a cough but no fever a symptom,covid-symptoms
is a lower than usual temperature a potential symptom,covid-symptoms
is a runny nose a covid19 symptom,covid-symptoms
is coughing phlem a symptom,covid-symptoms
is coughing with a headache a symptom,covid-symptoms
is excessive fatigue a symptom of covid,covid-symptoms
is fever a symptom of coronavirus ,covid-symptoms
is fever the main symptom for vivid19,covid-symptoms
is headache a symptom of covid19,covid-symptoms
is headache a symptom of this pandemic ,covid-symptoms
is migraine a symptom of covid,covid-symptoms
is migraines a symptom,covid-symptoms
is missing the smelling one of the symptoms,covid-symptoms
is runny nose a symtom of covid19,covid-symptoms
is sore throat a symptom,covid-symptoms
is sore throat a symptom of covid19,covid-symptoms
is sore throats a symptom ,covid-symptoms
is that a symptom,covid-symptoms
is the asymptomatic carrier a temporary status ,covid-symptoms
is vomiting one of the symptoms,covid-symptoms
ive have mild cough and not the continuous one and symptoms of fever like burning eyes but not the temperature what do i do,covid-symptoms
my body is warm from inside and sometimes outside ,covid-symptoms
my next door neighbours appartment have just gotten back to the country  can the virus travel through the ventilation system,covid-symptoms
my throat is hurting is this a symptom of coronavirus,covid-symptoms
symptom,covid-symptoms
symptom of corona,covid-symptoms
symptomms,covid-symptoms
symptoms,covid-symptoms
symptoms ,covid-symptoms
symptoms of corona,covid-symptoms
symptoms of covid ,covid-symptoms
symptoms of covid19,covid-symptoms
symptômes,covid-symptoms
symptômes covid,covid-symptoms
we hear that children and young people with covid19 are more likely to be asymptomatic than older populations is it possible for a senior someone over 65 to have the virus but not show any symptoms,covid-symptoms
what are corona virus symptoms,covid-symptoms
what are cov19 symptoms,covid-symptoms
what are covid 19 symptoms,covid-symptoms
what are covid symptoms,covid-symptoms
what are covid symptoms at early stage,covid-symptoms
what are covid symptons,covid-symptoms
what are covid19 symptoms,covid-symptoms
what are covid19s symptoms,covid-symptoms
what are de symptoms of coronavirus,covid-symptoms
what are he covid symptoms,covid-symptoms
what are symptoms,covid-symptoms
what are symptoms ,covid-symptoms
what are symptoms of covid19,covid-symptoms
what are symptoms of covid19 ,covid-symptoms
what are the 3 symptoms of covid19,covid-symptoms
what are the common symptoms,covid-symptoms
what are the confirmed symptoms of covid19,covid-symptoms
what are the coronavirus symptoms,covid-symptoms
what are the covid simptons,covid-symptoms
what are the covid19 symptoms ,covid-symptoms
what are the early symptoms,covid-symptoms
what are the early symptoms of covid19,covid-symptoms
what are the first symptoms ,covid-symptoms
what are the first symptoms of covid19,covid-symptoms
what are the main symptoms,covid-symptoms
what are the main symptoms ,covid-symptoms
what are the main symptoms of coronavirus,covid-symptoms
what are the main synptoms,covid-symptoms
what are the minor symptoms that may not seem as though it is covid19 but in fact are,covid-symptoms
what are the most common covid19 symptoms ,covid-symptoms
what are the most common symptoms in covid19,covid-symptoms
what are the most common symptoms of covid19,covid-symptoms
what are the real symptoms of covid19 ,covid-symptoms
what are the sympthoms of covid19,covid-symptoms
what are the symptom,covid-symptoms
what are the symptom for covid19,covid-symptoms
what are the symptom levels to be considered to see a doctor,covid-symptoms
what are the symptome ,covid-symptoms
what are the symptoms,covid-symptoms
what are the symptoms ,covid-symptoms
what are the symptoms  ,covid-symptoms
what are the symptoms for corona virus,covid-symptoms
what are the symptoms for covid19,covid-symptoms
what are the symptoms for covid19 ,covid-symptoms
what are the symptoms i should look out for ,covid-symptoms
what are the symptoms in children,covid-symptoms
what are the symptoms in kids,covid-symptoms
what are the symptoms is vomiting one of them ,covid-symptoms
what are the symptoms of corona,covid-symptoms
what are the symptoms of corona virus,covid-symptoms
what are the symptoms of corona virus ,covid-symptoms
what are the symptoms of coronavirus,covid-symptoms
what are the symptoms of covid,covid-symptoms
what are the symptoms of covid 19,covid-symptoms
what are the symptoms of covid19,covid-symptoms
what are the symptoms of sarscov2,covid-symptoms
what are the symptoms of the corina virus ,covid-symptoms
what are the symptoms of the covid19,covid-symptoms
what are the symptoms of vivid 19,covid-symptoms
what are the symptomys od covi19 ,covid-symptoms
what are the symtoms,covid-symptoms
what are the symtoms for covid19,covid-symptoms
what are the synthoms,covid-symptoms
what are the syptoms,covid-symptoms
what are the top symptoms ,covid-symptoms
what are you symtoms of covid ,covid-symptoms
what exactly are the breathing symptoms associated with covid19,covid-symptoms
what is an asymptomatic carrier,covid-symptoms
what is most usual symptom of covid19 ,covid-symptoms
what is the covid19 symptoms ,covid-symptoms
what is the covıd19s symptoms ,covid-symptoms
what is the first symptom of covid,covid-symptoms
what is the first symptom of covid ,covid-symptoms
what is the first symptom of the virus,covid-symptoms
what is the main symptoms of the disease related to new coronavirus,covid-symptoms
what is the somptoms of covid19,covid-symptoms
what is the symptoms,covid-symptoms
what symptoms should prompt me to get checked,covid-symptoms
what symptoms you have,covid-symptoms
whatbare the symptoms,covid-symptoms
when do symptoms like short breath shows up,covid-symptoms
when having covid19 what are the next possible symptoms for a 4 years old child,covid-symptoms
which are its first symptoms,covid-symptoms
which are the sintoms,covid-symptoms
wich are covid19 synthoms,covid-symptoms
will boosting my immune system help,covid-symptoms
at what rate covid19 pandemic spreading currently any similarity across regions,covid-transmission
can i catch or spread the virus from a plastic bag,covid-transmission
can the new coronavirus be transmitted by packages or imports of goods ,covid-transmission
can the new coronavirus be transmitted through foodstuffs,covid-transmission
can the virus travel through air or does there need to be physical contact,covid-transmission
can this virus infect me in an airborne fashion,covid-transmission
can you die from contracting covid,covid-transmission
does covid19 spread by means of gametes,covid-transmission
does covid19 spread in tropical conditions,covid-transmission
does covid19 spread in warm weather,covid-transmission
does everyone that contracts the virus show symptoms or will only certain people show symptoms,covid-transmission
does it spread when we inhale the germs or just touching the virus infects us,covid-transmission
does the virus spread by rain,covid-transmission
how can i minimize the likelihood of contracting covid19,covid-transmission
how did this virus transmit,covid-transmission
how do you contract covid19,covid-transmission
how does covid19 get transmitted ,covid-transmission
how does covid19 spread,covid-transmission
how does it spread ,covid-transmission
how does the virus spread,covid-transmission
how fast does it spread,covid-transmission
how fast does the virus spread,covid-transmission
how fast will the pandemic spread in canada,covid-transmission
how is covd19 transmitted to humans,covid-transmission
how is covid 19 spread,covid-transmission
how is covid transmitted,covid-transmission
how is covid19 spread,covid-transmission
how is it transmitted,covid-transmission
how is the corona virus being spread,covid-transmission
how long are you contagious after you contract covid19 ,covid-transmission
how long has the virus been spreading in canada,covid-transmission
how much the quarantine process has a positive impact on reducing contamination spread,covid-transmission
how to prepare for spread of covid 19,covid-transmission
is china responsible for the spreading of covid19,covid-transmission
is corona virus airborne,covid-transmission
is covid 19 airborne,covid-transmission
is covid19 airborn  can i get it from the air ,covid-transmission
is covid19 airborne,covid-transmission
is covid19 an airborne ,covid-transmission
is it airborne,covid-transmission
is it airborne ,covid-transmission
is it sexually transmissible ,covid-transmission
is it transmissible through anal sex ,covid-transmission
is the virus airborne,covid-transmission
is the virus airborne ,covid-transmission
transmission of covid 19 human to human is 100 confirmed  what about  human to pets ,covid-transmission
what is the youngest age of a healthy person contracting the coronavirus,covid-transmission
when will i be able to go back to work government contract ,covid-transmission
when will it stop spreading is 2 weeks enough ,covid-transmission
why is it still spreading when we are all at home,covid-transmission
will the virus continue to spread for a long time,covid-transmission
how can i distinguish an itchy throat due to covid19 to the one due to potential acid reflux caused by high levels of stress and anxiety,covid-versus
how can you distinguish between a flu and covid19,covid-versus
how do i distinguish between the flu and coronavirus,covid-versus
 what surfaces can the coronavirus attach itself to and how long does it remain infectious ,covid-what
can you explain to me what is the covid19,covid-what
i was in contact with a person who had coronavirus what should i do ,covid-what
may i know what is corona,covid-what
my employer has fired me because of covid19 what should i do,covid-what
my kids are anxious about covud19  what shall i tell them,covid-what
what is a vaccin becoming available,covid-what
what is best to  gargle with after comingin from shopping trip,covid-what
what is corona,covid-what
what is corona virus,covid-what
what is corona virus and covid19,covid-what
what is coronavirus,covid-what
what is coronavirus ,covid-what
what is cover,covid-what
what is covi,covid-what
what is covid,covid-what
what is covid 19,covid-what
what is covid 29,covid-what
what is covid1,covid-what
what is covid19,covid-what
what is covid19 ,covid-what
what is covid19 virus,covid-what
what is covid19s definition,covid-what
what is covid19what is covid19,covid-what
what is covid2019,covid-what
what is last stats for covid19 in canada,covid-what
what is the best way to curate information about covid19,covid-what
what is the best way to self diagnose covid19 ,covid-what
what is the buccal temperature of someone with covid 19,covid-what
what is the coronavirus,covid-what
what is the coronavirus ,covid-what
what is the covid,covid-what
what is the covid19,covid-what
what is the governments plan to help financially with the impact of covid19,covid-what
what is the impact of covid 19 on warehouses,covid-what
what is the impact that covid19 has in the economy,covid-what
what is the likelihood to be sick by covid19,covid-what
what is the meaning of covid19,covid-what
what is the origin of covid19,covid-what
what is the relationship between covid19 and other lung diseases,covid-what
what is the status of covid19,covid-what
what should be peoples actions for surviving covid19 ,covid-what
what should i eat or drink to avoid or to battle covid19,covid-what
what si coronavirus,covid-what
whats a waiting time to get covid19 results,covid-what
whats considered to be a fever to worry about is anything above 37 centigrade something to worry about ,covid-what
whats corona,covid-what
whats corona virus,covid-what
whats covid19,covid-what
whats covid19 ,covid-what
whats is covid19,covid-what
whats the current state of covid,covid-what
whats the data on first and second trimester of pregnancy,covid-what
