question_processed,cluster
how can i know if any of the financial packages released by the government apply to me,guideme
if you contract covid19 how do you treat yourself at home,guideme
what measures can i take if someone i know is effected with the virus,guideme
how long are you contagious if you have coronavirus,guideme
how can i tell if my lungs are not functioning well,guideme
if im in selfquarantine with mild symptoms of some sort of respiratory thing when can i stop selfquarantining,guideme
if my dog is infected where do i take him to get him help,guideme
i work in a mall and just found out another employee in a different store is a possibly infected should i be worried ,guideme
how is this virus different from other flulike viruses,guideme
what should we do if we have fever now,guideme
how does it manifest in the human system,guideme
does it feel just like flu or is it different,guideme
do i need to get tested if i dont have a fever,guideme
what are the differences between the flu and covid19,guideme
how do i buy groceries if i am in self quarintine,guideme
how do you know if you are sick,guideme
hi im wondering if i need to isolate,guideme
do i need to get tested if i just have a sore throat,guideme
if i catch the virus once can i catch it a second time,guideme
is there a test to see if you have antibodies for the virus,guideme
where do i go if i feel i am affected,guideme
what if i am having anxiety or stress ,guideme
how do i know if im symptomfree ,guideme
what should i do if a family member is quarantined,guideme
what is the difference between influenza and the coronavirus,guideme
is there a difference between washing hands in warm and cold water,guideme
how do i know if i am affected,guideme
how do you differentiate between covid19 and the flu,guideme
what are the risks if i go to the supermarket,guideme
if you get it once will you not get it once again,guideme
if grocerie stores close what will i eat,guideme
what do i do if 811 says to stay home with my symptoms but i feel its bad enough to be seen in person can i show up to the er do i call 911 ,guideme
if i finished radiation and chemotherapy 2 months ago and i considered more susceptible to catching covid19 ,guideme
what the different between corona and covid_19,guideme
how to differentiate between coronavirus and simple flu,guideme
how do i know if my chest is hurt because lung damage or another cause,guideme
if i inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs,guideme
what do i do if someone with covid19 spotted,guideme
how often should you be going to do groceries in person if you cant do delivery ,guideme
what should i do if i think that im infected ,guideme
if i cross someone on the street how are the chance to catch the virus ,guideme
if my son if suppose to get tested tomorrow but just starting to feel better can i cancel or should we still go,guideme
when will the municipalities post heat maps to identify hot spots for covid positive residents,guideme
can i get covid19 again if i already was infected with it,guideme
how do i know if i am following the rules of social distancing correctly,guideme
what is the difference between covid19 and coronavirus ,guideme
how long will i be sick if i get the virus,guideme
what if i got fever,guideme
will the hospital let me die if there are no ventilators left and a younger person needs it too can we share it,guideme
if i was traveling abroad recently what should i do when coming back home,guideme
what is the likelihood of having covid if only showing one symptoms for example dry cough,guideme
if i catch the virus will i be immune from getting it again   ,guideme
do i need to stay away from my family members if were all social distancing together in the house,guideme
hat should i do if my 2 year old child starts having a runny nose,guideme
how do i know if im infected,guideme
what is the difference between a bacteria and a virus,guideme
if im below the age of 30 will i notice symptoms if im sick,guideme
where should i go if i am sick,guideme
is it worth getting assessed if my symptoms are not severe,guideme
how can i differ between covid and normal flu ,guideme
hi i am wondering if small business owners are eligible for some kind of benefit from,guideme
what are the symptoms i should feel if i am infected with corona virus,guideme
if there any possibility to get infected if i did not have any contact with someone infected ,guideme
can i move in with family if we have all been symptom free for 14 days,guideme
if my spouse was in contact with someone who is covid19 positive do i need to quarantine myself too do i need to get tested,guideme
would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country rich or poor and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads,guideme
can i still go out for grocery shopping even if im just getting back from vacations,guideme
whats the difference between covid19 and cold,guideme
my head hurts my body aches a little and i feel a cold coming how do i know if this is covid19 or just an ordinary cold,guideme
would using heatedvapor humidifier help with sanitizing the sinuses of the covid19,guideme
after recovering from the virus if you catch it again can you still spread it even if you dont show symptoms because your body knows how to fight it,guideme
if you are a fireman and have had the coronavirus when should you go back to work,guideme
do i qualify for cerb if i only lost one of my two jobs,guideme
how painful will it be if i got the virus,guideme
if i am starting to breath heavily should i get it checked out,guideme
is it possible to have covid19 if you only have one of the symptoms,guideme
 my wife gave birth two days ago at the jewish general hospital now that we are home we are home is it safe to get our 3 year old from my sisters house or should we quarantine ourselves for 14 days,guideme
how are the symptoms different then the cold or flu,guideme
how can i get tested if im asymptomatic,guideme
i am 43 whats the chance of my survival if i get covid ,guideme
my wife gave birth two days ago at the jewish general hospital now that we are home we ,guideme
if you are a fireman and have been sick do you need to be tested before going back to work ,guideme
what is the halflife of coronavirus,guideme
what range is the fever at normally if covid19 suspected,guideme
can i go for a walk outside in my neighborhood if i am voluntary isolation ,guideme
whats the timeline of the appearance of different symptoms,guideme
if im sneezing should i get tested for corona virus,guideme
if you start showing flu symptoms should you consult a doctor or stay home,guideme
is it possible to get covid if i am missing my children,guideme
are there different degrees of severeness of the virus,guideme
can i be contagious even if i dont have symptoms ,guideme
do kids show symptoms if they get covid 19,guideme
if i do not have systoms could i still have the virus ,guideme
i would like clarifications about the fact that test results dont work if you dont have symptoms that does not seem like a commonality we usually see with tests like this,guideme
what do i do if i suspect im infected,guideme
if i traveled from vancouver to quebec city do i need to quaratine  ,guideme
if i experience symptoms but they are manageable should i still go to the hospital for testing,guideme
if you recover from the virus can you still be a carrier ,guideme
should i be worried about getting sick if the government does not lock down everything,guideme
when will we know if the school year is cancelled,guideme
whats the difference between covid19 and coronavirus,guideme
what should i do if i am short of breath,guideme
what should i do if i start coughing,guideme
will covid19 mutate to a different more virulent strain,guideme
if i do not show syntoms can i still be tested,guideme
should i go to the er or my physician directly if im infected,guideme
if someone was infected once can they be reinfected can they still carry the virus and infect others,guideme
whats the point of asking you questions if you dont have answers,guideme
how do i know if im asymptomatic despite having contracted the coronavirus ,guideme
what is the life of covid19 virus,guideme
how to know if i get covid19 or not,guideme
what should you do if you dont have water and soap and sanitizer,guideme
doeas the software is automatic in english because i use an english device if i ask in french the answer will be in french,guideme
how can i make the difference between a cold and covid19,guideme
what are symptoms in the incubation period,incubation
what is the incubation period of covid19,incubation
how long does the incubation period last,incubation
what is the incubation time of covid19 by age,incubation
is the severity of disease dependent on incubation period ,incubation
how long does this virus incubate ,incubation
what is the incubation period ,incubation
how long is incubation period ,incubation
whats the incubation period of the covid19 virus,incubation
whats the incubation period ,incubation
is the virus infectious during incubation period,incubation
what is the longest known asymptomatic incubation period,incubation
what is the period of incubation,incubation
what is the incubation time of the virus,incubation
what is the incubation period for covid19,incubation
how to take care of infected people ,infection
how long does it take for you to feel symptoms once you are infected,infection
is there a correlation between exposure time and the severity of a covid19 infection,infection
what is the current situation of covid19 infections,infection
from the infected worldwide population what will be the ratio of asymptomatic people,infection
is there any possibility of infected corona virus second time,infection
what is the estimated population that will be infected by the covid19 virus,infection
can i get infected from food or grocery delivery,infection
for a healthy youngmiddleaged adult to get infected but recover by hisher own what would be the possibility to have his or her lung permenantly damaged,infection
eyes infection is correlated,infection
how to deal with disinfection of day to day use objects,infection
am i infected,infection
how likely will i get reinfected,infection
can you get be infected more than once ,infection
i need to take a blood test is there a large risk for infection,infection
is it true that in fine we will all get infected at some point with this novel strand of the coronavirus,infection
what can i do to improve my chances of recovery before i get infected,infection
how many infected person in south korea,infection
are there any anticipated long term effects postinfection,infection
my throat is tingling am i infected,infection
how long until an infected person shows symptoms,infection
what is the current rate of infection,infection
what is the rate of infection spread,infection
does everyone infected need a respirator,infection
can i be coughing without fever and be infected,infection
how covid19 virus infected,infection
how many days does it take for the infection rates to double,infection
im coughing because of postnasal drip and i travelled in the last 14 days could i be infected,infection
how i can get infected,infection
once recovered can i be infected with corona again,infection
can antibiotics deal with viral infection,infection
can my dog be infected with it,infection
is there any possibility of infected corona virus twice second time,infection
what are the best ways to discourage covid19 infection,infection
how many are infected in brossard,infection
what are the demographics of people infected hospitalized and deceased in quebec ,infection
are covid19 outcomes worse for those who are infected and suffer from asthma ,infection
is it possible to be infected again,infection
can i get infected from a newspaper,infection
what rate of infection is projected in quebec what percentage of the population will contract covid19,infection
i think i am infected what do i do,infection
which country infected  ,infection
how long does it last once infected ,infection
what are the survival rate by age brackets for those infected,infection
can i get the virus from breathing infected airborn particules,infection
how to avoid this infection,infection
i feel tired often at home am i infected,infection
whats my risk of being infected,infection
what are the symptoms of covid19 by day of infection,infection
how do people get infected with coronavirus,infection
can i get infected after i healed from it,infection
on a recent study published in nature it says that the severity of symptoms of covid19 infection depends on how much is your angiotensin converting enzyme 2 gene is expressed my question is on what factors does the rate of ace2 gene expression depends i,infection
how to help a friend that is infected,infection
how long does it take for an infected person to show symptoms ,infection
how i can isolate infectedquarantined family member at home where kids and other family members share common space,infection
can i leave my pet with a family member or is that against the premise of social distancing,isolation
what is self isolation,isolation
how long will it take before we can stop social distancing,isolation
will social distancing slow the spread of covid19,isolation
will nhs workers be even more isolated because they are exposed to the virus on a daily basis,isolation
what is social distancing,isolation
is it safe to go outside for a walk social distancing from others,isolation
how long do we need social distanciation for the virus to be less of a threat ,isolation
can i hug my kids while social distancing,isolation
what are the impacts of not respecting social distancing,isolation
how long should we try to maintain social distancing,isolation
i feel lonely from isolation,isolation
how long will social distancing measures last,isolation
can i meet with my neighbours who have been in isolation for 14 days,isolation
we are an essential service business i am looking for direction from health authorities to help determine a protocol to determine when an employee should self isolate based on living with or coming into contact with people who are ill or suspected of having covid 19,isolation
how many days should i isolate for,isolation
is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days,isolation
when should i end self isolation,isolation
should i practice social distancing ,isolation
how to prepare for isolation,isolation
how much longer will society need to socially isolate,isolation
who needs to be isolated,isolation
who needs to isolate,isolation
when will the social distancing end and what is the economic consequent of the pandemic,isolation
why is social distancing important,isolation
what is selfisolation,isolation
can i start seeing close family after a 14 day confinement,lockdown
am i allowed to go for a walk,lockdown
i am having trouble breathing should i go to the hospital,lockdown
after my 14 days isolation can go out for a walk can i visit my grand sons of 6 years old and 13 months,lockdown
i  take daily walks but keep a 6 ft distance when i talk to someone is that ok,lockdown
when do i go to the emergency room when should i stay at home to deal with fluvirus like symptoms ,lockdown
does delivery is still open,lockdown
is it ok i go out for a walk alone,lockdown
is it ok to go outside to get fresh air,lockdown
where is the closest testing facility to me,lockdown
am i allowed to go outside for joggins,lockdown
when should i go to the hospital,lockdown
should you go on dates indoors and outdoors in montreal right now ,lockdown
where can i go for a test in montreal,lockdown
i got tested and it came back negative can i go back outside and go for a run,lockdown
when can i go to my cabin,lockdown
are vet clinics still open,lockdown
can my family and i take walks around the block,lockdown
is it ok to go for a walk  ,lockdown
can i walk on the street during outbreak,lockdown
where can i go to get tested,lockdown
when lockdown will be stopped,lockdown
how long do you think we will have to be in a lockdown ,lockdown
is the liquor store open,lockdown
should i go out for a walk in the park everyday,lockdown
should i go to the hospital,lockdown
when should i go to the hospital ,lockdown
where can i find the closest testing facility,lockdown
can i go to the supermarket,lockdown
can i go for walking ,lockdown
where should i go for a covid19 screening test ,lockdown
i am in self isolation   is it ok to let in family members who must continue to go to work,lockdown
where should i go to get tested for the virus,lockdown
can i go outside and take a walk without getting the virus,lockdown
am i allowed to go outside,lockdown
can i go for a walk,lockdown
ppl are still going out to walk out dogs and get some groceries what is transmission situation when in grocery store gas pump  avoiding using cash can help ,lockdown
when will it be ok to go outside,lockdown
could stores open a few hours a week for the elderly ,lockdown
can i go for a run does runningexercise compromise my immune system ,lockdown
is the grocery open,lockdown
lets say i go for a walk and i wear the same leggings a few times before washing them can clothing potentially pass on the virus  ,lockdown
where is the closest testing site,lockdown
can you go for a walk even though everyone is being told to stay home,lockdown
is my school in montreal closed,lockdown
when should i go to the er,lockdown
how many days since switzerland closed schools,lockdown
is it ok for me to take a daily walk in the neighborhood residential area,lockdown
i have throat ,nextsteps
how do i know if i have the flu or coronavirus,nextsteps
how do i know if i have covid19,nextsteps
i have a sore throat is that a sign of covid19,nextsteps
i lost my sense of smell does this mean i have coronavirus,nextsteps
do i have to clean my groceries,nextsteps
how do i know if i have covid19 or not ,nextsteps
will i die if i have covid19,nextsteps
how do i know if i have it ,nextsteps
where do i go if i have mild symptoms,nextsteps
how i can test if i have the diease,nextsteps
i have been temporary laid due to covid19 will my benefits continue,nextsteps
i have a sore throat what other symptoms should i be waiting for before getting tested,nextsteps
i havent lost sense of smell do i have covid19,nextsteps
i have a sore throat what do i do,nextsteps
it is possible that i have covid19 only if experience only a few symptoms,nextsteps
i have a headache for the past 3 days should i be tested  ,nextsteps
i am coughing but i dont have fever could i have covid19,nextsteps
i have headache is it normal,nextsteps
how do i know i have covid,nextsteps
what if i have a cough and no fever ,nextsteps
who should i tell if i think i have covid19,nextsteps
i think i have a fever what do i do,nextsteps
what do i do if i have a cough,nextsteps
i have cold for couple of weeks have cough over night and regular mucous during day and night feel a bit hot but not fever that can be feel sometimes ear pain for infection some times get stressed on having corona does any of these symptoms suggest that i have quarantined myself for over 10 days  ,nextsteps
i have huge blood in my excreta this morning,nextsteps
what do i do if i have a fever,nextsteps
what is the nearest hospital to go to if i have a covid19,nextsteps
what follow up can i do when i have symptoms,nextsteps
what should i do if i have fever,nextsteps
i have symptoms should i go to the hospital,nextsteps
how do i know if i haver coronavirus,nextsteps
i have had a sore throat for 8 days should i worry,nextsteps
do i need to selfisolate not leave the house or interact with other people in the house if i have a cold even if i have none of the listed symptoms of coronavirus ,nextsteps
how long should i stay home if i have symptoms,nextsteps
i have a sore throat is that an early symptom,nextsteps
do i have covid,nextsteps
i have a cough what should i do,nextsteps
i have a mild fever do i have the coronavirus,nextsteps
do i have to ask a sclerotic question about traveling or something to get an answer ,nextsteps
do i have covid 19,nextsteps
i have a sore throat do i have the virus ,nextsteps
i have some symptoms what should i do,nextsteps
in grocery store if someone coughs in the corridor in front of me lets say in distance of 3 meters how long doni have to avoid that area and do i need to do it,nextsteps
i have a sore throat,nextsteps
what do i have to expect after the disease,nextsteps
how do i know i have covid19,nextsteps
i have some headeche,nextsteps
what should i do if i have coronavirus symptoms,nextsteps
if my tempreture is over 39 can i assume that i have covid19 ,nextsteps
what to do if i think i have covid 19,nextsteps
can i have gastro intestinal symptoms with covid19 ,nextsteps
i have a dry cough but no fever should i get tested,nextsteps
i think i have fever what should i do,nextsteps
do i have to wash my grocery after buying them,nextsteps
i have shortness of breath but no fever,nextsteps
how do i know if i have been infected,nextsteps
what type of drugs may i take if i have covid19,nextsteps
what do i do if i have symptoms,nextsteps
if i have symptoms and i am told to stay home can i take tylenol,nextsteps
how do i know if i have coronavirus,nextsteps
i have hashimotos hypothyroiditis am i more at risk i also had a pe due to fvleiden and oral contraceptives in 2001what do you recommend i do,nextsteps
i have a sore throat could that be covid19,nextsteps
i have fever what i should do,nextsteps
if there are kids around me do i have to worry if they are infected and i do not know,nextsteps
my throat get dry and sometimes i have to take long breaths ,nextsteps
if i have symptoms should i go to the er or should i call a doctor,nextsteps
im coughing what is the chance i have corpnavirus,nextsteps
i have a fever how do i know if its covid19 or the flu,nextsteps
i do not have a fever but i have a cough and it all suddenly started after a day of chest pain do i have covid19,nextsteps
what should i do if i have symptoms,nextsteps
i am coughing so you think i have coronavirus,nextsteps
do i have to take a test 14 days after being infected to know im fully recovered ,nextsteps
i am having difficulty of breathing do i have coronavirus,nextsteps
how long do i have to stay at home,nextsteps
do i have covid19,nextsteps
how am i supposed to work while i have two young children at home,nextsteps
if i get sick but it seems like a cold how long do i have to wait after feeling better to see other people,nextsteps
do i have the virus,nextsteps
i have a fever what should i do,nextsteps
how do i know if i have the covid19,nextsteps
should i get checked if i have been out of the country,nextsteps
how do i know if i have covid,nextsteps
i have a cough should i go to the emergency ,nextsteps
where can i go to be tested if i have symptoms ,nextsteps
so i have been having a weird feeling around my throatneck region my question is am i supposed to be worried or go get tested,nextsteps
what are are my chances of dying if i have the covid 19 virus ,nextsteps
i have fever 38c is that corona virus symptoms,nextsteps
i have a headache and an itchy throat am i at risk ,nextsteps
how do i know if i have the corona virus,nextsteps
how long do i have stay in isolation ,nextsteps
i lost my sense of taste does this mean i have coronavirus,nextsteps
i think i have coronavirus should i go to the emergency,nextsteps
i have fever what should i do ,nextsteps
what if i have cough ,nextsteps
i have a fever what should i do now,nextsteps
what should i do if i have the virus,nextsteps
how to see a doctor if i have symptoms,nextsteps
im feeling dizzy with fever do i have corona ,nextsteps
i have cough does that mean i might be infected,nextsteps
if i have covid19 how long will i be contagious,nextsteps
i think i have covid,nextsteps
i have a lot of stress regarding covid19,nextsteps
if i have flu like symptoms at what point should i go to the hospital,nextsteps
i have difficulty breathing which hospital should i go to,nextsteps
what kinds of drugs can i take now i have advil and tylenol flu,nextsteps
i have a bit of nausea and headache do i have covid19,nextsteps
i take public transit and work in a call center for a bank my employer expects me to come in even though i have symptoms isnt anybody with symptoms instructed to selfisolate for 14 days,nextsteps
i have shock about one month ago what can be it,nextsteps
i have temperature what should i do,nextsteps
should i use asprin with i have the coronavirus,nextsteps
i have fever should i go out,nextsteps
if i think i have symptoms of covid19 should i go to the emergency room ,nextsteps
if i have a fever does it mean i have covid ,nextsteps
can i drink alcohol if i have coronavirus,nextsteps
is it best to stay at home if i have symptoms ,nextsteps
i feel i have fever what should i do,nextsteps
do i have a covid or is it just a cold,nextsteps
how can i know if i have corona,nextsteps
how to know if i have corona,nextsteps
how do i know that i have the virus and not just the flu ,nextsteps
if i have diabetes am i at a higher risk ,nextsteps
what should i do if i think i have covid19,nextsteps
i have asthma how at risk am i about the possibility of complications,nextsteps
where did it start,past
where did covid19 started,past
how did it started,past
how many days it takes to recover,recover
will i be immune after recovering,recover
how quickly can the global economy recover from this event,recover
how long does it take to recover,recover
how does it take to recover from the virus,recover
is it true that you can get the virus again even after youve recovered ,recover
once you get the virus and recover from it are you still contagious for others  are you immune to it,recover
what are the long term health consequences after you recover  ,recover
will quitting smoking help my chances of recovery,recover
how long does recovery take on average,recover
will i be able to transmit after recovering,recover
how does ventilator helps recovery,recover
how long does it take an average person to recover,recover
how many people died in nyc,statistics
how many cases are there in the us,statistics
how many cases are there in canada,statistics
what is the current number of cases in quebec,statistics
what was the total number of deaths before and after the virus,statistics
show me the cumulative cases chart for canada,statistics
what is the mortality rate,statistics
how many cases of coronavirus in madagascar,statistics
how many people in america,statistics
are smokers at increased risk of death if exposed to the virus,statistics
what is the death rate in south carolina,statistics
is the virus deadly,statistics
how many people have died in the us,statistics
how many people are infected in australia currently,statistics
how many people died so far,statistics
how many people positive result with covid19,statistics
covid19 cases in my neighbourhood are riding what do i do,statistics
how many cases in quebec,statistics
why are death rates so different across countries,statistics
how many covid19 related deaths have there been in montreal,statistics
what is the total number of deaths ,statistics
how many people are infected in lithuania,statistics
how mild are most cases,statistics
what lesson will be learn from this pendemic for future more deadly ones,statistics
how many cases in quebec granby there is ,statistics
how many people related covid19,statistics
what is the number of covid19 cases in the wold,statistics
how many people are infected in toronto,statistics
how many people died in canada,statistics
how many new cases per day in canada,statistics
how many people died,statistics
how many death now,statistics
how many cases in montreal ,statistics
how many people have it in my town,statistics
were there documented cases before january 2020,statistics
how many new cases,statistics
what is the cause of death in this pandamic,statistics
how many cases in canada now  ,statistics
how many death in quebec,statistics
how many cases,statistics
whats the death rate for healthy us 37 year old males,statistics
how deadly is the virus,statistics
how many cases of covid in laval,statistics
how many cases in montreal,statistics
how deadly is the virus ,statistics
how many people died in belgium,statistics
how many death in italy,statistics
how many cases are in the us,statistics
how many cases in quebec ,statistics
why do they continue to ask me if i travelled when 40 of cases are now community acquired it seems that they are dismissing me even though i could be positive,statistics
how many people tested,statistics
what is the death rate of the new corona virus,statistics
