question_processed,cluster
en toute transparence le port du masque nest pas recommandé parce que il y a rupture de stock non ,caution
estce que je peux être testé au service à lauto,caution
estce que je peux être contagieux avant de men rendre compte,caution
estce que je peux télécharger lensemble des données sur lacovid pour lensemble du québec afin de faire mes propres diagrammes,caution
comment me protéger de la covid19,caution
est ce que je peux continuer à aller faire mon sport dehors  ,caution
estce que le port des gangs et masque sont recommandés pour aller à lépicerie,caution
devraiton porter un masque,caution
estce que je peux aller faire mes courses au dépaneur,caution
ou est ce que je peux faire un test de dépistage,caution
si je porte un masque que jai fait moimême avec du tissu estce suffisant,caution
que faire pour se protéger lorsquon fait des courses à lextérieur,caution
estce que je peux aller à la clinique pour une autre raison,caution
estce que je peux attraper le virus en ouvrant un colis livré chez moi,caution
si jai seulement mal à la gorge et je nai pas voyagé estce que je peux être infectée,caution
estce que je peux passer un test de dépistage même si je nai pas voyagé récemment ,caution
estce que je peux embarquer en voiture avec une personne ne résident pas avec moi,caution
si je me laves les mains suisje protéger contre le covid19 ,caution
estce que je peux continuer à prendre des marches avec des amis ,caution
les masques faciaux me protègent ils de la bactérie,caution
quels sont les endroits dans ma communauté où je peux donner de laide,caution
à quel endroit je peux effectuer un dépistage de covid19,caution
estce que les gants sont une bonne protection,caution
est ce que je peux sortir faire du jogging lors de la période disolation volontaire ,caution
à quelle fréquence doit on changer les masques faciaux ,caution
comment doiton se protéger de colis qui nous parviennent de lextérieur,caution
de quelle manière estce que je peux minimiser la transmission,caution
estce que porter un masque peut nous aider à nous protéger du virus,caution
je peux aller jouer dehors,caution
estce que je peux être infecté à plus dune reprise ,caution
pourquoi ne pas obliger le port du masque par tous,caution
estce que je peux aller à lépicerie,caution
estce que je peux sortir de chez moi,caution
estce que je peux aller prendre une marche ,caution
je peux aller marcher dehors,caution
comment protéger mes proches si je suis infectée,caution
comment je peux vérifier si jai covid19,caution
doiton porter un masque si on doit aller à lépicerie,caution
je nai pas de symptômes estce que je peux sortir de la maison pour faire des courses,caution
estce que je peux attraper le virus en parlant au téléphone,caution
estce que je peux prendre une marche,caution
estce que je peux transmettre le virus par la pensée,caution
est ce que je dois porter un masque pour sortir de chez moi ,caution
je fais quoi pour payer mon loyer si je peux pas travailler ,caution
quel est le meilleur moyen de se protéger entre chaque client comme caissière dépicerie,caution
estce que tout type de masque protège du virus,caution
quelles est la meilleure stratégie pour se protéger du coronavirus ,caution
est ce que je peux me faire tester même si jai pas fait de voyage,caution
si je parle pas francaise ou je peux obtenir des informations sur covid,caution
le port du masque est requis pour tous  ,caution
estce que je peux promener mon chien ,caution
estce que je peux faire entrer les voisins chez moi,caution
je nai pas de symptômes du covd mais je suis prof donc cotôyer des gens qui ont voyagé à la relâche doisje vraiment rester 14 jours chez moi ou je peux me permettre daller à lépicerie en prenant quand même mes précautions,caution
est ce que je peux changer quelques chose dans mon alimentation qui peut aider mon système immunitaire à combattre le virus,caution
estce que je peux transmettre le covid 19 si je lai déjà eu ,caution
si nous sommes en santé estce quon devrais mettre des masques pour aller à lépicerie,caution
quand dois je mettre un masque  ,caution
dois utiliser un masque ,caution
comment est ce que je peux me faire tester,caution
estce que je peux passer le test du covid même si je nai pas de symptômes,caution
comment me protéger se,caution
estce que je peux allaiter mon bébé si jai le covid 19 ,caution
estce quil y a un endroit où je peux signaler une personne qui ne respecte pas ses 14 jours de confinement,caution
si je suis en quarantaine depuis plus de 14 jours et que je nai aucun symptôme est ce que je peux visiter ma fille qui est aussi en quarantaine chez elle ,caution
comment me protéger,caution
estce quun vaccin sera bientôt efficace pour protéger contre le virus,caution
estce que je peux prendre des advils,caution
estce que je peux visiter mes parents chez eux,caution
à part se laver les mains et rester à labri que pouvonsnous faire pour nous protéger du virus,caution
je nai aucune restriction de quarantaine estce que je peux avoir des contacts avec dautres personnes qui nont aucune restriction aussi,caution
vaut mieux porter des gants de nitrile pour faire lépicerie ou tout simplement se laver les mains ,caution
est il utile de porter un masque ,caution
si je fais un peu de fièvre et que je tousse estce que je peux me faire tester,caution
quelle sont les premières étapes que je peux suivre à la maison  ,caution
estce que je peux travailler dans un bureau avec 10 personnes,caution
comment est ce que je pourrais me protéger de la covid19 ,caution
est ce que je peux continuer à habiter dans la même maison que mes enfants si je suis contaminée,caution
estce  q je peux retourné  au travail si je suis congestionné a cause allergie et jai un fois gras et jai eu un traitement de tuberculose quand jétais  jeune,caution
mon bail se termine dans une semaine estce que je peux déménager en toute sécurité tel que prévu sans être un danger,caution
estce que je peux laisser les fenêtres ouvertes ,caution
est ce que de mettre un masque me protège bien du virus ,caution
estce que je peux avoir le covid19 à plusieurs reprises,caution
estce que je peux recevoir une notification lors des prochains points de presse,caution
estce que je peux me déplacer dans une autre région pour raison daffaires,caution
porter des gants pour epicerie,caution
estce que je peux visiter mon conjoint,caution
mon copain demeure dans une autre région estce que je peux le voir quelques jours,caution
estce que je peux avoir des séquelles des complications du virus ,caution
quand je suis guérie estce que je peux attraper à nouveau ,caution
comment me protéger en faisant lépiderie,caution
estce que je peux aller travailler sécuritairement,caution
ece que je peux prendre mon auto ,caution
quand estce que je peux sortir de ma quarantaine si jai le coronavirus doisje passer un autre test pour vérifier,caution
est ce que je peux attraper le covid19 une deuxieme fois,caution
comment je peux savoir si je suis contaminé ,caution
jai une toux comment je peux faire,caution
estce que le port des gants aide vraiment,caution
estce que je peux être infecté par mon animal de compagnie,caution
estce que je peux passer le test,caution
jai une condition cardiaque est ce que je peux me rendre à lurgence quand même ,caution
comment pouvonsnous faire pour nous protéger,caution
estce que je peux transmettre le virus même si je nai pas de symptômes,caution
est ce que je peux rendre visite à ma famille,caution
estce que je peux lattraper en faisant mon épicerie,caution
estce que je peux faire un autodiagnostic avant de maffoler et contacter les urgences ,caution
doiton mettre un masque et des gants pour sortir,caution
estce vraiment une sécurité davoir un masque,caution
estce que je peux sortir de mon quartier si je me lave bien les mains,caution
estce que je peux être porteur du covid sans en présenter des symptômes,caution
jai 58 ans estce que je peux en mourir,caution
estce que je peux aller au chalet à lextérieur de montréal,caution
estce que je peux amener mon fils au parc ,caution
est ce que je peux aller me faire dépister pour le covid,caution
estce que je peux aller voir ma copine si elle habite dans une autre maison,caution
dois je porter un masque pour sortir,caution
je tousse et jai de la fièvre estce que je peux me rendre à lurgence,caution
estce que je peux aller à lépicerie ,caution
porter un masque pour epicerie,caution
pouvez vous me confirmer  q oui je peux  retourné  au travail ,caution
à quelle clinique est ce que je peux aller me faire tester au covid 19  ,caution
comment je peux savoir si jai le coronavirus ,caution
est ce que je peux voir une personne à la fois ,caution
mon système immunitaire est très faible est ce que je peux tout de même aller faire mon épicerie  ,caution
comment puisje protéger mes proches si je suis contagieux   ,caution
peuton être contaminés par un mets quune personne a préparé avec ses mains si cette personne na pas mis de gants ou ne sest pas lavé les mains,caution
est ce que je peux continuer à allaiter mon garçon si je contracte la maladie,caution
je suis enceinte et jai des suivis à lhôpital estce que je peux être accompagnée,caution
estce que je peux avoir du sexe avec un inconnu,caution
après deux semaines si je ne tombe pas malade estce que je peux considérer que je naie pas le virus,caution
combien de temps peut on garder un masque de protection,caution
quand on arrive de voyage je me suis placée en confinement estce que je peux aller marcher,caution
comment je peux faire un test covid19,caution
estce que je peux aller à lhôpital pour autre chose ,caution
combien de temps le virus survitil sur des gants ou autres vêtements ,caution
estce que mon fils qui travaillent à une épicerie devrait porter des gants,caution
si je rencontre quelquun positif au virus combien de jours je peux percevoir les symptomes ,caution
estce que je peux faire un rassemblement avec les membres de ma famille,caution
bonjour jai appris que dans le bâtiment où mon père travaille il y a eu un cas de covid déclaré on ne sait pas si mon père a été en contact avec cette personne il a décidé de passer le test même sil na aucun symptômes pour ma part je nai aucun symptômes est ce que je suis obligé de rester en quarantaine ou je peux continuer à aller travailler tout en prenant mes précautions merci  ,caution
estce que je peux transmettre la maladie à mon chien  ,caution
estce le fait de mettre des gants me protège ,caution
es ce que je peux attraper le covid 2 fois  ,caution
mon employeur vient de fermer la compagnie suisje éligible au patt covid19           à quel endroit se situe la clinique de dépistage la plus proche            estce que mon entreprise est un service essentiel  doisje fermer ma compagnie            comment faire pour prendre un rendezvous pour le dépistage de la covid 19           quels sont les symptômes de la covid 19            comment puisje faire ma demande au programme patt covid 19           estce que mon employeur a le droit de me demander de rentrer au travail           estce que mon employeur a le droit de mexiger un test de dépistage pour la covid 19            estce que je peux dénoncer une personne qui ne respecte pas les mesures disolement en cas de symptômes de covid 19           combien de temps nous sommes contagieux à la suite de diagnostic de covid 19           quelles sont les mesures que nous devons prendre lorsque nous sommes en isolement            que doisje faire lorsque je présente des symptômes de la covid 19            quelles sont les mesures prises par le gouvernement si je dois fermer ma compagnie ,caution
estce que je devrais porter des gants en public,caution
est ce que je peux visiter ma grandmère,caution
comment je peux savoir si je suis malade,caution
estce que je peux décider moimême de faire le test ,caution
est ce que je peux aller porter de la nourriture à une personne en quarantaine,caution
estce que je peux laisser mon fils jouer dehors avec ses amis,caution
estce que je peux prendre une marche dehors avec une amie en restant à 1 m delle je nai pas 70 ans,caution
si je tousse doisje porter un chandail à manches longues  pour tousser dans mon coude ou vautil mieux porter un masque ,caution
estce que je peux aller marcher dehors,caution
quelles sont les meilleures façons de se protéger de la covid19,caution
après mes 14 jours en quarantaine je peux aller voir ma famille ,caution
estce que je peux recevoir un email lors de mise à jour des donnes ,caution
est ce que je peux visiter ma famille  ,caution
jai perdu mon emploi estce que je peux retourner ma location dauto,caution
estce que je peux lattraper en touchant le panier dépicerie,caution
estce que je peux aller à lépicerie si jai 70 ans,caution
estce que je peux traiter mes symptomes de covid avec de la colchicine,caution
combien de temps après avoir attrapé le virus devenonsnous contagieux,dangerisk
une dame toussait au supermarché au je un risque davoir attrapé le coronavirus,dangerisk
comment traiter le covid19 si nous ne faisons pas partie de la population à risque ,dangerisk
suisje contagieuse,dangerisk
après la disparition de symptômes combien de temps estce quune personne resteelle contagieuse,dangerisk
je travaille au complexe g suisje à risque,dangerisk
estce que les adolescents sont à risque  de développer des complications,dangerisk
estce quil y a des types de personnes plus à risque que dautres,dangerisk
estce risqué de sortir prendre une marche à lextérieur,dangerisk
quels risques je cours en allant dehors,dangerisk
estce que les enfants sont moins à risque dattraper le covid19,dangerisk
risque de mourir ,dangerisk
combien de temps puis je etre contagieux avant davoir des symtomes,dangerisk
puisje me promener dans les bois sans risque de contracter le coronavirus ,dangerisk
si quelquun a le covid19 à quel moment nestil plus contagieux ,dangerisk
sommesnous contagieux si nous navons pas de symptômes,dangerisk
est ce les bébé de moins de 2 ans sont plus a risque,dangerisk
quelle profession estelle la plus à risque pour le covid19 ,dangerisk
quand sommes nous contagieux,dangerisk
estce que les enfants sont à risque,dangerisk
le covid 19 dangereux,dangerisk
combien de temps suisje contagieux ,dangerisk
âges à risque,dangerisk
où la femme contagieuse interpellée à limoilou sestelle promenée,dangerisk
estce que les fumeurs sont plus a risque dattrapper le covid,dangerisk
suisje à risque,dangerisk
combien de temps suis je contagieux,dangerisk
comment faire pour minimiser les risques de propagation,dangerisk
des amis qui sont encore au travail nous demandent de garder leurs enfants prendon des risques si on le fait ,dangerisk
comment savoir si je suis contagieux,dangerisk
estce que les jeunes personnes avec de lasthme sont à risque,dangerisk
combien de temps pouvons nous être contagieux pour les autres si nous avons le coronavirus,dangerisk
quelle sont les maladie pulmonaire les plus à risque avec le covid ,dangerisk
les plus jeunes enfants sontils à risque,dangerisk
lorsquon a été infecté une première fois par le virus risqueton dêtre infecté une deuxième fois,dangerisk
quels sont les risques pour les femmes enceintes ,dangerisk
combien de temps une personne est contagieuse,dangerisk
combien de temps cest contagieux,dangerisk
quels sont les risques encourus lorsque lon fait lépicerie ,dangerisk
quels sont les risques du covid19 pour les femmes enceintes et leur bébé ,dangerisk
je me demande des fois en tant que jeune sil ne serait pas mieux detre exposé a la covid pour developper des anticorps et mieux resister aux prochaines epidemies sans etre en contact avec des personnes a risque bien evidemment merci ,dangerisk
le conjoint de ma fille travaille en milieu hospitalier estil risqué quelle vienne nous visiter ,dangerisk
estce les personnes avec un cancer du sang sont plus à risques,dangerisk
quelles sont les risques potentiels du virus pour une femme enceinte au premier trimestre,dangerisk
je suis une femme enceinte suisje plus à risque dattraper la covid,dangerisk
qui sont les gens les plus à risque ,dangerisk
si je suis enceinte suisje plus à risque,dangerisk
quels sont les risques du covid19 pour les femmes enceintes ,dangerisk
estce que je risque de mourir,dangerisk
estce que les personnes asthmatiques sont plus à risques dêtre fortement malades si elles contractent le covid19 ,dangerisk
quiest à risque dans la population canadienne,dangerisk
je joue tous les jours dans la ruelle avec mes enfants estce dangereux si nous ne sommes pas malade,dangerisk
quel est le risque que le virus revienne à chaque année comme la grippe,dangerisk
estce que cest vraiment très contagieux,dangerisk
la quarentaine prévient elle tous les risques,dangerisk
quelle serait limpact de la maladie à court et long terme sur mon bébé de 7 semaines si les risques sont grands estce le gouvernement prévoit larrêt de travail pour le conjoint qui ne peut faire du télétravail je suis très anxieuse que mon conjoint nous contamine à la maison  ,dangerisk
estce que les personnes avec une maladie de marfan sont plus à risque,dangerisk
quel est le risque dune seconde vague,dangerisk
quels sont les risques pour les enfants,dangerisk
combien de temps resteton contagieux après le début des symptômes,dangerisk
quels sont les risques pour les noubeauxnes,dangerisk
estce que le coronavirus peut être dangereux pour les gens de 35 ans ,dangerisk
estce que la poste que je reçcois est dangereuse ,dangerisk
mon petit frère de 1 an estil à risque,dangerisk
bonjour  le printemps arrive avec ses allergies saisonnieres  pensez vous que les personnes souffrant sévèrement de ces allergies sont plus à risque de contracter le virus à ce moment là  ,dangerisk
estce dangereux de sapprocher dune résidence dont quelquun est atteint  si je veux aller lui porter des denrées alimentaires à la porte par exemple,dangerisk
estce que les femmes enceintes sont à risque,dangerisk
quel est le risque de contamination pour les femmes enceintes ,dangerisk
combien de jours sommes nous contagieux avant même déprouver les symptômes de la covid19 tels que la fièvre et la toux,dangerisk
le risque de transmission est davoir été en contact avec une personne malade donc qui a des symptômes,dangerisk
le risque de contacter le virus en prenant des précautions en sortant à lépicerie estil faible moyen ou élevé ,dangerisk
pendant combien de temps reste ton contagieux en labsense de symptomes ,dangerisk
si je vais nager dans une piscine suisje à risque dattraper ou de donner le virus,dangerisk
quel est le risque de mourir du covid19,dangerisk
les personnes asthmatiques sontelles plus à risque,dangerisk
combien de jours avant davoir des symptômes suisje contagieux,dangerisk
mom conjoint est à haut risque de conplication si il attrape le virus comment savoir ses chance de complication exacte ,dangerisk
combien de temps sommesnous contagieux,dangerisk
la période de déménagements approche y atil des risques de propagation par les objets qui se déplaceront dun endroit à un autre ,dangerisk
si quelquun éternue combien de temps lair entourant cette personne reste contagieuse,dangerisk
est ce que je suis contagieux longtemps après avoir contracté le virus,dangerisk
mon garçon de 13 ans fait de lasthme  estce plus dangereux pour lui sil attrape le covid19,dangerisk
y atil plus de risque pour les femmes enceintes davoir des complications liées au coronavirus,dangerisk
estce que les asthmatiques sont plus à risque de complications graves basé sur les cas actuels,dangerisk
estce quune personne a symptomatique peut être contagieuse,dangerisk
mon bébé à un redressement de la bronche gauche est il plus à risque ,dangerisk
estce que cest dangereux pour moi ,dangerisk
combien de temps eston contagieux avant et après les symptômes,dangerisk
combien de temps une personne qui a la maladie estelle contagieuse,dangerisk
quel est le risque dêtre contaminée si on croise quelquun sur le trottoir,dangerisk
une personne qui est contaminée reste contagieux combien de temps,dangerisk
suisje à risque di ma toux nest pas sèche,dangerisk
pourquoi les gens qui reviennent de voyage semblent être plus susceptible dêtre porteur à risque,dangerisk
si on a déjà un virus actif herpès estce quil est plus dangereux dattraper lea covid19 et estce que le risques de complications sont plus élevés ,dangerisk
si jattrape jamais de rhume suis je moins à risque dattraper le virus,dangerisk
estce que le fait de fumer place dans une catégorie plus à risque si on contracte le virus ,dangerisk
estce que je suis à risques pour le covid19,dangerisk
je fais des bronchites régulièrement limpact du covid19 risquetil dêtre plus sévère si je lattrape,dangerisk
suisje à risque si je souffre dasthme ,dangerisk
quels sont les risques pour mes parents,dangerisk
quelle sont les risques de contagiont pour les gens lors de manipulation dargent,dangerisk
quels sont les maladies qui me mettent plus à risque de complication si je suis exposée au virus covid19 ,dangerisk
si une personne vient nous visiter et quelle se déplace dans une maison que fautil surveiller ou vérifier pour limiter les risques de contagion ,dangerisk
si je suis allée en massothérapie et que mon thérapeute est porteur du virus mais quil na pas de symptômes quel est mon risque que je développe le virus,dangerisk
suisje une personne à risque,dangerisk
y atil des gens qui sont plus à risque que dautres dattraper le covid19,dangerisk
suisje contagieux ,dangerisk
je suis enceinte et je travail très proche des gens est ce dangereux pour ma grossesse,dangerisk
combien de temps demeureton contagieux après lapparition des premiers symptômes,dangerisk
estce que le fait dexposer un objet potentiellement infecté si froid le rend dans risque,dangerisk
un patient asymptomatique ayant le covid 19 peut il etre contagieux après une quarantaine de 14 jours ,dangerisk
avec les commandes en ligne on reçoit des colis estce que ces colis représentent un risque de contagion ,dangerisk
une personne ayant eu le covid 19 avec symptomes peut etre se consideree guerie si les symptomes sont disparus  comment savoir quelle n est plus contagieuse  ,dangerisk
estce que la covid19 est dangereuse pour les enfants,dangerisk
combien de temps suisje contagieux,dangerisk
avec les temperature plus haute qui arrivent  estce quon pourra aller faire des activités de plein air sans avoir peur de croiser une personne contagieuse ,dangerisk
est ce que les enfants de moins de 1 an sont plus à risque davoir des complications  ,dangerisk
quels sont les risques que le covid mutte,dangerisk
y atil une façon de limiter les risques quand on reçoit une commande dépicerie,dangerisk
si nous avons le covid19 combien de temps sommesnous contagieux,dangerisk
pourquoi estce que le covid19 est aussi contagieux,dangerisk
estce que ça augmente les risques de faire  une promenade en milieu urbain,dangerisk
peuton être contagieux si nous sommes asymptomatique,dangerisk
suisje a risque de perdre mon emploi,dangerisk
estce que sassoir sur le siège dune toilette publique est dangereux,dangerisk
quelle est mon risque de développer des complications si je fais de lasthme ,dangerisk
quelles personnes sont plus à risque contre le covid19,dangerisk
quel est le risque de fatalité pour une personne de 50 ans,dangerisk
si je nai plus de symptômes suisje encore contagieux,dangerisk
la femme enceinte est elle considérée plus à risque ,dangerisk
quels sont mes risques dattraper le virus si je vais me promener dehors,dangerisk
prendre une marche avec une autre personne cest risqué,dangerisk
les regions chaudes ou froides sontelles plus à risque,dangerisk
qui est plus à risque de mourir du virus  ,dangerisk
combien de temps le virus estil contagieux ,dangerisk
combien de temps suisje contagieux si je suis asymptomatique,dangerisk
ya til vraiment un risque de contagion quand je vais faire lépicerie,dangerisk
les enfants sontils plus à risque,dangerisk
est ce que mon bébé naissant est à risque,dangerisk
comment effectuer mes courses sans mettre à risque ma famille,dangerisk
estce que les asmathiques sont plus à risques de complications,dangerisk
estce que mon type de sang a un lien avec les risques que jattrape la maladie,dangerisk
suisje a risque ,dangerisk
si quelque est infecté étaitil contagieux avant davoir des symptômes combien de temps avant,dangerisk
estce que les asthmatiques ont plus de risques de complication suite à une infection au covid19,dangerisk
estce que le covid19 est contagieux,dangerisk
si je suis en bonne santé et que personnes est a risque dans mon entourage puisje contracter le covid19 sur des surfaces publiques,dangerisk
estce que cest gens autour de moi son à risque,dangerisk
mon conjoint est diabéthique et se pique à linsulinedoisje rester à la maison pour éviter le risque de le contaminer,dangerisk
que doisje faire en rentrant chez moi pour minimiser mes risques ,dangerisk
quel est mon risque,dangerisk
durant combien de temps sommes nous contagieux quand on a la covid19,dangerisk
si nous avons eu des symptômes et quils sont désormais résorbés sommesnous encore contagieux,dangerisk
jai fait lamour avec une inconnue est ce que je suis a risque,dangerisk
estce que le covid19 est plus contagieux que linfluenza,dangerisk
c dangereux pour quelquun hasmatique,dangerisk
à quel moment les personnes infectées par le covid19 sont elles les plus contagieuses  ,dangerisk
à quel moment une personne infectée par le covid19 nest elle plus contagieuse ,dangerisk
est ce que le virus est plus dangereux pour un asthmatique ,dangerisk
mon employeur ne désinfecte pas mon lieu de travai estce un risque ,dangerisk
mes oiseaux risquent ils dattrapper le covid19,dangerisk
je fais une sarcoidose pulmonaire je suis tu plus a risque si jamais j attrape le covid 19,dangerisk
comment peuton minimiser les risques de contamination si un membre de la famille continue de travailler à lextérieur,dangerisk
quelles sont les mesures de sécurité pour minimiser le risque covid19,dangerisk
mon copain travail dans le même garage quun autre dont les beauxparents sont en attentes de résultats e dépistage sils ne travaillent pas côte a côte estce que ça me met a risque de voir mon copain,dangerisk
mes enfants  toussent le matin et je me sens très fatiguée  suisje à risque,dangerisk
estce que cest contagieux,dangerisk
cest quoi la différence entre le sars et le covid,diff
quelle est la différence entre les symptômes de la grippe et du covid19,diff
comment differencier entre le covid et la grippe  ,diff
comment détecter la différence entre un rhume une grippe et le covid19 ,diff
cest quoi la différence entre le covid19 et le corona virus,diff
quel est la différence entre le covid19 et une influenza ,diff
comment faire la différence entre la covid et une simple grippe,diff
comment faire la différence entre le covid19 et un rhume,diff
quel est la difference entre le virus et la maladie,diff
combien de temps va durer la pandémie ,future
combien de temps la pandémie estelle prévue pour durer ,future
combien de temps ça va durer cette affaire ,future
combien de temps va durer la pandémie,future
combien de temps pourrais durer cette quarantaine ,future
combien de temps durera la pandémie ,future
combien de temps pourrait durer le covid,future
si on arrive à aplanir la courbe combien de temps lisolation pourrait durer,future
pendant combien de temps durera lépidémie du covid19,future
combien de temps va durer la quarantaine ,future
combien de temps cette épidémie va telle durer ,future
quelle est la période dincubation ,incubation
la période dincubation est de deux semaines mais quen estil de la période de contagion,incubation
le temps dincubation est 14 ou 20 jours,incubation
quelle est la période dincubation,incubation
quelle est la période dincubation du virus,incubation
combien de temps dincubation,incubation
quelle est la durée dincubation,incubation
après combien de jours dincubation le covid peutil être détecté chez une personne sans symptome ,incubation
savonsnous quel est le temps exact de lincubation de cette maladie ,incubation
quel est le temps dincubation du virus,incubation
ma grandmère vit seule et doit rester chez elle comment faire livrer de la nourriture ,isolation
estce que le confinement à la maison me permet de faire des run de vélo à 10 km de la maison ,isolation
combien de temps durera le confinement,isolation
mon conjoint travail dans une résidence pour personnes âgées je sais que cest un milieu à risque pour la contagion quelles mesures devraientils prendre lorsquil revient à la maison où sa famille est en isolement,isolation
bonjour je nai pas de fièvre mal à la gorge depuis 3 jours des douleurs articulaires depuis hier soir et assez fatigué doisje prendre des mesures disolement,isolation
pourquoi je dois rester chez moi ,isolation
combien de temps la pandémie vatelle durer si les gens respectent les règles de confinement ,isolation
ils demandent que les personnes qui arrivent de voyage se mettent instanténément en confinement par contre ils disent vous pouvez aller prendre de l air ces personnes sont peut être contaminéeselles se promènent dans les couloirs et assenceurs afin d aller prendre l air n est ce pas risqué,isolation
les entreprises de location de camions sontelles ouvertes durant le confinement,isolation
si je suis en confinement depuis 2 semaines sauf pour les rares visites au supermarché où je prends toutes les précautions dusage et mes trois enfants adultes prennent les mêmes précautions peuton se réunir en famille,isolation
pendant combien de temps seronsnous confinés,isolation
yatil un risque de nouvelle vague dinfection quand le confinement sera levé,isolation
estce que dans le cadre des mesures de confinement,isolation
pourquoi les forces armées canadiennes nécoute pas le confinement et laisse entre autre leurs écoles ouverte,isolation
doisje misoler 14 jours si je suis revenue le 10 mars,isolation
la santé publique recommande un isolement de 14 jours potentiellement à risque or nous apprenons que le covid19 est susceptible de mutations ce délai estil valable pour les formes mutantes du virus,isolation
durée du confinement,isolation
comment se font les suivis de grossesse pendant le confinement lié à la covid19,isolation
comment lactivité économique va être reprise après les semaines de confinement ,isolation
je me demande sil serait mieux de cesser le travail pour lisolement à la maison,isolation
je suis en isolement parce que je suis de retour de france estce que ma famille doit aussi être en isolement,isolation
quel est la durée de confinement,isolation
pourquoi doisje être en confinement,isolation
peuton avoir des relations sexuelles en isolement ou si on a la covid19,isolation
pourquoi doiton rester en confinement,isolation
doisje misoler si je suis en contact avec une personne qui a été en contacte avec une personne infecté,isolation
combien de temps pourrait durer les mesures de confinement,isolation
pour combien de temps le confinement seratil mis en place ,isolation
si je nai eu acuun symptomes depuis 10 jours avec un isolement complet puisje dire que je suis négatif au covid,isolation
comment surmonter le stress et la pression ambiante durant cette periode de confinement,isolation
si je doisme confiner chez moi parce que je suis covid 19 pos comment je fais pour massurer que je vais être payé,isolation
estce que mon employeur doit me payer durant lisolement ,isolation
est ce que dans le cadre des mesures de confinement les couples doivent faire chambre séparée,isolation
peuton développer des symptômes après 14 jours disolement,isolation
combien de temps seronsnous en isolement,isolation
doisje rester confiné ,isolation
faire confinement en famille,isolation
mon autre situation  mes enfants sont en garde partagée et leur père vie avec grandmaman qui revient tout juste de voyage les enfants restent avec moi le tempsmque sa quarantaine terminé  soit le 31 mars prochain serait il envisageable quils retournent chez papa à cette date où il est préférable quils restent ici le temps que tout se calme,isolation
je poursuisdoisje me placer en isolement volontaire ,isolation
les gens qui rentrent de voyage peuventils sortir prendre des marches pendant leurs 14 jours disolement ,isolation
où puisje faire du bénévolat pour aider les personnes en isolement dans le besoin ,isolation
quelle est la différence entre isolement et confinement,isolation
